Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,
SHR,2014,2014-06-26 12:00:00,0.394,26.9241,0,7.87193,
SHR,2014,2014-06-26 12:00:00,0.39,26.9256,0,7.87526,
SHR,2014,2014-06-26 12:00:00,0.386,26.9276,0,7.87872,
SHR,2014,2014-06-26 12:00:00,0.384,26.9295,0,7.88487,
SHR,2014,2014-06-26 12:00:00,0.384,26.9309,0,7.88303,
SHR,2014,2014-06-26 12:00:00,0.385,26.932,0,7.88509,
SHR,2014,2014-06-26 12:00:00,0.385,26.9331,0,7.88746,
SHR,2014,2014-06-26 12:00:00,0.383,26.9344,0,7.88851,
SHR,2014,2014-06-26 12:00:00,0.381,26.9357,0.0754,7.88846,
SHR,2014,2014-06-26 12:00:00,0.378,26.936,0.0833,7.88661,
SHR,2014,2014-06-26 12:00:00,0.377,26.935,0.0833,7.88589,
SHR,2014,2014-06-26 12:00:00,0.38,26.9333,0.0873,7.889,
SHR,2014,2014-06-26 12:00:00,0.388,26.9324,0,7.88628,
SHR,2014,2014-06-26 12:00:00,0.406,26.9333,0,7.87929,
SHR,2014,2014-06-26 12:00:00,0.422,26.9355,0,7.87397,
SHR,2014,2014-06-26 12:00:00,0.435,26.9388,0,7.87118,
SHR,2014,2014-06-26 12:00:00,0.45,26.9426,0,7.87321,
SHR,2014,2014-06-26 12:00:00,0.468,26.9459,0,7.86688,
SHR,2014,2014-06-26 12:00:00,0.487,26.9475,0,7.85828,
SHR,2014,2014-06-26 12:00:00,0.509,26.9468,0,7.85366,
SHR,2014,2014-06-26 12:00:00,0.54,26.9452,0.0159,7.85405,
SHR,2014,2014-06-26 12:00:00,0.572,26.9449,0.0357,7.85854,
SHR,2014,2014-06-26 12:00:00,0.59,26.9464,0.0159,7.86071,
SHR,2014,2014-06-26 12:00:00,0.606,26.9482,0.0238,7.85082,
SHR,2014,2014-06-26 12:00:00,0.626,26.9488,0.0159,7.84303,
SHR,2014,2014-06-26 12:00:00,0.649,26.9476,0.0199,7.83965,
SHR,2014,2014-06-26 12:00:00,0.67,26.9435,0,7.84879,
SHR,2014,2014-06-26 12:00:00,0.687,26.935,0.008,7.86617,
SHR,2014,2014-06-26 12:00:00,0.708,26.9199,0.0159,7.87846,
SHR,2014,2014-06-26 12:00:00,0.726,26.8965,0.0119,7.88652,
SHR,2014,2014-06-26 12:00:00,0.744,26.8665,0.0159,7.89992,
SHR,2014,2014-06-26 12:00:00,0.766,26.8352,0.0278,7.90912,
SHR,2014,2014-06-26 12:00:00,0.794,26.8073,0.0119,7.91206,
SHR,2014,2014-06-26 12:00:00,0.824,26.7847,0.004,7.91894,
SHR,2014,2014-06-26 12:00:00,0.851,26.7674,0.0318,7.91773,
SHR,2014,2014-06-26 12:00:00,0.878,26.7547,0.0238,7.92233,
SHR,2014,2014-06-26 12:00:00,0.906,26.7456,0,7.92254,
SHR,2014,2014-06-26 12:00:00,0.932,26.7388,0.0199,7.92542,
SHR,2014,2014-06-26 12:00:00,0.957,26.7335,0.0238,7.93104,
SHR,2014,2014-06-26 12:00:00,0.983,26.729,0.0238,7.93952,
SHR,2014,2014-06-26 12:00:00,1.018,26.7248,0.0278,7.91943,
SHR,2014,2014-06-26 12:00:00,1.049,26.7208,0.0159,7.93009,
SHR,2014,2014-06-26 12:00:00,1.07,26.7168,0.0159,7.92341,
SHR,2014,2014-06-26 12:00:00,1.088,26.7127,0.0159,7.91103,
SHR,2014,2014-06-26 12:00:00,1.106,26.7084,0.0199,7.90268,
SHR,2014,2014-06-26 12:00:00,1.13,26.7035,0.0318,7.89509,
SHR,2014,2014-06-26 12:00:00,1.161,26.698,0.004,7.89805,
SHR,2014,2014-06-26 12:00:00,1.192,26.6919,0.0278,7.90048,
SHR,2014,2014-06-26 12:00:00,1.224,26.6855,0.0318,7.90991,
SHR,2014,2014-06-26 12:00:00,1.252,26.679,0.0278,7.91159,
SHR,2014,2014-06-26 12:00:00,1.28,26.6722,0.0119,7.91487,
SHR,2014,2014-06-26 12:00:00,1.307,26.6646,0.0318,7.91838,
SHR,2014,2014-06-26 12:00:00,1.333,26.6556,0.0199,7.91318,
SHR,2014,2014-06-26 12:00:00,1.361,26.6455,0.0119,7.91001,
SHR,2014,2014-06-26 12:00:00,1.392,26.6356,0.0278,7.90173,
SHR,2014,2014-06-26 12:00:00,1.429,26.6269,0.0278,7.89919,
SHR,2014,2014-06-26 12:00:00,1.46,26.6201,0.0159,7.89618,
SHR,2014,2014-06-26 12:00:00,1.484,26.6148,0.0199,7.89917,
SHR,2014,2014-06-26 12:00:00,1.511,26.6105,0.0119,7.9056,
SHR,2014,2014-06-26 12:00:00,1.542,26.6064,0.0635,7.91185,
SHR,2014,2014-06-26 12:00:00,1.578,26.6027,0.0635,7.91563,
SHR,2014,2014-06-26 12:00:00,1.609,26.5995,0.0873,7.9176,
SHR,2014,2014-06-26 12:00:00,1.638,26.597,0.0873,7.92213,
SHR,2014,2014-06-26 12:00:00,1.66,26.5951,0.0714,7.91534,
SHR,2014,2014-06-26 12:00:00,1.676,26.5938,0.0794,7.91578,
SHR,2014,2014-06-26 12:00:00,1.688,26.593,0.0833,7.91742,
SHR,2014,2014-06-26 12:00:00,1.7,26.5924,0.0714,7.91779,
SHR,2014,2014-06-26 12:00:00,1.718,26.5921,0.0199,7.92569,
SHR,2014,2014-06-26 12:00:00,1.742,26.5918,0.0278,7.92617,
SHR,2014,2014-06-26 12:00:00,1.768,26.5915,0.0159,7.92702,
SHR,2014,2014-06-26 12:00:00,1.79,26.5911,0.004,7.92485,
SHR,2014,2014-06-26 12:00:00,1.807,26.5907,0.1032,7.92967,
SHR,2014,2014-06-26 12:00:00,1.824,26.5902,0.0952,7.93662,
SHR,2014,2014-06-26 12:00:00,1.847,26.5896,0.0794,7.93166,
SHR,2014,2014-06-26 12:00:00,1.875,26.589,0.0833,7.934,
SHR,2014,2014-06-26 12:00:00,1.904,26.5884,0.0794,7.93657,
SHR,2014,2014-06-26 12:00:00,1.929,26.5877,0.0675,7.93717,
SHR,2014,2014-06-26 12:00:00,1.951,26.5867,0.0635,7.93654,
SHR,2014,2014-06-26 12:00:00,1.974,26.5856,0.0754,7.93917,
SHR,2014,2014-06-26 12:00:00,1.989,26.5842,0.0794,7.93677,
SHR,2014,2014-06-26 12:00:00,2.003,26.5824,0.0595,7.92616,
SHR,2014,2014-06-26 12:00:00,2.027,26.5802,0.0873,7.91773,
SHR,2014,2014-06-26 12:00:00,2.057,26.5778,0.0992,7.9081,
SHR,2014,2014-06-26 12:00:00,2.085,26.5757,0.0794,7.90116,
SHR,2014,2014-06-26 12:00:00,2.105,26.5739,0.0714,7.89682,
SHR,2014,2014-06-26 12:00:00,2.116,26.5724,0.0833,7.89592,
SHR,2014,2014-06-26 12:00:00,2.125,26.5714,0.0635,7.89714,
SHR,2014,2014-06-26 12:00:00,2.139,26.5707,0.0754,7.90504,
SHR,2014,2014-06-26 12:00:00,2.156,26.5703,0.0833,7.91128,
SHR,2014,2014-06-26 12:00:00,2.169,26.5702,0.0675,7.92599,
SHR,2014,2014-06-26 12:00:00,2.175,26.5703,0.0635,7.93386,
SHR,2014,2014-06-26 12:00:00,2.18,26.5708,0.0794,7.93893,
SHR,2014,2014-06-26 12:00:00,2.19,26.5717,0.0794,7.93173,
SHR,2014,2014-06-26 12:00:00,2.201,26.5729,0.0873,7.93848,
SHR,2014,2014-06-26 12:00:00,2.204,26.5743,0.0873,7.93598,
SHR,2014,2014-06-26 12:00:00,2.201,26.5761,0.0754,7.93796,
SHR,2014,2014-06-26 12:00:00,2.193,26.578,0.0714,7.93529,
SHR,2014,2014-06-26 12:00:00,2.183,26.5797,0.0794,7.93314,
SHR,2014,2014-06-26 12:00:00,2.178,26.5804,0.0873,7.92983,
SHR,2014,2014-06-26 12:00:00,2.187,26.58,0.0873,7.93026,
SHR,2014,2014-06-26 12:00:00,2.202,26.5786,0.0675,7.93438,
SHR,2014,2014-06-26 12:00:00,2.216,26.5769,0.0159,7.93245,
SHR,2014,2014-06-26 12:00:00,2.232,26.5755,0.0278,7.92911,
SHR,2014,2014-06-26 12:00:00,2.253,26.5746,0.0238,7.92898,
SHR,2014,2014-06-26 12:00:00,2.276,26.574,0.0119,7.9271,
SHR,2014,2014-06-26 12:00:00,2.306,26.5732,0.0238,7.92908,
SHR,2014,2014-06-26 12:00:00,2.332,26.5722,0.0199,7.92944,
SHR,2014,2014-06-26 12:00:00,2.356,26.5711,0.008,7.92682,
SHR,2014,2014-06-26 12:00:00,2.376,26.57,0.004,7.92545,
SHR,2014,2014-06-26 12:00:00,2.398,26.5688,0,7.91798,
SHR,2014,2014-06-26 12:00:00,2.426,26.5675,0.0516,7.91739,
SHR,2014,2014-06-26 12:00:00,2.462,26.5662,0.0714,7.92423,
SHR,2014,2014-06-26 12:00:00,2.495,26.5651,0.0794,7.93734,
SHR,2014,2014-06-26 12:00:00,2.521,26.5641,0.0833,7.94414,
SHR,2014,2014-06-26 12:00:00,2.543,26.5631,0.0794,7.94062,
SHR,2014,2014-06-26 12:00:00,2.567,26.5621,0.0833,7.9412,
SHR,2014,2014-06-26 12:00:00,2.598,26.5609,0.0873,7.94084,
SHR,2014,2014-06-26 12:00:00,2.64,26.5595,0.0833,7.9442,
SHR,2014,2014-06-26 12:00:00,2.682,26.5581,0.1032,7.94283,
SHR,2014,2014-06-26 12:00:00,2.72,26.5566,0.0913,7.93928,
SHR,2014,2014-06-26 12:00:00,2.752,26.5547,0.0516,7.93986,
SHR,2014,2014-06-26 12:00:00,2.785,26.5523,0.0833,7.94038,
SHR,2014,2014-06-26 12:00:00,2.817,26.5494,0.0913,7.93667,
SHR,2014,2014-06-26 12:00:00,2.84,26.5464,0.0952,7.94437,
SHR,2014,2014-06-26 12:00:00,2.861,26.544,0.0675,7.94044,
SHR,2014,2014-06-26 12:00:00,2.89,26.5422,0.0754,7.93945,
SHR,2014,2014-06-26 12:00:00,2.921,26.541,0.0873,7.94389,
SHR,2014,2014-06-26 12:00:00,2.95,26.5401,0.0675,7.94541,
SHR,2014,2014-06-26 12:00:00,2.977,26.5395,0.0714,7.94506,
SHR,2014,2014-06-26 12:00:00,2.992,26.539,0.0913,7.94691,
SHR,2014,2014-06-26 12:00:00,2.996,26.5385,0.0873,7.941,
SHR,2014,2014-06-26 12:00:00,3.014,26.5379,0.0714,7.93828,
SHR,2014,2014-06-26 12:00:00,3.044,26.5372,0.0794,7.93416,
SHR,2014,2014-06-26 12:00:00,3.074,26.5364,0.0952,7.93231,
SHR,2014,2014-06-26 12:00:00,3.1,26.5355,0.0635,7.93301,
SHR,2014,2014-06-26 12:00:00,3.118,26.5346,0.0754,7.92989,
SHR,2014,2014-06-26 12:00:00,3.137,26.5335,0.0833,7.93544,
SHR,2014,2014-06-26 12:00:00,3.161,26.5321,0.0754,7.94126,
SHR,2014,2014-06-26 12:00:00,3.185,26.5303,0.0714,7.94751,
SHR,2014,2014-06-26 12:00:00,3.209,26.5278,0.0833,7.9502,
SHR,2014,2014-06-26 12:00:00,3.23,26.5246,0.0754,7.96109,
SHR,2014,2014-06-26 12:00:00,3.253,26.5203,0.0754,7.97922,
SHR,2014,2014-06-26 12:00:00,3.275,26.5142,0.0913,7.99223,
SHR,2014,2014-06-26 12:00:00,3.297,26.5057,0.0794,8.03158,
SHR,2014,2014-06-26 12:00:00,3.326,26.4943,0.0794,8.06404,
SHR,2014,2014-06-26 12:00:00,3.36,26.4796,0.0833,8.11215,
SHR,2014,2014-06-26 12:00:00,3.392,26.4623,0.0794,8.16342,
SHR,2014,2014-06-26 12:00:00,3.416,26.4434,0.0754,8.22152,
SHR,2014,2014-06-26 12:00:00,3.433,26.423,0.0833,8.28913,
SHR,2014,2014-06-26 12:00:00,3.445,26.4001,0.0873,8.34999,
