Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
FCR,2016,2016-05-16 12:00:00,1.643,16.8723,0.6913,1.6174,27.23668,8.15863,84.2063
FCR,2016,2016-05-16 12:00:00,1.64,16.866,0.7043,1.6283,27.260351,8.10602,83.65228
FCR,2016,2016-05-16 12:00:00,1.637,16.8588,0.7184,1.636,27.279431,8.03934,82.95165
FCR,2016,2016-05-16 12:00:00,1.641,16.8514,0.7275,1.6346,27.292996,7.9578,82.09761
FCR,2016,2016-05-16 12:00:00,1.662,16.8442,0.7312,1.6316,27.296648,7.89081,81.39418
FCR,2016,2016-05-16 12:00:00,1.683,16.8371,0.7336,1.6287,27.285347,7.81945,80.64613
FCR,2016,2016-05-16 12:00:00,1.692,16.8302,0.7356,1.6251,27.280128,7.76216,80.04372
FCR,2016,2016-05-16 12:00:00,1.698,16.8237,0.7359,1.6277,27.279599,7.72075,79.60585
FCR,2016,2016-05-16 12:00:00,1.693,16.817,0.7344,1.6372,27.275602,7.67575,79.13083
FCR,2016,2016-05-16 12:00:00,1.684,16.8096,0.7304,1.6483,27.27108,7.64522,78.80387
FCR,2016,2016-05-16 12:00:00,1.681,16.8013,0.7217,1.6569,27.260818,7.62095,78.54002
FCR,2016,2016-05-16 12:00:00,1.688,16.7929,0.711,1.6586,27.238073,7.59717,78.28116
FCR,2016,2016-05-16 12:00:00,1.698,16.7851,0.705,1.6491,27.212809,7.57831,78.07414
FCR,2016,2016-05-16 12:00:00,1.701,16.7784,0.7055,1.6352,27.178289,7.55486,77.82158
FCR,2016,2016-05-16 12:00:00,1.699,16.7725,0.7133,1.6301,27.1213,7.53359,77.59284
FCR,2016,2016-05-16 12:00:00,1.693,16.7669,0.7253,1.6327,27.072734,7.50658,77.3056
FCR,2016,2016-05-16 12:00:00,1.686,16.7618,0.7337,1.6367,27.055708,7.48143,77.03834
FCR,2016,2016-05-16 12:00:00,1.684,16.7571,0.7373,1.6443,27.049651,7.45118,76.71934
FCR,2016,2016-05-16 12:00:00,1.688,16.7531,0.7401,1.6485,27.040926,7.42371,76.4301
FCR,2016,2016-05-16 12:00:00,1.691,16.7498,0.7429,1.6422,27.039228,7.37543,75.92776
FCR,2016,2016-05-16 12:00:00,1.694,16.7472,0.745,1.6388,27.0421,7.33797,75.53803
FCR,2016,2016-05-16 12:00:00,1.694,16.7452,0.7482,1.6441,27.0463,7.29948,75.13866
FCR,2016,2016-05-16 12:00:00,1.69,16.7436,0.7522,1.6448,27.050945,7.26138,74.74391
FCR,2016,2016-05-16 12:00:00,1.685,16.7421,0.7545,1.6399,27.047253,7.22623,74.37978
FCR,2016,2016-05-16 12:00:00,1.684,16.7407,0.7551,1.6406,27.02823,7.19039,74.00864
