Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,TURB_ntu
FCR,2015,2015-04-01 12:00:00,0.327,9.1197,0.9006,7.4553,11.00042
FCR,2015,2015-04-01 12:00:00,0.335,9.1052,0.9125,7.4896,11.00627
FCR,2015,2015-04-01 12:00:00,0.357,9.0905,0.8967,7.4725,11.01066
FCR,2015,2015-04-01 12:00:00,0.387,9.0756,0.9641,7.627,11.01644
FCR,2015,2015-04-01 12:00:00,0.403,9.0605,0.9641,7.7986,11.02037
FCR,2015,2015-04-01 12:00:00,0.411,9.0455,0.9601,7.7128,11.02607
FCR,2015,2015-04-01 12:00:00,0.436,9.0315,0.9522,7.7471,11.03256
FCR,2015,2015-04-01 12:00:00,0.471,9.0189,0.9482,7.7128,11.03486
FCR,2015,2015-04-01 12:00:00,0.515,9.008,1.1506,7.7986,11.03717
FCR,2015,2015-04-01 12:00:00,0.555,8.9986,1.1545,7.7128,11.03531
FCR,2015,2015-04-01 12:00:00,0.578,8.9904,1.1585,7.6441,11.04
FCR,2015,2015-04-01 12:00:00,0.591,8.9829,1.1664,7.7471,11.03718
FCR,2015,2015-04-01 12:00:00,0.607,8.9761,1.2934,7.7471,11.03835
FCR,2015,2015-04-01 12:00:00,0.631,8.9699,1.2974,7.7643,11.04026
FCR,2015,2015-04-01 12:00:00,0.67,8.9645,1.2656,7.7128,11.04393
FCR,2015,2015-04-01 12:00:00,0.716,8.9598,1.2894,7.7471,11.04715
FCR,2015,2015-04-01 12:00:00,0.76,8.9557,1.4759,7.7471,11.04622
FCR,2015,2015-04-01 12:00:00,0.796,8.952,1.46,7.73,11.05027
FCR,2015,2015-04-01 12:00:00,0.818,8.9484,1.46,7.7986,11.0535
FCR,2015,2015-04-01 12:00:00,0.833,8.9447,1.4878,7.7128,11.05011
FCR,2015,2015-04-01 12:00:00,0.852,8.9409,1.5949,7.627,11.0501
FCR,2015,2015-04-01 12:00:00,0.882,8.9372,1.587,7.7815,11.04205
FCR,2015,2015-04-01 12:00:00,0.919,8.9335,1.6227,7.7471,11.03906
FCR,2015,2015-04-01 12:00:00,0.959,8.9301,1.6108,7.7128,11.03227
FCR,2015,2015-04-01 12:00:00,1.002,8.9267,1.583,7.73,11.02903
FCR,2015,2015-04-01 12:00:00,1.032,8.9233,1.7258,7.7471,11.03017
FCR,2015,2015-04-01 12:00:00,1.043,8.9197,1.7338,7.6785,11.02783
FCR,2015,2015-04-01 12:00:00,1.051,8.9156,1.7298,7.6785,11.03027
FCR,2015,2015-04-01 12:00:00,1.07,8.911,1.7219,7.7815,11.02903
FCR,2015,2015-04-01 12:00:00,1.099,8.9059,1.9361,7.4553,11.02122
FCR,2015,2015-04-01 12:00:00,1.136,8.9003,1.9202,7.3866,11.01795
FCR,2015,2015-04-01 12:00:00,1.168,8.8941,1.9123,7.4553,11.01805
FCR,2015,2015-04-01 12:00:00,1.197,8.8876,1.9202,7.524,11.0167
FCR,2015,2015-04-01 12:00:00,1.232,8.8806,2.1027,7.627,11.01822
FCR,2015,2015-04-01 12:00:00,1.266,8.8733,2.0829,7.6785,11.00994
FCR,2015,2015-04-01 12:00:00,1.294,8.8655,2.1067,7.7643,11.00204
FCR,2015,2015-04-01 12:00:00,1.322,8.8572,2.1384,7.6785,10.98802
FCR,2015,2015-04-01 12:00:00,1.341,8.8481,2.2416,7.6785,10.97993
FCR,2015,2015-04-01 12:00:00,1.355,8.838,2.2336,7.7471,10.95476
FCR,2015,2015-04-01 12:00:00,1.38,8.8267,2.2376,7.7643,10.93823
FCR,2015,2015-04-01 12:00:00,1.408,8.8137,2.2495,7.73,10.93206
FCR,2015,2015-04-01 12:00:00,1.439,8.7984,2.2416,7.73,10.92064
FCR,2015,2015-04-01 12:00:00,1.475,8.78,2.4399,7.7471,10.92206
FCR,2015,2015-04-01 12:00:00,1.506,8.7575,2.428,7.7815,10.92309
FCR,2015,2015-04-01 12:00:00,1.527,8.73,2.428,7.7128,10.92263
FCR,2015,2015-04-01 12:00:00,1.543,8.6979,2.428,7.73,10.92228
FCR,2015,2015-04-01 12:00:00,1.561,8.6629,2.555,7.4553,10.92844
FCR,2015,2015-04-01 12:00:00,1.596,8.6271,2.5471,7.4553,10.93344
FCR,2015,2015-04-01 12:00:00,1.644,8.5925,2.551,7.4725,10.94154
FCR,2015,2015-04-01 12:00:00,1.693,8.5599,2.555,7.4553,10.94828
FCR,2015,2015-04-01 12:00:00,1.733,8.5292,2.7375,7.6613,10.94397
FCR,2015,2015-04-01 12:00:00,1.759,8.4997,2.7454,7.7128,10.93726
FCR,2015,2015-04-01 12:00:00,1.774,8.4709,2.7573,7.6956,10.93343
FCR,2015,2015-04-01 12:00:00,1.793,8.4425,2.7454,7.7471,10.94212
FCR,2015,2015-04-01 12:00:00,1.824,8.4139,3.0033,7.7471,10.95258
FCR,2015,2015-04-01 12:00:00,1.869,8.384,3.0073,7.7471,10.97374
FCR,2015,2015-04-01 12:00:00,1.909,8.3513,3.0073,7.7815,10.99727
FCR,2015,2015-04-01 12:00:00,1.936,8.3148,3.0033,7.6613,11.02837
FCR,2015,2015-04-01 12:00:00,1.955,8.2747,3.0152,7.7128,11.05258
FCR,2015,2015-04-01 12:00:00,1.968,8.2323,3.3921,7.7815,11.07598
FCR,2015,2015-04-01 12:00:00,1.984,8.1893,3.3842,7.7128,11.10091
FCR,2015,2015-04-01 12:00:00,2.015,8.1478,3.3802,7.6956,11.11517
FCR,2015,2015-04-01 12:00:00,2.066,8.1092,3.3723,7.7643,11.12233
FCR,2015,2015-04-01 12:00:00,2.115,8.0744,3.8285,7.6785,11.12637
FCR,2015,2015-04-01 12:00:00,2.153,8.0435,3.8246,7.7128,11.12283
FCR,2015,2015-04-01 12:00:00,2.182,8.0158,3.8206,7.7128,11.12552
FCR,2015,2015-04-01 12:00:00,2.199,7.9905,3.8285,7.7815,11.12675
FCR,2015,2015-04-01 12:00:00,2.211,7.9667,4.4593,7.6785,11.13131
FCR,2015,2015-04-01 12:00:00,2.232,7.944,4.4514,7.7471,11.13345
FCR,2015,2015-04-01 12:00:00,2.267,7.9222,4.4514,7.73,11.13044
FCR,2015,2015-04-01 12:00:00,2.311,7.9014,4.4633,7.73,11.13521
FCR,2015,2015-04-01 12:00:00,2.36,7.882,4.987,7.9875,11.13869
FCR,2015,2015-04-01 12:00:00,2.408,7.864,4.9711,8.0733,11.1432
FCR,2015,2015-04-01 12:00:00,2.44,7.8475,5.0068,7.9875,11.13936
FCR,2015,2015-04-01 12:00:00,2.463,7.8321,5.0187,7.9016,11.13494
FCR,2015,2015-04-01 12:00:00,2.482,7.8177,4.991,7.9703,11.13071
FCR,2015,2015-04-01 12:00:00,2.499,7.8041,5.4115,7.7643,11.12183
FCR,2015,2015-04-01 12:00:00,2.529,7.7913,5.4432,7.73,11.11663
FCR,2015,2015-04-01 12:00:00,2.575,7.7792,5.4274,7.73,11.10827
FCR,2015,2015-04-01 12:00:00,2.62,7.7677,5.4115,7.7986,11.10888
FCR,2015,2015-04-01 12:00:00,2.656,7.7564,5.8122,7.7986,11.09122
FCR,2015,2015-04-01 12:00:00,2.685,7.7451,5.7884,7.6956,11.08722
