Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2015,2015-05-08 12:00:00,1.954,17.3251,0.0754,3.301,6.412,10.42112,108.6598
SHR,2015,2015-05-08 12:00:00,1.992,17.2959,0.0794,3.3869,6.536,10.42523,108.63679
SHR,2015,2015-05-08 12:00:00,2.029,17.2673,0.0833,3.3525,6.656,10.42307,108.54974
SHR,2015,2015-05-08 12:00:00,2.068,17.2386,0.0833,3.3354,6.785,10.41978,108.45075
SHR,2015,2015-05-08 12:00:00,2.102,17.2112,0.0714,3.3869,6.897,10.41741,108.36436
SHR,2015,2015-05-08 12:00:00,2.132,17.1868,0.0833,3.4212,6.994,10.41439,108.27801
SHR,2015,2015-05-08 12:00:00,2.164,17.1649,0.0833,3.3869,7.099,10.41577,108.24296
SHR,2015,2015-05-08 12:00:00,2.199,17.1433,0.0675,3.3869,7.213,10.42087,108.24727
SHR,2015,2015-05-08 12:00:00,2.225,17.1201,0.0714,3.3182,7.301,10.42903,108.27976
SHR,2015,2015-05-08 12:00:00,2.25,17.0948,0.0913,3.3869,7.38,10.43538,108.28858
SHR,2015,2015-05-08 12:00:00,2.272,17.0676,0.0754,3.3182,7.454,10.43458,108.219
SHR,2015,2015-05-08 12:00:00,2.295,17.0387,0.0833,3.404,7.528,10.44309,108.24197
SHR,2015,2015-05-08 12:00:00,2.325,17.0085,0.0913,3.404,7.628,10.44251,108.16786
SHR,2015,2015-05-08 12:00:00,2.362,16.9775,0.0754,3.3354,7.75,10.44903,108.16539
SHR,2015,2015-05-08 12:00:00,2.399,16.9472,0.0635,3.404,7.87,10.45544,108.16337
SHR,2015,2015-05-08 12:00:00,2.431,16.9191,0.0833,3.404,7.976,10.46416,108.19004
SHR,2015,2015-05-08 12:00:00,2.461,16.8927,0.0794,3.2495,8.075,10.47272,108.21874
SHR,2015,2015-05-08 12:00:00,2.491,16.8666,0.0714,3.3697,8.172,10.47589,108.1925
SHR,2015,2015-05-08 12:00:00,2.521,16.8399,0.0873,3.3525,8.27,10.47328,108.1051
SHR,2015,2015-05-08 12:00:00,2.545,16.8129,0.0873,3.3697,8.348,10.46975,108.00757
SHR,2015,2015-05-08 12:00:00,2.563,16.7872,0.0754,3.3525,8.41,10.46133,107.8627
SHR,2015,2015-05-08 12:00:00,2.585,16.7647,0.0873,3.095,8.479,10.45075,107.70283
SHR,2015,2015-05-08 12:00:00,2.616,16.746,0.0952,3.095,8.584,10.44159,107.56628
SHR,2015,2015-05-08 12:00:00,2.646,16.7295,0.0833,3.0435,8.682,10.42885,107.39785
SHR,2015,2015-05-08 12:00:00,2.669,16.7126,0.0833,3.1294,8.755,10.42673,107.33796
SHR,2015,2015-05-08 12:00:00,2.684,16.6932,0.0635,3.1122,8.806,10.42458,107.27216
SHR,2015,2015-05-08 12:00:00,2.695,16.6703,0.0873,3.3525,8.843,10.42912,107.2674
SHR,2015,2015-05-08 12:00:00,2.708,16.6442,0.0873,3.3869,8.884,10.43658,107.28537
SHR,2015,2015-05-08 12:00:00,2.725,16.617,0.0754,3.404,8.939,10.44548,107.3156
SHR,2015,2015-05-08 12:00:00,2.742,16.5898,0.0754,3.3869,8.996,10.45256,107.32702
SHR,2015,2015-05-08 12:00:00,2.756,16.5624,0.0714,3.0092,9.043,10.46009,107.34245
SHR,2015,2015-05-08 12:00:00,2.778,16.5343,0.0794,3.1809,9.114,10.46335,107.31251
SHR,2015,2015-05-08 12:00:00,2.813,16.5057,0.0675,3.1637,9.228,10.46783,107.29386
SHR,2015,2015-05-08 12:00:00,2.855,16.4777,0.0873,3.0092,9.366,10.47869,107.34192
SHR,2015,2015-05-08 12:00:00,2.894,16.452,0.0675,3.3869,9.496,10.47688,107.26532
SHR,2015,2015-05-08 12:00:00,2.932,16.4294,0.0833,3.4384,9.621,10.48237,107.27047
SHR,2015,2015-05-08 12:00:00,2.969,16.4094,0.0913,3.3869,9.742,10.48187,107.22008
SHR,2015,2015-05-08 12:00:00,2.999,16.3914,0.0635,3.3697,9.84,10.47551,107.11446
SHR,2015,2015-05-08 12:00:00,3.026,16.3757,0.0794,3.4212,9.927,10.47574,107.08132
SHR,2015,2015-05-08 12:00:00,3.058,16.3641,0.0873,3.3869,10.031,10.47044,107.00096
SHR,2015,2015-05-08 12:00:00,3.096,16.3578,0.0873,3.3869,10.159,10.47092,106.99164
SHR,2015,2015-05-08 12:00:00,3.135,16.3556,0.0794,3.4212,10.287,10.45901,106.86493
SHR,2015,2015-05-08 12:00:00,3.165,16.3545,0.0595,3.4212,10.383,10.45293,106.80031
SHR,2015,2015-05-08 12:00:00,3.175,16.3523,0.0952,3.3354,10.418,10.45206,106.78648
SHR,2015,2015-05-08 12:00:00,3.181,16.348,0.0714,3.3869,10.437,10.44976,106.75329
SHR,2015,2015-05-08 12:00:00,3.187,16.3406,0.0714,3.3869,10.455,10.4482,106.72076
SHR,2015,2015-05-08 12:00:00,3.196,16.3279,0.0873,3.4384,10.485,10.44041,106.61262
SHR,2015,2015-05-08 12:00:00,3.209,16.3085,0.1349,3.1122,10.528,10.4291,106.45358
SHR,2015,2015-05-08 12:00:00,3.223,16.2835,0.1429,3.1465,10.574,10.42827,106.38903
SHR,2015,2015-05-08 12:00:00,3.24,16.2567,0.1468,3.095,10.63,10.42581,106.30368
