Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COMD_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,0.805,16.8363,1.0175,2.3041,27.152603,8.6694,89.41062,
FCR,2016,2016-05-16 12:00:00,0.807,16.8374,1.0289,2.3015,27.172645,8.59728,88.66888,
FCR,2016,2016-05-16 12:00:00,0.81,16.8379,1.0353,2.3001,27.200775,8.53539,88.03146,
FCR,2016,2016-05-16 12:00:00,0.814,16.838,1.0344,2.2985,27.224457,8.4828,87.48927,
FCR,2016,2016-05-16 12:00:00,0.816,16.8378,1.0281,2.295,27.22596,8.4441,87.08975,
FCR,2016,2016-05-16 12:00:00,0.818,16.8375,1.0198,2.2911,27.209691,8.41142,86.75219,
FCR,2016,2016-05-16 12:00:00,0.817,16.8371,1.0145,2.2879,27.177324,8.38687,86.49819,
FCR,2016,2016-05-16 12:00:00,0.816,16.8367,1.0139,2.288,27.134256,8.36024,86.22289,
FCR,2016,2016-05-16 12:00:00,0.817,16.8361,1.0186,2.2869,27.113086,8.34159,86.02946,
FCR,2016,2016-05-16 12:00:00,0.819,16.8354,1.0281,2.2798,27.110172,8.31819,85.78683,
FCR,2016,2016-05-16 12:00:00,0.82,16.8346,1.0377,2.2751,27.116723,8.29222,85.51753,
FCR,2016,2016-05-16 12:00:00,0.819,16.8338,1.0458,2.2782,27.144503,8.26906,85.27731,
FCR,2016,2016-05-16 12:00:00,0.817,16.8329,1.0524,2.2822,27.176876,8.24782,85.05663,
FCR,2016,2016-05-16 12:00:00,0.814,16.8321,1.0564,2.2834,27.192416,8.21789,84.74661,
FCR,2016,2016-05-16 12:00:00,0.815,16.8312,1.0589,2.2845,27.193264,8.19426,84.5013,
FCR,2016,2016-05-16 12:00:00,0.818,16.8305,1.0612,2.2847,27.18766,8.17199,84.27038,
FCR,2016,2016-05-16 12:00:00,0.821,16.8298,1.063,2.2816,27.178118,8.14041,83.94355,
FCR,2016,2016-05-16 12:00:00,0.82,16.8292,1.0639,2.2813,27.170109,8.11038,83.63283,
