Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL
CCR,2014,2014-05-08 12:00:00,2.686,17.834,1.5275,9.58228
CCR,2014,2014-05-08 12:00:00,2.714,17.8127,1.5354,9.58596
CCR,2014,2014-05-08 12:00:00,2.725,17.7944,1.5156,9.5898
CCR,2014,2014-05-08 12:00:00,2.733,17.7776,1.5156,9.5896
CCR,2014,2014-05-08 12:00:00,2.762,17.7605,1.587,9.58748
CCR,2014,2014-05-08 12:00:00,2.812,17.7424,1.583,9.58129
CCR,2014,2014-05-08 12:00:00,2.868,17.7244,1.5909,9.57768
CCR,2014,2014-05-08 12:00:00,2.913,17.7085,1.6028,9.57433
CCR,2014,2014-05-08 12:00:00,2.936,17.6972,1.6544,9.58134
CCR,2014,2014-05-08 12:00:00,2.941,17.6904,1.6544,9.58698
CCR,2014,2014-05-08 12:00:00,2.938,17.686,1.6623,9.59318
CCR,2014,2014-05-08 12:00:00,2.944,17.6805,1.6703,9.59782
CCR,2014,2014-05-08 12:00:00,2.97,17.6708,1.6425,9.60084
CCR,2014,2014-05-08 12:00:00,3.014,17.6563,1.6544,9.60345
CCR,2014,2014-05-08 12:00:00,3.067,17.6392,1.6584,9.59986
CCR,2014,2014-05-08 12:00:00,3.111,17.6219,1.6306,9.59599
CCR,2014,2014-05-08 12:00:00,3.138,17.6058,1.7179,9.59157
CCR,2014,2014-05-08 12:00:00,3.149,17.5905,1.7139,9.5816
CCR,2014,2014-05-08 12:00:00,3.158,17.5745,1.71,9.58095
CCR,2014,2014-05-08 12:00:00,3.183,17.5562,1.7258,9.57641
CCR,2014,2014-05-08 12:00:00,3.231,17.5354,1.7258,9.56988
CCR,2014,2014-05-08 12:00:00,3.282,17.5123,1.7139,9.55853
CCR,2014,2014-05-08 12:00:00,3.326,17.4875,1.71,9.55055
CCR,2014,2014-05-08 12:00:00,3.356,17.4631,1.702,9.55797
CCR,2014,2014-05-08 12:00:00,3.371,17.441,1.7298,9.56858
CCR,2014,2014-05-08 12:00:00,3.378,17.4204,1.7258,9.58107
CCR,2014,2014-05-08 12:00:00,3.391,17.3969,1.7219,9.59374
CCR,2014,2014-05-08 12:00:00,3.414,17.367,1.7219,9.60199
CCR,2014,2014-05-08 12:00:00,3.456,17.3308,1.7298,9.6159
CCR,2014,2014-05-08 12:00:00,3.506,17.2899,1.8607,9.6362
CCR,2014,2014-05-08 12:00:00,3.546,17.2458,1.8528,9.65691
CCR,2014,2014-05-08 12:00:00,3.569,17.1994,1.8607,9.67058
CCR,2014,2014-05-08 12:00:00,3.584,17.1499,1.8369,9.69406
CCR,2014,2014-05-08 12:00:00,3.606,17.0952,1.9004,9.70523
CCR,2014,2014-05-08 12:00:00,3.649,17.0352,1.9282,9.71247
CCR,2014,2014-05-08 12:00:00,3.712,16.9739,1.9004,9.71449
CCR,2014,2014-05-08 12:00:00,3.759,16.9175,1.8845,9.717
CCR,2014,2014-05-08 12:00:00,3.782,16.8707,1.8964,9.71204
CCR,2014,2014-05-08 12:00:00,3.787,16.8328,1.7853,9.72548
CCR,2014,2014-05-08 12:00:00,3.795,16.7981,1.7734,9.72147
CCR,2014,2014-05-08 12:00:00,3.817,16.7582,1.7734,9.72014
CCR,2014,2014-05-08 12:00:00,3.857,16.7078,1.7853,9.72613
CCR,2014,2014-05-08 12:00:00,3.909,16.6487,1.5632,9.73364
CCR,2014,2014-05-08 12:00:00,3.96,16.5878,1.583,9.74973
CCR,2014,2014-05-08 12:00:00,3.999,16.5317,1.6028,9.7589
CCR,2014,2014-05-08 12:00:00,4.017,16.4842,1.5949,9.77291
CCR,2014,2014-05-08 12:00:00,4.024,16.4439,1.4679,9.77539
CCR,2014,2014-05-08 12:00:00,4.045,16.4077,1.4679,9.77423
CCR,2014,2014-05-08 12:00:00,4.102,16.3741,1.46,9.76438
CCR,2014,2014-05-08 12:00:00,4.181,16.3439,1.46,9.74956
CCR,2014,2014-05-08 12:00:00,4.237,16.3191,1.5473,9.72558
CCR,2014,2014-05-08 12:00:00,4.261,16.3004,1.5394,9.70919
CCR,2014,2014-05-08 12:00:00,4.259,16.2859,1.5156,9.6857
CCR,2014,2014-05-08 12:00:00,4.255,16.2717,1.5314,9.68069
CCR,2014,2014-05-08 12:00:00,4.27,16.2534,1.5195,9.65931
CCR,2014,2014-05-08 12:00:00,4.316,16.2277,1.5235,9.65049
CCR,2014,2014-05-08 12:00:00,4.377,16.1931,1.5156,9.63952
CCR,2014,2014-05-08 12:00:00,4.435,16.1505,1.5394,9.63824
CCR,2014,2014-05-08 12:00:00,4.476,16.1031,1.5275,9.65807
CCR,2014,2014-05-08 12:00:00,4.499,16.0544,1.5235,9.68875
CCR,2014,2014-05-08 12:00:00,4.509,16.0031,1.5195,9.70109
CCR,2014,2014-05-08 12:00:00,4.522,15.9421,1.5195,9.71781
CCR,2014,2014-05-08 12:00:00,4.559,15.8649,1.5275,9.72579
CCR,2014,2014-05-08 12:00:00,4.62,15.7731,1.5235,9.73888
CCR,2014,2014-05-08 12:00:00,4.675,15.6757,1.5394,9.74212
CCR,2014,2014-05-08 12:00:00,4.707,15.5835,1.5354,9.74875
CCR,2014,2014-05-08 12:00:00,4.721,15.5007,1.5116,9.76603
CCR,2014,2014-05-08 12:00:00,4.74,15.423,1.5314,9.78018
CCR,2014,2014-05-08 12:00:00,4.774,15.3445,1.5314,9.802
CCR,2014,2014-05-08 12:00:00,4.816,15.2622,1.5275,9.82987
CCR,2014,2014-05-08 12:00:00,4.851,15.1724,1.5314,9.8484
CCR,2014,2014-05-08 12:00:00,4.881,15.0732,1.5116,9.86796
CCR,2014,2014-05-08 12:00:00,4.905,14.9695,1.5909,9.87866
CCR,2014,2014-05-08 12:00:00,4.933,14.8686,1.5909,9.88819
CCR,2014,2014-05-08 12:00:00,4.97,14.7758,1.5949,9.87461
CCR,2014,2014-05-08 12:00:00,5.018,14.6941,1.5989,9.85834
CCR,2014,2014-05-08 12:00:00,5.073,14.6251,1.6663,9.83928
CCR,2014,2014-05-08 12:00:00,5.117,14.569,1.6544,9.82893
CCR,2014,2014-05-08 12:00:00,5.135,14.525,1.6504,9.82985
CCR,2014,2014-05-08 12:00:00,5.138,14.4875,1.6504,9.8293
CCR,2014,2014-05-08 12:00:00,5.145,14.4457,1.8964,9.82321
CCR,2014,2014-05-08 12:00:00,5.172,14.3879,1.9123,9.8208
CCR,2014,2014-05-08 12:00:00,5.214,14.3115,1.9044,9.81758
CCR,2014,2014-05-08 12:00:00,5.256,14.2253,1.9004,9.81948
CCR,2014,2014-05-08 12:00:00,5.289,14.1402,1.9797,9.81989
CCR,2014,2014-05-08 12:00:00,5.31,14.0605,1.9639,9.81778
CCR,2014,2014-05-08 12:00:00,5.327,13.9846,1.9599,9.82899
CCR,2014,2014-05-08 12:00:00,5.353,13.9089,1.9718,9.84106
CCR,2014,2014-05-08 12:00:00,5.389,13.8306,1.9797,9.84756
CCR,2014,2014-05-08 12:00:00,5.431,13.7484,2.0948,9.85645
