Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,TURB_ntu
FCR,2014,2014-01-15 12:00:00,0.1,3.1878,0.3968,11.41926,0
FCR,2014,2014-01-15 12:00:00,0.118,3.1869,0.3968,11.42726,0
FCR,2014,2014-01-15 12:00:00,0.139,3.186,0.4087,11.43308,0
FCR,2014,2014-01-15 12:00:00,0.162,3.1852,0.4047,11.4259,0
FCR,2014,2014-01-15 12:00:00,0.191,3.1847,0.4047,11.44413,0
FCR,2014,2014-01-15 12:00:00,0.222,3.1846,0.3968,11.43272,0
FCR,2014,2014-01-15 12:00:00,0.252,3.1845,0.4166,11.43779,0
FCR,2014,2014-01-15 12:00:00,0.275,3.1845,0.4166,11.42886,0
FCR,2014,2014-01-15 12:00:00,0.296,3.1846,0.4166,11.43062,0
FCR,2014,2014-01-15 12:00:00,0.329,3.1845,0.5198,11.41635,0
FCR,2014,2014-01-15 12:00:00,0.363,3.1841,0.5198,11.43048,0
FCR,2014,2014-01-15 12:00:00,0.395,3.1835,0.5237,11.41724,0
FCR,2014,2014-01-15 12:00:00,0.424,3.1828,0.5475,11.41326,0
FCR,2014,2014-01-15 12:00:00,0.452,3.1821,0.5198,11.41508,0
FCR,2014,2014-01-15 12:00:00,0.474,3.1814,0.5356,11.42773,0
FCR,2014,2014-01-15 12:00:00,0.493,3.1807,0.5436,11.42146,0
FCR,2014,2014-01-15 12:00:00,0.514,3.1798,0.5317,11.42715,0
FCR,2014,2014-01-15 12:00:00,0.538,3.1791,0.5198,11.43323,0
FCR,2014,2014-01-15 12:00:00,0.569,3.1784,0.5555,11.42629,0
FCR,2014,2014-01-15 12:00:00,0.595,3.1779,0.5356,11.42033,0
FCR,2014,2014-01-15 12:00:00,0.614,3.1775,0.5436,11.41176,0
FCR,2014,2014-01-15 12:00:00,0.642,3.1772,0.5396,11.40945,0
FCR,2014,2014-01-15 12:00:00,0.68,3.1769,0.5991,11.42699,0
FCR,2014,2014-01-15 12:00:00,0.719,3.1766,0.5912,11.42573,0
FCR,2014,2014-01-15 12:00:00,0.756,3.1762,0.5991,11.41875,0
FCR,2014,2014-01-15 12:00:00,0.791,3.1759,0.611,11.42284,0
FCR,2014,2014-01-15 12:00:00,0.829,3.1755,0.6229,11.42861,0
FCR,2014,2014-01-15 12:00:00,0.873,3.175,0.6388,11.43244,0
FCR,2014,2014-01-15 12:00:00,0.908,3.1741,0.6388,11.42457,0
FCR,2014,2014-01-15 12:00:00,0.932,3.1731,0.6348,11.42676,0
FCR,2014,2014-01-15 12:00:00,0.953,3.1719,0.6388,11.43025,0
FCR,2014,2014-01-15 12:00:00,0.976,3.1711,0.7142,11.43743,0
FCR,2014,2014-01-15 12:00:00,1.004,3.1709,0.6983,11.43344,0
FCR,2014,2014-01-15 12:00:00,1.043,3.1714,0.6943,11.41777,0
FCR,2014,2014-01-15 12:00:00,1.094,3.1724,0.6943,11.42576,0
FCR,2014,2014-01-15 12:00:00,1.141,3.1733,0.7657,11.42066,0
FCR,2014,2014-01-15 12:00:00,1.173,3.1738,0.7578,11.42794,0
FCR,2014,2014-01-15 12:00:00,1.198,3.1739,0.7697,11.43345,0
FCR,2014,2014-01-15 12:00:00,1.228,3.1739,0.7657,11.41968,0
FCR,2014,2014-01-15 12:00:00,1.267,3.174,0.7618,11.42546,0
FCR,2014,2014-01-15 12:00:00,1.315,3.1745,0.7578,11.42217,0
FCR,2014,2014-01-15 12:00:00,1.36,3.1756,0.7737,11.42293,0
FCR,2014,2014-01-15 12:00:00,1.394,3.1772,0.7737,11.4093,0
FCR,2014,2014-01-15 12:00:00,1.419,3.179,0.8173,11.41906,0
FCR,2014,2014-01-15 12:00:00,1.445,3.1809,0.8371,11.41842,0
FCR,2014,2014-01-15 12:00:00,1.478,3.1827,0.8332,11.41395,0
FCR,2014,2014-01-15 12:00:00,1.521,3.1846,0.8371,11.41588,0
FCR,2014,2014-01-15 12:00:00,1.57,3.1867,0.8213,11.41104,0
FCR,2014,2014-01-15 12:00:00,1.612,3.1887,0.8371,11.4168,0
FCR,2014,2014-01-15 12:00:00,1.646,3.1907,0.8252,11.41579,0
FCR,2014,2014-01-15 12:00:00,1.677,3.1927,0.8252,11.42291,0
FCR,2014,2014-01-15 12:00:00,1.711,3.195,0.8371,11.41548,0
FCR,2014,2014-01-15 12:00:00,1.749,3.1983,0.9601,11.41653,0
FCR,2014,2014-01-15 12:00:00,1.79,3.2029,0.9482,11.42275,0
