Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
GWR,2014,2014-04-18 12:00:00,0,184,6.205,1.0295,6.535,58.95,2.695,3.366,,,3.766266,,,
GWR,2014,2014-04-18 12:00:00,5,214,5.35,0.816,11.3,87.7,2.633,3.32,,,4.83551,,,
GWR,2014,2014-04-18 12:00:00,10,221,4.1,1.52,18.35,98.35,2.587,3.42,,,2.551216,,,
GWR,2014,2014-04-26 16:00:00,0,160,7.13,1.48,5.24,28,2.649,3.409,,,3.474654,,,
GWR,2014,2014-04-26 16:00:00,4,170,6.63,0.627,5.11,27,2.675,3.484,,,3.13444,,,
GWR,2014,2014-04-26 16:00:00,10,210,3.89,0.636,21.1,105,2.494,3.499,,,3.13444,,,
GWR,2014,2014-05-09 13:00:00,0,143,6.1,0,3.55,5.51,2.664,3.63,,,2.697022,,,
GWR,2014,2014-05-09 13:00:00,5,196,3.93,0.786,6.06,8.3,2.409,3.648,,,2.988634,,,
GWR,2014,2014-05-09 13:00:00,10,167,9.56,0.688,20.9,80.7,2.51,3.736,,,2.842828,,,
GWR,2014,2014-05-16 16:00:00,0,156,8.21,0.984,5.42,7.54,2.637,3.648,,,2.502614,,,
GWR,2014,2014-05-16 16:00:00,5,129,7.12,0.0851,2.9,6.11,2.605,3.677,,,2.599818,,,
GWR,2014,2014-05-16 16:00:00,10,191,4.16,1.53,13.1,81.1,2.43,3.882,,,3.231644,,,
GWR,2014,2014-06-04 18:00:00,0,47.3,1.97,1.76,3.48,6.88,2.927,4.165,,,2.114258,,,
GWR,2014,2014-06-04 18:00:00,5,170,6.63,1.66,6.16,6.13,2.695,4.378,,,2.765376,,,
GWR,2014,2014-06-04 18:00:00,12,201,5.45,2.09,14.6,87.1,2.357,4.299,,,3.416494,,,
GWR,2014,2014-06-16 13:30:00,0,155,4.47,1.57,2.18,7.6,2.727,4.38,,,1.46314,,,
GWR,2014,2014-06-16 13:30:00,5,176,7.6,2.87,2,2.72,2.604,4.537,,,1.964,,,
GWR,2014,2014-06-16 13:30:00,12,192,5.94,1.24,3.33,56.9,2.397,4.264,,,3.266236,,,
GWR,2014,2014-06-29 14:15:00,0,174,6.76,1.345,2.66,6.53,2.879,4.296,,,1.513226,,,
GWR,2014,2014-06-29 14:15:00,5,326,9.42,0.972,6.53,7.3,3.166,4.237,,,1.663484,,,
GWR,2014,2014-06-29 14:15:00,12,163,3.7,1.82,4.15,40.3,2.299,4.346,,,3.666924,,,
GWR,2014,2014-07-09 17:00:00,0,163.5,3.63,2.8,4.6,2.3,3.04,3.478,,,2.21443,,,
GWR,2014,2014-07-09 17:00:00,5,182,10.5,3.7,3.5,2.8,2.49,4.499,,,2.46486,,,
GWR,2014,2014-07-09 17:00:00,12,171,8.09,2.7,3.6,8.2,3.161,4.421,,,1.863828,,,
GWR,2014,2014-07-25 18:00:00,0,189,7.9,3.1,4.2,1.1,2.855,4.464,,,2.865548,,,
GWR,2014,2014-07-25 18:00:00,5,145,6.44,2.2,17.2,2.4,2.534,5.109,,,2.71529,,,
GWR,2014,2014-07-25 18:00:00,12,198,7.41,2.6,3.8,2.3,2.925,4.614,,,2.21443,,,
GWR,2014,2014-08-11 19:30:00,0,191,9.36,2.8,3.3,4,2.714,4.604,,,1.453248,,,
GWR,2014,2014-08-11 19:30:00,5,199,8.55,3.4,10.2,14,2.763,5.445,,,2.239632,,,
GWR,2014,2014-08-11 19:30:00,10,126,10.3,3.1,4.3,4,2.125,4.742,,,3.15708,,,
GWR,2014,2014-08-22 16:30:00,0,187,3.67,2.2,4.3,2.2,2.822,4.412,,,1.579307,,,
GWR,2014,2014-08-22 16:30:00,5,186,6.66,6.3,6,3,2.897,4.306,,,2.327008,,,
GWR,2014,2014-08-22 16:30:00,12,129,5.31,2.2,6.9,5.3,2.174,4.857,,,3.331832,,,
GWR,2014,2014-09-07 13:00:00,0,178,4.45,2.4,3.7,22.8,3.312,4.625,,,1.492409,,,
GWR,2014,2014-09-07 13:00:00,5,210,11.8,3.5,6.4,1.7,2.882,4.938,,,3.15708,,,
GWR,2014,2014-09-07 13:00:00,12,286,9.71,4.9,146,1.4,2.596,5.898,,,3.026016,,,
GWR,2014,2014-09-30 09:30:00,0,169,8.19,1.7,2.8,3.4,2.731,5.169,,,2.195944,,,
GWR,2014,2014-09-30 09:30:00,5,185,10.2,4,5.1,6.1,2.71,5.201,,,2.327008,,,
GWR,2014,2014-09-30 09:30:00,12,326,12,4.6,145,25.8,2.656,6.125,,,3.244456,,,
