
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),19-Feb-18 12:42,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),19-Feb-18 12:42,1.000000,0.560000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/File information
Sensor SN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR DO_1m 2018-02-19,,Exported,"Aqua4Plus 1.9.10"
# Records,  2682 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,5.313,14.765,12.639,10.790,4.860,
,Maximum,12.375,15.338,13.980,13.110,11.400,
,Mean,8.143,15.055,13.248,11.517,7.531,
,Variance,3.7919,0.0146,0.2104,0.2689,3.4245,
,Std Deviation,1.9473,0.1209,0.4587,0.5186,1.8505,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,19-Feb-18 13:00:00,7.438,15.314,13.533,12.910,5.990
2,19-Feb-18 13:15:00,6.938,15.316,13.563,12.960,5.920
3,19-Feb-18 13:30:00,6.813,15.312,13.682,12.960,5.880
4,19-Feb-18 13:45:00,6.750,15.311,13.563,12.940,5.800
5,19-Feb-18 14:00:00,6.688,15.310,13.891,12.960,5.780
6,19-Feb-18 14:15:00,6.688,15.306,13.592,13.000,5.770
7,19-Feb-18 14:30:00,6.688,15.293,13.563,13.000,5.750
8,19-Feb-18 14:45:00,6.625,15.299,13.563,13.020,5.750
9,19-Feb-18 15:00:00,6.563,15.304,13.503,13.040,5.740
10,19-Feb-18 15:15:00,6.563,15.308,13.592,13.060,5.750
11,19-Feb-18 15:30:00,6.563,15.303,13.384,12.980,5.750
12,19-Feb-18 15:45:00,6.500,15.306,13.324,13.030,5.740
13,19-Feb-18 16:00:00,6.500,15.297,13.235,13.000,5.750
14,19-Feb-18 16:15:00,6.438,15.300,13.175,13.040,5.660
15,19-Feb-18 16:30:00,6.438,15.299,13.116,13.010,5.620
16,19-Feb-18 16:45:00,6.438,15.311,13.056,13.050,5.720
17,19-Feb-18 17:00:00,6.375,15.305,12.966,13.110,5.720
18,19-Feb-18 17:15:00,6.313,15.312,12.996,13.080,5.730
19,19-Feb-18 17:30:00,6.313,15.308,12.996,13.070,5.710
20,19-Feb-18 17:45:00,6.313,15.306,12.966,13.080,5.720
21,19-Feb-18 18:00:00,6.313,15.311,12.937,13.040,5.740
22,19-Feb-18 18:15:00,6.313,15.310,12.966,13.070,5.740
23,19-Feb-18 18:30:00,6.313,15.308,12.966,13.050,5.730
24,19-Feb-18 18:45:00,6.250,15.313,12.937,12.990,5.710
25,19-Feb-18 19:00:00,6.313,15.310,12.937,12.970,5.710
26,19-Feb-18 19:15:00,6.375,15.311,12.937,12.990,5.740
27,19-Feb-18 19:30:00,6.375,15.318,12.937,12.980,5.750
28,19-Feb-18 19:45:00,6.313,15.313,12.937,12.980,5.750
29,19-Feb-18 20:00:00,6.375,15.315,12.907,13.020,5.750
30,19-Feb-18 20:15:00,6.313,15.314,12.907,12.990,5.740
31,19-Feb-18 20:30:00,6.313,15.317,12.937,13.010,5.730
32,19-Feb-18 20:45:00,6.375,15.320,12.937,12.990,5.730
33,19-Feb-18 21:00:00,6.438,15.317,12.877,12.970,5.640
34,19-Feb-18 21:15:00,6.375,15.320,12.907,13.030,5.690
35,19-Feb-18 21:30:00,6.375,15.317,12.907,13.000,5.680
36,19-Feb-18 21:45:00,6.375,15.317,12.907,13.010,5.700
37,19-Feb-18 22:00:00,6.438,15.316,12.847,12.990,5.700
38,19-Feb-18 22:15:00,6.500,15.319,12.877,12.980,5.740
39,19-Feb-18 22:30:00,6.500,15.322,12.907,12.980,5.810
40,19-Feb-18 22:45:00,6.500,15.319,12.907,12.990,5.860
41,19-Feb-18 23:00:00,6.563,15.317,12.877,12.960,5.870
42,19-Feb-18 23:15:00,6.563,15.314,12.877,12.950,5.900
43,19-Feb-18 23:30:00,6.563,15.320,12.877,12.930,5.930
44,19-Feb-18 23:45:00,6.563,15.315,12.877,12.940,5.940
45,20-Feb-18 00:00:00,6.625,15.321,12.847,12.930,5.960
46,20-Feb-18 00:15:00,6.625,15.316,12.877,12.900,5.980
47,20-Feb-18 00:30:00,6.688,15.324,12.877,12.940,6.000
48,20-Feb-18 00:45:00,6.625,15.322,12.877,12.910,6.010
49,20-Feb-18 01:00:00,6.625,15.320,12.847,12.920,6.020
50,20-Feb-18 01:15:00,6.625,15.317,12.877,12.950,5.980
51,20-Feb-18 01:30:00,6.625,15.321,12.877,12.940,5.980
52,20-Feb-18 01:45:00,6.625,15.320,12.877,12.900,6.030
53,20-Feb-18 02:00:00,6.625,15.320,12.817,12.930,6.030
54,20-Feb-18 02:15:00,6.625,15.320,12.877,12.930,6.010
55,20-Feb-18 02:30:00,6.625,15.311,12.847,12.960,6.030
56,20-Feb-18 02:45:00,6.625,15.318,12.847,12.950,6.070
57,20-Feb-18 03:00:00,6.625,15.318,12.847,12.920,6.090
58,20-Feb-18 03:15:00,6.625,15.314,12.847,12.910,6.080
59,20-Feb-18 03:30:00,6.625,15.315,12.847,12.840,6.120
60,20-Feb-18 03:45:00,6.688,15.311,12.847,12.840,6.140
61,20-Feb-18 04:00:00,6.688,15.317,12.847,12.820,6.140
62,20-Feb-18 04:15:00,6.688,15.317,12.847,12.830,6.140
63,20-Feb-18 04:30:00,6.688,15.312,12.847,12.820,6.150
64,20-Feb-18 04:45:00,6.688,15.309,12.817,12.790,6.140
65,20-Feb-18 05:00:00,6.688,15.312,12.817,12.810,6.150
66,20-Feb-18 05:15:00,6.688,15.310,12.847,12.800,6.160
67,20-Feb-18 05:30:00,6.688,15.322,12.847,12.830,6.150
68,20-Feb-18 05:45:00,6.688,15.315,12.817,12.830,6.140
69,20-Feb-18 06:00:00,6.688,15.319,12.817,12.820,6.140
70,20-Feb-18 06:15:00,6.688,15.321,12.847,12.810,6.140
71,20-Feb-18 06:30:00,6.625,15.325,12.847,12.820,6.130
72,20-Feb-18 06:45:00,6.625,15.323,12.817,12.820,6.140
73,20-Feb-18 07:00:00,6.625,15.328,12.817,12.790,6.140
74,20-Feb-18 07:15:00,6.688,15.328,12.817,12.820,6.130
75,20-Feb-18 07:30:00,6.625,15.332,12.817,12.840,6.140
76,20-Feb-18 07:45:00,6.688,15.330,12.877,12.860,6.150
77,20-Feb-18 08:00:00,6.688,15.332,12.966,12.870,6.160
78,20-Feb-18 08:15:00,6.688,15.329,13.056,12.880,6.170
79,20-Feb-18 08:30:00,6.688,15.338,13.086,12.880,6.170
80,20-Feb-18 08:45:00,6.750,15.328,13.175,12.860,6.180
81,20-Feb-18 09:00:00,6.750,15.334,13.414,12.870,6.200
82,20-Feb-18 09:15:00,6.813,15.331,13.652,12.880,6.220
83,20-Feb-18 09:30:00,6.938,15.335,13.354,12.920,6.250
84,20-Feb-18 09:45:00,7.063,15.337,13.235,12.910,6.280
85,20-Feb-18 10:00:00,7.188,15.336,13.891,12.910,6.290
86,20-Feb-18 10:15:00,7.250,15.332,13.891,12.950,6.260
87,20-Feb-18 10:30:00,7.250,15.333,13.891,12.940,6.270
88,20-Feb-18 10:45:00,7.250,15.330,13.891,12.980,6.290
89,20-Feb-18 11:00:00,7.250,15.330,13.891,12.970,6.310
90,20-Feb-18 11:15:00,7.188,15.327,13.891,12.950,6.420
91,20-Feb-18 11:30:00,7.188,15.325,13.891,12.960,6.440
92,20-Feb-18 11:45:00,7.250,15.318,13.861,12.980,6.370
93,20-Feb-18 12:00:00,7.375,15.319,13.861,13.020,6.350
94,20-Feb-18 12:15:00,7.438,15.317,13.891,13.060,6.320
95,20-Feb-18 12:30:00,7.500,15.304,13.861,12.980,6.360
96,20-Feb-18 12:45:00,7.500,15.303,13.861,12.950,6.460
97,20-Feb-18 13:00:00,7.438,15.295,13.891,12.890,6.350
98,20-Feb-18 13:15:00,7.313,15.294,13.891,12.950,5.950
99,20-Feb-18 13:30:00,7.125,15.290,13.831,12.930,6.100
100,20-Feb-18 13:45:00,7.063,15.288,13.891,12.930,6.040
101,20-Feb-18 14:00:00,7.000,15.292,13.891,12.870,5.740
102,20-Feb-18 14:15:00,7.000,15.287,13.891,12.750,5.550
103,20-Feb-18 14:30:00,6.875,15.285,13.891,12.730,5.730
104,20-Feb-18 14:45:00,6.750,15.279,13.861,12.820,5.580
105,20-Feb-18 15:00:00,6.688,15.281,13.920,12.800,5.620
106,20-Feb-18 15:15:00,6.625,15.280,13.861,12.780,5.620
107,20-Feb-18 15:30:00,6.625,15.269,13.861,12.700,5.670
108,20-Feb-18 15:45:00,6.563,15.273,13.861,12.580,5.520
109,20-Feb-18 16:00:00,6.438,15.281,13.861,12.620,5.580
110,20-Feb-18 16:15:00,6.250,15.278,13.771,12.570,5.530
111,20-Feb-18 16:30:00,6.188,15.273,13.712,12.640,5.590
112,20-Feb-18 16:45:00,6.250,15.279,13.652,12.730,5.860
113,20-Feb-18 17:00:00,6.563,15.278,13.324,12.860,6.350
114,20-Feb-18 17:15:00,6.938,15.289,13.265,12.850,6.590
115,20-Feb-18 17:30:00,7.250,15.283,13.145,12.860,6.660
116,20-Feb-18 17:45:00,7.438,15.283,13.086,12.860,6.830
117,20-Feb-18 18:00:00,7.500,15.292,13.056,12.860,6.650
118,20-Feb-18 18:15:00,7.500,15.294,13.056,12.830,6.840
119,20-Feb-18 18:30:00,7.500,15.299,13.026,12.820,6.770
120,20-Feb-18 18:45:00,7.563,15.301,13.026,12.760,6.820
121,20-Feb-18 19:00:00,7.563,15.302,12.996,12.800,6.660
122,20-Feb-18 19:15:00,7.500,15.309,13.026,12.820,6.640
123,20-Feb-18 19:30:00,7.500,15.304,12.996,12.810,6.730
124,20-Feb-18 19:45:00,7.500,15.303,12.996,12.810,6.760
125,20-Feb-18 20:00:00,7.563,15.306,12.966,12.820,6.770
126,20-Feb-18 20:15:00,7.563,15.307,12.966,12.830,6.830
127,20-Feb-18 20:30:00,7.625,15.306,12.996,12.870,6.810
128,20-Feb-18 20:45:00,7.563,15.307,12.996,12.810,6.840
129,20-Feb-18 21:00:00,7.688,15.311,12.937,12.770,6.920
130,20-Feb-18 21:15:00,7.750,15.309,12.966,12.790,6.960
131,20-Feb-18 21:30:00,7.813,15.304,12.937,12.760,6.980
132,20-Feb-18 21:45:00,7.750,15.310,12.937,12.740,7.070
133,20-Feb-18 22:00:00,7.688,15.313,12.907,12.690,7.120
134,20-Feb-18 22:15:00,7.750,15.306,12.907,12.760,7.160
135,20-Feb-18 22:30:00,7.688,15.306,12.937,12.770,7.160
136,20-Feb-18 22:45:00,7.625,15.308,12.937,12.730,7.150
137,20-Feb-18 23:00:00,7.625,15.308,12.907,12.770,7.140
138,20-Feb-18 23:15:00,7.813,15.306,12.937,12.760,7.180
139,20-Feb-18 23:30:00,8.063,15.307,12.937,12.740,7.230
140,20-Feb-18 23:45:00,8.188,15.306,12.907,12.720,7.310
141,21-Feb-18 00:00:00,8.313,15.310,12.877,12.740,7.430
142,21-Feb-18 00:15:00,8.375,15.310,12.937,12.690,7.560
143,21-Feb-18 00:30:00,8.375,15.311,12.937,12.630,7.690
144,21-Feb-18 00:45:00,8.438,15.310,12.907,12.610,7.830
145,21-Feb-18 01:00:00,8.438,15.306,12.877,12.640,7.870
146,21-Feb-18 01:15:00,8.375,15.309,12.907,12.640,7.860
147,21-Feb-18 01:30:00,8.375,15.308,12.907,12.600,7.870
148,21-Feb-18 01:45:00,8.375,15.305,12.907,12.590,7.890
149,21-Feb-18 02:00:00,8.375,15.303,12.847,12.600,7.920
150,21-Feb-18 02:15:00,8.438,15.300,12.877,12.580,7.950
151,21-Feb-18 02:30:00,8.438,15.306,12.907,12.600,7.960
152,21-Feb-18 02:45:00,8.438,15.308,12.907,12.540,7.970
153,21-Feb-18 03:00:00,8.438,15.297,12.877,12.590,7.980
154,21-Feb-18 03:15:00,8.500,15.295,12.907,12.570,8.010
155,21-Feb-18 03:30:00,8.500,15.300,12.907,12.580,8.020
