Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,DO_mgL
BVR,2015,2015-05-15 12:00:00,1.545,19.9926,1.9559,4.5885,9.705
BVR,2015,2015-05-15 12:00:00,1.571,19.9188,1.9639,4.5198,9.78488
BVR,2015,2015-05-15 12:00:00,1.593,19.8458,1.9599,4.5885,9.84336
BVR,2015,2015-05-15 12:00:00,1.608,19.7751,1.9718,4.6057,9.90216
BVR,2015,2015-05-15 12:00:00,1.621,19.7069,1.948,4.537,9.9425
BVR,2015,2015-05-15 12:00:00,1.636,19.6408,1.9401,4.5027,9.97681
BVR,2015,2015-05-15 12:00:00,1.651,19.5768,1.9718,4.6228,10.00744
BVR,2015,2015-05-15 12:00:00,1.663,19.5147,1.9678,4.537,10.02698
BVR,2015,2015-05-15 12:00:00,1.677,19.4539,1.9559,4.5542,10.04649
BVR,2015,2015-05-15 12:00:00,1.698,19.3943,1.948,4.6228,10.05855
BVR,2015,2015-05-15 12:00:00,1.718,19.3363,1.9599,4.5885,10.06855
BVR,2015,2015-05-15 12:00:00,1.738,19.2801,2.4757,4.537,10.07934
BVR,2015,2015-05-15 12:00:00,1.757,19.2254,2.4677,4.5713,10.09777
BVR,2015,2015-05-15 12:00:00,1.782,19.171,2.4717,4.5713,10.12714
BVR,2015,2015-05-15 12:00:00,1.81,19.1146,2.4796,4.4855,10.16427
BVR,2015,2015-05-15 12:00:00,1.833,19.0536,2.5193,4.2795,10.19598
BVR,2015,2015-05-15 12:00:00,1.851,18.986,2.5431,4.2967,10.22377
BVR,2015,2015-05-15 12:00:00,1.868,18.9115,2.5312,4.2795,10.24488
BVR,2015,2015-05-15 12:00:00,1.889,18.832,2.5272,4.2623,10.25784
BVR,2015,2015-05-15 12:00:00,1.917,18.7513,2.5312,4.2623,10.2658
BVR,2015,2015-05-15 12:00:00,1.945,18.6728,2.2932,4.5713,10.27878
BVR,2015,2015-05-15 12:00:00,1.973,18.5979,2.2773,4.537,10.2889
BVR,2015,2015-05-15 12:00:00,2.007,18.5255,2.2773,4.537,10.31073
BVR,2015,2015-05-15 12:00:00,2.034,18.4529,2.2971,4.6057,10.33505
