Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT,
FCR,2016,2016-05-16 12:00:00,0.452,16.5735,3.1698,2.1681,27.493432,7.47937,76.71343,
FCR,2016,2016-05-16 12:00:00,0.457,16.5725,3.1646,2.1761,27.489036,7.4804,76.72246,
FCR,2016,2016-05-16 12:00:00,0.454,16.571,3.1559,2.1817,27.486919,7.47976,76.71349,
FCR,2016,2016-05-16 12:00:00,0.451,16.5693,3.1392,2.1863,27.488522,7.47432,76.65496,
FCR,2016,2016-05-16 12:00:00,0.454,16.5677,3.1175,2.1913,27.494272,7.41181,76.01131,
FCR,2016,2016-05-16 12:00:00,0.453,16.5662,3.1025,2.1921,27.501694,7.38657,75.74999,
FCR,2016,2016-05-16 12:00:00,0.448,16.5647,3.0959,2.1891,27.50876,7.36188,75.49441,
FCR,2016,2016-05-16 12:00:00,0.44,16.5633,3.0936,2.1872,27.515349,7.32973,75.16256,
FCR,2016,2016-05-16 12:00:00,0.439,16.5621,3.0958,2.1881,27.517208,7.30368,74.89357,
FCR,2016,2016-05-16 12:00:00,0.447,16.5611,3.1018,2.1908,27.510825,7.27894,74.63829,
FCR,2016,2016-05-16 12:00:00,0.453,16.5603,3.11,2.1928,27.498505,7.248,74.31974,
FCR,2016,2016-05-16 12:00:00,0.452,16.5596,3.1223,2.1922,27.486982,7.22046,74.03624,
FCR,2016,2016-05-16 12:00:00,0.447,16.5592,3.1383,2.1877,27.485206,7.19233,73.74721,
FCR,2016,2016-05-16 12:00:00,0.444,16.5588,3.1515,2.1748,27.488697,7.16396,73.45568,
FCR,2016,2016-05-16 12:00:00,0.446,16.5586,3.16,2.1511,27.482353,7.13739,73.18293,
FCR,2016,2016-05-16 12:00:00,0.448,16.5584,3.1667,2.1148,27.468491,7.1092,72.89356,
FCR,2016,2016-05-16 12:00:00,0.45,16.5583,3.1706,2.0667,27.459445,7.08761,72.67212,
FCR,2016,2016-05-16 12:00:00,0.45,16.5583,3.1708,2.0269,27.458816,7.057,72.35821,
FCR,2016,2016-05-16 12:00:00,0.449,16.5583,3.1689,2.0136,27.460422,7.02933,72.07452,
FCR,2016,2016-05-16 12:00:00,0.449,16.5584,3.1645,2.021,27.464694,7.00366,71.8115,
FCR,2016,2016-05-16 12:00:00,0.448,16.5584,3.1553,2.0486,27.478781,6.97396,71.50695,
FCR,2016,2016-05-16 12:00:00,0.448,16.5585,3.1432,2.0912,27.494417,6.95035,71.26506,
FCR,2016,2016-05-16 12:00:00,0.448,16.5586,3.134,2.118,27.503747,6.92161,70.9705,
FCR,2016,2016-05-16 12:00:00,0.448,16.5587,3.1297,2.1143,27.511264,6.89004,70.64689,
FCR,2016,2016-05-16 12:00:00,0.446,16.5589,3.1288,2.0883,27.514966,6.87022,70.44396,
FCR,2016,2016-05-16 12:00:00,0.448,16.559,3.1291,2.0513,27.513834,6.84606,70.19646,
FCR,2016,2016-05-16 12:00:00,0.449,16.5593,3.1293,2.0232,27.513579,6.82474,69.97821,
FCR,2016,2016-05-16 12:00:00,0.449,16.5598,3.1301,2.0194,27.516137,6.83369,70.07079,
FCR,2016,2016-05-16 12:00:00,0.449,16.5605,3.1325,2.0469,27.516177,6.91456,70.90106,
FCR,2016,2016-05-16 12:00:00,0.449,16.5614,3.1357,2.0925,27.507701,7.09031,72.70454,
FCR,2016,2016-05-16 12:00:00,0.448,16.563,3.1393,2.1271,27.498465,7.34359,75.30421,
FCR,2016,2016-05-16 12:00:00,0.448,16.5654,3.1451,2.1474,27.492019,7.70563,79.02073,
FCR,2016,2016-05-16 12:00:00,0.448,16.5694,3.1558,2.1611,27.482637,8.19665,84.0631,
FCR,2016,2016-05-16 12:00:00,0.45,16.5759,3.1687,2.1649,27.471824,8.73148,89.56048,
FCR,2016,2016-05-16 12:00:00,0.45,16.5868,3.1772,2.161,27.460705,9.20407,94.42959,
FCR,2016,2016-05-16 12:00:00,0.451,16.6048,3.1824,2.1529,27.452326,9.53809,97.89351,
FCR,2016,2016-05-16 12:00:00,0.451,16.6343,3.1864,2.1339,27.450464,9.70995,99.71913,
FCR,2016,2016-05-16 12:00:00,0.451,16.6771,3.1888,2.0978,27.448612,9.77977,100.52646,
FCR,2016,2016-05-16 12:00:00,0.45,16.7266,3.1901,2.0567,27.440264,9.78603,100.69527,
FCR,2016,2016-05-16 12:00:00,0.45,16.7727,3.1902,2.0294,27.423193,9.76452,100.57104,
FCR,2016,2016-05-16 12:00:00,0.45,16.8094,3.1872,2.0223,27.408878,9.74395,100.43633,
FCR,2016,2016-05-16 12:00:00,0.449,16.8361,3.179,2.0439,27.415545,9.72041,100.24972,
FCR,2016,2016-05-16 12:00:00,0.45,16.8546,3.1671,2.0874,27.434953,9.70566,100.13633,
FCR,2016,2016-05-16 12:00:00,0.45,16.8672,3.1564,2.1162,27.460255,9.69302,100.03233,
FCR,2016,2016-05-16 12:00:00,0.45,16.8754,3.1487,2.1139,27.502209,9.67909,99.90566,
FCR,2016,2016-05-16 12:00:00,0.45,16.8806,3.1445,2.087,27.549961,9.67054,99.82837,
FCR,2016,2016-05-16 12:00:00,0.45,16.8835,3.144,2.0499,27.574165,9.65999,99.72547,
FCR,2016,2016-05-16 12:00:00,0.45,16.8848,3.145,2.0305,27.567248,9.65471,99.67367,
FCR,2016,2016-05-16 12:00:00,0.45,16.8851,3.148,2.0385,27.549408,9.651,99.63595,
FCR,2016,2016-05-16 12:00:00,0.451,16.8848,3.1558,2.0703,27.53192,9.64888,99.61344,
FCR,2016,2016-05-16 12:00:00,0.451,16.8843,3.1675,2.1172,27.52014,9.64331,99.55491,
FCR,2016,2016-05-16 12:00:00,0.451,16.8839,3.1785,2.1585,27.526956,9.64315,99.55246,
FCR,2016,2016-05-16 12:00:00,0.452,16.8837,3.1865,2.1847,27.542165,9.64629,99.5844,
FCR,2016,2016-05-16 12:00:00,0.452,16.8836,3.1917,2.196,27.547778,9.64662,99.58767,
FCR,2016,2016-05-16 12:00:00,0.447,16.8834,3.1943,2.1986,27.547296,9.64944,99.61633,
FCR,2016,2016-05-16 12:00:00,0.44,16.8832,3.1952,2.2003,27.556623,9.64654,99.58601,
FCR,2016,2016-05-16 12:00:00,0.441,16.8829,3.1946,2.1968,27.578244,9.64859,99.60649,
FCR,2016,2016-05-16 12:00:00,0.446,16.8826,3.1906,2.1918,27.583859,9.64424,99.56104,
FCR,2016,2016-05-16 12:00:00,0.449,16.8822,3.1823,2.1932,27.562942,9.64135,99.53033,
FCR,2016,2016-05-16 12:00:00,0.449,16.8816,3.173,2.1922,27.545986,9.63929,99.50783,
FCR,2016,2016-05-16 12:00:00,0.447,16.8807,3.1675,2.1861,27.562534,9.64063,99.51974,
