Reservoir,Site,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
CCR,CCR,2016-05-13 09:42:00,1.125,20.1557,1.082,1.0493,79.070454,9.46076,104.41142
CCR,CCR,2016-05-13 09:42:00,1.13,20.156,1.0844,1.049,79.118935,9.46098,104.4145
CCR,CCR,2016-05-13 09:42:00,1.129,20.1562,1.0893,1.0502,79.153865,9.45482,104.34701
CCR,CCR,2016-05-13 09:42:00,1.119,20.1562,1.0984,1.053,79.144379,9.45286,104.32538
CCR,CCR,2016-05-13 09:42:00,1.101,20.1559,1.1113,1.0527,79.146206,9.45399,104.33721
CCR,CCR,2016-05-13 09:42:00,1.076,20.1555,1.1228,1.0445,79.193985,9.45611,104.35972
CCR,CCR,2016-05-13 09:42:00,1.058,20.1548,1.1292,1.0399,79.234163,9.45783,104.37732
CCR,CCR,2016-05-13 09:42:00,1.049,20.1541,1.1326,1.0435,79.223215,9.45477,104.3421
CCR,CCR,2016-05-13 09:42:00,1.051,20.1535,1.136,1.0447,79.190362,9.45621,104.35678
CCR,CCR,2016-05-13 09:42:00,1.062,20.153,1.1411,1.0463,79.181086,9.45833,104.37908
CCR,CCR,2016-05-13 09:42:00,1.072,20.1526,1.1497,1.0554,79.190904,9.46312,104.43114
CCR,CCR,2016-05-13 09:42:00,1.074,20.1521,1.1623,1.0642,79.186273,9.46646,104.46695
CCR,CCR,2016-05-13 09:42:00,1.069,20.1516,1.1751,1.0637,79.151896,9.46459,104.4453
CCR,CCR,2016-05-13 09:42:00,1.067,20.1513,1.1841,1.0604,79.12481,9.46011,104.39524
CCR,CCR,2016-05-13 09:42:00,1.067,20.1512,1.1906,1.0605,79.135961,9.4547,104.33533
CCR,CCR,2016-05-13 09:42:00,1.071,20.1514,1.1965,1.0617,79.148146,9.45337,104.321
CCR,CCR,2016-05-13 09:42:00,1.071,20.1517,1.2025,1.0654,79.132471,9.4465,104.24583
CCR,CCR,2016-05-13 09:42:00,1.071,20.152,1.2104,1.0737,79.112881,9.44636,104.24488
CCR,CCR,2016-05-13 09:42:00,1.069,20.1523,1.2206,1.0809,79.122321,9.44398,104.21924
CCR,CCR,2016-05-13 09:42:00,1.07,20.1526,1.2333,1.0832,79.155273,9.44437,104.22422
CCR,CCR,2016-05-13 09:42:00,1.069,20.1529,1.2521,1.0834,79.17231,9.4518,104.3068
CCR,CCR,2016-05-13 09:42:00,1.071,20.1532,1.2755,1.0794,79.151859,9.45035,104.29141
CCR,CCR,2016-05-13 09:42:00,1.082,20.1535,1.2929,1.0722,79.114582,9.4552,104.34556
CCR,CCR,2016-05-13 09:42:00,1.104,20.1538,1.2998,1.0704,79.092727,9.45692,104.36512
CCR,CCR,2016-05-13 09:42:00,1.133,20.154,1.2986,1.0735,79.094527,9.45789,104.37633
CCR,CCR,2016-05-13 09:42:00,1.16,20.1541,1.2946,1.0753,79.104392,9.44871,104.27516
CCR,CCR,2016-05-13 09:42:00,1.183,20.1541,1.296,1.0788,79.094817,9.4471,104.25741
CCR,CCR,2016-05-13 09:42:00,1.196,20.1541,1.3059,1.0847,79.073295,9.44114,104.19161
CCR,CCR,2016-05-13 09:42:00,1.205,20.1539,1.3261,1.0832,79.0823,9.4358,104.13234
CCR,CCR,2016-05-13 09:42:00,1.218,20.1535,1.3529,1.0762,79.11218,9.43186,104.08796
CCR,CCR,2016-05-13 09:42:00,1.233,20.1529,1.3762,1.0722,79.106618,9.42877,104.05265
CCR,CCR,2016-05-13 09:42:00,1.243,20.1519,1.3939,1.0666,79.062121,9.42901,104.05327
CCR,CCR,2016-05-13 09:42:00,1.249,20.1505,1.4093,1.0638,79.035127,9.43861,104.15625
CCR,CCR,2016-05-13 09:42:00,1.251,20.1487,1.4237,1.0731,79.058616,9.44773,104.25325
CCR,CCR,2016-05-13 09:42:00,1.253,20.1464,1.4352,1.088,79.102689,9.45505,104.32924
CCR,CCR,2016-05-13 09:42:00,1.254,20.1442,1.4412,1.1033,79.114816,9.45485,104.32251
CCR,CCR,2016-05-13 09:42:00,1.27,20.1425,1.441,1.1253,79.096222,9.44903,104.25477
CCR,CCR,2016-05-13 09:42:00,1.301,20.1414,1.4351,1.1622,79.09217,9.44982,104.26118
CCR,CCR,2016-05-13 09:42:00,1.323,20.1407,1.4259,1.2045,79.113634,9.45366,104.30212
CCR,CCR,2016-05-13 09:42:00,1.331,20.1402,1.4184,1.2324,79.138213,9.46125,104.38477
CCR,CCR,2016-05-13 09:42:00,1.334,20.1399,1.416,1.2431,79.150362,9.46508,104.42645
CCR,CCR,2016-05-13 09:42:00,1.331,20.1397,1.4211,1.2269,79.147294,9.4711,104.49251
CCR,CCR,2016-05-13 09:42:00,1.323,20.1398,1.4315,1.1852,79.12819,9.47293,104.5129
CCR,CCR,2016-05-13 09:42:00,1.32,20.1402,1.4403,1.1515,79.114074,9.47894,104.57999
CCR,CCR,2016-05-13 09:42:00,1.332,20.1407,1.4462,1.1352,79.129304,9.473,104.51547
