Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,infTPloads_g,Notes
FCR,2013,2013-06-27 12:00:00,1.6,,28.75,4,3.6,7.6,,,,,,,,,
FCR,2013,2013-06-27 12:00:00,2.8,,22.41,3.1,0,8.1,,,,,,,,,
FCR,2013,2013-06-27 12:00:00,3.8,,,,12,19.5,,,,,,,,,
FCR,2013,2013-06-27 12:00:00,5,,23.2,3.1,33.3,17.9,,,,,,,,,
FCR,2013,2013-06-27 12:00:00,6.2,,27.17,3.9,33.9,15.8,,,,,,,,,
FCR,2013,2013-06-27 12:00:00,8,,71.57,5.6,37.7,16.8,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,0.1,,38.94,3.6,19.8,25.8,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,0.8,,48.03,3.7,24.8,12.8,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,1.6,,49.85,3.7,4.8,9,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,2.8,,74.39,3.2,6.4,15.2,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,3.8,,42.58,1.5,16.2,41.7,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,5,,45.3,8.1,42.9,24.4,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,6.2,,33.48,0.1,30.8,17.9,,,,,,,,,
FCR,2013,2013-07-03 12:00:00,8,,35.3,2.3,42.3,15.9,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,0.1,,55.5,3.5,25.2,17.5,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,0.8,,118.82,22.2,2.7,3.7,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,1.6,,42.17,4,2.3,3.9,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,2.8,,28,3.4,4.1,3.2,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,3.8,,24.67,3.6,9,9.1,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,5,,20.5,3.4,83.9,21.3,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,6.2,,23,0,78.3,22.3,,,,,,,,,
FCR,2013,2013-07-11 12:00:00,8,,23.84,3.3,175.5,26.9,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,0.1,,29.31,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,0.8,,35.85,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,1.6,,27.67,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,2.8,,28.49,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,3.8,,21.12,,,,,,,,,,,,
FCR,2013,2013-07-15 12:00:00,5,,21.94,,,,,,,,,,,,
