Reservoir,Year,Date,Depth,pH,PAR
BVR,2015,2015-05-14 12:00:00,-0.1,,2700
BVR,2015,2015-05-14 12:00:00,0.1,,200
BVR,2015,2015-05-14 12:00:00,1,,188
BVR,2015,2015-05-14 12:00:00,2,,100
BVR,2015,2015-05-14 12:00:00,3,,70
BVR,2015,2015-05-14 12:00:00,4,,48.5
BVR,2015,2015-05-14 12:00:00,5,,29.5
BVR,2015,2015-05-14 12:00:00,6,,15.8
BVR,2015,2015-05-14 12:00:00,7,,15
BVR,2015,2015-05-14 12:00:00,8,,3
BVR,2015,2015-05-14 12:00:00,9,,0.62
BVR,2015,2015-05-14 12:00:00,10,,0.121
BVR,2015,2015-05-14 12:00:00,11,,0.03
BVR,2015,2015-05-28 12:00:00,-0.1,,1841
BVR,2015,2015-05-28 12:00:00,0.1,7.2,43
BVR,2015,2015-05-28 12:00:00,1,7.28,57
BVR,2015,2015-05-28 12:00:00,2,7.34,43.6
BVR,2015,2015-05-28 12:00:00,3,7.36,43
BVR,2015,2015-05-28 12:00:00,4,6.43,32.8
BVR,2015,2015-05-28 12:00:00,5,6.34,27
BVR,2015,2015-05-28 12:00:00,6,6.28,22.8
BVR,2015,2015-05-28 12:00:00,7,5.96,13.8
BVR,2015,2015-05-28 12:00:00,8,5.84,7
BVR,2015,2015-05-28 12:00:00,9,5.76,2.3
BVR,2015,2015-05-28 12:00:00,10,5.76,0.19
BVR,2015,2015-05-28 12:00:00,11,5.93,0.04
BVR,2015,2015-06-04 12:00:00,-0.1,,223.3
BVR,2015,2015-06-04 12:00:00,0.1,6.96,125.7
BVR,2015,2015-06-04 12:00:00,1,7.08,50.9
BVR,2015,2015-06-04 12:00:00,2,7.17,21.45
BVR,2015,2015-06-04 12:00:00,3,7.18,13.42
BVR,2015,2015-06-04 12:00:00,4,7.13,9.107
BVR,2015,2015-06-04 12:00:00,5,6.89,5.908
BVR,2015,2015-06-04 12:00:00,6,6.72,3.602
BVR,2015,2015-06-04 12:00:00,7,6.42,1.657
BVR,2015,2015-06-04 12:00:00,8,6.07,0.3929
BVR,2015,2015-06-04 12:00:00,9,5.93,0.04592
BVR,2015,2015-06-04 12:00:00,10,5.93,0.01191
BVR,2015,2015-06-04 12:00:00,11,6.08,0.001701
BVR,2015,2015-06-11 12:00:00,-0.1,,2040
BVR,2015,2015-06-11 12:00:00,0.1,7.2,1600
BVR,2015,2015-06-11 12:00:00,1,7.13,600
BVR,2015,2015-06-11 12:00:00,2,7.13,400
BVR,2015,2015-06-11 12:00:00,3,7.02,250
BVR,2015,2015-06-11 12:00:00,4,6.7,130
BVR,2015,2015-06-11 12:00:00,5,6.1,91
BVR,2015,2015-06-11 12:00:00,6,5.87,49
BVR,2015,2015-06-11 12:00:00,7,5.76,18
BVR,2015,2015-06-11 12:00:00,8,5.68,3.5
BVR,2015,2015-06-11 12:00:00,9,5.65,0.4
BVR,2015,2015-06-11 12:00:00,10,5.69,0.02
BVR,2015,2015-06-11 12:00:00,11,5.85,0.0001
BVR,2015,2015-06-18 12:00:00,-0.1,,
BVR,2015,2015-06-18 12:00:00,0.1,6.9,1698
BVR,2015,2015-06-18 12:00:00,1,6.85,227.9
BVR,2015,2015-06-18 12:00:00,2,6.53,157.9
BVR,2015,2015-06-18 12:00:00,3,6.44,156.5
BVR,2015,2015-06-18 12:00:00,4,6.33,80.39
BVR,2015,2015-06-18 12:00:00,5,6.14,58.83
BVR,2015,2015-06-18 12:00:00,6,6.08,16.01
BVR,2015,2015-06-18 12:00:00,7,5.97,13.15
BVR,2015,2015-06-18 12:00:00,8,5.86,2.618
BVR,2015,2015-06-18 12:00:00,9,5.87,0.301
BVR,2015,2015-06-18 12:00:00,10,6.08,0.044
BVR,2015,2015-06-18 12:00:00,11,6.19,0.022
BVR,2015,2015-06-25 12:00:00,-0.1,,1480
BVR,2015,2015-06-25 12:00:00,0.1,7.15,970
BVR,2015,2015-06-25 12:00:00,1,7.13,139
BVR,2015,2015-06-25 12:00:00,2,7.08,120
BVR,2015,2015-06-25 12:00:00,3,6.81,85
BVR,2015,2015-06-25 12:00:00,4,6.41,70.5
