"Reservoir","Site","DateTime","Secchi_m","Flag_Secchi","Notes"
"FCR",50,2014-07-28 12:00:00,3,0,NA
"FCR",50,2014-08-04 12:00:00,3.2,0,NA
"FCR",50,2014-08-11 12:00:00,2.8,0,NA
"FCR",50,2014-08-25 12:00:00,2.3,0,NA
"FCR",50,2014-09-03 12:00:00,3.2,0,NA
"FCR",50,2014-09-15 12:00:00,2.4,0,NA
"FCR",50,2014-09-22 12:00:00,2,0,NA
"FCR",50,2014-09-29 12:00:00,1.7,0,NA
"FCR",50,2014-10-04 12:00:00,1.3,0,NA
"FCR",50,2014-10-15 12:00:00,1.1,0,NA
"FCR",50,2014-10-23 12:00:00,1.1,0,NA
"FCR",50,2014-11-10 12:00:00,1,0,NA
"FCR",50,2015-03-31 12:00:00,2,0,NA
"FCR",50,2015-04-07 12:00:00,2.25,0,NA
"FCR",50,2015-04-13 12:00:00,2.1,0,NA
"FCR",50,2015-04-21 12:00:00,1.4,0,NA
"FCR",50,2015-04-25 12:00:00,1.5,0,NA
"FCR",50,2015-04-28 12:00:00,2,0,NA
"FCR",50,2015-05-04 12:00:00,2.5,0,NA
"FCR",50,2015-05-11 12:00:00,3,0,NA
"FCR",50,2015-05-18 12:00:00,2.8,0,NA
"FCR",50,2015-05-25 12:00:00,2.5,0,NA
"FCR",50,2015-06-01 12:00:00,2.9,0,NA
"FCR",50,2015-06-08 12:00:00,1.7,0,NA
"FCR",50,2015-06-15 12:00:00,2.4,0,NA
"FCR",50,2015-06-22 12:00:00,2.33,0,NA
"FCR",50,2015-06-22 12:00:00,2.33,0,NA
"FCR",50,2015-06-29 12:00:00,2.45,0,NA
"FCR",50,2015-07-06 12:00:00,1.24,0,NA
"FCR",50,2015-07-13 12:00:00,1.35,0,NA
"FCR",50,2015-07-20 12:00:00,2.4,0,NA
"FCR",50,2015-07-27 12:00:00,2.85,0,NA
"FCR",50,2015-08-10 12:00:00,1.7,0,NA
"FCR",50,2015-08-17 12:00:00,1.6,0,NA
"FCR",50,2015-08-24 12:00:00,1.25,0,NA
"FCR",50,2015-08-31 12:00:00,1.4,0,NA
"FCR",50,2015-10-05 12:00:00,1.6,0,NA
"FCR",50,2016-01-11 12:00:00,2.11,0,NA
"FCR",50,2016-02-05 12:00:00,2.6,0,NA
"FCR",50,2016-03-23 12:00:00,2.45,0,NA
"FCR",50,2016-03-28 12:00:00,2.5,0,NA
"FCR",50,2016-03-30 12:00:00,3,0,NA
"FCR",50,2016-04-11 12:00:00,2.43,0,NA
"FCR",50,2016-04-18 12:00:00,3.12,0,NA
"FCR",50,2016-05-02 12:00:00,2.96,0,NA
"FCR",50,2016-05-09 12:00:00,1.92,0,NA
"FCR",50,2016-05-12 12:00:00,2.13,0,NA
"FCR",50,2016-05-16 12:00:00,3.2,0,NA
"FCR",50,2016-05-19 12:00:00,3.1,0,NA
"FCR",50,2016-05-23 12:00:00,3.4,0,NA
"FCR",50,2016-05-26 12:00:00,2.94,0,NA
"FCR",50,2016-05-30 12:00:00,2.48,0,NA
"FCR",50,2016-05-31 12:00:00,2.45,0,"star next to secchi #"
"FCR",50,2016-06-02 12:00:00,2.2,0,NA
"FCR",50,2016-06-06 12:00:00,1.72,0,NA
"FCR",50,2016-06-13 12:00:00,2.3,0,NA
"FCR",50,2016-06-20 12:00:00,2.23,0,NA
"FCR",50,2016-06-27 12:00:00,2.03,0,"secchi #2"
"FCR",50,2016-06-28 12:00:00,2.26,0,NA
"FCR",50,2016-06-30 12:00:00,2.03,0,NA
"FCR",50,2016-07-05 12:00:00,2.32,0,NA
"FCR",50,2016-07-11 12:00:00,2.69,0,NA
"FCR",50,2016-07-18 12:00:00,2.23,0,NA
"FCR",50,2016-07-25 12:00:00,2.67,0,NA
"FCR",50,2016-07-27 12:00:00,2.46,0,NA
"FCR",50,2016-07-28 12:00:00,2.64,0,NA
"FCR",50,2016-08-01 12:00:00,2.72,0,NA
"FCR",50,2016-08-08 12:00:00,3.14,0,NA
"FCR",50,2016-08-15 12:00:00,3.3,0,NA
"FCR",50,2016-08-26 12:00:00,2.14,0,NA
"FCR",50,2016-09-02 12:00:00,1.67,0,NA
"FCR",50,2016-09-09 12:00:00,2.1,0,NA
"FCR",50,2016-09-20 12:00:00,2.08,0,NA
"FCR",50,2016-09-30 12:00:00,1.5,0,NA
"FCR",50,2016-10-07 12:00:00,1.45,0,NA
"FCR",50,2016-10-14 12:00:00,1.68,0,NA
"GWR",50,2013-09-17 12:00:00,2.1,0,NA
"GWR",50,2014-04-18 12:00:00,2.9,0,NA
"GWR",50,2014-04-26 16:00:00,2,0,NA
"GWR",50,2014-05-09 13:00:00,3.5,0,NA
"GWR",50,2014-05-16 16:00:00,3.5,0,NA
"GWR",50,2014-06-04 18:00:00,3.7,0,NA
"GWR",50,2014-06-16 13:30:00,3.7,0,NA
"GWR",50,2014-06-29 14:15:00,4,0,NA
"GWR",50,2014-07-09 17:00:00,3.7,0,NA
"GWR",50,2014-07-25 18:00:00,3.6,0,NA
"GWR",50,2014-08-11 19:30:00,3.2,0,NA
"GWR",50,2014-08-22 16:30:00,4.4,0,NA
"GWR",50,2014-09-07 13:00:00,4.1,0,NA
"GWR",50,2014-09-30 09:30:00,3.3,0,NA
"GWR",50,2015-05-09 13:00:00,2.2,0,NA
"GWR",50,2015-05-20 16:30:00,2.7,0,NA
"GWR",50,2015-05-30 18:00:00,2.6,0,NA
"GWR",50,2015-06-10 11:00:00,3.1,0,NA
"GWR",50,2015-06-22 19:00:00,4.2,0,NA
"GWR",50,2015-07-06 17:30:00,3.1,0,NA
"GWR",50,2015-07-20 18:30:00,4.1,0,NA
"GWR",50,2015-08-03 19:00:00,3.7,0,NA
"GWR",50,2015-08-15 11:00:00,4.5,0,NA
"GWR",50,2015-08-30 11:30:00,3.4,0,NA
"GWR",50,2015-09-17 18:30:00,2.5,0,NA
"GWR",50,2016-04-06 17:00:00,2.7,0,NA
"GWR",50,2016-04-13 16:00:00,3.2,0,NA
"GWR",50,2016-04-29 12:30:00,3.7,0,NA
"GWR",50,2016-04-29 19:05:00,3.4,0,NA
"GWR",50,2016-04-30 00:00:00,0,1,NA
"GWR",50,2016-04-30 02:00:00,0,1,NA
"GWR",50,2016-04-30 06:47:00,3,0,NA
"GWR",50,2016-04-30 11:55:00,3.1,0,NA
"GWR",50,2016-05-13 14:30:00,3,0,NA
"GWR",50,2016-05-25 13:00:00,3.75,0,NA
"GWR",50,2016-06-10 11:30:00,3.2,0,NA
"GWR",50,2016-06-25 12:30:00,3.6,0,NA
"GWR",50,2016-06-25 19:05:00,2,0,NA
"GWR",50,2016-06-26 00:00:00,1.4,0,NA
"GWR",50,2016-06-26 02:00:00,1.9,0,NA
"GWR",50,2016-06-26 06:47:00,3.5,0,NA
"GWR",50,2016-06-26 11:55:00,4,0,NA
"GWR",50,2016-07-08 10:00:00,3.8,0,NA
"GWR",50,2016-07-22 13:00:00,4.4,0,NA
"GWR",50,2016-08-09 11:00:00,3.3,0,NA
"GWR",50,2016-08-24 15:50:00,3.2,0,NA
"GWR",50,2016-09-04 14:35:00,2.8,0,NA
"GWR",50,2016-09-04 20:12:00,1.75,0,NA
"GWR",50,2016-09-05 01:10:00,0.83,0,NA
"GWR",50,2016-09-05 07:05:00,2.7,0,NA
"GWR",50,2016-09-05 11:36:00,2.7,0,NA
"GWR",50,2016-09-05 12:13:00,0.83,0,NA
"GWR",50,2016-09-23 15:15:00,3.3,0,NA
"GWR",50,2016-10-03 09:00:00,3.3,0,NA
"SHR",50,2013-08-30 12:00:00,6.5,0,NA
"SHR",50,2014-05-02 15:00:00,8,0,NA
"SHR",50,2014-05-08 14:30:00,9.5,0,NA
"SHR",50,2014-05-30 11:00:00,9.5,0,NA
"SHR",50,2014-06-12 15:00:00,8.5,0,NA
"SHR",50,2014-06-26 12:15:00,8.2,0,NA
"SHR",50,2014-07-24 12:45:00,11.5,0,NA
"SHR",50,2014-08-07 10:00:00,10.3,0,NA
"SHR",50,2014-09-05 13:30:00,9.5,0,NA
"SHR",50,2014-10-03 13:30:00,8,0,NA
"SHR",50,2014-10-24 16:00:00,6.2,0,NA
"SHR",50,2015-05-08 12:00:00,7.25,0,NA
"SHR",50,2015-05-22 12:00:00,5.2,0,NA
"SHR",50,2015-05-29 12:00:00,4.8,0,NA
"SHR",50,2015-06-12 12:00:00,5.2,0,NA
"SHR",50,2015-06-26 12:00:00,6,0,NA
"SHR",50,2015-07-10 12:00:00,10.1,0,NA
"SHR",50,2015-07-24 12:00:00,13.5,0,NA
"SHR",50,2015-08-07 12:00:00,11.5,0,NA
"SHR",50,2015-08-26 12:00:00,11.3,0,NA
"SHR",50,2015-09-09 12:00:00,8.5,0,NA
"SHR",50,2015-10-28 12:00:00,12.4,0,NA
"SHR",50,2016-06-29 13:00:00,10.8,0,NA
"SHR",50,2016-07-29 13:00:00,11.1,0,NA
"SHR",50,2016-08-17 12:00:00,11.3,0,NA
