Reservoir,Year,Date,Secchi_m
FCR,2015,2015-03-31 12:00:00,2
FCR,2015,2015-04-07 12:00:00,2.25
FCR,2015,2015-04-13 12:00:00,2.1
FCR,2015,2015-04-21 12:00:00,1.4
FCR,2015,2015-04-25 12:00:00,1.5
FCR,2015,2015-04-28 12:00:00,2
FCR,2015,2015-05-04 12:00:00,2.5
FCR,2015,2015-05-11 12:00:00,3
FCR,2015,2015-05-18 12:00:00,2.8
FCR,2015,2015-05-25 12:00:00,2.5
FCR,2015,2015-06-01 12:00:00,2.9
FCR,2015,2015-06-08 12:00:00,1.7
FCR,2015,2015-06-15 12:00:00,2.4
FCR,2015,2015-06-22 12:00:00,2.33
FCR,2015,2015-06-22 12:00:00,2.33
FCR,2015,2015-06-29 12:00:00,2.45
FCR,2015,2015-07-06 12:00:00,1.24
FCR,2015,2015-07-13 12:00:00,1.35
FCR,2015,2015-07-20 12:00:00,2.4
FCR,2015,2015-07-27 12:00:00,2.85
FCR,2015,2015-08-10 12:00:00,1.7
FCR,2015,2015-08-17 12:00:00,1.6
FCR,2015,2015-08-24 12:00:00,1.25
FCR,2015,2015-08-31 12:00:00,1.4
FCR,2015,2015-09-14 12:00:00,
FCR,2015,2015-09-28 12:00:00,
FCR,2015,2015-10-05 12:00:00,1.6
