Reservoir,Year,Date,Depth,Secchi,Notes
FCR,2014,2014-04-08 12:00:00,NA,2.5,
FCR,2014,2014-04-16 12:00:00,NA,2.7,
FCR,2014,2014-04-21 12:00:00,NA,2.5,
FCR,2014,2014-04-27 12:00:00,NA,3.5,
FCR,2014,2014-05-05 12:00:00,NA,2.75,
FCR,2014,2014-05-12 12:00:00,NA,2.5,
FCR,2014,2014-05-26 12:00:00,NA,2.75,
FCR,2014,2014-06-02 12:00:00,NA,2.75,
FCR,2014,2014-06-09 12:00:00,NA,2.7,
FCR,2014,2014-06-16 12:00:00,NA,3,
FCR,2014,2014-06-23 12:00:00,NA,3,
FCR,2014,2014-06-30 12:00:00,NA,3.25,
FCR,2014,2014-07-14 12:00:00,NA,3.25,
FCR,2014,2014-07-28 12:00:00,NA,3,
FCR,2014,2014-08-04 12:00:00,NA,3.2,
FCR,2014,2014-08-11 12:00:00,NA,2.8,
FCR,2014,2014-08-25 12:00:00,NA,2.3,
FCR,2014,2014-09-03 12:00:00,NA,3.2,
FCR,2014,2014-09-15 12:00:00,NA,2.4,
FCR,2014,2014-09-22 12:00:00,NA,2,
FCR,2014,2014-09-29 12:00:00,NA,1.7,
FCR,2014,2014-10-04 12:00:00,NA,1.3,
FCR,2014,2014-10-15 12:00:00,NA,1.1,
FCR,2014,2014-10-23 12:00:00,NA,1.1,
FCR,2014,2014-11-10 12:00:00,NA,1,
