737170.66,0.272,14.77,0.4352,0.8145,38.688,30.777846,7.7825,76.809,7.391,243.264,1534.9,2.591525071,0.041,0,
737170.66,0.286,14.7709,0.4429,0.8607,38.71,30.795481,7.7862,76.845,7.395,243.4356,1323.5,2.59303127,0.05,0,
737170.66,0.302,14.7762,0.4602,0.9742,38.779,30.84736,7.807,77.045,7.401,242.7192,1004.4,2.59759309,0.057,0,
737170.66,0.317,14.7746,0.4699,1.0581,38.846,30.897034,7.8491,77.453,7.406,241.5717,966.81,2.6024671,0.063,0,
737170.66,0.335,14.7731,0.4682,1.082,38.835,30.888008,7.9108,78.062,7.411,241.5203,927.46,2.601782321,0.067,0,
737170.66,0.354,14.7755,0.4484,1.0791,38.805,30.865248,7.9877,78.822,7.412,242.0126,867.72,2.599487981,0.069,0,
737170.66,0.371,14.7699,0.4153,1.0839,38.819,30.875882,8.0714,79.647,7.411,242.4477,1000.6,2.600852976,0.069,0,
737170.66,0.387,14.7634,0.3985,1.0789,38.838,30.889557,8.1494,80.414,7.41,242.9956,1197,2.602633783,0.069,0,
737170.66,0.405,14.7645,0.4018,1.0499,38.856,30.903576,8.2099,81.011,7.409,242.6146,1288.6,2.603842245,0.069,0,
737170.66,0.424,14.7677,0.4091,1.0378,38.874,30.918366,8.248,81.387,7.409,241.454,1330.7,2.604912049,0.068,0,
737170.66,0.442,14.7665,0.4229,0.9941,38.902,30.941366,8.2621,81.526,7.41,241.094,1392.8,2.606984456,0.067,0,
737170.66,0.459,14.7631,0.449,0.8873,38.964,30.991139,8.2548,81.456,7.41,241.4465,1263,2.61162412,0.066,0,
737170.66,0.475,14.7633,0.4667,0.8152,38.988,31.01209,8.2294,81.209,7.41,241.8437,964.39,2.613319713,0.064,0,
737170.66,0.492,14.7641,0.4713,0.7929,38.977,31.004161,8.1892,80.815,7.41,242.2832,718.54,2.612482701,0.061,0,
737170.66,0.507,14.7645,0.4686,0.8005,39.001,31.022283,8.1426,80.353,7.41,242.6297,602.14,2.614165073,0.059,0,
737170.66,0.522,14.7644,0.461,0.8469,39.027,31.04068,8.0962,79.89,7.406,242.8505,533.61,2.616023098,0.056,0,
737170.66,0.536,14.7677,0.463,0.8651,39.022,31.036065,8.0539,79.471,7.402,242.9736,523.68,2.615447714,0.053,0,
737170.66,0.55,14.7708,0.464,0.8382,39.014,31.02999,8.0184,79.121,7.4,243.0859,747.51,2.614672026,0.049,0,
737170.66,0.562,14.7678,0.455,0.8266,39.015,31.030739,7.9915,78.855,7.401,243.3471,1084.8,2.614941581,0.046,0,
737170.66,0.573,14.764,0.4564,0.847,39.033,31.045116,7.9731,78.673,7.401,243.8083,1111,2.616475211,0.044,0,
737170.66,0.582,14.7634,0.471,0.8714,39.072,31.076805,7.9646,78.592,7.401,244.0173,907.03,2.619292922,0.043,0,
737170.66,0.591,14.7643,0.4755,0.8772,39.095,31.09634,7.9742,78.691,7.402,243.8949,872.46,2.620871294,0.043,0,
737170.66,0.602,14.7642,0.4839,0.8563,39.087,31.090785,8.0037,78.982,7.404,243.9625,895.71,2.620307637,0.043,0,
737170.66,0.614,14.7629,0.5075,0.8318,39.066,31.07316,8.0417,79.357,7.405,243.975,877.9,2.618897559,0.043,0,
737170.66,0.626,14.7641,0.5212,0.8564,39.067,31.073762,8.0746,79.68,7.406,244.1316,862.39,2.618888724,0.042,0,
737170.66,0.638,14.7685,0.5303,0.9098,39.097,31.098065,8.093,79.862,7.409,244.7378,808.96,2.620733218,0.04,0,
737170.66,0.648,14.7684,0.5445,0.9586,39.115,31.112957,8.0947,79.879,7.412,245.1092,756.03,2.622021639,0.038,0,
737170.66,0.656,14.7668,0.5637,1.0186,39.132,31.126806,8.0811,79.746,7.413,244.5791,657.81,2.623338772,0.037,0,
737170.66,0.664,14.7669,0.5877,1.055,39.146,31.138486,8.0567,79.508,7.413,243.5766,625.84,2.624329283,0.037,0,
737170.66,0.673,14.767,0.605,1.0634,39.129,31.127168,8.0306,79.254,7.413,243.2264,682.54,2.623111194,0.037,0,
737170.66,0.682,14.7672,0.6085,1.059,39.114,31.116977,8.0158,79.111,7.412,243.4429,722.37,2.622029015,0.037,0,
737170.66,0.692,14.7673,0.6201,1.0328,39.144,31.142296,8.0214,79.17,7.412,243.6984,778.78,2.624159176,0.037,0,
737170.66,0.703,14.7689,0.6446,1.0212,39.189,31.179258,8.0469,79.424,7.413,243.906,719.65,2.627258226,0.036,0,
737170.66,0.713,14.7712,0.6466,1.0406,39.192,31.182828,8.0876,79.828,7.414,244.06,598.9,2.627318462,0.036,0,
737170.66,0.721,14.773,0.6445,1.054,39.195,31.18546,8.1374,80.322,7.414,244.0128,604.09,2.627412051,0.035,0,
737170.66,0.728,14.775,0.6656,0.9997,39.226,31.211083,8.1901,80.843,7.414,243.7651,674.5,2.629487032,0.035,0,
