Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2013,2013-06-13 12:00:00,1.333942495,0.022232375,1.27236419,0.02120607,1920.877193,0.034807014,0.000580117,163.825059,17.77025641
FCR,2013,2013-06-14 12:00:00,1.084959268,0.018082654,1.077600846,0.017960014,1562.341346,0.009689913,0.000161499,199.1667405,16.33739583
FCR,2013,2013-06-15 12:00:00,0.950874556,0.015847909,0.961354233,0.016022571,1369.25936,0.005137917,8.56E-05,226.190769,16.34010417
FCR,2013,2013-06-16 12:00:00,0.904354963,0.015072583,0.902637029,0.01504395,1302.271147,0.004322691,7.20E-05,237.6675041,16.90041667
FCR,2013,2013-06-17 12:00:00,0.899443161,0.014990719,0.898174534,0.014969576,1295.198151,0.006018031,0.000100301,239.452139,17.45885417
FCR,2013,2013-06-18 12:00:00,1.046276694,0.017437945,0.998081824,0.016634697,1506.638439,0.024892905,0.000414882,214.482557,17.23145833
FCR,2013,2013-06-19 12:00:00,0.898727513,0.014978792,0.911590974,0.015193183,1294.167619,0.006087677,0.000101461,239.7140142,16.864375
FCR,2013,2013-06-20 12:00:00,0.812479321,0.013541322,0.814707463,0.013578458,1169.970222,0.003237258,5.40E-05,264.3737905,17.1284375
FCR,2013,2013-06-21 12:00:00,0.764950006,0.012749167,0.763384538,0.012723076,1101.528008,0.004029984,6.72E-05,281.1141986,17.12760417
FCR,2013,2013-06-22 12:00:00,0.747625809,0.01246043,0.746521561,0.012442026,1076.581165,0.004433623,7.39E-05,287.8017213,16.9171875
FCR,2013,2013-06-23 12:00:00,0.729164103,0.012152735,0.738136492,0.012302275,1049.996309,0.004447388,7.41E-05,295.1808814,17.95208333
FCR,2013,2013-06-24 12:00:00,0.696609388,0.011610156,0.696680376,0.01161134,1003.117519,0.004830478,8.05E-05,309.3247383,18.49854167
FCR,2013,2013-06-25 12:00:00,0.690451718,0.011507529,0.684401611,0.011406694,994.2504734,0.004405011,7.34E-05,311.8004225,18.6259375
