Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
FCR,2015,2015-03-31 12:00:00,0.1,2689,951,44,7325,<10,1.7,1,1088,1968,1.8,<1,<1,423,19.4,<1,<1,1.6,<5,<0.5,<2.5,12.8,<0.1,<1,<1,<1,14.4,,<1,<1,2689,892.1,7.6,6905,<10,1.7,1,814,1940,1,<1,<1,157.3,1.6,<1,<1,1.1,<5,<0.5,<2.5,11.5,<0.1,<1,<1,<1,9.7,,<1,<1
FCR,2015,2015-03-31 12:00:00,1.6,2691,942.3,43.4,7333,<10,1.6,1,1085,1981,1.5,<1,<1,414.2,20.1,<1,<1,1.5,<5,<0.5,<2.5,12.8,<0.1,<1,<1,<1,14.4,,<1,<1,2691,916.1,10.6,6990,<10,1.6,1,1084,1952,1,<1,<1,177.4,4.4,<1,<1,1,<5,<0.5,<2.5,12.4,<0.1,<1,<1,<1,11.7,,<1,<1
FCR,2015,2015-03-31 12:00:00,3.8,2693,947.1,42.1,7444,<10,1.8,1,1099,2002,1.9,<1,<1,445.6,22.3,<1,<1,1.6,<5,<0.5,<2.5,12.8,<0.1,<1,<1,<1,14.9,,<1,<1,2693,901.4,11.9,6997,<10,1.5,1,1055,1906,1,<1,<1,188.1,2.4,<1,<1,<1,<5,<0.5,<2.5,12.2,<0.1,<1,<1,<1,12.9,,<1,<1
FCR,2015,2015-03-31 12:00:00,5,2668,940.7,50.3,7436,<10,1.8,1,1096,2009,1.7,<1,<1,476.5,25.6,<1,<1,1.6,<5,<0.5,<2.5,12.6,<0.1,<1,<1,<1,15.3,,<1,<1,2668,917.1,11.3,7113,<10,1.6,1,1093,1951,1,<1,<1,190.6,2.3,<1,<1,1.1,<5,<0.5,<2.5,12.4,<0.1,<1,<1,<1,12.9,,<1,<1
FCR,2015,2015-03-31 12:00:00,6.2,2691,948.8,44,7450,<10,1.9,1,1109,1993,1.6,<1,<1,485.3,33,<1,<1,1.8,<5,<0.5,<2.5,12.8,<0.1,<1,<1,<1,15.3,,<1,<1,2691,944.3,11.2,7156,<10,1.6,1,1109,1987,<1,<1,<1,187.8,5.3,<1,<1,1.3,<5,<0.5,<2.5,12.7,<0.1,<1,<1,<1,13.3,,<1,<1
FCR,2015,2015-03-31 12:00:00,8,2702,982.3,41.7,7493,<10,1.7,1.1,1165,2084,1.7,<1,<1,597.4,98.2,<1,<1,2.2,<5,<0.5,<2.5,13.3,<0.1,<1,<1,<1,16.9,,<1,<1,2702,972.9,11.9,7259,<10,1.7,1.1,1165,2084,1,<1,<1,241.5,55.3,<1,<1,<1,<5,<0.5,<2.5,13.1,<0.1,<1,<1,<1,14.8,,<1,<1
FCR,2015,2015-03-31 12:00:00,9,2745,1006,43,7589,<10,1.8,1.1,1182,2168,1.6,<1,<1,658,126.5,<1,<1,2.3,<5,<0.5,<2.5,13.7,<0.1,<1,<1,<1,17.4,,<1,<1,2745,989.1,12.6,7279,<10,1.6,1.1,1182,2168,1.1,<1,<1,258.5,77.1,<1,<1,1.5,<5,<0.5,<2.5,13.2,<0.1,<1,<1,<1,13.8,,<1,<1
FCR,2015,2015-03-31 12:00:00,999,2357,741.9,51.3,6657,<10,1.2,1,1236,1581,1.4,<1,<1,417.4,19.3,<1,<1,<1,<5,<0.5,<2.5,10.4,<0.1,<1,<1,<1,16.1,,<1,<1,2357,741.9,12.8,6313,<10,1.2,1,658,1581,<1,<1,<1,203.8,2,<1,<1,<1,<5,<0.5,<2.5,10.4,<0.1,<1,<1,<1,16.1,,<1,<1
FCR,2015,2015-04-07 12:00:00,0.1,2816,986.2,54.2,8035,<10,2.2,1.1,1158,2058,1.7,<1,<1,420.1,17.5,<1,<1,46.7,<5,<0.5,<2.5,13.2,<0.1,<1,<1,<1,14.6,,<1,<1,2816,986.2,12.6,7668,<10,2.2,1.1,485.9,2058,1.2,<1,<1,202.8,3,<1,<1,20.2,<5,<0.5,<2.5,11.1,<0.1,<1,<1,<1,6.7,,<1,<1
FCR,2015,2015-04-07 12:00:00,1.6,2831,991.9,53.7,8106,<10,2.2,1.1,1167,2127,2.8,<1,<1,423.2,16.7,<1,<1,48.3,<5,<0.5,<2.5,13.3,<0.1,<1,<1,<1,14.6,,1.2,<1,2831,966,11.3,7711,<10,2.2,1.1,927.8,2127,1.3,<1,<1,196.7,3.5,<1,<1,21.5,<5,<0.5,<2.5,11.4,<0.1,<1,<1,<1,8,,<1,<1
