sampletime,depth,wTemp,chla,turb,cond,oxygen,saturate
2016-05-12 12:00:00,0.1,19.1828,2.1855,9.7366,46.438353,9.50883,102.91258
2016-05-12 12:00:00,0.4,19.1696,1.9844,0.5364,26.909548,7.27895,78.75363
2016-05-12 12:00:00,0.7,19.1638,1.8392,0.5028,28.642585,6.86986,74.31923
2016-05-12 12:00:00,1,19.154,1.8037,0.5175,27.324868,7.40706,80.11463
2016-05-12 12:00:00,1.3,19.1245,1.8319,0.5514,25.805618,7.84138,84.76148
2016-05-12 12:00:00,1.6,19.0403,1.839,0.5175,24.059132,8.98323,96.93915
2016-05-12 12:00:00,1.9,18.889,1.7707,0.5109,23.335473,9.08646,97.75361
2016-05-12 12:00:00,2.3,18.3081,1.5324,0.5201,23.074716,9.3457,99.36217
2016-05-12 12:00:00,2.6,17.7579,1.3934,0.5335,22.995696,9.36166,98.41468
2016-05-12 12:00:00,2.9,17.488,1.26,0.5282,22.809403,9.35022,97.74787
2016-05-12 12:00:00,3.2,17.1574,1.1363,0.5172,22.711661,9.33248,96.89519
2016-05-12 12:00:00,3.5,16.5047,1.0518,0.4884,22.36502,9.3495,95.75463
2016-05-12 12:00:00,3.8,15.9183,1.1411,0.5298,22.162472,9.5482,96.58434
2016-05-12 12:00:00,4.1,15.1998,1.0571,0.5938,21.810646,9.87647,98.38148
2016-05-12 12:00:00,4.4,14.4306,1.2577,0.6194,21.30612,10.25104,100.42535
2016-05-12 12:00:00,4.7,13.6172,1.5047,0.5121,20.815471,10.50604,101.10132
2016-05-12 12:00:00,5,12.7387,1.8837,0.5177,20.402367,10.51242,99.20144
2016-05-12 12:00:00,5.3,11.926,2.8758,0.3446,19.920591,10.6949,99.08518
2016-05-12 12:00:00,5.6,11.4136,4.419,0.548,19.613461,10.51212,96.25631
2016-05-12 12:00:00,5.9,10.9348,5.9234,0.7391,19.537776,10.19848,92.35784
2016-05-12 12:00:00,6.2,10.5257,7.7269,0.825,19.266332,9.47436,84.98718
2016-05-12 12:00:00,6.5,10.22,8.1908,0.7693,19.178944,8.79533,78.33322
2016-05-12 12:00:00,6.8,9.8552,9.255,1.0716,19.052391,7.71784,68.14859
2016-05-12 12:00:00,7.1,9.4923,9.0992,0.8199,18.971505,7.15966,62.67801
2016-05-12 12:00:00,7.4,9.1077,8.1034,0.7883,19.118213,4.96409,43.06004
2016-05-12 12:00:00,7.7,8.724,7.2389,0.8165,19.158285,3.44141,29.57774
2016-05-12 12:00:00,8,8.4061,5.4801,1.3679,19.580485,2.08744,17.80338
2016-05-12 12:00:00,8.3,8.1396,3.7406,3.347,19.800111,1.12524,9.53493
2016-05-12 12:00:00,8.7,7.9941,2.9678,5.1783,20.089233,0.43852,3.70274
2016-05-12 12:00:00,9,7.9334,2.0957,7.6827,20.139512,0.18629,1.57063
2016-05-12 12:00:00,9.3,7.8838,2.8618,8.5846,20.377753,0.13595,1.1448
2016-05-12 12:00:00,9.6,7.8314,2.7189,9.2751,20.604852,0.12565,1.05672
2016-05-12 12:00:00,9.9,7.7882,1.707,10.0729,20.947745,0.11094,0.93201
2016-05-12 12:00:00,10.2,7.7062,1.8166,11.3528,22.81428,0.11062,0.92748
2016-05-12 12:00:00,10.5,7.6942,2.1673,11.8851,24.268022,0.10311,0.86424
2016-05-12 12:00:00,10.8,7.6375,2.2234,11.8267,27.493393,0.09311,0.77941
2016-05-19 12:00:00,0.1,15.9132,1.6935,1.3574,22.541382,7.16355,72.45472
2016-05-19 12:00:00,0.4,16.6799,1.9846,1.3304,22.398992,9.13014,93.85296
2016-05-19 12:00:00,0.7,16.6844,2.195,1.3445,22.390037,9.19333,94.51141
2016-05-19 12:00:00,1,16.6841,2.2907,1.3553,22.357423,9.17058,94.27696
2016-05-19 12:00:00,1.3,16.6808,2.3652,1.3533,22.376474,9.17644,94.33068
2016-05-19 12:00:00,1.6,16.6761,2.4153,1.3563,22.462749,9.17162,94.27181
2016-05-19 12:00:00,1.9,16.6685,2.5043,1.3453,22.442644,9.15195,94.05463
2016-05-19 12:00:00,2.3,16.6644,2.5539,1.3448,22.391778,9.1542,94.06966
2016-05-19 12:00:00,2.6,16.6582,2.4968,1.3523,22.42152,9.14124,93.92422
2016-05-19 12:00:00,2.9,16.6515,2.5312,1.3819,22.486721,9.1334,93.83054
2016-05-19 12:00:00,3.2,16.6455,2.546,1.3724,22.444829,9.1365,93.85051
2016-05-19 12:00:00,3.5,16.6354,2.3564,1.3557,22.365422,9.14997,93.96899
2016-05-19 12:00:00,3.8,16.6273,2.4277,1.3602,22.352311,9.14328,93.88433
2016-05-19 12:00:00,4.1,16.5469,2.5024,1.3641,22.410346,8.90655,91.29914
2016-05-19 12:00:00,4.4,16.0196,2.6651,1.3543,22.583966,8.65004,87.6876
2016-05-19 12:00:00,4.7,14.9013,3.53,1.4158,21.974124,9.11753,90.23861
2016-05-19 12:00:00,5,13.3145,4.1614,1.352,20.956981,9.96445,95.24823
2016-05-19 12:00:00,5.3,11.9027,5.6216,1.3594,19.995397,10.11293,93.64366
2016-05-19 12:00:00,5.6,11.1382,7.3193,1.0588,19.785911,9.24709,84.13718
2016-05-19 12:00:00,5.9,10.7812,10.2284,1.3719,19.662282,8.87332,80.07109
2016-05-19 12:00:00,6.2,10.4746,10.7696,1.3848,19.551501,8.52833,76.40985
2016-05-19 12:00:00,6.5,10.2001,12.1695,1.378,19.43328,7.71379,68.66877
2016-05-19 12:00:00,6.8,9.9497,11.7786,1.5652,19.334335,7.20713,63.78123
