Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI DOC Conc (ppm),Used OI DIC Conc (ppm),OI DC Conc (ppm) by addition,Vario DIC Mean of 3 reps,Vario DC Mean of 3 reps,Vario DOC Mean of 3 reps,Vario DNb Mean of 3 reps,Notes
FCR,2016,2016-09-09 12:00:00,999,11.7,4.03,104,36.5,344,1.354,3.5912756,4.9452756,2.886707327,4.571028348,1.684321022,0.191417212,
FCR,2016,2016-09-20 12:00:00,0.1,12.1,18.8,1.81,29.3,201.45,2.708,3.6342834,6.3422834,3.649530847,6.77785953,3.128328683,0.172006952,
FCR,2016,2016-09-20 12:00:00,1.6,12,17.6,2.5,29.6,256,2.525,3.6330404,6.1580404,3.953939373,7.138989914,3.185050541,0.233613922,
FCR,2016,2016-09-20 12:00:00,3.8,11.4,7.5,1.68,31.8,286.8,2.317,3.6683416,5.9853416,3.5653188,6.33766714,2.77234834,0.153246615,
FCR,2016,2016-09-20 12:00:00,5,11.6,5.73,2.36,30.1,195.45,3.219,4.0350266,7.2540266,4.29078756,8.230667042,3.939879482,0.177964,
FCR,2016,2016-09-20 12:00:00,6.2,6.39,10,2.35,29.2,197,2.877,4.9700112,7.8470112,4.668922587,7.929955221,3.261032634,0.144045858,
FCR,2016,2016-09-20 12:00:00,8,6.3,186,73,20.9,397,2.724,6.646321,9.370321,5.678484127,8.886294766,3.207810639,0.337107087,
FCR,2016,2016-09-20 12:00:00,9,14,145,67,20.9,346.45,2.607,5.7627966,8.3697966,5.434695167,8.646001508,3.211306342,0.361745686,
FCR,2016,2016-09-20 12:00:00,999,12.3,6.23,16,41,287,2.058,3.2325458,5.2905458,3.115750987,5.580881478,2.465130492,0.155049487,
FCR,2016,2016-09-30 12:00:00,0.1,9.94,16.5,6.37,27.6,291,3.175,3.5097348,6.6847348,3.528619387,7.014009801,3.485390414,0.205673231,
FCR,2016,2016-09-30 12:00:00,1.6,9.33,23.4,10.1,28.5,285,3.368,3.4818916,6.8498916,3.551228847,7.136573172,3.585344325,0.196047783,
FCR,2016,2016-09-30 12:00:00,3.8,6.98,6.65,7,27.1,259,2.971,3.8354008,6.8064008,3.912980207,8.167486487,4.25450628,0.214377726,
FCR,2016,2016-09-30 12:00:00,5,10.3,11.1,11.2,29.9,249.45,4.872,3.8478308,8.7198308,3.76487186,9.072383941,5.307512081,0.225796111,
FCR,2016,2016-09-30 12:00:00,6.2,11.1,17.9,14.8,39.1,287,11.882,5.138562,17.020562,5.41929452,20.79082324,15.37152872,0.532553083,
FCR,2016,2016-09-30 12:00:00,8,6.53,220,76.6,19.7,483,6.23,6.2637256,12.4937256,5.982237307,12.81729912,6.835061814,0.580759488,
FCR,2016,2016-09-30 12:00:00,9,5.83,273,73.1,20.9,490.45,1.45,6.3944892,7.8444892,5.55888336,7.373759189,1.814875829,0.409502573,
FCR,2016,2016-09-30 12:00:00,999,11.4,6.72,16.7,30,299,3.152,2.4131602,5.5651602,2.291652553,6.526518307,4.234865753,0.204901697,
FCR,2016,2016-10-05 12:00:00,0.1,11.2,5.4,4.27,28.1,250.45,3.048,3.2064428,6.2544428,3.485038833,7.768033471,4.282994638,0.21382685,
FCR,2016,2016-10-05 12:00:00,5,8.97,18.1,36.7,26.3,188.45,3.502,3.5017796,7.0037796,3.547296767,8.244476999,4.697180232,0.285716646,
FCR,2016,2016-10-05 12:00:00,9,4.99,140,32.4,27.8,375.45,2.142,5.564911,7.706911,4.719056607,7.120691721,2.401635114,0.275090989,
FCR,2016,2016-10-07 12:00:00,0.1,11.9,34.9,4.93,27.4,238.45,3.594,3.4669756,7.0609756,3.05611444,7.247052831,4.190938391,0.748096308,
FCR,2016,2016-10-07 12:00:00,1.6,9.26,8.02,5.47,26.7,296,3.042,3.4533026,6.4953026,3.104937767,6.742989388,3.638051621,0.263178042,
FCR,2016,2016-10-07 12:00:00,3.8,10.8,5.64,4.35,26.3,259,2.591,3.4886038,6.0796038,3.079051573,6.349405604,3.270354031,0.196010985,
FCR,2016,2016-10-07 12:00:00,5,9.86,10.4,9.91,27.4,202.45,2.849,3.4634952,6.3124952,3.6095547,7.575729815,3.966175115,0.290552045,
FCR,2016,2016-10-07 12:00:00,6.2,7.86,15.7,9.13,27.3,254,2.576,3.6961848,6.2721848,3.109525193,6.021419117,2.911893924,0.189690144,
FCR,2016,2016-10-07 12:00:00,8,10.9,55.4,17.2,28.6,265,2.588,3.6479564,6.2359564,3.6931114,7.282268222,3.589156822,0.310691084,
FCR,2016,2016-10-07 12:00:00,9,5.19,79.4,13.4,29.7,278.45,3.002,4.1225338,7.1245338,3.300231073,6.291749032,2.991517959,0.303772017,
FCR,2016,2016-10-07 12:00:00,999,8.54,4.19,7.03,31.9,229,2.801,2.847713,5.648713,3.01089552,6.79719347,3.78629795,0.163327052,
FCR,2016,2016-10-14 12:00:00,0.1,6.88,5.84,1.01,27.2,205.45,,,,2.77005562,5.779054366,3.008998746,0.180243442,
FCR,2016,2016-10-14 12:00:00,1.6,3.18,4.84,5.76,29.9,252,,,,2.828381473,5.731410013,2.90302854,0.134253336,
FCR,2016,2016-10-14 12:00:00,3.8,4.54,3.47,3.78,25.2,237,,,,2.818878947,6.446075305,3.627196359,0.154497477,
FCR,2016,2016-10-14 12:00:00,5,3.38,9.26,3.53,28,181.45,,,,2.85459534,5.565345276,2.710749936,0.105077539,
FCR,2016,2016-10-14 12:00:00,6.2,5.68,9.19,5.78,25.8,231,,,,2.844109793,6.051110525,3.207000732,0.143898337,
FCR,2016,2016-10-14 12:00:00,8,3.9,13.8,5.09,26.2,232,,,,2.826743107,5.62887108,2.802127973,0.152179474,
FCR,2016,2016-10-14 12:00:00,9,2.89,15.7,5.16,24.5,234.45,,,,2.791354387,5.676860682,2.885506295,0.123647019,
FCR,2016,2016-10-14 12:00:00,999,4.24,4.93,13.7,21.1,182.8,,,,2.436156493,4.699115703,2.262959209,0.139149944,
FCR,2016,2016-11-04 12:00:00,0.1,4.98,4.33,4.19,25.6,183.45,,,,2.6560253,5.070258306,2.414233006,0.1448557,
FCR,2016,2016-11-04 12:00:00,1.6,3.49,3.36,2.24,25.3,208,,,,2.727458087,5.235632545,2.508174458,0.107952173,
FCR,2016,2016-11-04 12:00:00,3.8,7.99,4.62,3.8,20.8,211,,,,2.910299807,5.533582374,2.623282568,0.15560132,
FCR,2016,2016-11-04 12:00:00,5,,,,23.8,182.45,,,,,,,,
FCR,2016,2016-11-04 12:00:00,6.2,6.12,5.13,3.79,18.8,198,,,,2.95486338,5.68721815,2.73235477,0.141321854,
FCR,2016,2016-11-04 12:00:00,8,3.99,10.2,2.57,22.5,203,,,,2.96665962,5.552571066,2.585911446,0.138266493,
FCR,2016,2016-11-04 12:00:00,9,6.22,8.82,2.57,25.4,238,,,,2.96665962,5.552571066,2.585911446,0.138266493,
FCR,2016,2016-12-02 12:00:00,0.1,9.57,4.25,3.05,21.4,167.45,,,,2.580005087,5.194893171,2.614888084,0.115653239,
FCR,2016,2016-12-02 12:00:00,1.6,5.26,4.62,3.23,22.3,189,,,,2.554446567,5.165547011,2.611100445,0.106993885,
FCR,2016,2016-12-02 12:00:00,3.8,4.28,3.66,4.66,23.4,192.6,,,,2.914887233,5.513903185,2.599015952,0.145591847,
FCR,2016,2016-12-02 12:00:00,5,5.73,4.41,4.61,19.7,180.45,,,,2.86835762,5.495259743,2.626902123,0.124752108,
FCR,2016,2016-12-02 12:00:00,6.2,5.97,4.03,3.53,20.4,192,,,,2.74351408,5.149665561,2.406151481,0.181383104,
FCR,2016,2016-12-02 12:00:00,8,4.61,3.17,2.83,20.4,189,,,,2.802822953,5.221477339,2.418654385,0.114695263,
FCR,2016,2016-12-02 12:00:00,9,5.26,4.29,2.69,17.1,162.45,,,,2.659302033,4.91351529,2.254213257,0.146107103,
FCR,2016,2016-12-02 12:00:00,999,5.77,6.76,31,17.3,171,,,,2.72385368,5.020887708,2.297034028,0.134032204,
