Reservoir,Site,Year,Date,Depth,PAR
BVR,50,2013,2013-10-16 12:00:00,0.1,
BVR,50,2013,2013-10-16 12:00:00,1,
BVR,50,2013,2013-10-16 12:00:00,2,
BVR,50,2013,2013-10-16 12:00:00,3,
BVR,50,2013,2013-10-16 12:00:00,4,
BVR,50,2013,2013-10-16 12:00:00,5,
BVR,50,2013,2013-10-16 12:00:00,6,
BVR,50,2013,2013-10-16 12:00:00,7,
BVR,50,2013,2013-10-16 12:00:00,8,
BVR,50,2013,2013-10-16 12:00:00,9,
BVR,50,2013,2013-10-16 12:00:00,10,
BVR,50,2013,2013-10-16 12:00:00,11,
BVR,50,2013,2013-10-16 12:00:00,12,
BVR,50,2013,2013-10-16 12:00:00,13,
BVR,50,2013,2013-10-16 12:00:00,13.5,
FCR,50,2013,2013-08-01 12:00:00,0.5,
FCR,50,2013,2013-08-01 12:00:00,1,
FCR,50,2013,2013-08-01 12:00:00,1.5,
FCR,50,2013,2013-08-01 12:00:00,2,
FCR,50,2013,2013-08-01 12:00:00,2.5,
FCR,50,2013,2013-08-01 12:00:00,3,
FCR,50,2013,2013-08-01 12:00:00,3.5,
FCR,50,2013,2013-08-01 12:00:00,4,
FCR,50,2013,2013-08-01 12:00:00,4.5,
FCR,50,2013,2013-08-01 12:00:00,5,
FCR,50,2013,2013-08-01 12:00:00,5.5,
FCR,50,2013,2013-08-01 12:00:00,6,
FCR,50,2013,2013-08-01 12:00:00,6.5,
FCR,50,2013,2013-08-01 12:00:00,7,
FCR,50,2013,2013-08-01 12:00:00,7.5,
FCR,50,2013,2013-08-01 12:00:00,8,
FCR,50,2013,2013-08-01 12:00:00,8.5,
FCR,50,2013,2013-08-01 12:00:00,9,
FCR,50,2013,2013-08-01 12:00:00,9.5,
FCR,50,2013,2013-08-05 12:00:00,0.5,
FCR,50,2013,2013-08-05 12:00:00,1,
FCR,50,2013,2013-08-05 12:00:00,1.5,
FCR,50,2013,2013-08-05 12:00:00,2,
FCR,50,2013,2013-08-05 12:00:00,2.5,
FCR,50,2013,2013-08-05 12:00:00,3,
FCR,50,2013,2013-08-05 12:00:00,3.5,
FCR,50,2013,2013-08-05 12:00:00,4,
FCR,50,2013,2013-08-05 12:00:00,4.5,
FCR,50,2013,2013-08-05 12:00:00,5,
FCR,50,2013,2013-08-05 12:00:00,5.5,
FCR,50,2013,2013-08-05 12:00:00,6,
FCR,50,2013,2013-08-05 12:00:00,6.5,
FCR,50,2013,2013-08-05 12:00:00,7,
FCR,50,2013,2013-08-05 12:00:00,7.5,
FCR,50,2013,2013-08-05 12:00:00,8,
FCR,50,2013,2013-08-05 12:00:00,8.5,
FCR,50,2013,2013-08-05 12:00:00,9,
FCR,50,2013,2013-08-05 12:00:00,9.5,
FCR,50,2013,2013-08-08 12:00:00,0.5,
FCR,50,2013,2013-08-08 12:00:00,1,
FCR,50,2013,2013-08-08 12:00:00,1.5,
FCR,50,2013,2013-08-08 12:00:00,2,
FCR,50,2013,2013-08-08 12:00:00,2.5,
FCR,50,2013,2013-08-08 12:00:00,3,
FCR,50,2013,2013-08-08 12:00:00,3.5,
FCR,50,2013,2013-08-08 12:00:00,4,
FCR,50,2013,2013-08-08 12:00:00,4.5,
FCR,50,2013,2013-08-08 12:00:00,5,
FCR,50,2013,2013-08-08 12:00:00,5.5,
FCR,50,2013,2013-08-08 12:00:00,6,
FCR,50,2013,2013-08-08 12:00:00,6.5,
FCR,50,2013,2013-08-08 12:00:00,7,
FCR,50,2013,2013-08-08 12:00:00,7.5,
FCR,50,2013,2013-08-08 12:00:00,8,
FCR,50,2013,2013-08-08 12:00:00,8.5,
FCR,50,2013,2013-08-08 12:00:00,9,
FCR,50,2013,2013-08-08 12:00:00,9.5,
FCR,40,2013,2013-08-08 12:00:00,0.5,
FCR,40,2013,2013-08-08 12:00:00,1,
FCR,40,2013,2013-08-08 12:00:00,1.5,
FCR,40,2013,2013-08-08 12:00:00,2,
FCR,40,2013,2013-08-08 12:00:00,2.5,
FCR,40,2013,2013-08-08 12:00:00,3,
FCR,40,2013,2013-08-08 12:00:00,3.5,
FCR,40,2013,2013-08-08 12:00:00,4,
FCR,40,2013,2013-08-08 12:00:00,4.5,
FCR,40,2013,2013-08-08 12:00:00,5,
FCR,40,2013,2013-08-08 12:00:00,5.5,
FCR,40,2013,2013-08-08 12:00:00,6,
FCR,40,2013,2013-08-08 12:00:00,6.5,
FCR,40,2013,2013-08-08 12:00:00,7,
FCR,40,2013,2013-08-08 12:00:00,7.5,
FCR,45,2013,2013-08-08 12:00:00,0.5,
FCR,45,2013,2013-08-08 12:00:00,1,
FCR,45,2013,2013-08-08 12:00:00,1.5,
FCR,45,2013,2013-08-08 12:00:00,2,
FCR,45,2013,2013-08-08 12:00:00,2.5,
FCR,45,2013,2013-08-08 12:00:00,3,
FCR,45,2013,2013-08-08 12:00:00,3.5,
FCR,45,2013,2013-08-08 12:00:00,4,
FCR,45,2013,2013-08-08 12:00:00,4.5,
FCR,45,2013,2013-08-08 12:00:00,5,
FCR,45,2013,2013-08-08 12:00:00,5.5,
FCR,45,2013,2013-08-08 12:00:00,6,
FCR,45,2013,2013-08-08 12:00:00,6.5,
FCR,45,2013,2013-08-08 12:00:00,7,
FCR,45,2013,2013-08-08 12:00:00,7.5,
FCR,45,2013,2013-08-08 12:00:00,8,
FCR,45,2013,2013-08-08 12:00:00,8.5,
FCR,45,2013,2013-08-08 12:00:00,9,
FCR,50,2013,2013-08-12 12:00:00,0.5,
FCR,50,2013,2013-08-12 12:00:00,1,
FCR,50,2013,2013-08-12 12:00:00,1.5,
FCR,50,2013,2013-08-12 12:00:00,2,
FCR,50,2013,2013-08-12 12:00:00,2.5,
FCR,50,2013,2013-08-12 12:00:00,3,
FCR,50,2013,2013-08-12 12:00:00,3.5,
FCR,50,2013,2013-08-12 12:00:00,4,
FCR,50,2013,2013-08-12 12:00:00,4.5,
FCR,50,2013,2013-08-12 12:00:00,5,
FCR,50,2013,2013-08-12 12:00:00,5.5,
FCR,50,2013,2013-08-12 12:00:00,6,
FCR,50,2013,2013-08-12 12:00:00,6.5,
FCR,50,2013,2013-08-12 12:00:00,7,
FCR,50,2013,2013-08-12 12:00:00,7.5,
FCR,50,2013,2013-08-12 12:00:00,8,
FCR,50,2013,2013-08-12 12:00:00,8.5,
FCR,50,2013,2013-08-12 12:00:00,9,
FCR,50,2013,2013-08-12 12:00:00,9.5,
FCR,40,2013,2013-08-12 12:00:00,0.5,
FCR,40,2013,2013-08-12 12:00:00,1,
FCR,40,2013,2013-08-12 12:00:00,1.5,
FCR,40,2013,2013-08-12 12:00:00,2,
FCR,40,2013,2013-08-12 12:00:00,2.5,
FCR,40,2013,2013-08-12 12:00:00,3,
FCR,40,2013,2013-08-12 12:00:00,3.5,
FCR,40,2013,2013-08-12 12:00:00,4,
FCR,40,2013,2013-08-12 12:00:00,4.5,
FCR,40,2013,2013-08-12 12:00:00,5,
