Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2015,2015-01-01 12:00:00,5.316485329,0.088608089,5.328175177,0.08880292,7655.738874,0.013229747,0.000220496,40.36434064,3.646145833
FCR,2015,2015-01-02 12:00:00,5.22873632,0.087145605,5.225754512,0.087095909,7529.380301,0.00843346,0.000140558,41.02758352,4.266875
FCR,2015,2015-01-03 12:00:00,5.262774551,0.087712909,5.26507256,0.087751209,7578.395354,0.007583764,0.000126396,40.76023102,4.431875
FCR,2015,2015-01-04 12:00:00,5.271440739,0.087857346,5.26507256,0.087751209,7590.874664,0.010311528,0.000171859,40.69989697,5.203958333
FCR,2015,2015-01-05 12:00:00,5.262869813,0.087714497,5.26507256,0.087751209,7578.532531,0.012210354,0.000203506,40.77247026,3.911770833
FCR,2015,2015-01-06 12:00:00,5.183110607,0.086385177,5.202204916,0.086703415,7463.679274,0.010894913,0.000181582,41.39597427,3.454791667
FCR,2015,2015-01-07 12:00:00,5.33732302,0.088955384,5.280826232,0.088013771,7685.745149,0.019793792,0.000329897,40.23469995,2.2990625
FCR,2015,2015-01-08 12:00:00,5.327683849,0.088794731,5.257203067,0.087620051,7671.864743,0.021827794,0.000363797,40.31946986,0.938645833
FCR,2015,2015-01-09 12:00:00,5.066990576,0.084449843,5.061618097,0.084360302,7296.46643,0.010919696,0.000181995,42.34545277,1.559166667
FCR,2015,2015-01-10 12:00:00,5.128425102,0.085473752,5.155209108,0.085920152,7384.932146,0.015866092,0.000264435,41.85818346,1.147708333
FCR,2015,2015-01-11 12:00:00,5.008524223,0.083475404,4.960836527,0.082680609,7212.274881,0.019210842,0.000320181,42.88046499,1.66625
FCR,2015,2015-01-12 12:00:00,5.050785796,0.084179763,5.030540355,0.083842339,7273.131546,0.010820347,0.000180339,42.48099957,2.721041667
FCR,2015,2015-01-13 12:00:00,5.01103938,0.083517323,5.030540355,0.083842339,7215.896707,0.008490262,0.000141504,42.81126422,2.528333333
FCR,2015,2015-01-14 12:00:00,5.044288012,0.084071467,5.046071749,0.084101196,7263.774737,0.007336722,0.000122279,42.52584177,2.264166667
FCR,2015,2015-01-15 12:00:00,5.02080976,0.083680163,5.015023932,0.083583732,7229.966055,0.012386894,0.000206448,42.74081941,2.3134375
FCR,2015,2015-01-16 12:00:00,4.97430393,0.082905065,4.968564695,0.082809412,7162.997659,0.009360252,0.000156004,43.1299579,2.582395833
FCR,2015,2015-01-17 12:00:00,4.921021471,0.082017025,4.922240917,0.082037349,7086.270919,0.013454881,0.000224248,43.61333646,2.726145833
FCR,2015,2015-01-18 12:00:00,4.88143601,0.081357267,4.891433918,0.081523899,7029.267854,0.011701061,0.000195018,43.95982963,3.242916667
FCR,2015,2015-01-19 12:00:00,4.877246654,0.081287444,4.876053134,0.081267552,7023.235181,0.011369805,0.000189497,43.99601767,3.3709375
FCR,2015,2015-01-20 12:00:00,4.895677262,0.081594621,4.891433918,0.081523899,7049.775258,0.011419331,0.000190322,43.83055053,3.712916667
FCR,2015,2015-01-21 12:00:00,4.841294715,0.080688245,4.845337097,0.080755618,6971.46439,0.009417397,0.000156957,44.3159107,3.844791667
FCR,2015,2015-01-22 12:00:00,4.874246634,0.081237444,4.876053134,0.081267552,7018.915153,0.009495572,0.00015826,44.01641214,3.666458333
FCR,2015,2015-01-23 12:00:00,4.94840928,0.082473488,4.937667093,0.082294452,7125.709364,0.01226179,0.000204363,43.36616729,3.474791667
FCR,2015,2015-01-24 12:00:00,5.055544963,0.084259083,5.046071749,0.084101196,7279.984746,0.009118425,0.000151974,42.43575941,3.562604167
FCR,2015,2015-01-25 12:00:00,4.904638403,0.081743973,4.906829852,0.081780498,7062.6793,0.011111014,0.000185184,43.74939304,3.745729167
FCR,2015,2015-01-26 12:00:00,4.940150865,0.082335848,4.922240917,0.082037349,7113.817245,0.011476699,0.000191278,43.43550203,3.831354167
FCR,2015,2015-01-27 12:00:00,5.052331674,0.084205528,5.077179378,0.084619656,7275.357611,0.02051481,0.000341914,42.51677956,2.630833333
FCR,2015,2015-01-28 12:00:00,4.760383674,0.079339728,4.677498569,0.077958309,6854.95249,0.028660216,0.00047767,45.20470808,2.189791667
FCR,2015,2015-01-29 12:00:00,3.770587149,0.062843119,4.170637422,0.069510624,5429.645494,0.076994909,0.001283248,59.33249613,2.486770833
FCR,2015,2015-01-30 12:00:00,3.371834113,0.056197235,3.370223837,0.056170397,4855.441122,0.04073446,0.000678908,64.50738703,2.612083333
FCR,2015,2015-01-31 12:00:00,2.996435212,0.049940587,2.856809193,0.047613487,4314.866705,0.034382771,0.000573046,72.39766406,1.881875
FCR,2015,2015-02-01 12:00:00,2.56685307,0.042780885,2.563305596,0.04272176,3696.268421,0.008352137,0.000139202,83.63698817,3.0465625
FCR,2015,2015-02-02 12:00:00,2.699459979,0.044991,2.638887403,0.043981457,3887.222369,0.019438047,0.000323967,79.83070137,3.392708333
FCR,2015,2015-02-03 12:00:00,2.715379012,0.045256317,2.613615356,0.043560256,3910.145777,0.033036484,0.000550608,80.03877617,1.890416667
FCR,2015,2015-02-04 12:00:00,2.320149246,0.038669154,2.244065993,0.0374011,3341.014914,0.022425766,0.000373763,93.23072337,2.703645833
