Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,PAR,Notes
GWR,2016,2016-09-05 12:00:00,9,NA,NA,NA,0.864,NA
GWR,2016,2016-09-05 12:00:00,10,NA,NA,NA,0.447,NA
GWR,2016,2016-09-05 12:00:00,11,NA,NA,NA,0.238,NA
GWR,2016,2016-09-05 12:00:00,12,NA,NA,NA,0.0915,NA
GWR,2016,2016-09-05 12:00:00,13,NA,NA,NA,0.01049,NA
GWR,2016,2016-09-23 12:00:00,-0.1,NA,NA,NA,1001,NA
GWR,2016,2016-09-23 12:00:00,0.1,25.3,100.4,7.64,640,NA
GWR,2016,2016-09-23 12:00:00,1,25.1,99.1,7.57,307,NA
GWR,2016,2016-09-23 12:00:00,2,24.7,97.8,7.52,172,NA
GWR,2016,2016-09-23 12:00:00,3,23.9,94.1,7.4,56,NA
GWR,2016,2016-09-23 12:00:00,4,23.7,93.9,7.41,29.5,NA
GWR,2016,2016-09-23 12:00:00,5,23.6,93.1,7.35,19.5,NA
GWR,2016,2016-09-23 12:00:00,6,22.7,14.1,1.09,12.05,NA
GWR,2016,2016-09-23 12:00:00,7,20,6.9,0.58,2.69,NA
GWR,2016,2016-09-23 12:00:00,8,17.1,3.5,0.32,1.168,NA
GWR,2016,2016-09-23 12:00:00,9,15.7,3.4,0.31,0.639,NA
GWR,2016,2016-09-23 12:00:00,10,14.3,3.3,0.31,0.3834,NA
GWR,2016,2016-09-23 12:00:00,11,13.1,3.2,0.31,0.1783,NA
GWR,2016,2016-09-23 12:00:00,12,12.9,3.2,0.31,0.0725,NA
GWR,2016,2016-09-23 12:00:00,13,12.3,3.2,0.31,0.0219,NA
GWR,2016,2016-09-23 12:00:00,14,11.6,3.2,0.31,0.0104,NA
GWR,2016,2016-10-03 12:00:00,-0.1,NA,NA,NA,255,NA
GWR,2016,2016-10-03 12:00:00,0.1,21.5,86.4,7.12,29.6,NA
GWR,2016,2016-10-03 12:00:00,1,21.6,87.2,7.18,18.6,NA
GWR,2016,2016-10-03 12:00:00,2,21.6,87.1,7.17,16.37,NA
GWR,2016,2016-10-03 12:00:00,3,21.6,88.1,7.19,6.9,NA
GWR,2016,2016-10-03 12:00:00,4,21.6,84.9,6.96,6.21,NA
GWR,2016,2016-10-03 12:00:00,5,21.6,85.1,6.99,2.97,NA
GWR,2016,2016-10-03 12:00:00,6,21.6,86.1,7.04,1.32,NA
GWR,2016,2016-10-03 12:00:00,7,20,3.6,0.3,0.49,NA
GWR,2016,2016-10-03 12:00:00,8,17.7,3.4,0.3,0.1659,NA
GWR,2016,2016-10-03 12:00:00,9,15.9,3.2,0.29,0.08965,NA
GWR,2016,2016-10-03 12:00:00,10,14.7,3.1,0.29,0.145,NA
GWR,2016,2016-10-03 12:00:00,11,13.5,3,0.29,0.0639,NA
GWR,2016,2016-10-03 12:00:00,12,13.1,3,0.29,0.01717,NA
GWR,2016,2016-10-03 12:00:00,13,12.6,3,0.29,0,NA
GWR,2016,2016-10-03 12:00:00,14,12.2,2.9,0.29,0,NA
GWR,2016,2016-10-17 12:00:00,0.1,18.3,92.6,8.12,NA,NA
GWR,2016,2016-10-17 12:00:00,1,18.3,92.4,8.11,NA,NA
GWR,2016,2016-10-17 12:00:00,2,18.3,93.8,8.16,NA,NA
GWR,2016,2016-10-17 12:00:00,3,18,87.8,7.73,NA,NA
GWR,2016,2016-10-17 12:00:00,4,17.8,84.1,7.46,NA,NA
GWR,2016,2016-10-17 12:00:00,5,17.7,81.9,7.27,NA,NA
GWR,2016,2016-10-17 12:00:00,6,17.7,79.6,7.07,NA,NA
GWR,2016,2016-10-17 12:00:00,7,17.6,72.2,6.44,NA,NA
GWR,2016,2016-10-17 12:00:00,8,17.5,65.8,5.85,NA,NA
GWR,2016,2016-10-17 12:00:00,9,17,19.6,1.74,NA,NA
GWR,2016,2016-10-17 12:00:00,10,14.8,3.8,0.37,NA,NA
GWR,2016,2016-10-17 12:00:00,11,14.1,3.3,0.31,NA,NA
GWR,2016,2016-10-17 12:00:00,12,13.6,3.1,0.3,NA,NA
GWR,2016,2016-10-17 12:00:00,13,13.3,3.1,0.3,NA,NA
