
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(in H2O),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.302"
Session Name,FCR_Inf2_15min2013,,Exported,"Aqua4Plus 1.9.501"
# Records,  7954 
Statistical Data,,Temperature(degC),Pressure(in H2O),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,14.50,384.97,
,Maximum,20.00,402.62,
,Mean,17.74,391.95,
,Variance,1.048,5.534,
,Std Deviation,1.024,2.353,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(in H2O)
1,13-Jun-13 14:00:00,19.06,386.54
2,13-Jun-13 14:15:00,19.06,386.48
3,13-Jun-13 14:30:00,19.06,387.88
4,13-Jun-13 14:45:00,18.81,387.57
5,13-Jun-13 15:00:00,18.63,387.07
6,13-Jun-13 15:15:00,18.44,387.57
7,13-Jun-13 15:30:00,18.25,387.91
8,13-Jun-13 15:45:00,18.13,387.71
9,13-Jun-13 16:00:00,18.06,386.96
10,13-Jun-13 16:15:00,18.00,386.76
11,13-Jun-13 16:30:00,18.00,386.68
12,13-Jun-13 16:45:00,18.00,386.85
13,13-Jun-13 17:00:00,17.94,386.90
14,13-Jun-13 17:15:00,17.94,386.98
15,13-Jun-13 17:30:00,17.88,387.07
16,13-Jun-13 17:45:00,17.88,387.12
17,13-Jun-13 18:00:00,17.88,387.15
18,13-Jun-13 18:15:00,17.88,386.85
19,13-Jun-13 18:30:00,17.81,386.76
20,13-Jun-13 18:45:00,17.81,386.79
21,13-Jun-13 19:00:00,17.81,386.90
22,13-Jun-13 19:15:00,17.75,387.01
23,13-Jun-13 19:30:00,17.69,387.07
24,13-Jun-13 19:45:00,17.69,387.13
25,13-Jun-13 20:00:00,17.63,387.26
26,13-Jun-13 20:15:00,17.56,387.32
27,13-Jun-13 20:30:00,17.56,387.57
28,13-Jun-13 20:45:00,17.56,387.60
29,13-Jun-13 21:00:00,17.50,387.68
30,13-Jun-13 21:15:00,17.44,387.85
31,13-Jun-13 21:30:00,17.44,387.99
32,13-Jun-13 21:45:00,17.38,387.96
33,13-Jun-13 22:00:00,17.31,388.02
34,13-Jun-13 22:15:00,17.25,388.08
35,13-Jun-13 22:30:00,17.19,388.10
36,13-Jun-13 22:45:00,17.13,388.19
37,13-Jun-13 23:00:00,17.00,388.24
38,13-Jun-13 23:15:00,17.00,388.27
39,13-Jun-13 23:30:00,16.88,388.33
40,13-Jun-13 23:45:00,16.81,388.38
41,14-Jun-13 00:00:00,16.75,388.41
42,14-Jun-13 00:15:00,16.69,388.44
43,14-Jun-13 00:30:00,16.63,388.44
44,14-Jun-13 00:45:00,16.63,388.47
45,14-Jun-13 01:00:00,16.56,388.41
46,14-Jun-13 01:15:00,16.50,388.50
47,14-Jun-13 01:30:00,16.44,388.53
48,14-Jun-13 01:45:00,16.44,388.53
49,14-Jun-13 02:00:00,16.38,388.50
50,14-Jun-13 02:15:00,16.31,388.47
51,14-Jun-13 02:30:00,16.25,388.44
52,14-Jun-13 02:45:00,16.25,388.47
53,14-Jun-13 03:00:00,16.19,388.44
54,14-Jun-13 03:15:00,16.13,388.36
55,14-Jun-13 03:30:00,16.06,388.36
56,14-Jun-13 03:45:00,16.06,388.22
57,14-Jun-13 04:00:00,16.00,388.22
58,14-Jun-13 04:15:00,15.94,388.36
59,14-Jun-13 04:30:00,15.94,388.47
60,14-Jun-13 04:45:00,15.88,388.44
