Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_110617,,,,,,,,
# Records,3/13/1909 0:00,,,,,,,,
Sensor File,12/11/2017 0:00,FCR_inf_121117.a4d,,,,,,,
,,,,,,,,,
Barometric File,12/11/2017 0:00,FCR_BV_121117.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCR_BV_110617,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,1.92,-3.75,,,,,,
,Maximum,9.78,19.38,,,,,,
,Mean,8.1,5.95,,,,,,
,Variance,6.937,6.059,,,,,,
,Std Deviation,2.634,2.461,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,11/6/2017 0:00,3.02,18.75,386.87,2017-11-06 15:00:00,,,,
2,11/6/2017 0:00,3.04,18.81,386.93,2017-11-06 15:15:00,,,,
3,11/6/2017 0:00,3.03,19.25,386.9,2017-11-06 15:30:00,,,,
4,11/6/2017 0:00,3.01,19.38,386.95,2017-11-06 15:45:00,,,,
5,11/6/2017 0:00,3,19.25,387.01,2017-11-06 16:00:00,,,,
6,11/6/2017 0:00,3.01,18.56,387.01,2017-11-06 16:15:00,,,,
7,11/6/2017 0:00,3,18.19,387.15,2017-11-06 16:30:00,,,,
8,11/6/2017 0:00,3.04,18.44,387.37,2017-11-06 16:45:00,,,,
9,11/6/2017 0:00,3,17.81,387.46,2017-11-06 17:00:00,,,,
10,11/6/2017 0:00,3.02,17.56,387.52,2017-11-06 17:15:00,,,,
11,11/6/2017 0:00,3.01,16.69,387.44,2017-11-06 17:30:00,,,,
12,11/6/2017 0:00,2.98,15.94,387.55,2017-11-06 17:45:00,,,,
13,11/6/2017 0:00,2.96,15.44,387.64,2017-11-06 18:00:00,,,,
14,11/6/2017 0:00,2.92,15.19,387.75,2017-11-06 18:15:00,,,,
15,11/6/2017 0:00,2.94,15,387.8,2017-11-06 18:30:00,,,,
16,11/6/2017 0:00,2.93,14.69,387.92,2017-11-06 18:45:00,,,,
17,11/6/2017 0:00,2.92,14.5,388.09,2017-11-06 19:00:00,,,,
18,11/6/2017 0:00,2.95,14.5,388.25,2017-11-06 19:15:00,,,,
19,11/6/2017 0:00,2.89,14.5,388.23,2017-11-06 19:30:00,,,,
20,11/6/2017 0:00,2.95,14.56,388.2,2017-11-06 19:45:00,,,,
21,11/6/2017 0:00,2.99,14.56,388.28,2017-11-06 20:00:00,,,,
22,11/6/2017 0:00,2.96,14.5,388.34,2017-11-06 20:15:00,,,,
23,11/6/2017 0:00,2.99,14.5,388.31,2017-11-06 20:30:00,,,,
24,11/6/2017 0:00,2.95,14.25,388.39,2017-11-06 20:45:00,,,,
25,11/6/2017 0:00,2.97,13.94,388.4,2017-11-06 21:00:00,,,,
26,11/6/2017 0:00,2.93,13.75,388.28,2017-11-06 21:15:00,,,,
27,11/6/2017 0:00,2.94,13.5,388.31,2017-11-06 21:30:00,,,,
28,11/6/2017 0:00,2.92,13.38,388.34,2017-11-06 21:45:00,,,,
29,11/6/2017 0:00,2.92,13.13,388.54,2017-11-06 22:00:00,,,,
30,11/6/2017 0:00,2.92,13.25,388.59,2017-11-06 22:15:00,,,,
31,11/6/2017 0:00,2.93,12.88,388.62,2017-11-06 22:30:00,,,,
32,11/6/2017 0:00,2.95,12.63,388.65,2017-11-06 22:45:00,,,,
33,11/6/2017 0:00,2.94,12.38,388.52,2017-11-06 23:00:00,,,,
34,11/6/2017 0:00,2.9,12.19,388.43,2017-11-06 23:15:00,,,,
35,11/6/2017 0:00,2.93,12,388.46,2017-11-06 23:30:00,,,,
36,11/6/2017 0:00,2.92,11.94,388.49,2017-11-06 23:45:00,,,,
37,11/7/2017 0:00,2.93,12.06,388.46,2017-11-07 00:00:00,,,,
38,11/7/2017 0:00,2.92,12.06,388.46,2017-11-07 00:15:00,,,,
39,11/7/2017 0:00,2.92,12.06,388.41,2017-11-07 00:30:00,,,,
40,11/7/2017 0:00,2.89,12.25,388.43,2017-11-07 00:45:00,,,,
41,11/7/2017 0:00,2.9,12.25,388.4,2017-11-07 01:00:00,,,,
42,11/7/2017 0:00,2.9,12.25,388.35,2017-11-07 01:15:00,,,,
43,11/7/2017 0:00,2.92,12.25,388.29,2017-11-07 01:30:00,,,,
44,11/7/2017 0:00,2.89,12.31,388.12,2017-11-07 01:45:00,,,,
45,11/7/2017 0:00,2.93,12.31,388.38,2017-11-07 02:00:00,,,,
46,11/7/2017 0:00,2.89,12.38,388.4,2017-11-07 02:15:00,,,,
47,11/7/2017 0:00,2.92,12.38,388.49,2017-11-07 02:30:00,,,,
48,11/7/2017 0:00,2.92,12.38,388.4,2017-11-07 02:45:00,,,,
49,11/7/2017 0:00,2.89,12.44,388.38,2017-11-07 03:00:00,,,,
50,11/7/2017 0:00,2.87,12.44,388.32,2017-11-07 03:15:00,,,,
51,11/7/2017 0:00,2.88,12.94,388.32,2017-11-07 03:30:00,,,,
52,11/7/2017 0:00,2.93,13.25,388.32,2017-11-07 03:45:00,,,,
53,11/7/2017 0:00,2.89,13.25,388.32,2017-11-07 04:00:00,,,,
54,11/7/2017 0:00,2.93,13.25,388.45,2017-11-07 04:15:00,,,,
55,11/7/2017 0:00,2.89,13.19,388.34,2017-11-07 04:30:00,,,,
56,11/7/2017 0:00,2.92,13.19,388.32,2017-11-07 04:45:00,,,,
57,11/7/2017 0:00,2.88,13.13,388.34,2017-11-07 05:00:00,,,,
58,11/7/2017 0:00,2.89,13,388.37,2017-11-07 05:15:00,,,,
59,11/7/2017 0:00,2.86,12.94,388.32,2017-11-07 05:30:00,,,,
60,11/7/2017 0:00,2.91,12.88,388.32,2017-11-07 05:45:00,,,,
61,11/7/2017 0:00,2.9,12.69,388.15,2017-11-07 06:00:00,,,,
62,11/7/2017 0:00,2.9,12.5,388.32,2017-11-07 06:15:00,,,,
63,11/7/2017 0:00,2.94,12.44,388.29,2017-11-07 06:30:00,,,,
64,11/7/2017 0:00,2.89,12.25,388.29,2017-11-07 06:45:00,,,,
65,11/7/2017 0:00,2.91,11.81,388.29,2017-11-07 07:00:00,,,,
66,11/7/2017 0:00,2.91,11.69,388.32,2017-11-07 07:15:00,,,,
67,11/7/2017 0:00,2.86,11.56,388.21,2017-11-07 07:30:00,,,,
68,11/7/2017 0:00,2.87,11.5,388.27,2017-11-07 07:45:00,,,,
69,11/7/2017 0:00,2.89,11.5,388.24,2017-11-07 08:00:00,,,,
70,11/7/2017 0:00,2.91,11.5,388.27,2017-11-07 08:15:00,,,,
71,11/7/2017 0:00,2.93,11.38,388.33,2017-11-07 08:30:00,,,,
72,11/7/2017 0:00,2.88,11.44,388.33,2017-11-07 08:45:00,,,,
73,11/7/2017 0:00,2.86,11.31,388.19,2017-11-07 09:00:00,,,,
74,11/7/2017 0:00,2.91,11.25,388.16,2017-11-07 09:15:00,,,,
75,11/7/2017 0:00,2.94,11,388.27,2017-11-07 09:30:00,,,,
76,11/7/2017 0:00,2.94,10.81,388.24,2017-11-07 09:45:00,,,,
77,11/7/2017 0:00,2.89,10.63,388.27,2017-11-07 10:00:00,,,,
78,11/7/2017 0:00,2.91,10.5,388.36,2017-11-07 10:15:00,,,,
79,11/7/2017 0:00,2.91,10.13,388.28,2017-11-07 10:30:00,,,,
80,11/7/2017 0:00,2.9,9.94,388.14,2017-11-07 10:45:00,,,,
81,11/7/2017 0:00,2.89,9.44,388.06,2017-11-07 11:00:00,,,,
82,11/7/2017 0:00,2.88,9.13,388,2017-11-07 11:15:00,,,,
83,11/7/2017 0:00,2.92,8.88,388.01,2017-11-07 11:30:00,,,,
84,11/7/2017 0:00,2.88,8.75,388.04,2017-11-07 11:45:00,,,,
85,11/7/2017 0:00,2.89,8.81,387.84,2017-11-07 12:00:00,,,,
86,11/7/2017 0:00,2.89,8.88,387.67,2017-11-07 12:15:00,,,,
87,11/7/2017 0:00,2.91,8.56,387.59,2017-11-07 12:30:00,,,,
88,11/7/2017 0:00,2.88,8.63,387.53,2017-11-07 12:45:00,,,,
89,11/7/2017 0:00,2.88,8.75,387.53,2017-11-07 13:00:00,,,,
90,11/7/2017 0:00,2.91,8.88,387.42,2017-11-07 13:15:00,,,,
91,11/7/2017 0:00,2.93,8.69,387.31,2017-11-07 13:30:00,,,,
92,11/7/2017 0:00,2.88,8.38,387.28,2017-11-07 13:45:00,,,,
93,11/7/2017 0:00,2.89,8.5,387.2,2017-11-07 14:00:00,,,,
94,11/7/2017 0:00,2.88,8.5,387.09,2017-11-07 14:15:00,,,,
95,11/7/2017 0:00,2.85,8.31,387.06,2017-11-07 14:30:00,,,,
96,11/7/2017 0:00,2.88,8.5,387,2017-11-07 14:45:00,,,,
97,11/7/2017 0:00,2.88,8.44,387.09,2017-11-07 15:00:00,,,,
98,11/7/2017 0:00,2.91,8.44,387.12,2017-11-07 15:15:00,,,,
99,11/7/2017 0:00,2.87,8.44,387.12,2017-11-07 15:30:00,,,,
100,11/7/2017 0:00,2.88,8.25,387.09,2017-11-07 15:45:00,,,,
101,11/7/2017 0:00,2.9,8,387.2,2017-11-07 16:00:00,,,,
102,11/7/2017 0:00,2.88,7.81,387.09,2017-11-07 16:15:00,,,,
103,11/7/2017 0:00,2.89,7.63,387.15,2017-11-07 16:30:00,,,,
104,11/7/2017 0:00,2.91,7.69,387.12,2017-11-07 16:45:00,,,,
105,11/7/2017 0:00,2.92,7.5,387.23,2017-11-07 17:00:00,,,,
106,11/7/2017 0:00,2.9,7.38,387.15,2017-11-07 17:15:00,,,,
107,11/7/2017 0:00,2.89,7.38,387.32,2017-11-07 17:30:00,,,,
108,11/7/2017 0:00,2.87,7.38,387.35,2017-11-07 17:45:00,,,,
109,11/7/2017 0:00,2.89,7.44,387.51,2017-11-07 18:00:00,,,,
110,11/7/2017 0:00,2.89,7.38,387.65,2017-11-07 18:15:00,,,,
111,11/7/2017 0:00,2.9,7.31,387.71,2017-11-07 18:30:00,,,,
112,11/7/2017 0:00,2.89,7.44,387.74,2017-11-07 18:45:00,,,,
113,11/7/2017 0:00,2.89,7.31,387.82,2017-11-07 19:00:00,,,,
114,11/7/2017 0:00,2.89,7.19,387.82,2017-11-07 19:15:00,,,,
115,11/7/2017 0:00,2.88,6.94,387.8,2017-11-07 19:30:00,,,,
116,11/7/2017 0:00,2.9,6.63,387.8,2017-11-07 19:45:00,,,,
117,11/7/2017 0:00,2.85,6.31,387.75,2017-11-07 20:00:00,,,,
118,11/7/2017 0:00,2.89,6.31,387.94,2017-11-07 20:15:00,,,,
119,11/7/2017 0:00,2.91,6.5,388,2017-11-07 20:30:00,,,,
120,11/7/2017 0:00,2.88,6.25,388.08,2017-11-07 20:45:00,,,,
121,11/7/2017 0:00,2.93,6.25,388.08,2017-11-07 21:00:00,,,,
122,11/7/2017 0:00,2.9,5.88,388.17,2017-11-07 21:15:00,,,,
123,11/7/2017 0:00,2.89,5.81,388.25,2017-11-07 21:30:00,,,,
124,11/7/2017 0:00,2.87,5.63,388.2,2017-11-07 21:45:00,,,,
125,11/7/2017 0:00,2.88,5.69,388.17,2017-11-07 22:00:00,,,,
126,11/7/2017 0:00,2.87,5.75,388.2,2017-11-07 22:15:00,,,,
127,11/7/2017 0:00,2.88,5.69,388.23,2017-11-07 22:30:00,,,,
128,11/7/2017 0:00,2.85,5.69,388.14,2017-11-07 22:45:00,,,,
129,11/7/2017 0:00,2.91,5.75,388.23,2017-11-07 23:00:00,,,,
130,11/7/2017 0:00,2.85,5.75,388.25,2017-11-07 23:15:00,,,,
131,11/7/2017 0:00,2.9,5.69,388.28,2017-11-07 23:30:00,,,,
132,11/7/2017 0:00,2.86,5.56,388.2,2017-11-07 23:45:00,,,,
133,11/8/2017 0:00,2.9,5.5,388.23,2017-11-08 00:00:00,,,,
134,11/8/2017 0:00,2.85,5.38,388.26,2017-11-08 00:15:00,,,,
135,11/8/2017 0:00,2.89,5.31,388.29,2017-11-08 00:30:00,,,,
136,11/8/2017 0:00,2.89,5.31,388.31,2017-11-08 00:45:00,,,,
137,11/8/2017 0:00,2.86,5.25,388.23,2017-11-08 01:00:00,,,,
138,11/8/2017 0:00,2.91,5.25,388.34,2017-11-08 01:15:00,,,,
139,11/8/2017 0:00,2.94,5.25,388.32,2017-11-08 01:30:00,,,,
140,11/8/2017 0:00,2.92,5.13,388.34,2017-11-08 01:45:00,,,,
141,11/8/2017 0:00,2.91,5.06,388.4,2017-11-08 02:00:00,,,,
142,11/8/2017 0:00,2.94,5,388.37,2017-11-08 02:15:00,,,,
143,11/8/2017 0:00,2.91,4.94,388.46,2017-11-08 02:30:00,,,,
144,11/8/2017 0:00,2.9,4.94,388.49,2017-11-08 02:45:00,,,,
145,11/8/2017 0:00,2.92,5,388.4,2017-11-08 03:00:00,,,,
146,11/8/2017 0:00,2.89,5,388.43,2017-11-08 03:15:00,,,,
147,11/8/2017 0:00,2.91,4.94,388.54,2017-11-08 03:30:00,,,,
148,11/8/2017 0:00,2.89,5,388.49,2017-11-08 03:45:00,,,,
149,11/8/2017 0:00,2.93,5,388.6,2017-11-08 04:00:00,,,,
150,11/8/2017 0:00,2.86,5,388.57,2017-11-08 04:15:00,,,,
151,11/8/2017 0:00,2.89,5.06,388.71,2017-11-08 04:30:00,,,,
152,11/8/2017 0:00,2.89,5.06,388.88,2017-11-08 04:45:00,,,,
153,11/8/2017 0:00,2.9,5,388.85,2017-11-08 05:00:00,,,,
154,11/8/2017 0:00,2.89,5,388.71,2017-11-08 05:15:00,,,,
155,11/8/2017 0:00,2.92,4.94,388.93,2017-11-08 05:30:00,,,,
156,11/8/2017 0:00,2.89,4.88,388.82,2017-11-08 05:45:00,,,,
157,11/8/2017 0:00,2.89,4.88,388.85,2017-11-08 06:00:00,,,,
158,11/8/2017 0:00,2.88,4.88,388.99,2017-11-08 06:15:00,,,,
159,11/8/2017 0:00,2.89,4.88,388.91,2017-11-08 06:30:00,,,,
160,11/8/2017 0:00,2.88,4.81,388.96,2017-11-08 06:45:00,,,,
161,11/8/2017 0:00,2.9,5,389.1,2017-11-08 07:00:00,,,,
162,11/8/2017 0:00,2.9,5,389.1,2017-11-08 07:15:00,,,,
163,11/8/2017 0:00,2.87,4.88,389.16,2017-11-08 07:30:00,,,,
164,11/8/2017 0:00,2.86,5.13,389.35,2017-11-08 07:45:00,,,,
165,11/8/2017 0:00,2.89,5.06,389.32,2017-11-08 08:00:00,,,,
166,11/8/2017 0:00,2.91,5.13,389.27,2017-11-08 08:15:00,,,,
167,11/8/2017 0:00,2.94,5.25,389.24,2017-11-08 08:30:00,,,,
168,11/8/2017 0:00,2.86,5.25,389.21,2017-11-08 08:45:00,,,,
169,11/8/2017 0:00,2.92,5.25,389.32,2017-11-08 09:00:00,,,,
170,11/8/2017 0:00,2.84,5.31,389.26,2017-11-08 09:15:00,,,,
171,11/8/2017 0:00,2.93,5.44,389.38,2017-11-08 09:30:00,,,,
172,11/8/2017 0:00,2.87,5.56,389.29,2017-11-08 09:45:00,,,,
173,11/8/2017 0:00,2.9,5.31,389.43,2017-11-08 10:00:00,,,,
174,11/8/2017 0:00,2.96,5.31,389.57,2017-11-08 10:15:00,,,,
175,11/8/2017 0:00,2.88,5.38,389.57,2017-11-08 10:30:00,,,,
176,11/8/2017 0:00,2.88,5.44,389.57,2017-11-08 10:45:00,,,,
177,11/8/2017 0:00,2.98,5.69,389.54,2017-11-08 11:00:00,,,,
178,11/8/2017 0:00,2.94,5.81,389.46,2017-11-08 11:15:00,,,,
179,11/8/2017 0:00,2.95,5.69,389.54,2017-11-08 11:30:00,,,,
180,11/8/2017 0:00,2.93,5.69,389.43,2017-11-08 11:45:00,,,,
181,11/8/2017 0:00,2.9,5.81,389.4,2017-11-08 12:00:00,,,,
182,11/8/2017 0:00,2.94,5.81,389.4,2017-11-08 12:15:00,,,,
183,11/8/2017 0:00,2.9,5.75,389.32,2017-11-08 12:30:00,,,,
