Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown, 0,-6.29999994998798E-05, 1.00067901611328, 0, 8.999999408843E-06, 4.54999972134829E-04, .153439998626709
,Block 1,unknown, 0, 0, 0, 0, 0, 0, 100


Field Calibration Data,,m,b, Cal Date
,Pressure, 1, 0,unknown
,Temperature, 1, 0,unknown
SensorSN,21309003
Sensor Type,PT2X
Sensor Name,INW Smart Sensor
Session Name,FCR_Inf2_15min
# Records, 14787
Sensor File,2/5/2014 10:06:07 AM ,FCR_Inf2_15min_020514.a4d

Barometric File,2/5/2014 10:38:09 AM ,FCRBV2013_020514.a4d
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0, 38353, 4.00000044464832E-06,-2.43999995291233E-04, 1.00351190567017, 0,-7.1999995270744E-05, 4.13400027900934E-03, 3.70159968733788E-02
,Block 1, 38353, 0, 0, 0, 0, 0, 0, 100

Barometric Field Calibration Data,,m,b
,Pressure, 1, 0
,Temperature, 1, 0

SensorSN,21204020
Sensor Type,PT2X
Sensor Name,Barometric Pressure (2)
Session Name,FCRBV2013
# Records, n/a

Statistical Data,,Pressure(in H2O),Temperature(degC),
,Sensor Range,30 psia,,
,Minimum,5.80,0.19,
,Maximum,10.15,21.56,
,Mean,7.02,9.11,
,Variance,0.195,35.211,
,Std Deviation,0.441,5.934,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time
1,4-Sep-13 10:21:43,6.09,16.94,391.99,4-Sep-13 10:15:00
2,4-Sep-13 10:36:43,6.11,16.94,392.01,4-Sep-13 10:30:00
3,4-Sep-13 10:51:43,6.11,17.06,392.04,4-Sep-13 10:45:00
4,4-Sep-13 11:06:43,6.10,17.13,392.04,4-Sep-13 11:00:00
5,4-Sep-13 11:21:43,6.05,17.19,391.99,4-Sep-13 11:15:00
6,4-Sep-13 11:36:43,6.08,17.31,391.98,4-Sep-13 11:30:00
7,4-Sep-13 11:51:43,6.03,17.38,391.93,4-Sep-13 11:45:00
8,4-Sep-13 12:06:43,6.07,17.50,391.93,4-Sep-13 12:00:00
9,4-Sep-13 12:21:43,6.04,17.63,391.87,4-Sep-13 12:15:00
10,4-Sep-13 12:36:43,6.04,17.75,391.84,4-Sep-13 12:30:00
11,4-Sep-13 12:51:43,6.06,17.81,391.82,4-Sep-13 12:45:00
12,4-Sep-13 13:06:43,6.06,17.88,391.79,4-Sep-13 13:00:00
13,4-Sep-13 13:21:43,6.02,17.94,391.73,4-Sep-13 13:15:00
14,4-Sep-13 13:36:43,6.07,18.06,391.70,4-Sep-13 13:30:00
15,4-Sep-13 13:51:43,6.06,18.19,391.68,4-Sep-13 13:45:00
16,4-Sep-13 14:06:43,6.02,18.19,391.62,4-Sep-13 14:00:00
17,4-Sep-13 14:21:43,5.98,18.31,391.56,4-Sep-13 14:15:00
18,4-Sep-13 14:36:43,6.01,18.44,391.51,4-Sep-13 14:30:00
19,4-Sep-13 14:51:43,6.04,18.50,391.48,4-Sep-13 14:45:00
20,4-Sep-13 15:06:43,5.99,18.56,391.42,4-Sep-13 15:00:00
21,4-Sep-13 15:21:43,5.96,18.56,391.37,4-Sep-13 15:15:00
22,4-Sep-13 15:36:43,6.01,18.63,391.37,4-Sep-13 15:30:00
23,4-Sep-13 15:51:43,5.97,18.69,391.31,4-Sep-13 15:45:00
24,4-Sep-13 16:06:43,5.94,18.69,391.23,4-Sep-13 16:00:00
25,4-Sep-13 16:21:43,6.05,18.75,391.28,4-Sep-13 16:15:00
26,4-Sep-13 16:36:43,5.97,18.75,391.25,4-Sep-13 16:30:00
27,4-Sep-13 16:51:43,5.93,18.75,391.20,4-Sep-13 16:45:00
28,4-Sep-13 17:06:43,5.96,18.75,391.23,4-Sep-13 17:00:00
29,4-Sep-13 17:21:43,5.91,18.69,391.20,4-Sep-13 17:15:00
30,4-Sep-13 17:36:43,5.94,18.69,391.20,4-Sep-13 17:30:00
31,4-Sep-13 17:51:43,5.94,18.63,391.20,4-Sep-13 17:45:00
32,4-Sep-13 18:06:43,5.91,18.63,391.20,4-Sep-13 18:00:00
33,4-Sep-13 18:21:43,5.96,18.56,391.23,4-Sep-13 18:15:00
34,4-Sep-13 18:36:43,5.95,18.56,391.23,4-Sep-13 18:30:00
35,4-Sep-13 18:51:43,5.95,18.50,391.26,4-Sep-13 18:45:00
36,4-Sep-13 19:06:43,5.96,18.44,391.28,4-Sep-13 19:00:00
37,4-Sep-13 19:21:43,5.96,18.38,391.31,4-Sep-13 19:15:00
38,4-Sep-13 19:36:43,5.96,18.38,391.34,4-Sep-13 19:30:00
39,4-Sep-13 19:51:43,5.96,18.31,391.37,4-Sep-13 19:45:00
40,4-Sep-13 20:06:43,5.98,18.25,391.42,4-Sep-13 20:00:00
41,4-Sep-13 20:21:43,5.95,18.19,391.45,4-Sep-13 20:15:00
42,4-Sep-13 20:36:43,5.95,18.13,391.48,4-Sep-13 20:30:00
43,4-Sep-13 20:51:43,5.97,18.06,391.54,4-Sep-13 20:45:00
44,4-Sep-13 21:06:43,6.01,18.00,391.59,4-Sep-13 21:00:00
45,4-Sep-13 21:21:43,5.98,17.94,391.65,4-Sep-13 21:15:00
46,4-Sep-13 21:36:43,5.90,17.88,391.62,4-Sep-13 21:30:00
47,4-Sep-13 21:51:43,6.03,17.88,391.73,4-Sep-13 21:45:00
48,4-Sep-13 22:06:43,5.97,17.75,391.73,4-Sep-13 22:00:00
49,4-Sep-13 22:21:43,5.97,17.75,391.79,4-Sep-13 22:15:00
50,4-Sep-13 22:36:43,6.00,17.69,391.84,4-Sep-13 22:30:00
51,4-Sep-13 22:51:43,5.97,17.63,391.87,4-Sep-13 22:45:00
52,4-Sep-13 23:06:43,5.96,17.56,391.84,4-Sep-13 23:00:00
53,4-Sep-13 23:21:43,6.00,17.56,391.90,4-Sep-13 23:15:00
54,4-Sep-13 23:36:43,5.96,17.50,391.90,4-Sep-13 23:30:00
55,4-Sep-13 23:51:43,5.99,17.50,391.93,4-Sep-13 23:45:00
56,5-Sep-13 00:06:43,5.99,17.44,391.96,5-Sep-13 00:00:00
57,5-Sep-13 00:21:43,5.94,17.44,391.90,5-Sep-13 00:15:00
58,5-Sep-13 00:36:43,5.95,17.38,391.90,5-Sep-13 00:30:00
59,5-Sep-13 00:51:43,5.98,17.38,391.93,5-Sep-13 00:45:00
60,5-Sep-13 01:06:43,6.02,17.38,391.98,5-Sep-13 01:00:00
61,5-Sep-13 01:21:43,5.98,17.31,391.96,5-Sep-13 01:15:00
62,5-Sep-13 01:36:43,5.99,17.31,391.93,5-Sep-13 01:30:00
63,5-Sep-13 01:51:43,5.99,17.25,391.90,5-Sep-13 01:45:00
64,5-Sep-13 02:06:43,6.03,17.19,391.90,5-Sep-13 02:00:00
65,5-Sep-13 02:21:43,5.98,17.19,391.87,5-Sep-13 02:15:00
66,5-Sep-13 02:36:43,5.93,17.13,391.82,5-Sep-13 02:30:00
67,5-Sep-13 02:51:43,5.94,17.13,391.73,5-Sep-13 02:45:00
