Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,Depth_ft,DO_mgL,PSAT
CCR,2015,2015-05-08 12:00:00,1.366,19.646,3.1025,4.2623,4.481,9.21732,100.7026
CCR,2015,2015-05-08 12:00:00,1.414,19.6036,3.1065,4.3653,4.64,9.23887,100.85247
CCR,2015,2015-05-08 12:00:00,1.463,19.5627,3.1104,4.3138,4.8,9.26689,101.07561
CCR,2015,2015-05-08 12:00:00,1.505,19.5253,2.8526,4.2623,4.938,9.29728,101.33124
CCR,2015,2015-05-08 12:00:00,1.546,19.4919,2.8605,4.2967,5.073,9.32975,101.61711
CCR,2015,2015-05-08 12:00:00,1.582,19.4626,2.8684,4.2623,5.191,9.34523,101.72601
CCR,2015,2015-05-08 12:00:00,1.618,19.4372,2.8407,4.2452,5.309,9.37972,102.0494
CCR,2015,2015-05-08 12:00:00,1.656,19.4151,2.797,4.331,5.432,9.38914,102.10663
CCR,2015,2015-05-08 12:00:00,1.694,19.3949,2.8049,4.228,5.559,9.38785,102.05117
CCR,2015,2015-05-08 12:00:00,1.737,19.3747,2.797,4.331,5.699,9.37659,101.88746
CCR,2015,2015-05-08 12:00:00,1.776,19.3512,2.7851,4.3138,5.827,9.34971,101.54752
CCR,2015,2015-05-08 12:00:00,1.808,19.3193,2.793,4.3482,5.931,9.32298,101.19237
CCR,2015,2015-05-08 12:00:00,1.83,19.2724,2.801,4.2452,6.005,9.30502,100.90233
CCR,2015,2015-05-08 12:00:00,1.851,19.2038,2.797,4.1937,6.071,9.29302,100.63323
CCR,2015,2015-05-08 12:00:00,1.875,19.1077,2.7851,4.2967,6.151,9.30236,100.53964
CCR,2015,2015-05-08 12:00:00,1.905,18.9817,2.797,4.2967,6.251,9.30382,100.30007
CCR,2015,2015-05-08 12:00:00,1.946,18.828,2.9597,4.2623,6.385,9.31948,100.15715
CCR,2015,2015-05-08 12:00:00,2,18.6538,2.9755,4.3482,6.562,9.33492,99.96937
CCR,2015,2015-05-08 12:00:00,2.052,18.471,2.9993,4.2623,6.731,9.36429,99.91185
CCR,2015,2015-05-08 12:00:00,2.097,18.2919,2.9874,4.228,6.881,9.37252,99.63493
CCR,2015,2015-05-08 12:00:00,2.14,18.1261,2.8486,4.2795,7.023,9.39334,99.51812
CCR,2015,2015-05-08 12:00:00,2.19,17.9789,2.8605,4.2623,7.184,9.42693,99.57289
CCR,2015,2015-05-08 12:00:00,2.254,17.8517,2.8764,4.2452,7.394,9.462,99.68227
CCR,2015,2015-05-08 12:00:00,2.312,17.7427,2.8486,4.2623,7.585,9.50428,99.90308
CCR,2015,2015-05-08 12:00:00,2.356,17.6494,2.4161,4.2967,7.729,9.54294,100.11637
CCR,2015,2015-05-08 12:00:00,2.393,17.5692,2.4201,4.2623,7.85,9.57676,100.3048
CCR,2015,2015-05-08 12:00:00,2.429,17.4992,2.4082,4.228,7.969,9.60769,100.4831
CCR,2015,2015-05-08 12:00:00,2.464,17.4365,2.4042,4.2967,8.083,9.6252,100.53559
CCR,2015,2015-05-08 12:00:00,2.496,17.3787,2.0472,4.3138,8.189,9.63638,100.53185
CCR,2015,2015-05-08 12:00:00,2.533,17.3241,2.0273,4.2452,8.31,9.64133,100.4696
CCR,2015,2015-05-08 12:00:00,2.573,17.2713,2.0234,4.2108,8.442,9.64059,100.35177
CCR,2015,2015-05-08 12:00:00,2.608,17.2197,2.0154,4.2623,8.555,9.6425,100.26406
CCR,2015,2015-05-08 12:00:00,2.641,17.1698,2.0551,4.2623,8.666,9.62564,99.98488
CCR,2015,2015-05-08 12:00:00,2.683,17.1226,1.9639,4.2795,8.803,9.6133,99.75856
CCR,2015,2015-05-08 12:00:00,2.729,17.0792,1.952,4.331,8.954,9.59912,99.5213
CCR,2015,2015-05-08 12:00:00,2.772,17.0405,1.9758,4.2967,9.094,9.59134,99.36049
CCR,2015,2015-05-08 12:00:00,2.808,17.0067,1.9718,4.2452,9.212,9.5933,99.31062
CCR,2015,2015-05-08 12:00:00,2.841,16.9769,1.825,4.331,9.322,9.60286,99.34772
CCR,2015,2015-05-08 12:00:00,2.873,16.9505,1.8528,4.2967,9.426,9.61782,99.4477
CCR,2015,2015-05-08 12:00:00,2.902,16.9269,1.8409,4.2452,9.522,9.63968,99.62458
CCR,2015,2015-05-08 12:00:00,2.931,16.9053,1.8329,4.2795,9.615,9.65175,99.70422
CCR,2015,2015-05-08 12:00:00,2.963,16.8848,1.829,4.5542,9.721,9.66309,99.77865
CCR,2015,2015-05-08 12:00:00,2.997,16.8646,1.8528,4.5885,9.833,9.67003,99.80808
CCR,2015,2015-05-08 12:00:00,3.027,16.8434,1.8448,4.537,9.931,9.67908,99.85724
CCR,2015,2015-05-08 12:00:00,3.06,16.8202,1.8329,4.5198,10.04,9.68562,99.87621
CCR,2015,2015-05-08 12:00:00,3.093,16.7942,1.7853,4.6228,10.148,9.69262,99.89395
CCR,2015,2015-05-08 12:00:00,3.123,16.7658,1.7893,4.4683,10.245,9.6962,99.87152
CCR,2015,2015-05-08 12:00:00,3.158,16.7354,1.7814,4.5713,10.361,9.70714,99.92046
CCR,2015,2015-05-08 12:00:00,3.194,16.7035,1.7695,4.5885,10.479,9.71342,99.91834
CCR,2015,2015-05-08 12:00:00,3.225,16.6701,1.7814,4.5885,10.58,9.71528,99.86739
CCR,2015,2015-05-08 12:00:00,3.258,16.6352,1.7774,4.2452,10.689,9.71646,99.8064
CCR,2015,2015-05-08 12:00:00,3.297,16.5984,1.7695,4.2623,10.816,9.71831,99.74829
CCR,2015,2015-05-08 12:00:00,3.337,16.5599,1.7972,4.331,10.949,9.72276,99.71324
CCR,2015,2015-05-08 12:00:00,3.376,16.5195,1.7615,4.2452,11.075,9.72257,99.62661
CCR,2015,2015-05-08 12:00:00,3.41,16.477,1.825,4.5713,11.187,9.71449,99.45483
CCR,2015,2015-05-08 12:00:00,3.441,16.4319,1.8329,4.5713,11.29,9.69885,99.20051
CCR,2015,2015-05-08 12:00:00,3.47,16.3845,1.8567,4.5027,11.384,9.69506,99.06271
CCR,2015,2015-05-08 12:00:00,3.509,16.3352,1.8409,4.5713,11.513,9.69197,98.92823
CCR,2015,2015-05-08 12:00:00,3.564,16.284,1.8409,4.5713,11.694,9.69064,98.8078
CCR,2015,2015-05-08 12:00:00,3.618,16.2315,1.8409,4.5713,11.871,9.69865,98.77985
CCR,2015,2015-05-08 12:00:00,3.671,16.1793,1.8329,4.537,12.043,9.70034,98.68798
CCR,2015,2015-05-08 12:00:00,3.728,16.1295,1.8329,4.5885,12.229,9.70711,98.6527
CCR,2015,2015-05-08 12:00:00,3.79,16.0835,1.8607,4.2967,12.434,9.71572,98.64398
CCR,2015,2015-05-08 12:00:00,3.853,16.0412,1.8448,4.2623,12.64,9.72948,98.6951
CCR,2015,2015-05-08 12:00:00,3.893,16.0026,1.829,4.228,12.774,9.73967,98.7175
CCR,2015,2015-05-08 12:00:00,3.917,15.9674,1.8329,4.2452,12.851,9.75317,98.78046
CCR,2015,2015-05-08 12:00:00,3.94,15.936,1.8329,4.2795,12.926,9.76564,98.84081
CCR,2015,2015-05-08 12:00:00,3.967,15.9081,2.071,4.4683,13.015,9.77779,98.905
CCR,2015,2015-05-08 12:00:00,4.001,15.8826,2.0869,4.5713,13.128,9.77935,98.86717
CCR,2015,2015-05-08 12:00:00,4.037,15.8582,2.1067,4.5542,13.246,9.78316,98.85432
CCR,2015,2015-05-08 12:00:00,4.067,15.8334,2.0869,4.4512,13.342,9.77349,98.70451
CCR,2015,2015-05-08 12:00:00,4.09,15.8064,2.2257,4.537,13.418,9.768,98.59249
CCR,2015,2015-05-08 12:00:00,4.112,15.7746,2.2336,4.5542,13.49,9.75691,98.41393
CCR,2015,2015-05-08 12:00:00,4.138,15.736,2.2217,4.5713,13.577,9.73695,98.13191
CCR,2015,2015-05-08 12:00:00,4.171,15.6904,2.2019,4.4683,13.685,9.71201,97.7855
CCR,2015,2015-05-08 12:00:00,4.212,15.6401,2.4915,4.4855,13.82,9.68083,97.36704
CCR,2015,2015-05-08 12:00:00,4.264,15.5879,2.4796,4.434,13.988,9.63462,96.79421
CCR,2015,2015-05-08 12:00:00,4.322,15.5359,2.4598,4.5198,14.179,9.58856,96.22451
CCR,2015,2015-05-08 12:00:00,4.372,15.4851,2.4598,4.537,14.345,9.5454,95.68727
CCR,2015,2015-05-08 12:00:00,4.416,15.4362,2.6661,4.5885,14.488,9.49781,95.11053
CCR,2015,2015-05-08 12:00:00,4.461,15.3889,2.6701,4.5198,14.635,9.44805,94.51628
CCR,2015,2015-05-08 12:00:00,4.504,15.3421,2.6701,4.5713,14.777,9.39393,93.88054
CCR,2015,2015-05-08 12:00:00,4.544,15.2955,2.6621,4.5713,14.908,9.34499,93.29793
CCR,2015,2015-05-08 12:00:00,4.583,15.2489,2.678,4.4855,15.037,9.30566,92.81226
CCR,2015,2015-05-08 12:00:00,4.627,15.2017,2.7256,4.5542,15.182,9.26372,92.30022
CCR,2015,2015-05-08 12:00:00,4.674,15.1524,2.7335,4.5198,15.333,9.21991,91.76618
CCR,2015,2015-05-08 12:00:00,4.718,15.0992,2.7137,4.4855,15.48,9.21373,91.59963
CCR,2015,2015-05-08 12:00:00,4.759,15.0408,2.7216,4.5198,15.612,9.21851,91.53173
CCR,2015,2015-05-08 12:00:00,4.797,14.9782,2.6542,4.6057,15.739,9.23187,91.54058
CCR,2015,2015-05-08 12:00:00,4.84,14.9134,2.6621,4.5542,15.88,9.25509,91.64244
CCR,2015,2015-05-08 12:00:00,4.886,14.848,2.6701,4.5198,16.032,9.26378,91.59886
CCR,2015,2015-05-08 12:00:00,4.932,14.7847,2.6542,4.5198,16.18,9.26138,91.44967
CCR,2015,2015-05-08 12:00:00,4.973,14.7255,2.6582,4.5542,16.314,9.26416,91.3599
CCR,2015,2015-05-08 12:00:00,5.011,14.6706,2.6621,4.5885,16.439,9.27052,91.31385
CCR,2015,2015-05-08 12:00:00,5.047,14.6184,2.6502,4.5027,16.558,9.26444,91.15057
CCR,2015,2015-05-08 12:00:00,5.079,14.5662,2.6582,4.6228,16.662,9.23514,90.75933
CCR,2015,2015-05-08 12:00:00,5.112,14.5119,2.8486,5.0692,16.772,9.22173,90.52056
CCR,2015,2015-05-08 12:00:00,5.15,14.456,2.8526,5.1035,16.898,9.21101,90.30534
CCR,2015,2015-05-08 12:00:00,5.192,14.4008,2.8407,5.1035,17.033,9.20555,90.1433
CCR,2015,2015-05-08 12:00:00,5.23,14.348,2.8565,5.1035,17.158,9.19149,89.90206
CCR,2015,2015-05-08 12:00:00,5.262,14.299,2.8645,4.949,17.262,9.17726,89.66684
CCR,2015,2015-05-08 12:00:00,5.292,14.2548,2.8526,4.7602,17.363,9.16014,89.41315
CCR,2015,2015-05-08 12:00:00,5.325,14.2152,2.8526,4.846,17.472,9.13082,89.04976
CCR,2015,2015-05-08 12:00:00,5.362,14.1779,2.8605,4.8288,17.591,9.10873,88.76188
CCR,2015,2015-05-08 12:00:00,5.394,14.1394,2.8565,4.7258,17.696,9.09237,88.52769
CCR,2015,2015-05-08 12:00:00,5.419,14.0953,2.8367,4.846,17.78,9.07205,88.24455
CCR,2015,2015-05-08 12:00:00,5.439,14.0417,2.8724,4.8803,17.845,9.05337,87.95939
CCR,2015,2015-05-08 12:00:00,5.465,13.9769,2.8446,4.743,17.929,9.03984,87.70306
CCR,2015,2015-05-08 12:00:00,5.501,13.9037,2.8526,4.7945,18.047,9.02252,87.3943
CCR,2015,2015-05-08 12:00:00,5.545,13.8288,2.9319,4.7773,18.193,9.00658,87.09616
CCR,2015,2015-05-08 12:00:00,5.594,13.7588,2.9319,4.7945,18.352,8.98117,86.71654
CCR,2015,2015-05-08 12:00:00,5.639,13.6962,2.9121,4.7602,18.5,8.95404,86.33523
CCR,2015,2015-05-08 12:00:00,5.678,13.6382,2.916,4.846,18.628,8.90615,85.76352
CCR,2015,2015-05-08 12:00:00,5.709,13.5793,2.9755,4.7773,18.73,8.85724,85.18152
CCR,2015,2015-05-08 12:00:00,5.728,13.5146,2.9795,4.7945,18.794,8.80516,84.55946
CCR,2015,2015-05-08 12:00:00,5.754,13.4401,2.9874,4.8803,18.879,8.76517,84.03655
CCR,2015,2015-05-08 12:00:00,5.792,13.3533,2.9835,4.846,19.002,8.7432,83.66455
CCR,2015,2015-05-08 12:00:00,5.832,13.2556,2.9755,4.7602,19.133,8.72036,83.26493
CCR,2015,2015-05-08 12:00:00,5.869,13.1489,2.9002,4.7773,19.256,8.71345,83.00158
CCR,2015,2015-05-08 12:00:00,5.907,13.0338,2.916,4.8288,19.38,8.70958,82.7519
CCR,2015,2015-05-08 12:00:00,5.943,12.9125,2.924,4.7773,19.499,8.7111,82.5422
CCR,2015,2015-05-08 12:00:00,5.985,12.7895,2.9081,4.7945,19.634,8.6988,82.19873
CCR,2015,2015-05-08 12:00:00,6.055,12.6694,3.285,4.5713,19.864,8.69165,81.91004
CCR,2015,2015-05-08 12:00:00,6.123,12.5555,3.3167,4.5885,20.087,8.69095,81.69382
CCR,2015,2015-05-08 12:00:00,6.179,12.4486,3.2969,4.537,20.272,8.68516,81.44287
CCR,2015,2015-05-08 12:00:00,6.233,12.3464,3.2969,4.5198,20.45,8.70849,81.47338
CCR,2015,2015-05-08 12:00:00,6.274,12.247,3.6738,4.8803,20.584,8.71606,81.36113
CCR,2015,2015-05-08 12:00:00,6.303,12.1496,3.6817,4.743,20.679,8.72662,81.28012
CCR,2015,2015-05-08 12:00:00,6.332,12.0541,3.6659,4.743,20.774,8.73891,81.21842
CCR,2015,2015-05-08 12:00:00,6.369,11.9621,3.6659,4.9318,20.897,8.75316,81.18092
CCR,2015,2015-05-08 12:00:00,6.412,11.8761,3.9317,4.7773,21.037,8.77441,81.21887
CCR,2015,2015-05-08 12:00:00,6.459,11.7967,3.9277,4.7773,21.192,8.80143,81.32176
CCR,2015,2015-05-08 12:00:00,6.508,11.7223,3.9317,4.743,21.352,8.82385,81.39056
CCR,2015,2015-05-08 12:00:00,6.55,11.6509,3.9237,4.8288,21.489,8.85491,81.54387
CCR,2015,2015-05-08 12:00:00,6.586,11.5814,3.9396,4.8288,21.607,8.88691,81.70856
CCR,2015,2015-05-08 12:00:00,6.622,11.5131,3.6659,4.7773,21.727,8.91791,81.8654
CCR,2015,2015-05-08 12:00:00,6.655,11.446,3.6659,4.846,21.834,8.94795,82.01482
CCR,2015,2015-05-08 12:00:00,6.691,11.3811,3.6778,4.8288,21.952,8.96986,82.09326
CCR,2015,2015-05-08 12:00:00,6.733,11.3195,3.6778,4.7258,22.089,8.98157,82.08404
CCR,2015,2015-05-08 12:00:00,6.78,11.2623,2.7772,4.8117,22.245,9.0033,82.17441
CCR,2015,2015-05-08 12:00:00,6.822,11.2085,2.797,4.7945,22.383,9.01883,82.21421
CCR,2015,2015-05-08 12:00:00,6.856,11.156,2.7891,4.7602,22.493,9.03702,82.28042
CCR,2015,2015-05-08 12:00:00,6.881,11.1028,2.793,4.7773,22.576,9.06639,82.44654
CCR,2015,2015-05-08 12:00:00,6.907,11.0482,2.5471,4.7945,22.66,9.09095,82.56561
CCR,2015,2015-05-08 12:00:00,6.937,10.9929,2.551,4.7602,22.759,9.11823,82.70745
CCR,2015,2015-05-08 12:00:00,6.971,10.9388,2.5312,4.7773,22.87,9.13667,82.771
CCR,2015,2015-05-08 12:00:00,7.008,10.8873,2.5233,4.7773,22.991,9.15547,82.84234
CCR,2015,2015-05-08 12:00:00,7.042,10.8389,2.2257,4.7945,23.103,9.16576,82.84246
CCR,2015,2015-05-08 12:00:00,7.067,10.7942,2.2217,4.8117,23.186,9.16791,82.77587
CCR,2015,2015-05-08 12:00:00,7.086,10.7535,2.2098,4.7773,23.248,9.17343,82.74749
CCR,2015,2015-05-08 12:00:00,7.111,10.7159,2.2257,4.846,23.33,9.18114,82.74465
CCR,2015,2015-05-08 12:00:00,7.147,10.6787,2.2297,4.7945,23.449,9.18694,82.7253
CCR,2015,2015-05-08 12:00:00,7.181,10.6389,2.2813,4.846,23.558,9.19212,82.69526
CCR,2015,2015-05-08 12:00:00,7.2,10.5939,2.2813,4.8288,23.624,9.1984,82.66509
CCR,2015,2015-05-08 12:00:00,7.217,10.5428,2.3051,4.8632,23.676,9.20711,82.64476
CCR,2015,2015-05-08 12:00:00,7.235,10.4875,2.2773,4.7773,23.736,9.21336,82.59418
CCR,2015,2015-05-08 12:00:00,7.256,10.4314,2.0908,4.846,23.805,9.22497,82.58994
CCR,2015,2015-05-08 12:00:00,7.288,10.3768,2.0789,4.8117,23.912,9.23183,82.54582
CCR,2015,2015-05-08 12:00:00,7.335,10.3251,2.0948,4.7773,24.067,9.25061,82.61368
CCR,2015,2015-05-08 12:00:00,7.382,10.2775,2.0829,4.7773,24.219,9.25609,82.57043
CCR,2015,2015-05-08 12:00:00,7.427,10.2347,1.9678,5.1207,24.367,9.26352,82.55379
CCR,2015,2015-05-08 12:00:00,7.465,10.1962,1.9718,5.0177,24.49,9.2566,82.4176
CCR,2015,2015-05-08 12:00:00,7.489,10.1617,1.9559,5.0692,24.569,9.2523,82.31261
CCR,2015,2015-05-08 12:00:00,7.506,10.131,1.9639,5.1207,24.626,9.2416,82.15807
CCR,2015,2015-05-08 12:00:00,7.531,10.1024,1.9559,5.052,24.708,9.22017,81.91248
CCR,2015,2015-05-08 12:00:00,7.56,10.0738,1.9559,5.0692,24.803,9.20997,81.76681
CCR,2015,2015-05-08 12:00:00,7.592,10.0433,1.9678,5.1035,24.907,9.19684,81.59161
CCR,2015,2015-05-08 12:00:00,7.63,10.0092,1.9599,5.1378,25.032,9.18222,81.39654
CCR,2015,2015-05-08 12:00:00,7.667,9.9701,1.9718,5.052,25.154,9.176,81.26648
CCR,2015,2015-05-08 12:00:00,7.693,9.9263,1.7695,5.0005,25.238,9.16882,81.11906
CCR,2015,2015-05-08 12:00:00,7.721,9.8798,1.7695,5.0863,25.33,9.17156,81.05422
CCR,2015,2015-05-08 12:00:00,7.757,9.8336,1.7734,5.0863,25.449,9.15073,80.78197
CCR,2015,2015-05-08 12:00:00,7.797,9.7899,1.7496,5.052,25.58,9.16495,80.82387
CCR,2015,2015-05-08 12:00:00,7.851,9.7488,1.7774,5.1378,25.759,9.16714,80.76458
CCR,2015,2015-05-08 12:00:00,7.921,9.7091,1.7734,4.9833,25.989,9.17083,80.72115
CCR,2015,2015-05-08 12:00:00,7.968,9.6698,1.7695,5.0348,26.142,9.17169,80.65362
CCR,2015,2015-05-08 12:00:00,7.999,9.6306,1.7655,5.0863,26.242,9.16472,80.51744
CCR,2015,2015-05-08 12:00:00,8.023,9.5915,1.71,4.8288,26.322,9.16725,80.46498
CCR,2015,2015-05-08 12:00:00,8.044,9.5529,1.6981,4.8117,26.392,9.16157,80.34139
CCR,2015,2015-05-08 12:00:00,8.069,9.5161,1.71,4.8632,26.473,9.15585,80.22105
CCR,2015,2015-05-08 12:00:00,8.098,9.4828,1.702,4.7945,26.57,9.15485,80.14881
CCR,2015,2015-05-08 12:00:00,8.131,9.453,1.7298,5.052,26.675,9.14813,80.0332
CCR,2015,2015-05-08 12:00:00,8.156,9.4256,1.6862,4.9833,26.758,9.14101,79.91872
CCR,2015,2015-05-08 12:00:00,8.168,9.3988,1.71,5.1378,26.8,9.14235,79.87951
CCR,2015,2015-05-08 12:00:00,8.183,9.3717,1.702,5.0863,26.846,9.13979,79.80552
CCR,2015,2015-05-08 12:00:00,8.204,9.3445,1.7298,5.0348,26.916,9.13134,79.68003
CCR,2015,2015-05-08 12:00:00,8.239,9.3178,1.71,4.8288,27.029,9.13368,79.64971
CCR,2015,2015-05-08 12:00:00,8.28,9.2927,1.706,4.8632,27.164,9.12408,79.51839
CCR,2015,2015-05-08 12:00:00,8.315,9.2698,1.71,4.743,27.281,9.10795,79.33437
CCR,2015,2015-05-08 12:00:00,8.344,9.2488,1.7139,4.8117,27.374,9.10087,79.23291
CCR,2015,2015-05-08 12:00:00,8.37,9.2278,1.7219,4.8288,27.46,9.09228,79.11847
CCR,2015,2015-05-08 12:00:00,8.386,9.2045,1.6981,4.8117,27.512,9.08253,78.98962
CCR,2015,2015-05-08 12:00:00,8.392,9.1774,1.71,4.7602,27.532,9.07106,78.83875
CCR,2015,2015-05-08 12:00:00,8.402,9.1466,1.702,4.846,27.566,9.06259,78.70708
CCR,2015,2015-05-08 12:00:00,8.435,9.1135,1.6584,4.8117,27.674,9.05663,78.593
CCR,2015,2015-05-08 12:00:00,8.492,9.08,1.6584,4.7602,27.859,9.05469,78.51319
CCR,2015,2015-05-08 12:00:00,8.55,9.0471,1.6346,4.7602,28.05,9.05503,78.45418
CCR,2015,2015-05-08 12:00:00,8.59,9.0151,1.6504,4.8117,28.181,9.06091,78.44492
CCR,2015,2015-05-08 12:00:00,8.617,8.9841,1.7734,4.7773,28.27,9.06375,78.41111
CCR,2015,2015-05-08 12:00:00,8.636,8.9551,1.7615,4.8117,28.335,9.05729,78.30066
CCR,2015,2015-05-08 12:00:00,8.662,8.9301,1.7695,4.7773,28.42,9.06472,78.3179
CCR,2015,2015-05-08 12:00:00,8.699,8.9102,1.7536,4.8117,28.541,9.05587,78.20398
CCR,2015,2015-05-08 12:00:00,8.734,8.8941,1.7615,4.7945,28.653,9.05941,78.20427
CCR,2015,2015-05-08 12:00:00,8.755,8.8796,1.6306,4.6057,28.723,9.0542,78.13208
CCR,2015,2015-05-08 12:00:00,8.764,8.8651,1.6584,4.5542,28.753,9.06251,78.17649
CCR,2015,2015-05-08 12:00:00,8.769,8.8497,1.6504,4.5027,28.77,9.06184,78.14179
CCR,2015,2015-05-08 12:00:00,8.776,8.8332,1.6385,4.5198,28.794,9.08544,78.31415
CCR,2015,2015-05-08 12:00:00,8.792,8.816,1.4441,4.537,28.846,9.10665,78.46446
CCR,2015,2015-05-08 12:00:00,8.815,8.7982,1.456,4.5713,28.921,9.12651,78.6019
CCR,2015,2015-05-08 12:00:00,8.843,8.7791,1.4521,4.5198,29.011,9.14156,78.69531
CCR,2015,2015-05-08 12:00:00,8.873,8.7578,1.4679,4.5885,29.111,9.17069,78.90551
CCR,2015,2015-05-08 12:00:00,8.907,8.7343,1.7219,4.5198,29.223,9.19787,79.09459
CCR,2015,2015-05-08 12:00:00,8.951,8.7101,1.7139,4.5542,29.366,9.20838,79.13876
CCR,2015,2015-05-08 12:00:00,8.995,8.6866,1.702,4.537,29.512,9.21275,79.13143
CCR,2015,2015-05-08 12:00:00,9.038,8.6644,1.71,4.5198,29.654,9.22693,79.21073
CCR,2015,2015-05-08 12:00:00,9.071,8.6433,1.7814,4.5542,29.76,9.22365,79.1422
CCR,2015,2015-05-08 12:00:00,9.102,8.6231,1.7734,4.537,29.861,9.22144,79.08466
CCR,2015,2015-05-08 12:00:00,9.138,8.6036,1.7734,4.4855,29.979,9.21575,78.99861
CCR,2015,2015-05-08 12:00:00,9.17,8.5845,1.7853,4.5885,30.084,9.19467,78.78151
CCR,2015,2015-05-08 12:00:00,9.202,8.5663,1.7655,4.5027,30.191,9.1942,78.74287
CCR,2015,2015-05-08 12:00:00,9.236,8.5492,1.6425,4.537,30.301,9.19209,78.69224
CCR,2015,2015-05-08 12:00:00,9.269,8.5339,1.6663,4.6228,30.41,9.19036,78.64825
CCR,2015,2015-05-08 12:00:00,9.301,8.5204,1.6544,4.5027,30.515,9.1729,78.47318
CCR,2015,2015-05-08 12:00:00,9.334,8.508,1.6385,4.5542,30.625,9.15621,78.30687
CCR,2015,2015-05-08 12:00:00,9.366,8.4957,1.7179,4.2795,30.729,9.14505,78.1882
CCR,2015,2015-05-08 12:00:00,9.396,8.4833,1.7298,4.2795,30.827,9.14529,78.1667
CCR,2015,2015-05-08 12:00:00,9.422,8.4705,1.6981,4.2967,30.911,9.12055,77.93108
CCR,2015,2015-05-08 12:00:00,9.445,8.4565,1.6981,4.3138,30.986,9.11139,77.82642
CCR,2015,2015-05-08 12:00:00,9.467,8.4407,1.6544,4.3138,31.061,9.09377,77.64612
CCR,2015,2015-05-08 12:00:00,9.495,8.4235,1.6385,4.2795,31.153,9.08385,77.52914
CCR,2015,2015-05-08 12:00:00,9.529,8.4057,1.6147,4.2452,31.263,9.07644,77.43242
CCR,2015,2015-05-08 12:00:00,9.57,8.3877,1.6346,4.3138,31.399,9.05994,77.25794
CCR,2015,2015-05-08 12:00:00,9.617,8.3699,1.6425,4.2795,31.552,9.04689,77.11328
