Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,Depth_ft,DO_mgL,PSAT
CCR,2015,2015-05-08 12:00:00,0.351,20.1271,1.706,3.9362,1.152,8.33236,91.91011
CCR,2015,2015-05-08 12:00:00,0.368,20.1259,1.702,4.022,1.207,8.40962,92.76008
CCR,2015,2015-05-08 12:00:00,0.394,20.1241,1.7139,4.0049,1.293,8.5085,93.84748
CCR,2015,2015-05-08 12:00:00,0.421,20.1216,1.706,3.9705,1.38,8.61967,95.0689
CCR,2015,2015-05-08 12:00:00,0.45,20.118,1.8409,4.3138,1.475,8.72124,96.18225
CCR,2015,2015-05-08 12:00:00,0.488,20.1135,1.829,4.3138,1.602,8.80618,97.11038
CCR,2015,2015-05-08 12:00:00,0.535,20.108,1.8409,4.2795,1.756,8.86694,97.76974
CCR,2015,2015-05-08 12:00:00,0.583,20.1019,1.8409,4.2967,1.914,8.91059,98.23915
CCR,2015,2015-05-08 12:00:00,0.619,20.0956,2.1027,4.3138,2.031,8.93884,98.53833
CCR,2015,2015-05-08 12:00:00,0.645,20.0896,2.1027,4.2623,2.116,8.94863,98.63451
CCR,2015,2015-05-08 12:00:00,0.662,20.0837,2.0829,4.2452,2.172,8.95461,98.68886
CCR,2015,2015-05-08 12:00:00,0.672,20.0768,2.0829,4.2623,2.205,8.94656,98.58663
CCR,2015,2015-05-08 12:00:00,0.692,20.0671,2.0988,4.2967,2.27,8.93424,98.43195
CCR,2015,2015-05-08 12:00:00,0.724,20.0536,2.0154,4.228,2.376,8.90698,98.10528
CCR,2015,2015-05-08 12:00:00,0.756,20.0371,2.0234,4.2452,2.479,8.88142,97.79168
CCR,2015,2015-05-08 12:00:00,0.786,20.0198,2.0432,4.331,2.578,8.86495,97.57683
CCR,2015,2015-05-08 12:00:00,0.812,20.0037,2.0392,4.228,2.665,8.85991,97.49026
CCR,2015,2015-05-08 12:00:00,0.835,19.99,2.0234,4.3138,2.74,8.86605,97.53121
CCR,2015,2015-05-08 12:00:00,0.852,19.9777,2.0273,4.3138,2.796,8.87846,97.64386
CCR,2015,2015-05-08 12:00:00,0.858,19.9656,2.0432,4.2623,2.815,8.895,97.8022
CCR,2015,2015-05-08 12:00:00,0.86,19.9525,2.0313,4.2452,2.823,8.90892,97.92977
CCR,2015,2015-05-08 12:00:00,0.87,19.9373,2.0194,4.022,2.854,8.91943,98.01566
CCR,2015,2015-05-08 12:00:00,0.893,19.9191,2.0194,3.9705,2.928,8.94173,98.22514
CCR,2015,2015-05-08 12:00:00,0.942,19.8982,2.0273,3.919,3.09,8.96285,98.41614
CCR,2015,2015-05-08 12:00:00,1.005,19.8747,2.0234,3.9877,3.296,8.9879,98.64505
CCR,2015,2015-05-08 12:00:00,1.062,19.8482,2.3011,4.2967,3.484,9.02464,98.99604
CCR,2015,2015-05-08 12:00:00,1.118,19.8188,2.2932,4.228,3.667,9.06388,99.36834
CCR,2015,2015-05-08 12:00:00,1.179,19.7877,2.2733,4.2795,3.868,9.10597,99.76789
CCR,2015,2015-05-08 12:00:00,1.228,19.7559,2.2813,4.3138,4.03,9.13669,100.04101
CCR,2015,2015-05-08 12:00:00,1.27,19.7229,2.2852,4.3482,4.166,9.16227,100.255
CCR,2015,2015-05-08 12:00:00,1.317,19.6865,3.0985,4.1937,4.321,9.19049,100.49079
