
Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown, 0,-6.29999994998798E-05, 1.00067901611328, 0, 8.999999408843E-06, 4.54999972134829E-04, .153439998626709
,Block 1,unknown, 0, 0, 0, 0, 0, 0, 100


Field Calibration Data,,m,b, Cal Date
,Pressure, 1, 0,unknown
,Temperature, 1, 0,unknown
SensorSN,21309003
Sensor Type,PT2X
Sensor Name,INW Smart Sensor
Session Name,FCR_inf_082817
# Records, 6714
Sensor File,11/6/2017 2:23:02 PM ,FCR_inf_11617.a4d

Barometric File,11/6/2017 1:30:30 PM ,FCR_BV_110617.a4d
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0, 38353, 4.00000044464832E-06,-2.43999995291233E-04, 1.00351190567017, 0,-7.1999995270744E-05, 4.13400027900934E-03, 3.70159968733788E-02
,Block 1, 38353, 0, 0, 0, 0, 0, 0, 100

Barometric Field Calibration Data,,m,b
,Pressure, 1, 0
,Temperature, 1, 0

SensorSN,21204020
Sensor Type,PT2X
Sensor Name,Barometric Pressure (2)
Session Name,FCR_BV_082817
# Records, n/a

Statistical Data,,Pressure(in H2O),Temperature(degC),
,Sensor Range,30 psia,,
,Minimum,2.27,3.00,
,Maximum,11.39,22.75,
,Mean,7.10,15.11,
,Variance,6.826,12.302,
,Std Deviation,2.613,3.507,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time
1,28-Aug-17 17:00:00,8.53,17.63,394.64,28-Aug-17 17:00:00
2,28-Aug-17 17:15:00,8.53,17.63,394.64,28-Aug-17 17:15:00
3,28-Aug-17 17:30:00,8.53,17.69,394.64,28-Aug-17 17:30:00
4,28-Aug-17 17:45:00,8.55,17.63,394.64,28-Aug-17 17:45:00
5,28-Aug-17 18:00:00,8.55,17.63,394.58,28-Aug-17 18:00:00
6,28-Aug-17 18:15:00,8.50,17.63,394.58,28-Aug-17 18:15:00
7,28-Aug-17 18:30:00,8.52,17.63,394.66,28-Aug-17 18:30:00
8,28-Aug-17 18:45:00,8.50,17.56,394.64,28-Aug-17 18:45:00
9,28-Aug-17 19:00:00,8.53,17.56,394.58,28-Aug-17 19:00:00
10,28-Aug-17 19:15:00,8.53,17.56,394.55,28-Aug-17 19:15:00
11,28-Aug-17 19:30:00,8.50,17.50,394.58,28-Aug-17 19:30:00
12,28-Aug-17 19:45:00,8.50,17.50,394.55,28-Aug-17 19:45:00
13,28-Aug-17 20:00:00,8.53,17.44,394.64,28-Aug-17 20:00:00
14,28-Aug-17 20:15:00,8.53,17.44,394.58,28-Aug-17 20:15:00
15,28-Aug-17 20:30:00,8.48,17.44,394.41,28-Aug-17 20:30:00
16,28-Aug-17 20:45:00,8.51,17.38,394.53,28-Aug-17 20:45:00
17,28-Aug-17 21:00:00,8.52,17.38,394.64,28-Aug-17 21:00:00
18,28-Aug-17 21:15:00,8.48,17.38,394.55,28-Aug-17 21:15:00
19,28-Aug-17 21:30:00,8.48,17.31,394.55,28-Aug-17 21:30:00
20,28-Aug-17 21:45:00,8.49,17.31,394.58,28-Aug-17 21:45:00
21,28-Aug-17 22:00:00,8.55,17.31,394.61,28-Aug-17 22:00:00
22,28-Aug-17 22:15:00,8.51,17.25,394.67,28-Aug-17 22:15:00
23,28-Aug-17 22:30:00,8.48,17.19,394.64,28-Aug-17 22:30:00
24,28-Aug-17 22:45:00,8.54,17.19,394.61,28-Aug-17 22:45:00
25,28-Aug-17 23:00:00,8.52,17.19,394.53,28-Aug-17 23:00:00
26,28-Aug-17 23:15:00,8.51,17.13,394.44,28-Aug-17 23:15:00
27,28-Aug-17 23:30:00,8.61,17.13,394.41,28-Aug-17 23:30:00
28,28-Aug-17 23:45:00,8.50,17.06,394.36,28-Aug-17 23:45:00
29,29-Aug-17 00:00:00,8.57,17.06,394.44,29-Aug-17 00:00:00
30,29-Aug-17 00:15:00,8.53,17.06,394.39,29-Aug-17 00:15:00
31,29-Aug-17 00:30:00,8.50,17.00,394.36,29-Aug-17 00:30:00
32,29-Aug-17 00:45:00,8.55,17.00,394.36,29-Aug-17 00:45:00
33,29-Aug-17 01:00:00,8.54,17.00,394.33,29-Aug-17 01:00:00
34,29-Aug-17 01:15:00,8.53,17.00,394.30,29-Aug-17 01:15:00
35,29-Aug-17 01:30:00,8.57,17.00,394.25,29-Aug-17 01:30:00
36,29-Aug-17 01:45:00,8.50,17.00,394.25,29-Aug-17 01:45:00
37,29-Aug-17 02:00:00,8.53,16.94,394.22,29-Aug-17 02:00:00
38,29-Aug-17 02:15:00,8.54,16.94,394.19,29-Aug-17 02:15:00
39,29-Aug-17 02:30:00,8.52,16.94,394.11,29-Aug-17 02:30:00
