Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-02-08 12:00:00,1.402256223,0.023370937,1.394171505,0.023236192,2019.248962,0.0047268,7.88E-05,153.1097062,3.276041667
FCR,2014,2014-02-09 12:00:00,1.359386218,0.022656437,1.353167624,0.022552794,1957.516155,0.003728298,6.21E-05,157.881166,3.944479167
FCR,2014,2014-02-10 12:00:00,1.383787134,0.023063119,1.373619848,0.022893664,1992.653473,0.005474805,9.12E-05,155.2146422,3.0775
FCR,2014,2014-02-11 12:00:00,1.357133552,0.022618893,1.373619848,0.022893664,1954.272315,0.007638658,0.000127311,158.5188676,2.107916667
FCR,2014,2014-02-12 12:00:00,1.852594212,0.03087657,1.404484451,0.023408074,2667.735665,0.103037818,0.001717297,135.3623395,0.692083333
FCR,2014,2014-02-13 12:00:00,4.619435164,0.076990586,4.07583479,0.06793058,6651.986635,0.185654174,0.003094236,52.15219654,0.208125
FCR,2014,2014-02-14 12:00:00,1.572306943,0.026205116,1.445982133,0.024099702,2264.121998,0.035109077,0.000585151,141.1550529,1.844375
FCR,2014,2014-02-15 12:00:00,1.448610511,0.024143509,1.440776547,0.024012942,2085.999135,0.009220079,0.000153668,148.6045607,2.6284375
FCR,2014,2014-02-16 12:00:00,1.361223119,0.022687052,1.353167624,0.022552794,1960.161292,0.010076354,0.000167939,158.3669738,2.143958333
FCR,2014,2014-02-17 12:00:00,1.28845818,0.021474303,1.292413097,0.021540218,1855.37978,0.006047892,0.000100798,166.8049848,2.4559375
FCR,2014,2014-02-18 12:00:00,1.32441858,0.022073643,1.317620309,0.021960338,1907.162755,0.00974634,0.000162439,162.77342,3.496875
FCR,2014,2014-02-19 12:00:00,1.754849974,0.0292475,1.509067213,0.02515112,2526.983963,0.040166125,0.000669435,128.2558938,4.7221875
FCR,2014,2014-02-20 12:00:00,1.83983982,0.030663997,1.836554832,0.030609247,2649.369341,0.007533898,0.000125565,116.7514991,4.459166667
FCR,2014,2014-02-21 12:00:00,3.005510515,0.050091842,3.133507204,0.05222512,4327.935141,0.102729155,0.001712153,80.01315769,5.647916667
FCR,2014,2014-02-22 12:00:00,2.379672794,0.039661213,2.280201435,0.038003357,3426.728824,0.024038433,0.000400641,90.95755224,5.490416667
FCR,2014,2014-02-23 12:00:00,1.906781204,0.031779687,1.859124706,0.030985412,2745.764933,0.011565805,0.000192763,112.8613589,6.047916667
FCR,2014,2014-02-24 12:00:00,1.701547998,0.028359133,1.692045091,0.028200752,2450.229117,0.009515263,0.000158588,126.4141852,5.130104167
FCR,2014,2014-02-25 12:00:00,1.603707882,0.026728465,1.605041395,0.02675069,2309.33935,0.006042108,0.000100702,133.9147784,3.851458333
FCR,2014,2014-02-26 12:00:00,1.577497641,0.026291627,1.572800633,0.026213344,2271.596603,0.004869146,8.12E-05,136.0792033,3.733020833
FCR,2014,2014-02-27 12:00:00,1.557228416,0.025953807,1.551424918,0.025857082,2242.408919,0.010691027,0.000178184,138.3512916,2.586041667
FCR,2014,2014-02-28 12:00:00,1.481023736,0.024683729,1.456417698,0.024273628,2132.67418,0.00889479,0.000148246,145.3023538,2.181979167
FCR,2014,2014-03-01 12:00:00,1.411279866,0.023521331,1.414822054,0.023580368,2032.243007,0.00777184,0.000129531,152.4071026,2.956041667
