Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1.000679016,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,0,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,New Session,,,,,,,,
# Records,6906,,,,,,,,
Sensor File,3/23/16 12:25,FCR_inf_15min_032316.a4d,,,,,,,
,,,,,,,,,
Barometric File,3/23/16 10:22,FCRBV_032316.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1.003511906,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,0,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,1.2,0.13,,,,,,
,Maximum,16.3,15.38,,,,,,
,Mean,9.59,5.27,,,,,,
,Variance,7.043,12.133,,,,,,
,Std Deviation,2.654,3.483,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,1/11/16,9.35,4.44,394,1/11/16 13:00,,,,
2,1/11/16,9.47,4.56,394.08,1/11/16 13:15,,,,
3,1/11/16,9.39,4.63,393.97,1/11/16 13:30,,,,
4,1/11/16,9.49,4.69,394.02,1/11/16 13:45,,,,
5,1/11/16,9.54,4.69,394.08,1/11/16 13:45,,,,
6,1/11/16,9.4,4.75,393.94,1/11/16 13:45,,,,
7,1/11/16,9.46,4.75,393.99,1/11/16 13:45,,,,
8,1/11/16,9.52,4.75,394.05,1/11/16 13:45,,,,
9,1/11/16,9.46,4.69,393.99,1/11/16 13:45,,,,
10,1/11/16,9.49,4.63,394.02,1/11/16 13:45,,,,
11,1/11/16,9.52,4.56,394.05,1/11/16 13:45,,,,
12,1/11/16,9.49,4.56,394.02,1/11/16 13:45,,,,
13,1/11/16,9.49,4.5,394.02,1/11/16 13:45,,,,
14,1/11/16,9.6,4.44,394.14,1/11/16 13:45,,,,
15,1/11/16,9.66,4.38,394.19,1/11/16 13:45,,,,
16,1/11/16,9.66,4.38,394.19,1/11/16 13:45,,,,
17,1/11/16,9.58,4.31,394.11,1/11/16 13:45,,,,
18,1/11/16,9.74,4.25,394.28,1/11/16 13:45,,,,
19,1/11/16,9.69,4.19,394.22,1/11/16 13:45,,,,
20,1/11/16,9.77,4.13,394.31,1/11/16 13:45,,,,
21,1/11/16,9.86,4.13,394.39,1/11/16 13:45,,,,
22,1/11/16,9.8,4.06,394.33,1/11/16 13:45,,,,
23,1/11/16,9.86,4,394.39,1/11/16 13:45,,,,
24,1/11/16,9.8,4,394.34,1/11/16 13:45,,,,
25,1/11/16,9.72,4,394.25,1/11/16 13:45,,,,
26,1/11/16,9.78,3.94,394.31,1/11/16 13:45,,,,
27,1/11/16,9.78,3.94,394.31,1/11/16 13:45,,,,
28,1/11/16,9.8,3.94,394.34,1/11/16 13:45,,,,
29,1/11/16,9.94,3.88,394.48,1/11/16 13:45,,,,
30,1/11/16,9.92,3.88,394.45,1/11/16 13:45,,,,
31,1/11/16,9.92,3.88,394.45,1/11/16 13:45,,,,
32,1/11/16,9.83,3.88,394.36,1/11/16 13:45,,,,
33,1/11/16,9.78,3.88,394.31,1/11/16 13:45,,,,
34,1/11/16,9.78,3.88,394.31,1/11/16 13:45,,,,
35,1/11/16,9.8,3.88,394.34,1/11/16 13:45,,,,
36,1/11/16,9.78,3.81,394.31,1/11/16 13:45,,,,
37,1/11/16,9.72,3.81,394.25,1/11/16 13:45,,,,
38,1/11/16,9.8,3.81,394.34,1/11/16 13:45,,,,
39,1/11/16,9.78,3.81,394.31,1/11/16 13:45,,,,
40,1/11/16,9.78,3.81,394.31,1/11/16 13:45,,,,
41,1/11/16,9.72,3.81,394.25,1/11/16 13:45,,,,
42,1/11/16,9.53,3.75,394.06,1/11/16 13:45,,,,
43,1/11/16,9.47,3.69,394,1/11/16 13:45,,,,
44,1/11/16,9.44,3.69,393.98,1/11/16 13:45,,,,
45,1/12/16,9.39,3.69,393.92,1/11/16 13:45,,,,
46,1/12/16,9.39,3.69,393.92,1/11/16 13:45,,,,
47,1/12/16,9.36,3.63,393.89,1/11/16 13:45,,,,
48,1/12/16,9.36,3.63,393.89,1/11/16 13:45,,,,
49,1/12/16,9.22,3.63,393.75,1/11/16 13:45,,,,
50,1/12/16,9.19,3.63,393.72,1/11/16 13:45,,,,
51,1/12/16,9.19,3.63,393.72,1/11/16 13:45,,,,
52,1/12/16,9.22,3.63,393.75,1/11/16 13:45,,,,
53,1/12/16,9.11,3.63,393.64,1/11/16 13:45,,,,
54,1/12/16,9.02,3.63,393.56,1/11/16 13:45,,,,
55,1/12/16,9.02,3.63,393.56,1/11/16 13:45,,,,
56,1/12/16,9.02,3.63,393.56,1/11/16 13:45,,,,
57,1/12/16,8.91,3.63,393.44,1/11/16 13:45,,,,
58,1/12/16,8.8,3.63,393.33,1/11/16 13:45,,,,
59,1/12/16,8.74,3.63,393.28,1/11/16 13:45,,,,
60,1/12/16,8.66,3.63,393.19,1/11/16 13:45,,,,
61,1/12/16,8.52,3.63,393.05,1/11/16 13:45,,,,
62,1/12/16,8.49,3.63,393.03,1/11/16 13:45,,,,
63,1/12/16,8.24,3.63,392.77,1/11/16 13:45,,,,
64,1/12/16,8.49,3.56,393.03,1/11/16 13:45,,,,
65,1/12/16,8.33,3.56,392.86,1/11/16 13:45,,,,
66,1/12/16,8.21,3.56,392.75,1/11/16 13:45,,,,
67,1/12/16,8.24,3.56,392.77,1/11/16 13:45,,,,
68,1/12/16,8.27,3.56,392.8,1/11/16 13:45,,,,
69,1/12/16,8.16,3.63,392.69,1/11/16 13:45,,,,
70,1/12/16,8.1,3.63,392.63,1/11/16 13:45,,,,
71,1/12/16,8.16,3.63,392.69,1/11/16 13:45,,,,
72,1/12/16,8.07,3.63,392.61,1/11/16 13:45,,,,
73,1/12/16,8.02,3.63,392.55,1/11/16 13:45,,,,
74,1/12/16,7.96,3.63,392.49,1/11/16 13:45,,,,
75,1/12/16,7.88,3.56,392.41,1/11/16 13:45,,,,
76,1/12/16,7.82,3.5,392.36,1/11/16 13:45,,,,
77,1/12/16,7.82,3.5,392.36,1/11/16 13:45,,,,
78,1/12/16,7.77,3.5,392.3,1/11/16 13:45,,,,
79,1/12/16,7.77,3.5,392.3,1/11/16 13:45,,,,
80,1/12/16,7.74,3.5,392.27,1/11/16 13:45,,,,
81,1/12/16,7.6,3.56,392.13,1/11/16 13:45,,,,
82,1/12/16,7.54,3.63,392.08,1/11/16 13:45,,,,
83,1/12/16,7.49,3.69,392.02,1/11/16 13:45,,,,
84,1/12/16,7.51,3.81,392.05,1/11/16 13:45,,,,
85,1/12/16,7.32,3.94,391.85,1/11/16 13:45,,,,
86,1/12/16,7.34,4.06,391.88,1/11/16 13:45,,,,
87,1/12/16,7.23,4.19,391.76,1/11/16 13:45,,,,
88,1/12/16,7.15,4.19,391.68,1/11/16 13:45,,,,
89,1/12/16,6.95,4.31,391.48,1/11/16 13:45,,,,
90,1/12/16,6.89,4.44,391.42,1/11/16 13:45,,,,
91,1/12/16,6.7,4.5,391.23,1/11/16 13:45,,,,
92,1/12/16,6.42,4.56,390.95,1/11/16 13:45,,,,
93,1/12/16,6.28,4.63,390.81,1/11/16 13:45,,,,
94,1/12/16,6.25,4.75,390.78,1/11/16 13:45,,,,
95,1/12/16,6.19,4.81,390.72,1/11/16 13:45,,,,
96,1/12/16,5.88,4.75,390.42,1/11/16 13:45,,,,
97,1/12/16,5.66,4.81,390.19,1/11/16 13:45,,,,
98,1/12/16,5.63,4.88,390.16,1/11/16 13:45,,,,
99,1/12/16,5.55,4.88,390.08,1/11/16 13:45,,,,
100,1/12/16,5.63,4.94,390.16,1/11/16 13:45,,,,
101,1/12/16,5.55,4.94,390.08,1/11/16 13:45,,,,
102,1/12/16,5.49,4.94,390.02,1/11/16 13:45,,,,
103,1/12/16,5.43,4.94,389.97,1/11/16 13:45,,,,
104,1/12/16,5.66,4.88,390.19,1/11/16 13:45,,,,
105,1/12/16,5.66,4.81,390.19,1/11/16 13:45,,,,
106,1/12/16,5.83,4.75,390.36,1/11/16 13:45,,,,
107,1/12/16,6.02,4.69,390.56,1/11/16 13:45,,,,
108,1/12/16,6.11,4.63,390.64,1/11/16 13:45,,,,
109,1/12/16,6.28,4.56,390.81,1/11/16 13:45,,,,
110,1/12/16,6.36,4.5,390.89,1/11/16 13:45,,,,
111,1/12/16,6.42,4.44,390.95,1/11/16 13:45,,,,
112,1/12/16,6.5,4.38,391.03,1/11/16 13:45,,,,
113,1/12/16,6.56,4.25,391.09,1/11/16 13:45,,,,
114,1/12/16,6.48,4.19,391.01,1/11/16 13:45,,,,
115,1/12/16,6.53,4.13,391.06,1/11/16 13:45,,,,
116,1/12/16,6.76,4.13,391.29,1/11/16 13:45,,,,
117,1/12/16,6.84,4.13,391.37,1/11/16 13:45,,,,
118,1/12/16,6.9,4.06,391.43,1/11/16 13:45,,,,
119,1/12/16,7.04,4.06,391.57,1/11/16 13:45,,,,
120,1/12/16,7.18,4.06,391.71,1/11/16 13:45,,,,
121,1/12/16,7.4,4.06,391.93,1/11/16 13:45,,,,
122,1/12/16,7.34,4,391.88,1/11/16 13:45,,,,
123,1/12/16,7.48,4,392.02,1/11/16 13:45,,,,
124,1/12/16,7.54,3.94,392.07,1/11/16 13:45,,,,
125,1/12/16,7.62,3.94,392.16,1/11/16 13:45,,,,
