Reservoir,Year,Date,Depth,Total_chlorophyll,Green_algae,Cyanobacteria,Diatoms,Cryptophyta
SHR,2014,2014-05-08,10.98,0.36,0,0.02,0.03,0.31
SHR,2014,2014-05-08,11.06,0.54,0,0,0.43,0.11
SHR,2014,2014-05-08,11.13,0.8,0.51,0,0,0.29
SHR,2014,2014-05-08,11.31,0.56,0,0,0.31,0.25
SHR,2014,2014-05-08,11.43,0.73,0,0,0.48,0.25
SHR,2014,2014-05-08,11.53,0.56,0,0.01,0.31,0.24
SHR,2014,2014-05-08,11.71,0.58,0,0,0.42,0.16
SHR,2014,2014-05-08,11.87,0.59,0,0.1,0.41,0.09
SHR,2014,2014-05-08,12.01,0.74,0.29,0,0.18,0.27
SHR,2014,2014-05-08,12.17,0.57,0,0,0.42,0.15
SHR,2014,2014-05-08,12.34,0.52,0.04,0,0.21,0.27
SHR,2014,2014-05-08,12.49,0.69,0.22,0,0.24,0.23
SHR,2014,2014-05-08,12.63,0.56,0,0,0.41,0.15
SHR,2014,2014-05-08,12.81,0.56,0,0,0.18,0.37
SHR,2014,2014-05-08,12.92,0.61,0,0,0.43,0.18
SHR,2014,2014-05-08,13.08,0.68,0,0.07,0.44,0.17
SHR,2014,2014-05-08,13.22,0.58,0,0,0.15,0.43
SHR,2014,2014-05-08,13.32,0.54,0,0,0.09,0.45
SHR,2014,2014-05-08,13.48,0.71,0.05,0,0.36,0.3
SHR,2014,2014-05-08,13.61,0.72,0.09,0,0.49,0.15
SHR,2014,2014-05-08,13.73,0.73,0.15,0,0.35,0.23
SHR,2014,2014-05-08,13.84,0.53,0,0,0.29,0.24
SHR,2014,2014-05-08,13.98,0.76,0,0.09,0.52,0.15
SHR,2014,2014-05-08,14.1,0.74,0.15,0,0.27,0.32
SHR,2014,2014-05-08,14.17,0.72,0.02,0.01,0.5,0.2
SHR,2014,2014-05-08,14.25,0.79,0.15,0,0.37,0.27
SHR,2014,2014-05-08,14.35,0.77,0,0,0.55,0.22
SHR,2014,2014-05-08,14.43,0.6,0,0,0.3,0.3
SHR,2014,2014-05-08,14.47,0.75,0.27,0.02,0.1,0.36
SHR,2014,2014-05-08,14.5,0.8,0.16,0.01,0.29,0.34
SHR,2014,2014-05-08,14.58,0.8,0,0,0.52,0.28
SHR,2014,2014-05-08,14.6,0.84,0.36,0,0.27,0.21
SHR,2014,2014-05-08,14.7,0.81,0.31,0,0.23,0.27
SHR,2014,2014-05-08,14.73,0.7,0,0,0.3,0.4
SHR,2014,2014-05-08,14.74,0.64,0,0,0.23,0.41
SHR,2014,2014-05-08,14.76,0.86,0.31,0,0.29,0.27
SHR,2014,2014-05-08,14.75,0.79,0.2,0,0.37,0.22
SHR,2014,2014-05-08,14.8,0.68,0,0,0.36,0.32
SHR,2014,2014-05-08,14.78,0.86,0.33,0,0.27,0.26
SHR,2014,2014-05-08,14.83,0.66,0.13,0,0.2,0.33
SHR,2014,2014-05-08,14.87,0.73,0,0.01,0.43,0.29
SHR,2014,2014-05-08,15.01,0.73,0,0,0.41,0.32
SHR,2014,2014-05-08,15.06,0.67,0,0,0.35,0.33
SHR,2014,2014-05-08,15.07,0.68,0.03,0,0.32,0.33
