Reservoir,Site,Year,Date,Depth,PAR,YSI_TEMP_C,YSI_DO_mgL,YSI_PSAT,pH,YSI_COND_uScm,YSI_ORP_mV,Notes
FCR,45,2017,2017-05-01 12:00:00,6.2,0.036,,,,,,,
FCR,45,2017,2017-05-01 12:00:00,8,,,,,,,,hits bottom
FCR,45,2017,2017-05-08 12:18:00,0.1,994.6,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,0.8,212.8,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,1.6,75.61,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,2.8,15.96,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,3.8,5.479,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,5,1.516,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,6.2,0.5436,,,,,,,
FCR,45,2017,2017-05-08 12:18:00,8,0.0762,,,,,,,
FCR,45,2017,2017-05-22 12:00:00,0.1,430.6,20.7,7.64,,,,,
FCR,45,2017,2017-05-22 12:00:00,0.8,171.2,,,,,,,
FCR,45,2017,2017-05-22 12:00:00,1.6,105.1,20.5,7.65,,,,,
FCR,45,2017,2017-05-22 12:00:00,2.8,45.71,15.4,8.45,,,,,
FCR,45,2017,2017-05-22 12:00:00,3.8,18.12,13,6.66,,,,,
FCR,45,2017,2017-05-22 12:00:00,5,7.624,10.6,8.42,,,,,
FCR,45,2017,2017-05-22 12:00:00,6.2,2.873,10.3,8.61,,,,,
FCR,45,2017,2017-05-22 12:00:00,8,0.9689,10.2,7.15,,,,,
FCR,45,2017,2017-05-29 12:00:00,0.1,745.5,21.5,8.74,104.7,,,,
FCR,45,2017,2017-05-29 12:00:00,0.8,126.4,20.6,8.69,102.7,,,,
FCR,45,2017,2017-05-29 12:00:00,1.6,44.59,18.7,9.62,109.1,,,,
FCR,45,2017,2017-05-29 12:00:00,2.8,13.17,15.6,9.61,102.2,,,,
FCR,45,2017,2017-05-29 12:00:00,3.8,5.922,13.1,6.6,66.3,,,,
FCR,45,2017,2017-05-29 12:00:00,5,1.862,11.1,7.36,72.4,,,,
FCR,45,2017,2017-05-29 12:00:00,6.2,0.8411,10.6,9.32,89,,,,
FCR,45,2017,2017-05-29 12:00:00,8,0.00286,10.4,7.8,82.6,,,,
FCR,45,2017,2017-05-30 15:46:00,0.1,785,22.9,8.9,110,,,,
FCR,45,2017,2017-05-30 15:46:00,0.8,270,18.7,8.8,98.5,,,,
FCR,45,2017,2017-05-30 15:46:00,1.6,121,17.4,8.85,97.3,,,,
FCR,45,2017,2017-05-30 15:46:00,2.8,41.4,16.8,8.68,94.6,,,,
FCR,45,2017,2017-05-30 15:46:00,3.8,15.15,16.2,8.21,88.3,,,,
FCR,45,2017,2017-05-30 15:46:00,5,3.679,15.3,8.27,87.5,,,,
FCR,45,2017,2017-05-30 15:46:00,6.2,1.107,14,7.9,81.1,,,,
FCR,45,2017,2017-05-30 15:46:00,8,0,10.5,7.05,67.6,,,,
FCR,45,2017,2017-05-30 15:57:00,5.5,,14,7.67,78.5,,,,
FCR,45,2017,2017-05-30 15:57:00,6.5,,12.1,5.49,54.1,,,,
FCR,45,2017,2017-05-30 15:57:00,7,,10.5,9.17,86.9,,,,
FCR,45,2017,2017-05-30 15:57:00,7.5,,10.5,8.85,83.9,,,,
FCR,45,2017,2017-06-01 13:30:00,0.1,618.8,,,,,,,
FCR,45,2017,2017-06-01 13:30:00,1.6,147.5,,,,,,,
FCR,45,2017,2017-06-01 13:30:00,3.8,19.43,,,,,,,
FCR,45,2017,2017-06-01 13:30:00,5,5.91,,,,,,,
FCR,45,2017,2017-06-01 13:30:00,6.2,1.985,,,,,,,
FCR,45,2017,2017-06-01 13:30:00,8,0.6199,,,,,,,
FCR,45,2017,2017-06-05 12:19:00,0.1,,22,8.46,103,,,,rainy
FCR,45,2017,2017-06-05 12:19:00,0.8,,22,8.47,103.2,,,,
FCR,45,2017,2017-06-05 12:19:00,1.6,,20.9,8.9,106.1,,,,
FCR,45,2017,2017-06-05 12:19:00,2.8,,17.7,9.63,107.2,,,,
FCR,45,2017,2017-06-05 12:19:00,3.8,,16.3,8.31,90.2,,,,
FCR,45,2017,2017-06-05 12:19:00,5,,14.8,6.73,70.8,,,,
FCR,45,2017,2017-06-05 12:19:00,6.2,,12.4,6.82,68.1,,,,
FCR,45,2017,2017-06-05 12:19:00,8,,11.3,8.82,85.8,,,,
FCR,45,2017,2017-06-12 11:00:00,0.1,435.7,23.9,8.93,111.4,,,,sunny
FCR,45,2017,2017-06-12 11:00:00,0.8,218.2,23,8.96,109.9,,,,
FCR,45,2017,2017-06-12 11:00:00,1.6,126.4,21.6,10,119.3,,,,
FCR,45,2017,2017-06-12 11:00:00,2.8,57.53,18.9,11.07,125.5,,,,
FCR,45,2017,2017-06-12 11:00:00,3.8,30.53,17.1,9.11,91.3,,,,
FCR,45,2017,2017-06-12 11:00:00,5,11.12,15.1,5.57,58.1,,,,
FCR,45,2017,2017-06-12 11:00:00,6.2,3.536,12,10.32,100.7,,,,
FCR,45,2017,2017-06-12 11:00:00,8,0.0038,11.7,0.72,7,,,,probably hit sediments here
FCR,45,2017,2017-06-19 13:54:00,0.1,200.6,,,,,,,passing clouds
FCR,45,2017,2017-06-19 13:54:00,0.8,78.67,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,1.6,34.32,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,2.8,17.03,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,3.8,8.427,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,5,3.066,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,6.2,1.082,,,,,,,
FCR,45,2017,2017-06-19 13:54:00,8,,,,,,,,hits bottom
FCR,45,2017,2017-06-26 10:57:00,0.1,594.4,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,0.8,215.5,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,1.6,196.4,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,2.8,72.7,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,3.8,37.1,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,5,12.36,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,6.2,3.821,,,,,,,
FCR,45,2017,2017-06-26 10:57:00,8,,,,,,,,hits bottom
FCR,45,2017,2017-07-05 12:00:00,0.1,64.83,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,0.8,24.32,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,1.6,12.93,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,2.8,4.65,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,3.8,2.51,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,5,0.988,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,6.2,0.348,,,,,,,
FCR,45,2017,2017-07-05 12:00:00,8,0,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,0.1,602.5,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,0.8,230,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,1.6,116.8,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,2.8,21.54,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,3.8,11.48,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,5,3.253,,,,,,,
FCR,45,2017,2017-07-10 11:00:00,6.2,0.9871,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,0.1,358.7,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,0.8,273.5,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,1.6,106.9,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,2.8,30.01,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,3.8,16.04,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,5,10.88,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,6.2,8.921,,,,,,,
FCR,45,2017,2017-07-11 12:19:00,8,8.384,,,,,,,bounced around a lot between 2/3/7 and settleted around 8
FCR,45,2017,2017-07-13 14:30:00,0.1,101.2,,,,,,,cloudy
FCR,45,2017,2017-07-13 14:30:00,0.8,24.81,,,,,,,
FCR,45,2017,2017-07-13 14:30:00,1.6,8.991,,,,,,,
FCR,45,2017,2017-07-13 14:30:00,2.8,2.267,,,,,,,
FCR,45,2017,2017-07-13 14:30:00,3.8,0.5369,,,,,,,
FCR,45,2017,2017-07-13 14:30:00,5,0.1287,,,,,,,
FCR,45,2017,2017-07-13 14:30:00,6.2,0.048,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,0.1,633.8,,,,,,,sunny
FCR,45,2017,2017-07-17 11:10:00,0.8,176.7,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,1.6,60.16,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,2.8,9.364,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,3.8,4.437,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,5,1.068,,,,,,,
FCR,45,2017,2017-07-17 11:10:00,6.2,0.1602,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,0.1,445.9,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,0.8,96.92,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,1.6,29.13,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,2.8,10.01,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,3.8,4.844,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,5,1.58,,,,,,,
FCR,45,2017,2017-07-24 10:58:00,6.2,0.2432,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,0.1,677.3,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,0.8,261.6,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,1.6,136.4,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,2.8,58.1,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,3.8,34.6,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,5,18.22,,,,,,,
FCR,45,2017,2017-07-31 12:45:00,6.2,13.57,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,0.1,274,,,,,,,some sun; but mosty cloudy
FCR,45,2017,2017-08-07 13:35:00,0.8,98,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,1.6,55.8,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,2.8,22.05,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,3.8,9.614,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,5,3.304,,,,,,,
FCR,45,2017,2017-08-07 13:35:00,6.2,0.4678,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,0.1,146.9,,,,,,,overcast/rainy/cloudy
FCR,45,2017,2017-08-14 12:50:00,0.8,72.26,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,1.6,34.99,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,2.8,19.15,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,3.8,10.42,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,5,2.916,,,,,,,
FCR,45,2017,2017-08-14 12:50:00,6.2,0.3796,,,,,,,
FCR,30,2017,2017-05-22 12:00:00,0.1,,21,7.66,,,,,
FCR,30,2017,2017-05-22 12:00:00,0.8,,20.6,7.61,,,,,
FCR,30,2017,2017-05-22 12:00:00,1.6,,19.8,8.83,,,,,
FCR,30,2017,2017-05-22 12:00:00,2.8,,16.6,9.16,,,,,
FCR,30,2017,2017-05-22 12:00:00,3.8,,13.2,6.05,,,,,
FCR,30,2017,2017-05-22 12:00:00,5,,11,7.56,,,,,
FCR,30,2017,2017-05-22 12:00:00,6.2,,10.4,5.69,,,,,
FCR,30,2017,2017-05-29 12:00:00,0.1,,21.3,8.79,105.8,,,,
FCR,30,2017,2017-05-29 12:00:00,0.8,,20.3,9.18,107.5,,,,
FCR,30,2017,2017-05-29 12:00:00,1.6,,18.3,9.97,112,,,,
FCR,30,2017,2017-05-29 12:00:00,2.8,,16,9.1,96.7,,,,
FCR,30,2017,2017-05-29 12:00:00,3.8,,13.8,5.62,57.3,,,,
FCR,30,2017,2017-05-29 12:00:00,5,,11.1,7.64,74,,,,
FCR,30,2017,2017-05-29 12:00:00,6.2,,10.5,8.38,80.2,,,,
FCR,30,2017,2017-05-30 15:32:00,0.1,814,23,9.19,112.1,,,,
FCR,30,2017,2017-05-30 15:32:00,0.8,57.96,18.6,8.59,97,,,,
FCR,30,2017,2017-05-30 15:32:00,1.6,48.14,17.7,8.54,94.7,,,,
FCR,30,2017,2017-05-30 15:32:00,2.8,27.75,17,8.3,90.8,,,,
FCR,30,2017,2017-05-30 15:32:00,3.8,10.31,16.4,8.91,96.3,,,,
FCR,30,2017,2017-05-30 15:32:00,5,2.509,15.5,8.58,91,,,,
FCR,30,2017,2017-05-30 15:32:00,6.2,0.123,12.7,4.13,41.5,,,,
FCR,30,2017,2017-06-01 13:30:00,0.1,1033,,,,,,,
FCR,30,2017,2017-06-01 13:30:00,1.6,190.2,,,,,,,
FCR,30,2017,2017-06-01 13:30:00,3.8,17.24,,,,,,,
FCR,30,2017,2017-06-01 13:30:00,5,3.868,,,,,,,
FCR,30,2017,2017-06-05 12:00:00,0.1,,22,8.48,103.5,,,,
FCR,30,2017,2017-06-05 12:00:00,0.8,,22,8.68,105.7,,,,
FCR,30,2017,2017-06-05 12:00:00,1.6,,20,10.61,124.3,,,,
FCR,30,2017,2017-06-05 12:00:00,2.8,,17.7,9.72,108.7,,,,
FCR,30,2017,2017-06-05 12:00:00,3.8,,16.5,8.31,90.7,,,,
FCR,30,2017,2017-06-05 12:00:00,5,,15,6.5,58.6,,,,
FCR,30,2017,2017-06-05 12:00:00,6.2,,13.5,4.63,47.2,,,,
FCR,30,2017,2017-06-12 11:22:00,0.1,,23.6,8.99,111.4,,,,
FCR,30,2017,2017-06-12 11:22:00,0.8,,22.9,9.02,110.3,,,,
FCR,30,2017,2017-06-12 11:22:00,1.6,,21.2,10.4,123.1,,,,
FCR,30,2017,2017-06-12 11:22:00,2.8,,19,10.85,122,,,,
FCR,30,2017,2017-06-12 11:22:00,3.8,,17,8.16,88.9,,,,
FCR,30,2017,2017-06-12 11:22:00,5,,15,5.65,58,,,,
FCR,30,2017,2017-06-12 11:22:00,6.2,,12.7,7.68,75.8,,,,
FCR,20,2017,2017-05-01 12:00:00,0.1,31.39,,,,,,,
FCR,20,2017,2017-05-01 12:00:00,0.8,10.83,,,,,,,
FCR,20,2017,2017-05-01 12:00:00,1.6,5.87,,,,,,,
FCR,20,2017,2017-05-01 12:00:00,2.8,2.225,,,,,,,
FCR,20,2017,2017-05-01 12:00:00,3.8,0.4835,,,,,,,
FCR,20,2017,2017-05-01 12:00:00,5,,,,,,,,hits bottom
FCR,20,2017,2017-05-08 12:20:00,0.1,958.3,,,,,,,
FCR,20,2017,2017-05-08 12:20:00,0.8,178.2,,,,,,,
FCR,20,2017,2017-05-08 12:20:00,1.6,75.63,,,,,,,
FCR,20,2017,2017-05-08 12:20:00,2.8,17.74,,,,,,,
FCR,20,2017,2017-05-08 12:20:00,3.8,0.0296,,,,,,,
FCR,20,2017,2017-05-22 12:00:00,0.1,210.5,21,7.65,,,,,
FCR,20,2017,2017-05-22 12:00:00,0.8,68.52,20.4,7.67,,,,,
FCR,20,2017,2017-05-22 12:00:00,1.6,27.05,19.1,8.11,,,,,
FCR,20,2017,2017-05-22 12:00:00,2.8,9.711,16.3,10.07,,,,,
FCR,20,2017,2017-05-22 12:00:00,3.8,3.195,13.3,3.61,,,,,
FCR,20,2017,2017-05-29 11:20:00,0.1,723.8,21.7,8.81,106.2,,,,
FCR,20,2017,2017-05-29 11:20:00,0.8,324,20.9,8.78,104.4,,,,
FCR,20,2017,2017-05-29 11:20:00,1.6,98.45,18.2,9.46,106.4,,,,
FCR,20,2017,2017-05-29 11:20:00,2.8,25.73,16.2,9.73,104.8,,,,
FCR,20,2017,2017-05-29 11:20:00,3.8,6.274,13.6,4.94,49.7,,,,
FCR,20,2017,2017-05-30 15:18:00,0.1,762,21.9,9.07,109.8,,,,
FCR,20,2017,2017-05-30 15:18:00,0.8,52.26,18.2,9.72,109,,,,
FCR,20,2017,2017-05-30 15:18:00,1.6,42.9,17.3,9.26,102,,,,
FCR,20,2017,2017-05-30 15:18:00,2.8,25.65,16.9,9.1,99.4,,,,
FCR,20,2017,2017-05-30 15:18:00,3.8,7.648,16.2,9.5,102.2,,,,
FCR,20,2017,2017-06-01 13:30:00,0.1,965,,,,,,,
FCR,20,2017,2017-06-01 13:30:00,1.6,145.9,,,,,,,
FCR,20,2017,2017-06-01 13:30:00,3.8,14.32,,,,,,,
FCR,20,2017,2017-06-05 11:38:00,0.1,,21.9,8.73,106.9,,,,
FCR,20,2017,2017-06-05 11:38:00,0.8,,21.3,9.11,109.4,,,,
FCR,20,2017,2017-06-05 11:38:00,1.6,,19.6,10.58,123,,,,
FCR,20,2017,2017-06-05 11:38:00,2.8,,18.1,10.75,121,,,,
FCR,20,2017,2017-06-05 11:38:00,3.8,,16.3,4.92,53.3,,,,
FCR,20,2017,2017-06-12 12:13:00,0.1,151.4,23.3,9.29,114.4,,,,cloud cover
FCR,20,2017,2017-06-12 12:13:00,0.8,68.75,22.5,9.55,116,,,,
FCR,20,2017,2017-06-12 12:13:00,1.6,30.97,21.7,10.17,121.6,,,,
FCR,20,2017,2017-06-12 12:13:00,2.8,11.35,19,10.85,123.6,,,,
FCR,20,2017,2017-06-12 12:13:00,3.8,2.677,16.7,5.25,56.6,,,,
FCR,20,2017,2017-06-19 14:15:00,0.1,522.1,,,,,,,passing clouds
FCR,20,2017,2017-06-19 14:15:00,0.8,288.8,,,,,,,
FCR,20,2017,2017-06-19 14:15:00,1.6,183.7,,,,,,,
FCR,20,2017,2017-06-19 14:15:00,2.8,66.42,,,,,,,
FCR,20,2017,2017-06-19 14:15:00,3.8,11.51,,,,,,,
FCR,20,2017,2017-06-26 11:24:00,0.1,569.1,,,,,,,
FCR,20,2017,2017-06-26 11:24:00,0.8,322.7,,,,,,,
FCR,20,2017,2017-06-26 11:24:00,1.6,107.1,,,,,,,
FCR,20,2017,2017-06-26 11:24:00,2.8,25.82,,,,,,,
FCR,20,2017,2017-06-26 11:24:00,3.8,,,,,,,,hits bottom
FCR,20,2017,2017-07-05 12:00:00,0.1,113.6,,,,,,,
FCR,20,2017,2017-07-05 12:00:00,0.8,32.77,,,,,,,
FCR,20,2017,2017-07-05 12:00:00,1.6,26.54,,,,,,,
FCR,20,2017,2017-07-05 12:00:00,2.8,7.51,,,,,,,
FCR,20,2017,2017-07-05 12:00:00,3.8,1.174,,,,,,,
FCR,20,2017,2017-07-10 10:10:00,0.1,475,,,,,,,
FCR,20,2017,2017-07-10 10:10:00,0.8,161,,,,,,,
FCR,20,2017,2017-07-10 10:10:00,1.6,37.7,,,,,,,
FCR,20,2017,2017-07-10 10:10:00,2.8,11.2,,,,,,,
FCR,20,2017,2017-07-10 10:10:00,3.8,2.43,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,0.1,535.3,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,0.8,164.4,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,1.6,78.3,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,2.8,28.05,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,3.8,20.29,,,,,,,
FCR,20,2017,2017-07-11 11:38:00,5,11.91,,,,,,,
FCR,20,2017,2017-07-13 12:30:00,0.1,622.1,,,,,,,
FCR,20,2017,2017-07-13 12:30:00,0.8,208.8,,,,,,,
FCR,20,2017,2017-07-13 12:30:00,1.6,92.13,,,,,,,
FCR,20,2017,2017-07-13 12:30:00,2.8,17.39,,,,,,,
FCR,20,2017,2017-07-13 12:30:00,3.8,2.988,,,,,,,
FCR,20,2017,2017-07-17 10:26:00,0.1,424.3,,,,,,,sunny
FCR,20,2017,2017-07-17 10:26:00,0.8,114.2,,,,,,,
FCR,20,2017,2017-07-17 10:26:00,1.6,35.19,,,,,,,
FCR,20,2017,2017-07-17 10:26:00,2.8,5.754,,,,,,,
FCR,20,2017,2017-07-17 10:26:00,3.8,1.191,,,,,,,
FCR,20,2017,2017-07-24 11:26:00,0.1,288.1,,,,,,,
FCR,20,2017,2017-07-24 11:26:00,0.8,51.15,,,,,,,
FCR,20,2017,2017-07-24 11:26:00,1.6,22.67,,,,,,,
FCR,20,2017,2017-07-24 11:26:00,2.8,3.396,,,,,,,
FCR,20,2017,2017-07-24 11:26:00,3.8,0.9022,,,,,,,
FCR,20,2017,2017-07-31 11:40:00,0.1,607.1,,,,,,,
FCR,20,2017,2017-07-31 11:40:00,0.8,260.1,,,,,,,
FCR,20,2017,2017-07-31 11:40:00,1.6,134.7,,,,,,,
FCR,20,2017,2017-07-31 11:40:00,2.8,46.7,,,,,,,
FCR,20,2017,2017-07-31 11:40:00,3.8,17.15,,,,,,,
FCR,20,2017,2017-08-07 12:45:00,0.1,147,,,,,,,cloudy/overcast/rainy
FCR,20,2017,2017-08-07 12:45:00,0.8,35.7,,,,,,,
FCR,20,2017,2017-08-07 12:45:00,1.6,22.2,,,,,,,
FCR,20,2017,2017-08-07 12:45:00,2.8,11.81,,,,,,,
FCR,20,2017,2017-08-07 12:45:00,3.8,3.93,,,,,,,
FCR,20,2017,2017-08-07 12:45:00,5,0,,,,,,,
FCR,20,2017,2017-08-14 13:43:00,0.1,147.7,,,,,,,overcast/rainy/cloudy
FCR,20,2017,2017-08-14 13:43:00,0.8,44.26,,,,,,,
FCR,20,2017,2017-08-14 13:43:00,1.6,27.11,,,,,,,
FCR,20,2017,2017-08-14 13:43:00,2.8,13.05,,,,,,,
FCR,20,2017,2017-08-14 13:43:00,3.8,1.214,,,,,,,
FCR,10,2017,2017-05-22 12:00:00,0.1,,20.5,7.63,,,,,
FCR,10,2017,2017-05-22 12:00:00,0.8,,20.2,7.91,,,,,
FCR,10,2017,2017-05-22 12:00:00,1.6,,19.6,8.22,,,,,
FCR,10,2017,2017-05-22 12:00:00,2.8,,16.6,10.06,,,,,
FCR,10,2017,2017-05-29 11:44:00,0.1,,22.3,8.78,106.8,,,,
FCR,10,2017,2017-05-29 11:44:00,0.8,,21.6,8.73,105.9,,,,
FCR,10,2017,2017-05-29 11:44:00,1.6,,18.5,9.13,103.2,,,,
FCR,10,2017,2017-05-29 11:44:00,2.8,,16,9.5,102.1,,,,
FCR,10,2017,2017-05-30 15:08:00,0.1,794,21.7,8.85,105.4,,,,
FCR,10,2017,2017-05-30 15:08:00,0.8,54.97,18.7,9.08,102.7,,,,
FCR,10,2017,2017-05-30 15:08:00,1.6,38.16,17.3,8.9,97.9,,,,
FCR,10,2017,2017-05-30 15:08:00,2.8,27.72,16.7,10.59,114.8,,,,
FCR,10,2017,2017-06-05 11:25:00,0.1,,21.9,8.61,104.7,,,,rainy
FCR,10,2017,2017-06-05 11:25:00,0.8,,21.3,9.39,112.6,,,,
FCR,10,2017,2017-06-05 11:25:00,1.6,,19.3,8.3,96.1,,,,
FCR,10,2017,2017-06-05 11:25:00,2.8,,17.6,11.02,122.2,,,,
FCR,10,2017,2017-06-12 12:26:00,0.1,,23.7,9.52,118,,,,
FCR,10,2017,2017-06-12 12:26:00,0.8,,22.4,9.86,119.6,,,,
FCR,10,2017,2017-06-12 12:26:00,1.6,,21.9,10.33,124.2,,,,
FCR,10,2017,2017-06-12 12:26:00,2.8,,18.9,10.58,119.5,,,,
