Reservoir,Year,Date,Depth,Secchi_m,Notes
SHR,2016,2016-06-29 13:00:00,NA,10.8,NA
SHR,2017,2016-07-29 13:00:00,NA,11.1,NA
SHR,2018,2016-08-17 12:00:00,NA,11.3,NA
