Reservoir,Year,Date,Depth,PAR,Notes
SHR,2016,2016-06-29 13:00:00,-0.1,1450,NA
SHR,2016,2016-06-29 13:00:00,0.1,950,NA
SHR,2016,2016-06-29 13:00:00,1,600,NA
SHR,2016,2016-06-29 13:00:00,2,560,NA
SHR,2016,2016-06-29 13:00:00,3,350,NA
SHR,2016,2016-06-29 13:00:00,4,122,NA
SHR,2016,2016-06-29 13:00:00,5,93,NA
SHR,2016,2016-06-29 13:00:00,6,73,NA
SHR,2016,2016-06-29 13:00:00,7,57,NA
SHR,2016,2016-06-29 13:00:00,8,43,NA
SHR,2016,2016-06-29 13:00:00,9,33,NA
SHR,2016,2016-06-29 13:00:00,10,25,NA
SHR,2016,2016-06-29 13:00:00,11,19,NA
SHR,2016,2016-06-29 13:00:00,12,14,NA
SHR,2016,2016-06-29 13:00:00,13,10,NA
SHR,2016,2016-06-29 13:00:00,14,7.5,NA
SHR,2016,2016-06-29 13:00:00,15,5.8,NA
SHR,2016,2016-06-29 13:00:00,16,5.8,NA
SHR,2016,2016-06-29 13:00:00,17,4.3,NA
SHR,2016,2016-06-29 13:00:00,18,3.5,NA
SHR,2016,2016-06-29 13:00:00,19,2.9,NA
SHR,2016,2016-06-29 13:00:00,20,2.4,NA
SHR,2016,2016-06-29 13:00:00,21,2.4,NA
SHR,2016,2016-06-29 13:00:00,22,7.3,sun out of clouds
SHR,2016,2016-06-29 13:00:00,23,4.9,NA
SHR,2016,2016-06-29 13:00:00,24,4.8,NA
SHR,2016,2016-06-29 13:00:00,25,3.7,NA
SHR,2016,2016-06-29 13:00:00,26,3.2,NA
SHR,2016,2016-06-29 13:00:00,27,2.8,NA
SHR,2016,2016-06-29 13:00:00,28,2.8,NA
SHR,2016,2016-07-29 13:00:00,NA,NA,NA
SHR,2016,2016-08-17 12:00:00,-0.1,1014,NA
SHR,2016,2016-08-17 12:00:00,0.1,922,NA
SHR,2016,2016-08-17 12:00:00,1,736,NA
SHR,2016,2016-08-17 12:00:00,2,560,NA
SHR,2016,2016-08-17 12:00:00,3,410,NA
SHR,2016,2016-08-17 12:00:00,4,380,NA
SHR,2016,2016-08-17 12:00:00,5,157,NA
SHR,2016,2016-08-17 12:00:00,6,155,NA
SHR,2016,2016-08-17 12:00:00,7,150.2,NA
SHR,2016,2016-08-17 12:00:00,8,143.3,NA
SHR,2016,2016-08-17 12:00:00,9,120,NA
SHR,2016,2016-08-17 12:00:00,10,90.2,NA
SHR,2016,2016-08-17 12:00:00,11,65.89,NA
SHR,2016,2016-08-17 12:00:00,12,48.73,NA
SHR,2016,2016-08-17 12:00:00,13,28.02,NA
SHR,2016,2016-08-17 12:00:00,14,20.59,NA
SHR,2016,2016-08-17 12:00:00,15,15.73,NA
SHR,2016,2016-08-17 12:00:00,16,15.23,NA
SHR,2016,2016-08-17 12:00:00,17,13.33,NA
SHR,2016,2016-08-17 12:00:00,18,9,NA
SHR,2016,2016-08-17 12:00:00,19,5.35,NA
SHR,2016,2016-08-17 12:00:00,20,5.2,NA
SHR,2016,2016-08-17 12:00:00,21,3.32,NA
SHR,2016,2016-08-17 12:00:00,22,3.21,NA
SHR,2016,2016-08-17 12:00:00,23,7.07,NA
SHR,2016,2016-08-17 12:00:00,24,2.1,NA
SHR,2016,2016-08-17 12:00:00,25,1.69,NA
SHR,2016,2016-08-17 12:00:00,26,1.152,NA
SHR,2016,2016-08-17 12:00:00,27,1.09,NA
SHR,2016,2016-08-17 12:00:00,28,0.89,NA
,,,,,`
