Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_041816,,,,,,,,
# Records,4971,,,,,,,,
Sensor File,6/9/2016 8:56,FCR_inf_15min_060916.a4d,,,,,,,
,,,,,,,,,
Barometric File,6/9/2016 9:16,FCRBV_060916.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV_041816,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,11.88,14.25,,,,,,
,Maximum,15.47,23.88,,,,,,
,Mean,13.53,18.13,,,,,,
,Variance,0.194,6.238,,,,,,
,Std Deviation,0.44,2.498,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,4/18/2016,9.98,17.88,401.34,2016-04-18 14:30:00,,,,
2,4/18/2016,9.93,17.94,401.28,2016-04-18 14:30:00,,,,
3,4/18/2016,9.96,18,401.2,2016-04-18 14:45:00,,,,
4,4/18/2016,9.94,18.06,401.06,2016-04-18 15:00:00,,,,
5,4/18/2016,9.93,18,400.97,2016-04-18 15:15:00,,,,
6,4/18/2016,9.95,17.94,400.89,2016-04-18 15:30:00,,,,
7,4/18/2016,9.93,17.81,400.81,2016-04-18 15:45:00,,,,
8,4/18/2016,9.85,17.75,400.61,2016-04-18 16:00:00,,,,
9,4/18/2016,9.75,17.69,400.5,2016-04-18 16:15:00,,,,
10,4/18/2016,9.92,17.56,400.64,2016-04-18 16:30:00,,,,
11,4/18/2016,9.9,17.5,400.61,2016-04-18 16:45:00,,,,
12,4/18/2016,9.86,17.38,400.53,2016-04-18 17:00:00,,,,
13,4/18/2016,9.83,17.25,400.45,2016-04-18 17:15:00,,,,
14,4/18/2016,9.82,17.13,400.36,2016-04-18 17:30:00,,,,
15,4/18/2016,9.86,17,400.39,2016-04-18 17:45:00,,,,
16,4/18/2016,9.82,16.94,400.34,2016-04-18 18:00:00,,,,
17,4/18/2016,9.83,16.88,400.31,2016-04-18 18:15:00,,,,
18,4/18/2016,9.91,16.75,400.34,2016-04-18 18:30:00,,,,
19,4/18/2016,9.82,16.63,400.23,2016-04-18 18:45:00,,,,
20,4/18/2016,9.79,16.5,400.25,2016-04-18 19:00:00,,,,
21,4/18/2016,9.84,16.38,400.31,2016-04-18 19:15:00,,,,
22,4/18/2016,9.83,16.25,400.31,2016-04-18 19:30:00,,,,
23,4/18/2016,9.79,16.19,400.34,2016-04-18 19:45:00,,,,
24,4/18/2016,9.76,16.06,400.37,2016-04-18 20:00:00,,,,
25,4/18/2016,9.77,16,400.42,2016-04-18 20:15:00,,,,
26,4/18/2016,9.77,15.94,400.48,2016-04-18 20:30:00,,,,
27,4/18/2016,9.74,15.88,400.48,2016-04-18 20:45:00,,,,
28,4/18/2016,9.79,15.81,400.54,2016-04-18 21:00:00,,,,
29,4/18/2016,9.76,15.75,400.54,2016-04-18 21:15:00,,,,
30,4/18/2016,9.78,15.69,400.54,2016-04-18 21:30:00,,,,
31,4/18/2016,9.78,15.63,400.51,2016-04-18 21:45:00,,,,
32,4/18/2016,9.72,15.63,400.45,2016-04-18 22:00:00,,,,
33,4/18/2016,9.75,15.56,400.51,2016-04-18 22:15:00,,,,
34,4/18/2016,9.78,15.56,400.51,2016-04-18 22:30:00,,,,
35,4/18/2016,9.77,15.5,400.4,2016-04-18 22:45:00,,,,
36,4/18/2016,9.77,15.5,400.37,2016-04-18 23:00:00,,,,
37,4/18/2016,9.74,15.44,400.34,2016-04-18 23:15:00,,,,
38,4/18/2016,9.79,15.44,400.37,2016-04-18 23:30:00,,,,
39,4/18/2016,9.62,15.44,400.17,2016-04-18 23:45:00,,,,
40,4/19/2016,9.8,15.38,400.31,2016-04-19 00:00:00,,,,
41,4/19/2016,9.76,15.38,400.29,2016-04-19 00:15:00,,,,
42,4/19/2016,9.73,15.25,400.23,2016-04-19 00:30:00,,,,
43,4/19/2016,9.76,15.25,400.26,2016-04-19 00:45:00,,,,
44,4/19/2016,9.76,15.19,400.26,2016-04-19 01:00:00,,,,
45,4/19/2016,9.77,15.13,400.23,2016-04-19 01:15:00,,,,
46,4/19/2016,9.72,15.13,400.18,2016-04-19 01:30:00,,,,
47,4/19/2016,9.57,15.06,399.95,2016-04-19 01:45:00,,,,
48,4/19/2016,9.78,15.06,400.12,2016-04-19 02:00:00,,,,
49,4/19/2016,9.73,15,400.06,2016-04-19 02:15:00,,,,
50,4/19/2016,9.74,15,400.04,2016-04-19 02:30:00,,,,
51,4/19/2016,9.77,14.94,400.07,2016-04-19 02:45:00,,,,
52,4/19/2016,9.76,14.94,400.07,2016-04-19 03:00:00,,,,
53,4/19/2016,9.66,14.94,399.95,2016-04-19 03:15:00,,,,
54,4/19/2016,9.75,14.88,400.04,2016-04-19 03:30:00,,,,
55,4/19/2016,9.77,14.81,400.04,2016-04-19 03:45:00,,,,
56,4/19/2016,9.77,14.81,400.01,2016-04-19 04:00:00,,,,
57,4/19/2016,9.74,14.81,399.98,2016-04-19 04:15:00,,,,
58,4/19/2016,9.73,14.75,399.98,2016-04-19 04:30:00,,,,
59,4/19/2016,9.76,14.75,400.01,2016-04-19 04:45:00,,,,
60,4/19/2016,9.69,14.75,399.93,2016-04-19 05:00:00,,,,
61,4/19/2016,9.78,14.69,400.01,2016-04-19 05:15:00,,,,
62,4/19/2016,9.71,14.69,400.04,2016-04-19 05:30:00,,,,
63,4/19/2016,9.68,14.69,400.04,2016-04-19 05:45:00,,,,
64,4/19/2016,9.77,14.63,400.18,2016-04-19 06:00:00,,,,
65,4/19/2016,9.67,14.56,400.04,2016-04-19 06:15:00,,,,
66,4/19/2016,9.67,14.56,400.07,2016-04-19 06:30:00,,,,
67,4/19/2016,9.64,14.56,400.15,2016-04-19 06:45:00,,,,
68,4/19/2016,9.74,14.56,400.23,2016-04-19 07:00:00,,,,
69,4/19/2016,9.74,14.56,400.29,2016-04-19 07:15:00,,,,
70,4/19/2016,9.69,14.56,400.29,2016-04-19 07:30:00,,,,
71,4/19/2016,9.71,14.63,400.32,2016-04-19 07:45:00,,,,
72,4/19/2016,9.73,14.69,400.35,2016-04-19 08:00:00,,,,
73,4/19/2016,9.71,14.69,400.32,2016-04-19 08:15:00,,,,
74,4/19/2016,9.64,14.81,400.21,2016-04-19 08:30:00,,,,
75,4/19/2016,9.7,14.88,400.26,2016-04-19 08:45:00,,,,
76,4/19/2016,9.8,15,400.29,2016-04-19 09:00:00,,,,
77,4/19/2016,9.63,15.13,400.15,2016-04-19 09:15:00,,,,
78,4/19/2016,9.7,15.31,400.2,2016-04-19 09:30:00,,,,
79,4/19/2016,9.77,15.44,400.29,2016-04-19 09:45:00,,,,
80,4/19/2016,9.77,15.63,400.23,2016-04-19 10:00:00,,,,
81,4/19/2016,9.82,15.81,400.2,2016-04-19 10:15:00,,,,
82,4/19/2016,9.72,15.94,400.12,2016-04-19 10:30:00,,,,
83,4/19/2016,9.85,16.06,400.2,2016-04-19 10:45:00,,,,
84,4/19/2016,9.69,16.31,399.98,2016-04-19 11:00:00,,,,
85,4/19/2016,9.83,16.5,399.97,2016-04-19 11:15:00,,,,
86,4/19/2016,9.96,16.69,399.97,2016-04-19 11:30:00,,,,
87,4/19/2016,9.76,16.88,399.86,2016-04-19 11:45:00,,,,
88,4/19/2016,9.79,17.06,399.78,2016-04-19 12:00:00,,,,
89,4/19/2016,9.89,17.25,399.86,2016-04-19 12:15:00,,,,
90,4/19/2016,9.79,17.5,399.72,2016-04-19 12:30:00,,,,
91,4/19/2016,9.9,17.69,399.77,2016-04-19 12:45:00,,,,
92,4/19/2016,9.86,17.81,399.63,2016-04-19 13:00:00,,,,
93,4/19/2016,9.89,17.94,399.58,2016-04-19 13:15:00,,,,
94,4/19/2016,9.79,18.13,399.38,2016-04-19 13:30:00,,,,
95,4/19/2016,9.84,18.19,399.35,2016-04-19 13:45:00,,,,
96,4/19/2016,9.84,18.25,399.3,2016-04-19 14:00:00,,,,
97,4/19/2016,9.9,18.31,399.27,2016-04-19 14:15:00,,,,
98,4/19/2016,9.8,18.31,399.16,2016-04-19 14:30:00,,,,
99,4/19/2016,9.78,18.31,399.07,2016-04-19 14:45:00,,,,
100,4/19/2016,9.88,18.31,399.07,2016-04-19 15:00:00,,,,
101,4/19/2016,9.77,18.25,398.93,2016-04-19 15:15:00,,,,
102,4/19/2016,9.92,18.19,399.05,2016-04-19 15:30:00,,,,
103,4/19/2016,9.78,18.13,398.82,2016-04-19 15:45:00,,,,
104,4/19/2016,9.93,18.06,398.91,2016-04-19 16:00:00,,,,
105,4/19/2016,9.79,17.94,398.77,2016-04-19 16:15:00,,,,
106,4/19/2016,9.75,17.88,398.74,2016-04-19 16:30:00,,,,
107,4/19/2016,9.82,17.69,398.74,2016-04-19 16:45:00,,,,
108,4/19/2016,9.86,17.63,398.83,2016-04-19 17:00:00,,,,
109,4/19/2016,9.75,17.5,398.66,2016-04-19 17:15:00,,,,
110,4/19/2016,9.8,17.38,398.69,2016-04-19 17:30:00,,,,
111,4/19/2016,9.79,17.31,398.69,2016-04-19 17:45:00,,,,
112,4/19/2016,9.77,17.19,398.72,2016-04-19 18:00:00,,,,
113,4/19/2016,9.81,17.06,398.77,2016-04-19 18:15:00,,,,
114,4/19/2016,9.8,17.06,398.77,2016-04-19 18:30:00,,,,
115,4/19/2016,9.8,17,398.83,2016-04-19 18:45:00,,,,
116,4/19/2016,9.66,16.94,398.72,2016-04-19 19:00:00,,,,
117,4/19/2016,9.78,16.81,398.88,2016-04-19 19:15:00,,,,
118,4/19/2016,9.67,16.75,398.8,2016-04-19 19:30:00,,,,
119,4/19/2016,9.69,16.69,398.91,2016-04-19 19:45:00,,,,
120,4/19/2016,9.71,16.63,399,2016-04-19 20:00:00,,,,
121,4/19/2016,9.75,16.56,399.14,2016-04-19 20:15:00,,,,
122,4/19/2016,9.75,16.5,399.19,2016-04-19 20:30:00,,,,
123,4/19/2016,9.71,16.44,399.22,2016-04-19 20:45:00,,,,
124,4/19/2016,9.72,16.44,399.28,2016-04-19 21:00:00,,,,
125,4/19/2016,9.68,16.38,399.28,2016-04-19 21:15:00,,,,
126,4/19/2016,9.68,16.38,399.36,2016-04-19 21:30:00,,,,
127,4/19/2016,9.67,16.31,399.39,2016-04-19 21:45:00,,,,
128,4/19/2016,9.72,16.31,399.47,2016-04-19 22:00:00,,,,
129,4/19/2016,9.77,16.31,399.5,2016-04-19 22:15:00,,,,
130,4/19/2016,9.65,16.31,399.5,2016-04-19 22:30:00,,,,
131,4/19/2016,9.7,16.31,399.58,2016-04-19 22:45:00,,,,
132,4/19/2016,9.61,16.25,399.56,2016-04-19 23:00:00,,,,
133,4/19/2016,9.65,16.25,399.56,2016-04-19 23:15:00,,,,
134,4/19/2016,9.63,16.19,399.61,2016-04-19 23:30:00,,,,
135,4/19/2016,9.71,16.13,399.72,2016-04-19 23:45:00,,,,
136,4/20/2016,9.71,16.06,399.75,2016-04-20 00:00:00,,,,
137,4/20/2016,9.66,16,399.73,2016-04-20 00:15:00,,,,
138,4/20/2016,9.7,16,399.78,2016-04-20 00:30:00,,,,
139,4/20/2016,9.71,15.94,399.84,2016-04-20 00:45:00,,,,
140,4/20/2016,9.7,15.88,399.84,2016-04-20 01:00:00,,,,
141,4/20/2016,9.59,15.88,399.75,2016-04-20 01:15:00,,,,
142,4/20/2016,9.58,15.88,399.89,2016-04-20 01:30:00,,,,
143,4/20/2016,9.61,15.88,399.98,2016-04-20 01:45:00,,,,
144,4/20/2016,9.63,15.81,400.03,2016-04-20 02:00:00,,,,
145,4/20/2016,9.6,15.81,399.98,2016-04-20 02:15:00,,,,
146,4/20/2016,9.5,15.75,399.89,2016-04-20 02:30:00,,,,
147,4/20/2016,9.66,15.69,400.09,2016-04-20 02:45:00,,,,
148,4/20/2016,9.69,15.69,400.17,2016-04-20 03:00:00,,,,
149,4/20/2016,9.61,15.63,400.15,2016-04-20 03:15:00,,,,
150,4/20/2016,9.55,15.56,400.15,2016-04-20 03:30:00,,,,
151,4/20/2016,9.65,15.5,400.31,2016-04-20 03:45:00,,,,
152,4/20/2016,9.67,15.5,400.37,2016-04-20 04:00:00,,,,
153,4/20/2016,9.7,15.44,400.43,2016-04-20 04:15:00,,,,
154,4/20/2016,9.59,15.38,400.37,2016-04-20 04:30:00,,,,
155,4/20/2016,9.67,15.31,400.54,2016-04-20 04:45:00,,,,
156,4/20/2016,9.65,15.25,400.59,2016-04-20 05:00:00,,,,
157,4/20/2016,9.64,15.19,400.68,2016-04-20 05:15:00,,,,
158,4/20/2016,9.58,15.13,400.68,2016-04-20 05:30:00,,,,
159,4/20/2016,9.61,15.06,400.76,2016-04-20 05:45:00,,,,
160,4/20/2016,9.62,15,400.85,2016-04-20 06:00:00,,,,
161,4/20/2016,9.59,14.94,400.79,2016-04-20 06:15:00,,,,
162,4/20/2016,9.57,14.88,400.85,2016-04-20 06:30:00,,,,
163,4/20/2016,9.66,14.88,401.02,2016-04-20 06:45:00,,,,
164,4/20/2016,9.65,14.81,401.1,2016-04-20 07:00:00,,,,
165,4/20/2016,9.63,14.81,401.18,2016-04-20 07:15:00,,,,
166,4/20/2016,9.66,14.81,401.27,2016-04-20 07:30:00,,,,
167,4/20/2016,9.65,14.81,401.29,2016-04-20 07:45:00,,,,
168,4/20/2016,9.64,14.81,401.32,2016-04-20 08:00:00,,,,
169,4/20/2016,9.67,14.81,401.43,2016-04-20 08:15:00,,,,
170,4/20/2016,9.68,14.81,401.43,2016-04-20 08:30:00,,,,
171,4/20/2016,9.58,14.88,401.41,2016-04-20 08:45:00,,,,
172,4/20/2016,9.72,14.88,401.55,2016-04-20 09:00:00,,,,
173,4/20/2016,9.54,14.94,401.38,2016-04-20 09:15:00,,,,
174,4/20/2016,9.62,15,401.49,2016-04-20 09:30:00,,,,
175,4/20/2016,9.65,15.13,401.52,2016-04-20 09:45:00,,,,
176,4/20/2016,9.65,15.25,401.54,2016-04-20 10:00:00,,,,
177,4/20/2016,9.66,15.38,401.54,2016-04-20 10:15:00,,,,
178,4/20/2016,9.73,15.5,401.57,2016-04-20 10:30:00,,,,
179,4/20/2016,9.64,15.69,401.54,2016-04-20 10:45:00,,,,
180,4/20/2016,9.63,15.81,401.51,2016-04-20 11:00:00,,,,
181,4/20/2016,9.69,16,401.54,2016-04-20 11:15:00,,,,
182,4/20/2016,9.67,16.19,401.51,2016-04-20 11:30:00,,,,
183,4/20/2016,9.6,16.38,401.43,2016-04-20 11:45:00,,,,
184,4/20/2016,9.68,16.5,401.51,2016-04-20 12:00:00,,,,
185,4/20/2016,9.59,16.63,401.34,2016-04-20 12:15:00,,,,
186,4/20/2016,9.62,16.81,401.4,2016-04-20 12:30:00,,,,
187,4/20/2016,9.56,17,401.28,2016-04-20 12:45:00,,,,
188,4/20/2016,9.65,17.06,401.28,2016-04-20 13:00:00,,,,
189,4/20/2016,9.68,17.19,401.23,2016-04-20 13:15:00,,,,
190,4/20/2016,9.58,17.38,401.14,2016-04-20 13:30:00,,,,
191,4/20/2016,9.58,17.44,401.14,2016-04-20 13:45:00,,,,
192,4/20/2016,9.65,17.56,401.14,2016-04-20 14:00:00,,,,
193,4/20/2016,9.52,17.63,400.98,2016-04-20 14:15:00,,,,
194,4/20/2016,9.69,17.63,401.06,2016-04-20 14:30:00,,,,
195,4/20/2016,9.67,17.63,400.95,2016-04-20 14:45:00,,,,
196,4/20/2016,9.62,17.63,400.89,2016-04-20 15:00:00,,,,
197,4/20/2016,9.55,17.56,400.7,2016-04-20 15:15:00,,,,
198,4/20/2016,9.69,17.5,400.72,2016-04-20 15:30:00,,,,
199,4/20/2016,9.7,17.44,400.7,2016-04-20 15:45:00,,,,
200,4/20/2016,9.65,17.31,400.61,2016-04-20 16:00:00,,,,
201,4/20/2016,9.62,17.19,400.59,2016-04-20 16:15:00,,,,
202,4/20/2016,9.59,17.06,400.53,2016-04-20 16:30:00,,,,
203,4/20/2016,9.62,17,400.5,2016-04-20 16:45:00,,,,
