Reservoir,Year,Date,Depth,PO4_ugL,NH4_ugL,NO3_ugL,TP_ugL,TN_ugL,OI TOC Conc (ppm),Used OI TIC Conc (ppm),OI TC Conc (ppm) by addition,Vario TIC Mean of 3 reps,Vario TC Mean of 3 reps,Vario TOC Mean of 3 reps,Vario TNb Mean of 3 reps
GWR,2016,2016-04-30 00:00:00,0.1,3.1,5.821376241,4.542577687,,,2.777,3.683,6.46,3.86415688,6.59004411,2.72588723,0.161009777
GWR,2016,2016-04-30 00:00:00,6,1.16,3.36838953,4.670524329,,,2.562,3.487,6.049,3.61741886,6.06595623,2.44853737,0.1271462
GWR,2016,2016-04-30 00:00:00,12,,,,11.9,224,,,,,,,
GWR,2016,2016-04-30 00:00:00,13,2.36,55.12540694,32.23937722,,,2.435,3.694,6.129,3.702286253,6.043860298,2.341574045,0.176272711
GWR,2016,2016-04-30 12:00:00,0.1,4.05,6.520803978,4.045648344,12.4,201,2.545,3.651,6.196,3.86317386,6.592115604,2.728941744,0.141027295
GWR,2016,2016-04-30 12:00:00,6,2.03,3.000596707,4.134199044,,,2.464,3.595,6.059,3.705562987,6.148125476,2.442562489,0.117937555
GWR,2016,2016-04-30 12:00:00,9,3.78,58.50144896,36.74782246,,,2.195,3.639,5.834,6.65888274,9.941375506,3.282492766,0.188293548
GWR,2016,2016-04-30 12:00:00,12,,,,8.210526316,146.3157895,,,,,,,
GWR,2016,2016-05-13 00:00:00,0.1,7.61,1.96,3.39,,,2.586,3.926637,6.512637,3.748815867,6.649081678,2.900265811,0.115137138
GWR,2016,2016-05-13 00:00:00,6,1.07,3.23,0.991,11.1,163,2.313,3.6887268,6.0017268,3.940177093,6.559316955,2.619139862,0.102902904
GWR,2016,2016-05-13 00:00:00,13,7.27,34.2,30.8,10.6,198,1.984,4.1729996,6.1569996,4.078127567,6.450218292,2.372090726,0.125194008
GWR,2016,2016-05-25 00:00:00,0.1,4.58,3.83,6.09,12.3,176,2.476,3.339941,5.815941,3.973599773,6.925971323,2.952371549,0.13428967
