Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
BVR,2014,2014-06-04 12:00:00,8,2491,937.9,8.6,6741,<10,1.6,1.6,1658,1935,<1,<1,<1,232.4,145.1,<1,<1,<1,<5,<0.5,<2.5,12.6,<0.1,<1,<1,<1,23,,<1,<1,2491,921.8,8.6,6741,<10,1.6,1.6,1658,1935,<1,<1,<1,232.4,141.6,<1,<1,<1,<5,<0.5,<2.5,12.4,<0.1,<1,<1,<1,23,,<1,<1
BVR,2014,2014-06-04 12:00:00,12,2502,1004,<5,6751,32.9,1.5,1.7,1860,2217,<1,<1,<1,8870,1296,1.9,<1,<1,<5,<0.5,<2.5,15,<0.1,<1,<1,<1,63.1,,<1,<1,2502,982.7,<5,6751,32.9,1.5,1.7,1860,2217,<1,<1,<1,8548,1247,1.8,<1,<1,<5,<0.5,<2.5,14.6,<0.1,<1,<1,<1,62.6,,<1,<1
BVR,2014,2014-06-18 12:00:00,0.1,2494,895.4,13.2,6460,<10,1.3,1.4,1569,1781,<1,<1,<1,331.4,14.4,<1,<1,<1,<5,<0.5,<2.5,11.8,<0.1,<1,<1,<1,15.8,,<1,<1,2494,884.3,13.2,6460,<10,1.3,1.4,1569,1773,<1,<1,<1,331.4,14.4,<1,<1,<1,<5,<0.5,<2.5,11.6,<0.1,<1,<1,<1,15.8,,<1,<1
BVR,2014,2014-06-18 12:00:00,4,2422,955.1,9.5,6453,<10,1.3,1.3,1534,1949,<1,<1,<1,311.4,31.4,<1,<1,<1,<5,<0.5,<2.5,13.1,<0.1,<1,<1,<1,19.7,,<1,<1,2422,937.8,9.5,6453,<10,1.3,1.3,1534,1949,<1,<1,<1,311.4,31.4,<1,<1,<1,<5,<0.5,<2.5,12.9,<0.1,<1,<1,<1,19.7,,<1,<1
BVR,2014,2014-06-18 12:00:00,8,2308,885.5,6.1,6293,<10,1.1,1.3,1566,1893,<1,<1,<1,670.5,352.1,<1,<1,<1,<5,<0.5,<2.5,12.3,<0.1,<1,<1,<1,29.2,,<1,<1,2308,885.5,6.1,6293,<10,1.1,1.3,1566,1893,<1,<1,<1,670.5,352.1,<1,<1,<1,<5,<0.5,<2.5,12.3,<0.1,<1,<1,<1,29.2,,<1,<1
BVR,2014,2014-06-18 12:00:00,12,2403,1031,6.5,6814,51,1.3,1.5,1916,2661,<1,<1,<1,35850,2544,3.2,<1,<1,<5,<0.5,<2.5,18.1,0.1,<1,<1,<1,101.7,,<1,<1,2403,1030,6.5,6814,51,1.3,1.5,1916,2661,<1,<1,<1,35850,2524,3.2,<1,<1,<5,<0.5,<2.5,18,0.1,<1,<1,<1,101.7,,<1,<1
BVR,2014,2014-06-25 12:00:00,0.1,2476,896.4,10.8,6492,<10,1.4,1.4,1588,1794,<1,<1,<1,414.2,17.4,<1,<1,<1,<5,<0.5,<2.5,11.9,<0.1,<1,<1,<1,16.5,,<1,<1,2476,896.4,10.8,6492,<10,1.4,1.4,1588,1794,<1,<1,<1,414.2,17.4,<1,<1,<1,<5,<0.5,<2.5,11.9,<0.1,<1,<1,<1,16.5,,<1,<1
BVR,2014,2014-06-25 12:00:00,4,2482,974.9,10.8,6517,<10,1.5,1.4,1576,2021,<1,<1,<1,384.7,35.5,<1,<1,<1,<5,<0.5,<2.5,13.6,<0.1,<1,<1,<1,21,,<1,<1,2482,948.6,10.8,6517,<10,1.5,1.4,1576,2021,<1,<1,<1,375.6,35.5,<1,<1,<1,<5,<0.5,<2.5,13.2,<0.1,<1,<1,<1,21,,<1,<1
BVR,2014,2014-06-25 12:00:00,8,2310,893.5,<5,6135,10.1,1.3,1.3,1592,1944,<1,<1,<1,696.2,517.6,<1,<1,<1,<5,<0.5,<2.5,12.9,<0.1,<1,<1,<1,47.2,,<1,<1,2310,893.5,<5,6135,10.1,1.3,1.3,1592,1944,<1,<1,<1,696.2,516.5,<1,<1,<1,<5,<0.5,<2.5,12.9,<0.1,<1,<1,<1,47.2,,<1,<1
BVR,2014,2014-06-25 12:00:00,12,2538,1149,7,7345,96.7,1.5,1.6,2153,3218,1,<1,<1,64700,3474,4,<1,<1,<5,<0.5,<2.5,22.4,0.4,<1,<1,<1,139.6,,<1,<1,2538,1078,7,7201,96.7,1.5,1.6,2153,3036,1,<1,<1,59770,3258,3.8,<1,<1,<5,<0.5,<2.5,21,0.4,<1,<1,<1,132.9,,<1,<1
