Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,TURB_ntu,COND_uScm,DO_mgL,PSAT
SHR,2016,2016-06-29 13:00:00,0.716,26.093,0.1229,0.0472,303.887597,8.43437,104.22751
SHR,2016,2016-06-29 13:00:00,0.727,26.1028,0.1332,0.0446,303.939685,8.42771,104.16367
SHR,2016,2016-06-29 13:00:00,0.743,26.113,0.1447,0.0376,303.987267,8.40583,103.91243
SHR,2016,2016-06-29 13:00:00,0.759,26.1232,0.1532,0.0268,304.026787,8.3869,103.69769
SHR,2016,2016-06-29 13:00:00,0.77,26.132,0.1578,0.0126,304.068787,8.38304,103.66643
SHR,2016,2016-06-29 13:00:00,0.781,26.1389,0.1603,0.0027,304.130562,8.38326,103.68217
SHR,2016,2016-06-29 13:00:00,0.792,26.1447,0.1627,0.0014,304.20625,8.40712,103.98816
SHR,2016,2016-06-29 13:00:00,0.799,26.15,0.1649,0.0025,304.285575,8.44426,104.45762
SHR,2016,2016-06-29 13:00:00,0.805,26.1552,0.1655,0.0007,304.359233,8.46355,104.70616
SHR,2016,2016-06-29 13:00:00,0.819,26.1602,0.1656,0.0023,304.418438,8.47669,104.87823
SHR,2016,2016-06-29 13:00:00,0.842,26.1653,0.1665,0.0099,304.462737,8.48749,105.02159
SHR,2016,2016-06-29 13:00:00,0.859,26.1711,0.1669,0.0201,304.497849,8.50253,105.2187
SHR,2016,2016-06-29 13:00:00,0.873,26.1779,0.1648,0.0319,304.529079,8.49951,105.19429
SHR,2016,2016-06-29 13:00:00,0.883,26.1849,0.1599,0.0418,304.556631,8.48741,105.05791
SHR,2016,2016-06-29 13:00:00,0.89,26.1909,0.1508,0.0466,304.577701,8.48551,105.0457
SHR,2016,2016-06-29 13:00:00,0.903,26.195,0.1391,0.0486,304.606032,8.5039,105.28127
SHR,2016,2016-06-29 13:00:00,0.918,26.1973,0.1311,0.0509,304.663393,8.52765,105.57971
SHR,2016,2016-06-29 13:00:00,0.934,26.1984,0.1306,0.0482,304.73462,8.5588,105.96751
SHR,2016,2016-06-29 13:00:00,0.943,26.1988,0.1368,0.0421,304.78591,8.56826,106.08539
SHR,2016,2016-06-29 13:00:00,0.945,26.1986,0.1464,0.0425,304.800482,8.5626,106.01492
SHR,2016,2016-06-29 13:00:00,0.945,26.1977,0.1552,0.0425,304.790345,8.55175,105.87882
SHR,2016,2016-06-29 13:00:00,0.949,26.1961,0.1613,0.0331,304.781229,8.54129,105.74624
SHR,2016,2016-06-29 13:00:00,0.956,26.1939,0.1653,0.0231,304.772735,8.52115,105.49271
SHR,2016,2016-06-29 13:00:00,0.966,26.1914,0.1689,0.0202,304.752443,8.50577,105.29752
SHR,2016,2016-06-29 13:00:00,0.973,26.1885,0.1717,0.0191,304.731188,8.50028,105.22411
SHR,2016,2016-06-29 13:00:00,0.977,26.1851,0.1717,0.016,304.713456,8.50287,105.24959
SHR,2016,2016-06-29 13:00:00,0.979,26.1812,0.1704,0.0124,304.682334,8.50497,105.26817
SHR,2016,2016-06-29 13:00:00,0.984,26.1762,0.1699,0.0084,304.641706,8.49987,105.1956
SHR,2016,2016-06-29 13:00:00,0.99,26.1686,0.1694,0.0066,304.6112,8.48716,105.02373
SHR,2016,2016-06-29 13:00:00,1.003,26.1561,0.1687,0.012,304.598926,8.46165,104.68438
SHR,2016,2016-06-29 13:00:00,1.011,26.1359,0.1682,0.0227,304.599579,8.44582,104.4503
SHR,2016,2016-06-29 13:00:00,1.018,26.1046,0.1676,0.0278,304.597086,8.43953,104.31332
SHR,2016,2016-06-29 13:00:00,1.024,26.0626,0.1675,0.0287,304.568444,8.44771,104.335
SHR,2016,2016-06-29 13:00:00,1.033,26.018,0.1687,0.0358,304.49383,8.46,104.40222
SHR,2016,2016-06-29 13:00:00,1.046,25.9842,0.1693,0.0397,304.359438,8.47548,104.52916
SHR,2016,2016-06-29 13:00:00,1.061,25.9702,0.1683,0.0334,304.151771,8.49473,104.73982
SHR,2016,2016-06-29 13:00:00,1.072,25.9742,0.1675,0.0301,303.860123,8.50316,104.85128
SHR,2016,2016-06-29 13:00:00,1.074,25.9878,0.1687,0.0323,303.530588,8.509,104.94919
SHR,2016,2016-06-29 13:00:00,1.07,26.0022,0.1694,0.0315,303.298644,8.51892,105.0989
SHR,2016,2016-06-29 13:00:00,1.067,26.0098,0.1666,0.0262,303.262836,8.52162,105.14673
SHR,2016,2016-06-29 13:00:00,1.064,26.0037,0.1635,0.0231,303.372984,8.53298,105.2753
SHR,2016,2016-06-29 13:00:00,1.06,25.9817,0.1628,0.0249,303.510225,8.53268,105.22954
SHR,2016,2016-06-29 13:00:00,1.06,25.9491,0.1626,0.0251,303.611662,8.52247,105.04143
SHR,2016,2016-06-29 13:00:00,1.071,25.9155,0.1634,0.0225,303.647499,8.53179,105.09214
SHR,2016,2016-06-29 13:00:00,1.088,25.8864,0.1658,0.0201,303.582627,8.549,105.24847
SHR,2016,2016-06-29 13:00:00,1.101,25.8609,0.1674,0.0171,303.403819,8.56705,105.42173
SHR,2016,2016-06-29 13:00:00,1.103,25.8372,0.1674,0.0173,303.150711,8.58218,105.56236
SHR,2016,2016-06-29 13:00:00,1.104,25.8163,0.1672,0.0231,302.924341,8.6054,105.80764
SHR,2016,2016-06-29 13:00:00,1.11,25.7998,0.1678,0.0279,302.771949,8.61094,105.84396
SHR,2016,2016-06-29 13:00:00,1.12,25.7876,0.1679,0.0297,302.63867,8.61887,105.91781
SHR,2016,2016-06-29 13:00:00,1.13,25.7783,0.1678,0.0322,302.486925,8.64283,106.19431
SHR,2016,2016-06-29 13:00:00,1.142,25.7707,0.1682,0.0329,302.339191,8.6716,106.53302
SHR,2016,2016-06-29 13:00:00,1.152,25.7644,0.1683,0.0272,302.223075,8.69306,106.78437
SHR,2016,2016-06-29 13:00:00,1.163,25.7597,0.168,0.0182,302.134002,8.7045,106.91576
SHR,2016,2016-06-29 13:00:00,1.179,25.7574,0.1679,0.0093,302.058368,8.70712,106.94343
SHR,2016,2016-06-29 13:00:00,1.195,25.758,0.1669,0.0027,301.998338,8.70038,106.86175
SHR,2016,2016-06-29 13:00:00,1.21,25.7609,0.1658,0.0012,301.950086,8.68281,106.65158
SHR,2016,2016-06-29 13:00:00,1.221,25.7638,0.166,0.0021,301.912925,8.67563,106.569
SHR,2016,2016-06-29 13:00:00,1.218,25.7643,0.1672,0.0044,301.89522,8.67321,106.54029
SHR,2016,2016-06-29 13:00:00,1.205,25.7618,0.1682,0.0146,301.904429,8.67818,106.59647
SHR,2016,2016-06-29 13:00:00,1.202,25.7574,0.1702,0.0308,301.943008,8.68018,106.61251
SHR,2016,2016-06-29 13:00:00,1.213,25.7529,0.1728,0.0379,301.982664,8.68195,106.62547
SHR,2016,2016-06-29 13:00:00,1.233,25.7493,0.1736,0.0342,301.987273,8.68621,106.67087
SHR,2016,2016-06-29 13:00:00,1.252,25.7466,0.1732,0.0337,301.949946,8.6956,106.78091
SHR,2016,2016-06-29 13:00:00,1.264,25.744,0.1734,0.0352,301.891187,8.71596,107.02575
SHR,2016,2016-06-29 13:00:00,1.266,25.741,0.1741,0.032,301.835937,8.73751,107.2845
SHR,2016,2016-06-29 13:00:00,1.26,25.7374,0.1746,0.0303,301.791793,8.74037,107.31262
SHR,2016,2016-06-29 13:00:00,1.26,25.7336,0.1757,0.0342,301.759166,8.74982,107.42112
SHR,2016,2016-06-29 13:00:00,1.277,25.73,0.177,0.0356,301.735445,8.75325,107.45623
SHR,2016,2016-06-29 13:00:00,1.295,25.7271,0.1774,0.0303,301.708214,8.76286,107.56852
SHR,2016,2016-06-29 13:00:00,1.313,25.7254,0.1772,0.0248,301.664118,8.77337,107.69425
SHR,2016,2016-06-29 13:00:00,1.328,25.7248,0.1772,0.0177,301.601552,8.78103,107.78707
SHR,2016,2016-06-29 13:00:00,1.337,25.7255,0.1776,0.0083,301.538346,8.78883,107.88414
SHR,2016,2016-06-29 13:00:00,1.34,25.7276,0.1804,0.0009,301.492165,8.79967,108.02134
SHR,2016,2016-06-29 13:00:00,1.347,25.7315,0.1887,-0.002,301.462873,8.81025,108.15885
SHR,2016,2016-06-29 13:00:00,1.364,25.7374,0.2003,0.0025,301.452811,8.81257,108.19894
SHR,2016,2016-06-29 13:00:00,1.387,25.7441,0.2092,0.0143,301.451173,8.80012,108.05931
SHR,2016,2016-06-29 13:00:00,1.406,25.7498,0.2151,0.0275,301.44737,8.7896,107.94133
SHR,2016,2016-06-29 13:00:00,1.424,25.7532,0.2192,0.0306,301.458662,8.78658,107.91087
SHR,2016,2016-06-29 13:00:00,1.436,25.7549,0.2196,0.0267,301.494151,8.79008,107.95723
SHR,2016,2016-06-29 13:00:00,1.445,25.7558,0.2166,0.0253,301.540966,8.80318,108.11994
SHR,2016,2016-06-29 13:00:00,1.448,25.7566,0.2116,0.0212,301.577077,8.81414,108.25615
SHR,2016,2016-06-29 13:00:00,1.45,25.7576,0.2024,0.0111,301.597902,8.82646,108.40948
SHR,2016,2016-06-29 13:00:00,1.457,25.7596,0.1901,0.006,301.606968,8.82888,108.44305
SHR,2016,2016-06-29 13:00:00,1.467,25.7622,0.1811,0.0104,301.6006,8.83324,108.50176
SHR,2016,2016-06-29 13:00:00,1.478,25.7642,0.1763,0.0161,301.589282,8.84058,108.59592
