Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1.000679016,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,0,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,21309003,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_15min,,,,,,,,
# Records,5937,,,,,,,,
Sensor File,8/4/14 10:14,FCR_inf_15min_080414.a4d,,,,,,,
,,,,,,,,,
Barometric File,8/4/14 10:47,FCRBV_080414.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1.003511906,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,0,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,21204020,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,9.78,18.25,,,,,,
,Maximum,14.01,25.44,,,,,,
,Mean,10.26,22.43,,,,,,
,Variance,0.049,2.454,,,,,,
,Std Deviation,0.222,1.567,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,6/3/14,10.45,18.88,395.33,6/3/14 13:00,,,,
2,6/3/14,10.46,18.88,395.3,6/3/14 13:15,,,,
3,6/3/14,10.35,18.94,395.16,6/3/14 13:30,,,,
4,6/3/14,10.49,18.94,395.28,6/3/14 13:45,,,,
5,6/3/14,10.43,19,395.11,6/3/14 14:00,,,,
6,6/3/14,10.45,19.13,395.08,6/3/14 14:15,,,,
7,6/3/14,10.48,19.13,394.97,6/3/14 14:30,,,,
8,6/3/14,10.45,19.13,394.91,6/3/14 14:45,,,,
9,6/3/14,10.43,19.13,394.8,6/3/14 15:00,,,,
10,6/3/14,10.46,19.13,394.74,6/3/14 15:15,,,,
11,6/3/14,10.41,19.13,394.63,6/3/14 15:30,,,,
12,6/3/14,10.46,19.13,394.63,6/3/14 15:45,,,,
13,6/3/14,10.42,19.13,394.49,6/3/14 16:00,,,,
14,6/3/14,10.45,19.13,394.49,6/3/14 16:15,,,,
15,6/3/14,10.41,19.06,394.38,6/3/14 16:30,,,,
16,6/3/14,10.51,19.06,394.38,6/3/14 16:45,,,,
17,6/3/14,10.45,19,394.27,6/3/14 17:00,,,,
18,6/3/14,10.42,19,394.19,6/3/14 17:15,,,,
19,6/3/14,10.41,19,394.1,6/3/14 17:30,,,,
20,6/3/14,10.43,19,394.16,6/3/14 17:45,,,,
21,6/3/14,10.49,19,394.19,6/3/14 18:00,,,,
22,6/3/14,10.44,19,394.24,6/3/14 18:15,,,,
23,6/3/14,10.47,18.94,394.33,6/3/14 18:30,,,,
24,6/3/14,10.39,18.94,394.27,6/3/14 18:45,,,,
25,6/3/14,10.4,18.94,394.33,6/3/14 19:00,,,,
26,6/3/14,10.43,18.94,394.33,6/3/14 19:15,,,,
27,6/3/14,10.44,18.94,394.21,6/3/14 19:30,,,,
28,6/3/14,10.4,18.94,394.13,6/3/14 19:45,,,,
29,6/3/14,10.44,18.94,394.3,6/3/14 20:00,,,,
30,6/3/14,10.34,18.88,394.3,6/3/14 20:15,,,,
31,6/3/14,10.39,18.88,394.35,6/3/14 20:30,,,,
32,6/3/14,10.43,18.81,394.52,6/3/14 20:45,,,,
33,6/3/14,10.43,18.81,394.61,6/3/14 21:00,,,,
34,6/3/14,10.36,18.81,394.49,6/3/14 21:15,,,,
35,6/3/14,10.43,18.75,394.52,6/3/14 21:30,,,,
36,6/3/14,10.44,18.75,394.44,6/3/14 21:45,,,,
37,6/3/14,10.37,18.75,394.41,6/3/14 22:00,,,,
38,6/3/14,10.35,18.69,394.35,6/3/14 22:15,,,,
39,6/3/14,10.42,18.69,394.33,6/3/14 22:30,,,,
40,6/3/14,10.37,18.69,394.3,6/3/14 22:45,,,,
41,6/3/14,10.43,18.69,394.27,6/3/14 23:00,,,,
42,6/3/14,10.39,18.75,394.19,6/3/14 23:15,,,,
43,6/3/14,10.39,18.69,394.21,6/3/14 23:30,,,,
44,6/3/14,10.46,18.69,394.19,6/3/14 23:45,,,,
45,6/4/14,10.4,18.69,394.19,6/4/14 0:00,,,,
46,6/4/14,10.34,18.69,394.02,6/4/14 0:15,,,,
47,6/4/14,10.36,18.69,393.88,6/4/14 0:30,,,,
48,6/4/14,10.36,18.69,393.91,6/4/14 0:45,,,,
49,6/4/14,10.36,18.75,393.91,6/4/14 1:00,,,,
50,6/4/14,10.39,18.69,393.88,6/4/14 1:15,,,,
51,6/4/14,10.43,18.69,393.88,6/4/14 1:30,,,,
52,6/4/14,10.44,18.69,393.85,6/4/14 1:45,,,,
53,6/4/14,10.39,18.75,393.85,6/4/14 2:00,,,,
54,6/4/14,10.39,18.75,393.85,6/4/14 2:15,,,,
55,6/4/14,10.34,18.75,393.71,6/4/14 2:30,,,,
56,6/4/14,10.37,18.75,393.77,6/4/14 2:45,,,,
57,6/4/14,10.41,18.75,393.94,6/4/14 3:00,,,,
58,6/4/14,10.37,18.75,393.99,6/4/14 3:15,,,,
59,6/4/14,10.4,18.75,393.96,6/4/14 3:30,,,,
60,6/4/14,10.3,18.81,393.82,6/4/14 3:45,,,,
61,6/4/14,10.32,18.81,393.8,6/4/14 4:00,,,,
62,6/4/14,10.37,18.81,393.82,6/4/14 4:15,,,,
63,6/4/14,10.33,18.81,393.85,6/4/14 4:30,,,,
64,6/4/14,10.32,18.81,393.85,6/4/14 4:45,,,,
65,6/4/14,10.39,18.81,393.91,6/4/14 5:00,,,,
66,6/4/14,10.51,18.75,393.94,6/4/14 5:15,,,,
67,6/4/14,10.44,18.75,393.91,6/4/14 5:30,,,,
68,6/4/14,10.43,18.75,393.85,6/4/14 5:45,,,,
69,6/4/14,10.4,18.69,393.82,6/4/14 6:00,,,,
70,6/4/14,10.36,18.69,393.8,6/4/14 6:15,,,,
71,6/4/14,10.39,18.69,393.96,6/4/14 6:30,,,,
72,6/4/14,10.43,18.69,394.1,6/4/14 6:45,,,,
73,6/4/14,10.5,18.75,394.13,6/4/14 7:00,,,,
74,6/4/14,10.43,18.81,394.13,6/4/14 7:15,,,,
75,6/4/14,10.4,18.81,394.19,6/4/14 7:30,,,,
76,6/4/14,10.41,18.81,394.16,6/4/14 7:45,,,,
77,6/4/14,10.44,18.81,394.13,6/4/14 8:00,,,,
78,6/4/14,10.5,18.88,394.1,6/4/14 8:15,,,,
79,6/4/14,10.48,18.94,394.1,6/4/14 8:30,,,,
80,6/4/14,10.45,19,394.05,6/4/14 8:45,,,,
81,6/4/14,10.5,19.06,394.02,6/4/14 9:00,,,,
82,6/4/14,10.5,19.13,394.02,6/4/14 9:15,,,,
83,6/4/14,10.46,19.19,393.88,6/4/14 9:30,,,,
84,6/4/14,10.47,19.19,393.91,6/4/14 9:45,,,,
85,6/4/14,10.47,19.13,393.91,6/4/14 10:00,,,,
86,6/4/14,10.47,19.06,393.91,6/4/14 10:15,,,,
87,6/4/14,10.43,19,394.02,6/4/14 10:30,,,,
88,6/4/14,10.53,19,394.21,6/4/14 10:45,,,,
89,6/4/14,10.64,19.06,394.13,6/4/14 11:00,,,,
90,6/4/14,10.58,19.13,394.02,6/4/14 11:15,,,,
91,6/4/14,10.58,19.19,393.99,6/4/14 11:30,,,,
92,6/4/14,10.57,19.19,393.96,6/4/14 11:45,,,,
93,6/4/14,10.57,19.13,393.88,6/4/14 12:00,,,,
94,6/4/14,10.59,19.13,393.82,6/4/14 12:15,,,,
95,6/4/14,10.57,19.19,393.66,6/4/14 12:30,,,,
96,6/4/14,10.54,19.25,393.54,6/4/14 12:45,,,,
97,6/4/14,10.49,19.38,393.38,6/4/14 13:00,,,,
98,6/4/14,10.57,19.31,393.38,6/4/14 13:15,,,,
99,6/4/14,10.48,19.44,393.15,6/4/14 13:30,,,,
100,6/4/14,10.48,19.44,393.07,6/4/14 13:45,,,,
101,6/4/14,10.51,19.44,392.96,6/4/14 14:00,,,,
102,6/4/14,10.57,19.5,392.87,6/4/14 14:15,,,,
103,6/4/14,10.47,19.5,392.71,6/4/14 14:30,,,,
104,6/4/14,10.47,19.5,392.59,6/4/14 14:45,,,,
105,6/4/14,10.5,19.5,392.54,6/4/14 15:00,,,,
106,6/4/14,10.48,19.5,392.54,6/4/14 15:15,,,,
107,6/4/14,10.46,19.44,392.45,6/4/14 15:30,,,,
108,6/4/14,10.45,19.44,392.4,6/4/14 15:45,,,,
109,6/4/14,10.5,19.38,392.31,6/4/14 16:00,,,,
110,6/4/14,10.42,19.38,392.23,6/4/14 16:15,,,,
111,6/4/14,10.49,19.38,392.15,6/4/14 16:30,,,,
112,6/4/14,10.52,19.31,392.15,6/4/14 16:45,,,,
113,6/4/14,10.47,19.31,392.04,6/4/14 17:00,,,,
114,6/4/14,10.51,19.25,392.01,6/4/14 17:15,,,,
115,6/4/14,10.45,19.25,391.92,6/4/14 17:30,,,,
116,6/4/14,10.48,19.31,391.95,6/4/14 17:45,,,,
117,6/4/14,10.48,19.25,392.04,6/4/14 18:00,,,,
118,6/4/14,10.43,19.25,392.04,6/4/14 18:15,,,,
119,6/4/14,10.46,19.25,391.84,6/4/14 18:30,,,,
120,6/4/14,10.43,19.19,391.9,6/4/14 18:45,,,,
121,6/4/14,10.39,19.19,391.87,6/4/14 19:00,,,,
122,6/4/14,10.4,19.19,391.95,6/4/14 19:15,,,,
123,6/4/14,10.52,19.19,392.2,6/4/14 19:30,,,,
124,6/4/14,10.73,19.13,392.18,6/4/14 19:45,,,,
125,6/4/14,10.69,19.06,392.26,6/4/14 20:00,,,,
