Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,TURB_ntu
FCR,2013,2013-04-04 12:00:00,0.182,8.3217,0.9522,11.40659,1.7506
FCR,2013,2013-04-04 12:00:00,0.183,8.3211,0.9403,11.40706,1.801
FCR,2013,2013-04-04 12:00:00,0.193,8.3204,0.9443,11.41599,1.801
FCR,2013,2013-04-04 12:00:00,0.205,8.3196,1.0038,11.40772,1.7674
FCR,2013,2013-04-04 12:00:00,0.22,8.3187,0.9958,11.40747,1.7506
FCR,2013,2013-04-04 12:00:00,0.235,8.3179,1.0038,11.40073,1.8345
FCR,2013,2013-04-04 12:00:00,0.244,8.3168,1.0196,11.40565,1.8177
FCR,2013,2013-04-04 12:00:00,0.27,8.3154,1.0672,11.39905,2.0024
FCR,2013,2013-04-04 12:00:00,0.303,8.3138,1.0752,11.39738,2.1367
FCR,2013,2013-04-04 12:00:00,0.337,8.3124,1.0791,11.387,2.1367
FCR,2013,2013-04-04 12:00:00,0.378,8.3111,1.0712,11.39431,2.0192
FCR,2013,2013-04-04 12:00:00,0.414,8.3101,1.3013,11.39001,1.801
FCR,2013,2013-04-04 12:00:00,0.449,8.3096,1.3251,11.39817,1.8513
FCR,2013,2013-04-04 12:00:00,0.48,8.3097,1.3331,11.40454,1.801
FCR,2013,2013-04-04 12:00:00,0.506,8.3102,1.3132,11.40901,1.7842
FCR,2013,2013-04-04 12:00:00,0.528,8.3108,1.3212,11.41095,1.7842
FCR,2013,2013-04-04 12:00:00,0.551,8.3113,1.464,11.42118,1.7674
FCR,2013,2013-04-04 12:00:00,0.585,8.3113,1.4481,11.41507,1.801
FCR,2013,2013-04-04 12:00:00,0.626,8.3107,1.4481,11.41042,1.801
FCR,2013,2013-04-04 12:00:00,0.665,8.3099,1.4481,11.40135,1.8513
FCR,2013,2013-04-04 12:00:00,0.705,8.3091,1.702,11.39921,2.0527
FCR,2013,2013-04-04 12:00:00,0.741,8.3087,1.6941,11.40066,2.1199
FCR,2013,2013-04-04 12:00:00,0.773,8.3084,1.7139,11.39588,2.1199
FCR,2013,2013-04-04 12:00:00,0.808,8.3081,1.706,11.39281,2.0527
FCR,2013,2013-04-04 12:00:00,0.846,8.3075,1.944,11.38939,1.8177
FCR,2013,2013-04-04 12:00:00,0.887,8.3065,1.9321,11.38781,1.8513
FCR,2013,2013-04-04 12:00:00,0.926,8.3053,1.9559,11.39544,1.7842
FCR,2013,2013-04-04 12:00:00,0.954,8.3039,1.9599,11.39048,1.8345
FCR,2013,2013-04-04 12:00:00,0.977,8.3025,2.2019,11.38314,2.0863
FCR,2013,2013-04-04 12:00:00,0.999,8.3011,2.2138,11.40245,2.1031
FCR,2013,2013-04-04 12:00:00,1.024,8.2994,2.2257,11.39874,2.0527
FCR,2013,2013-04-04 12:00:00,1.051,8.2973,2.2059,11.40491,2.0192
FCR,2013,2013-04-04 12:00:00,1.082,8.2946,2.2059,11.39888,2.0695
FCR,2013,2013-04-04 12:00:00,1.115,8.2914,2.3368,11.39777,1.7842
FCR,2013,2013-04-04 12:00:00,1.142,8.288,2.3289,11.3915,1.7842
FCR,2013,2013-04-04 12:00:00,1.167,8.2849,2.3368,11.39766,1.8177
FCR,2013,2013-04-04 12:00:00,1.191,8.2823,2.3368,11.39682,1.8345
FCR,2013,2013-04-04 12:00:00,1.214,8.2801,2.4836,11.39197,1.801
FCR,2013,2013-04-04 12:00:00,1.24,8.2786,2.4558,11.3961,1.7674
FCR,2013,2013-04-04 12:00:00,1.267,8.2777,2.4717,11.39926,1.8513
FCR,2013,2013-04-04 12:00:00,1.294,8.2775,2.4757,11.38821,1.801
FCR,2013,2013-04-04 12:00:00,1.322,8.2776,2.6582,11.39458,1.7338
FCR,2013,2013-04-04 12:00:00,1.347,8.2779,2.6621,11.39641,1.801
FCR,2013,2013-04-04 12:00:00,1.374,8.2782,2.6582,11.3967,1.8513
FCR,2013,2013-04-04 12:00:00,1.398,8.2782,2.6621,11.3861,1.7506
FCR,2013,2013-04-04 12:00:00,1.423,8.278,3.2255,11.39422,2.1031
FCR,2013,2013-04-04 12:00:00,1.449,8.2777,3.2255,11.39237,2.0359
