Reservoir,Year,Date,Depth,TEMP_C,CHLA_ugL,DO_mgL,TURB_ntu
FCR,2013,2013-04-04 12:00:00,1.472,8.2771,3.2136,11.39126,2.0695
FCR,2013,2013-04-04 12:00:00,1.493,8.2759,3.2255,11.39124,2.0192
FCR,2013,2013-04-04 12:00:00,1.519,8.274,3.2175,11.38482,2.0863
FCR,2013,2013-04-04 12:00:00,1.543,8.2712,4.4435,11.38306,2.1031
FCR,2013,2013-04-04 12:00:00,1.567,8.2671,4.4197,11.39557,2.1199
FCR,2013,2013-04-04 12:00:00,1.592,8.2617,4.4276,11.38781,2.1031
FCR,2013,2013-04-04 12:00:00,1.613,8.2556,4.4355,11.40032,2.1031
FCR,2013,2013-04-04 12:00:00,1.634,8.2495,3.3643,11.41734,1.7842
FCR,2013,2013-04-04 12:00:00,1.659,8.2433,3.3445,11.41667,1.7674
FCR,2013,2013-04-04 12:00:00,1.683,8.2366,3.3604,11.42849,1.8345
FCR,2013,2013-04-04 12:00:00,1.708,8.2295,3.3723,11.42998,1.7506
FCR,2013,2013-04-04 12:00:00,1.734,8.223,3.531,11.42937,2.0527
FCR,2013,2013-04-04 12:00:00,1.762,8.218,3.531,11.43481,2.1367
FCR,2013,2013-04-04 12:00:00,1.788,8.2145,3.5468,11.4136,2.1031
FCR,2013,2013-04-04 12:00:00,1.813,8.2124,3.5468,11.40565,1.9856
FCR,2013,2013-04-04 12:00:00,1.836,8.211,3.5468,11.39881,2.1199
FCR,2013,2013-04-04 12:00:00,1.858,8.2097,3.5508,11.40188,2.0695
FCR,2013,2013-04-04 12:00:00,1.88,8.2081,3.5508,11.38972,2.0863
FCR,2013,2013-04-04 12:00:00,1.902,8.2061,3.5429,11.38222,2.0863
FCR,2013,2013-04-04 12:00:00,1.923,8.2031,3.5349,11.38625,2.0527
FCR,2013,2013-04-04 12:00:00,1.945,8.1983,3.8047,11.39541,2.0863
FCR,2013,2013-04-04 12:00:00,1.969,8.1913,3.7888,11.39068,2.0192
FCR,2013,2013-04-04 12:00:00,1.995,8.1821,3.7769,11.40472,2.0192
FCR,2013,2013-04-04 12:00:00,2.021,8.171,3.8007,11.42395,2.1031
FCR,2013,2013-04-04 12:00:00,2.04,8.1594,3.8563,11.43184,2.0695
FCR,2013,2013-04-04 12:00:00,2.055,8.1484,3.8563,11.43898,1.9856
FCR,2013,2013-04-04 12:00:00,2.07,8.1377,3.8563,11.44774,2.0863
FCR,2013,2013-04-04 12:00:00,2.087,8.1268,3.8563,11.46106,2.0359
FCR,2013,2013-04-04 12:00:00,2.114,8.1161,3.9832,11.46562,1.7338
FCR,2013,2013-04-04 12:00:00,2.142,8.1065,3.9713,11.48305,1.8849
FCR,2013,2013-04-04 12:00:00,2.166,8.0984,4.0031,11.48115,1.8345
FCR,2013,2013-04-04 12:00:00,2.189,8.0917,3.9753,11.48128,1.7842
FCR,2013,2013-04-04 12:00:00,2.209,8.0856,3.9713,11.48875,2.0527
FCR,2013,2013-04-04 12:00:00,2.228,8.0798,3.9951,11.48809,2.0527
FCR,2013,2013-04-04 12:00:00,2.251,8.0738,3.9991,11.50179,2.0695
FCR,2013,2013-04-04 12:00:00,2.279,8.0676,3.9951,11.51726,2.0359
FCR,2013,2013-04-04 12:00:00,2.31,8.0614,3.9832,11.51198,1.9856
FCR,2013,2013-04-04 12:00:00,2.341,8.0554,4.0626,11.52113,1.9856
FCR,2013,2013-04-04 12:00:00,2.373,8.0499,4.0467,11.53155,2.0024
FCR,2013,2013-04-04 12:00:00,2.4,8.0453,4.0428,11.52304,2.0192
FCR,2013,2013-04-04 12:00:00,2.423,8.0416,4.0428,11.52431,2.0695
FCR,2013,2013-04-04 12:00:00,2.445,8.0388,4.1816,11.51265,2.0695
FCR,2013,2013-04-04 12:00:00,2.464,8.0364,4.1737,11.50799,2.0192
FCR,2013,2013-04-04 12:00:00,2.482,8.0338,4.1776,11.52233,2.0863
FCR,2013,2013-04-04 12:00:00,2.5,8.0306,4.1816,11.51435,2.1534
FCR,2013,2013-04-04 12:00:00,2.52,8.0266,4.2451,11.51272,2.0192
FCR,2013,2013-04-04 12:00:00,2.543,8.0219,4.2173,11.51794,2.1031
FCR,2013,2013-04-04 12:00:00,2.569,8.0165,4.2491,11.51669,2.1031
FCR,2013,2013-04-04 12:00:00,2.595,8.0098,4.253,11.52358,2.0359
FCR,2013,2013-04-04 12:00:00,2.62,8.0015,4.2848,11.51899,2.0359
FCR,2013,2013-04-04 12:00:00,2.649,7.9906,4.2967,11.50823,2.1367
FCR,2013,2013-04-04 12:00:00,2.677,7.9764,4.3086,11.51217,2.1199
FCR,2013,2013-04-04 12:00:00,2.7,7.9574,4.3046,11.51113,2.0192
FCR,2013,2013-04-04 12:00:00,2.72,7.9322,4.2967,11.52324,2.0527
FCR,2013,2013-04-04 12:00:00,2.74,7.9011,4.4871,11.52869,2.0695
FCR,2013,2013-04-04 12:00:00,2.764,7.8667,4.495,11.52769,1.9856
FCR,2013,2013-04-04 12:00:00,2.794,7.8328,4.4911,11.53483,2.0695
FCR,2013,2013-04-04 12:00:00,2.825,7.8017,4.4871,11.5372,2.0863
FCR,2013,2013-04-04 12:00:00,2.859,7.7737,4.2967,11.55022,2.0192
FCR,2013,2013-04-04 12:00:00,2.891,7.7473,4.3125,11.5535,2.0695
FCR,2013,2013-04-04 12:00:00,2.919,7.7209,4.2967,11.56274,2.0695
FCR,2013,2013-04-04 12:00:00,2.941,7.6932,4.3086,11.56727,2.0527
FCR,2013,2013-04-04 12:00:00,2.971,7.664,4.4276,11.56635,2.0863
FCR,2013,2013-04-04 12:00:00,3.006,7.6341,4.4157,11.57724,2.0359
FCR,2013,2013-04-04 12:00:00,3.04,7.6046,4.4197,11.57633,2.0863
FCR,2013,2013-04-04 12:00:00,3.071,7.5765,4.4355,11.57999,2.0527
FCR,2013,2013-04-04 12:00:00,3.1,7.5499,4.6061,11.57564,2.0527
FCR,2013,2013-04-04 12:00:00,3.127,7.5251,4.6141,11.57124,2.0695
FCR,2013,2013-04-04 12:00:00,3.152,7.502,4.622,11.56757,2.1702
FCR,2013,2013-04-04 12:00:00,3.176,7.4803,4.618,11.57032,2.0527
FCR,2013,2013-04-04 12:00:00,3.201,7.46,4.622,11.57265,2.0695
FCR,2013,2013-04-04 12:00:00,3.222,7.4407,4.7331,11.56761,2.0695
FCR,2013,2013-04-04 12:00:00,3.244,7.4218,4.737,11.57783,2.0359
FCR,2013,2013-04-04 12:00:00,3.27,7.4028,4.7172,11.5674,2.0024
FCR,2013,2013-04-04 12:00:00,3.299,7.3836,4.7172,11.56883,2.1031
FCR,2013,2013-04-04 12:00:00,3.33,7.3651,4.8481,11.56566,2.0695
FCR,2013,2013-04-04 12:00:00,3.36,7.3483,4.8402,11.56848,2.0527
FCR,2013,2013-04-04 12:00:00,3.385,7.3333,4.8323,11.55951,2.0863
FCR,2013,2013-04-04 12:00:00,3.407,7.3197,4.8481,11.56165,2.0863
FCR,2013,2013-04-04 12:00:00,3.431,7.3069,5.3956,11.54759,2.0695
FCR,2013,2013-04-04 12:00:00,3.458,7.295,5.4036,11.53108,2.0192
FCR,2013,2013-04-04 12:00:00,3.487,7.2841,5.3996,11.51303,2.1199
FCR,2013,2013-04-04 12:00:00,3.515,7.2746,5.4075,11.49785,2.0863
FCR,2013,2013-04-04 12:00:00,3.545,7.2666,5.3361,11.48122,2.0527
FCR,2013,2013-04-04 12:00:00,3.572,7.2594,5.348,11.46187,2.1367
FCR,2013,2013-04-04 12:00:00,3.594,7.252,5.3361,11.44464,2.0863
FCR,2013,2013-04-04 12:00:00,3.616,7.2428,5.3559,11.44552,2.0359
FCR,2013,2013-04-04 12:00:00,3.638,7.2308,5.352,11.43452,2.0527
FCR,2013,2013-04-04 12:00:00,3.657,7.2142,5.1417,11.44183,2.0863
FCR,2013,2013-04-04 12:00:00,3.679,7.1922,5.1735,11.42568,2.0527
FCR,2013,2013-04-04 12:00:00,3.706,7.1663,5.1417,11.4329,2.0695
FCR,2013,2013-04-04 12:00:00,3.737,7.1397,5.1457,11.44783,2.1031
FCR,2013,2013-04-04 12:00:00,3.764,7.1135,4.9791,11.47628,2.0695
FCR,2013,2013-04-04 12:00:00,3.788,7.0858,4.987,11.48425,2.0863
FCR,2013,2013-04-04 12:00:00,3.812,7.054,4.9632,11.49931,2.0359
FCR,2013,2013-04-04 12:00:00,3.833,7.0148,4.9632,11.51875,2.0695
FCR,2013,2013-04-04 12:00:00,3.856,6.9661,5.0227,11.52696,2.0695
FCR,2013,2013-04-04 12:00:00,3.889,6.9121,5.0187,11.54083,2.0024
FCR,2013,2013-04-04 12:00:00,3.926,6.8615,5.0148,11.54353,2.1031
FCR,2013,2013-04-04 12:00:00,3.958,6.8194,5.0306,11.55442,2.1031
FCR,2013,2013-04-04 12:00:00,3.987,6.7871,5.0227,11.54694,2.0024
FCR,2013,2013-04-04 12:00:00,4.014,6.7635,5.0306,11.55784,2.0527
FCR,2013,2013-04-04 12:00:00,4.036,6.7438,5.0425,11.55566,2.1199
FCR,2013,2013-04-04 12:00:00,4.056,6.7217,5.0306,11.5495,2.0695
FCR,2013,2013-04-04 12:00:00,4.078,6.6958,5.0306,11.55197,2.0863
FCR,2013,2013-04-04 12:00:00,4.105,6.6675,5.2647,11.56768,2.1031
FCR,2013,2013-04-04 12:00:00,4.133,6.6375,5.3004,11.55453,2.0527
FCR,2013,2013-04-04 12:00:00,4.165,6.6096,5.2885,11.57048,2.1031
FCR,2013,2013-04-04 12:00:00,4.196,6.5879,5.2845,11.58938,2.0695
FCR,2013,2013-04-04 12:00:00,4.218,6.5694,5.2369,11.59841,1.8345
FCR,2013,2013-04-04 12:00:00,4.237,6.5488,5.225,11.59738,1.8177
FCR,2013,2013-04-04 12:00:00,4.256,6.5246,5.2052,11.60078,1.7674
FCR,2013,2013-04-04 12:00:00,4.275,6.4968,5.2171,11.60705,1.801
FCR,2013,2013-04-04 12:00:00,4.299,6.4678,5.3996,11.60628,1.801
FCR,2013,2013-04-04 12:00:00,4.325,6.4405,5.3956,11.59821,1.7506
FCR,2013,2013-04-04 12:00:00,4.347,6.4137,5.3917,11.58522,1.8345
FCR,2013,2013-04-04 12:00:00,4.372,6.3862,5.4036,11.57028,1.8849
FCR,2013,2013-04-04 12:00:00,4.402,6.3605,5.4631,11.55908,1.7842
FCR,2013,2013-04-04 12:00:00,4.434,6.3396,5.4432,11.55065,1.801
FCR,2013,2013-04-04 12:00:00,4.463,6.3238,5.471,11.56363,1.9017
FCR,2013,2013-04-04 12:00:00,4.488,6.3125,5.4591,11.56721,1.8513
FCR,2013,2013-04-04 12:00:00,4.514,6.3041,5.475,11.56811,1.8177
FCR,2013,2013-04-04 12:00:00,4.539,6.297,5.6535,11.57468,1.8681
FCR,2013,2013-04-04 12:00:00,4.562,6.2904,5.6456,11.55985,1.8177
FCR,2013,2013-04-04 12:00:00,4.585,6.2842,5.6337,11.55936,1.7842
FCR,2013,2013-04-04 12:00:00,4.605,6.2772,5.6495,11.55169,1.7842
FCR,2013,2013-04-04 12:00:00,4.631,6.2686,5.598,11.5547,1.8177
FCR,2013,2013-04-04 12:00:00,4.659,6.2597,5.598,11.54385,1.7506
FCR,2013,2013-04-04 12:00:00,4.681,6.2522,5.5821,11.55461,1.7674
FCR,2013,2013-04-04 12:00:00,4.7,6.2463,5.594,11.54342,1.801
FCR,2013,2013-04-04 12:00:00,4.723,6.2411,5.5305,11.54959,1.801
FCR,2013,2013-04-04 12:00:00,4.75,6.2359,5.5305,11.53511,1.7338
FCR,2013,2013-04-04 12:00:00,4.778,6.2313,5.5305,11.53429,1.8513
FCR,2013,2013-04-04 12:00:00,4.806,6.2276,5.5186,11.5353,1.8513
FCR,2013,2013-04-04 12:00:00,4.834,6.2244,5.4194,11.5266,1.7842
FCR,2013,2013-04-04 12:00:00,4.857,6.2216,5.3956,11.51806,1.7674
FCR,2013,2013-04-04 12:00:00,4.878,6.219,5.3996,11.51441,1.8513
FCR,2013,2013-04-04 12:00:00,4.898,6.2168,5.4155,11.53144,1.8177
FCR,2013,2013-04-04 12:00:00,4.918,6.2149,5.4036,11.50051,1.7842
FCR,2013,2013-04-04 12:00:00,4.941,6.2129,5.2092,11.54014,1.8177
FCR,2013,2013-04-04 12:00:00,4.966,6.211,5.2131,11.51346,1.9352
FCR,2013,2013-04-04 12:00:00,4.987,6.209,5.2131,11.49876,1.801
FCR,2013,2013-04-04 12:00:00,5.01,6.2069,5.2092,11.47178,1.7674
FCR,2013,2013-04-04 12:00:00,5.038,6.2044,5.2052,11.49199,1.8513
FCR,2013,2013-04-04 12:00:00,5.071,6.2017,5.2211,11.49952,1.8345
FCR,2013,2013-04-04 12:00:00,5.102,6.199,5.225,11.47625,1.7674
FCR,2013,2013-04-04 12:00:00,5.13,6.1963,5.225,11.46897,1.7842
FCR,2013,2013-04-04 12:00:00,5.153,6.1935,5.5821,11.44408,2.1031
FCR,2013,2013-04-04 12:00:00,5.175,6.1902,5.594,11.45662,1.9856
FCR,2013,2013-04-04 12:00:00,5.197,6.1859,5.5781,11.46528,2.0527
FCR,2013,2013-04-04 12:00:00,5.225,6.1803,5.5742,11.45339,2.0527
FCR,2013,2013-04-04 12:00:00,5.258,6.1733,5.717,11.44841,2.1031
FCR,2013,2013-04-04 12:00:00,5.291,6.1656,5.7011,11.4505,2.0863
FCR,2013,2013-04-04 12:00:00,5.324,6.1585,5.713,11.44377,2.0695
FCR,2013,2013-04-04 12:00:00,5.353,6.1526,5.713,11.43707,2.1367
FCR,2013,2013-04-04 12:00:00,5.38,6.1479,5.7209,11.4479,2.0695
FCR,2013,2013-04-04 12:00:00,5.402,6.1432,5.8876,11.43791,1.8177
FCR,2013,2013-04-04 12:00:00,5.425,6.1376,5.8995,11.44845,1.8177
FCR,2013,2013-04-04 12:00:00,5.448,6.1316,5.8995,11.45873,1.8177
FCR,2013,2013-04-04 12:00:00,5.473,6.1256,5.8915,11.46339,1.7506
FCR,2013,2013-04-04 12:00:00,5.495,6.1198,6.2526,11.48851,1.8849
FCR,2013,2013-04-04 12:00:00,5.524,6.1144,6.2684,11.51007,1.801
FCR,2013,2013-04-04 12:00:00,5.552,6.1095,6.2645,11.51335,1.8177
FCR,2013,2013-04-04 12:00:00,5.573,6.1054,6.2565,11.50373,1.7674
FCR,2013,2013-04-04 12:00:00,5.593,6.1014,6.5223,11.49742,1.8681
FCR,2013,2013-04-04 12:00:00,5.618,6.0973,6.5104,11.4971,1.7338
FCR,2013,2013-04-04 12:00:00,5.645,6.0932,6.5065,11.48736,1.7842
FCR,2013,2013-04-04 12:00:00,5.672,6.0895,6.4946,11.47186,1.8177
FCR,2013,2013-04-04 12:00:00,5.7,6.0861,7.0222,11.48433,2.0695
FCR,2013,2013-04-04 12:00:00,5.73,6.083,7.0262,11.4707,2.0527
FCR,2013,2013-04-04 12:00:00,5.76,6.0805,7.0064,11.48336,2.0024
FCR,2013,2013-04-04 12:00:00,5.789,6.0786,7.0103,11.49233,2.1199
FCR,2013,2013-04-04 12:00:00,5.816,6.0771,7.0143,11.47061,2.0695
FCR,2013,2013-04-04 12:00:00,5.845,6.0758,6.8834,11.47855,1.7842
FCR,2013,2013-04-04 12:00:00,5.872,6.0744,6.8834,11.47428,1.801
FCR,2013,2013-04-04 12:00:00,5.899,6.0729,6.8715,11.47535,1.7674
FCR,2013,2013-04-04 12:00:00,5.924,6.0714,6.8873,11.45365,1.7674
FCR,2013,2013-04-04 12:00:00,5.948,6.0699,6.5065,11.44115,1.7506
FCR,2013,2013-04-04 12:00:00,5.975,6.0684,6.5382,11.4366,1.8513
FCR,2013,2013-04-04 12:00:00,6.002,6.0669,6.5144,11.42266,1.8177
FCR,2013,2013-04-04 12:00:00,6.025,6.0655,6.5025,11.41582,1.7506
FCR,2013,2013-04-04 12:00:00,6.045,6.0641,6.5739,11.41716,2.0527
FCR,2013,2013-04-04 12:00:00,6.067,6.0627,6.5819,11.41105,2.1367
FCR,2013,2013-04-04 12:00:00,6.093,6.0616,6.5779,11.41337,2.0192
FCR,2013,2013-04-04 12:00:00,6.121,6.0604,6.5779,11.42343,2.0359
FCR,2013,2013-04-04 12:00:00,6.145,6.0592,6.7088,11.40483,2.1367
FCR,2013,2013-04-04 12:00:00,6.168,6.0577,6.7048,11.41601,2.0024
FCR,2013,2013-04-04 12:00:00,6.191,6.0558,6.685,11.41507,2.0192
FCR,2013,2013-04-04 12:00:00,6.214,6.0536,6.6929,11.40013,2.0695
FCR,2013,2013-04-04 12:00:00,6.238,6.051,6.7048,11.39405,2.0527
FCR,2013,2013-04-04 12:00:00,6.263,6.048,6.447,11.3766,1.7842
FCR,2013,2013-04-04 12:00:00,6.289,6.0446,6.439,11.37774,1.8513
FCR,2013,2013-04-04 12:00:00,6.317,6.0405,6.4628,11.36495,1.801
FCR,2013,2013-04-04 12:00:00,6.348,6.0359,6.4708,11.36137,1.7506
FCR,2013,2013-04-04 12:00:00,6.377,6.0315,6.4906,11.35316,2.0527
FCR,2013,2013-04-04 12:00:00,6.403,6.0277,6.5104,11.34041,2.0695
FCR,2013,2013-04-04 12:00:00,6.429,6.0247,6.5144,11.34621,2.0527
FCR,2013,2013-04-04 12:00:00,6.453,6.022,6.5104,11.33354,1.9856
FCR,2013,2013-04-04 12:00:00,6.476,6.0192,6.2684,11.32888,2.0527
FCR,2013,2013-04-04 12:00:00,6.497,6.016,6.2645,11.31337,2.0527
FCR,2013,2013-04-04 12:00:00,6.525,6.0125,6.2605,11.32212,2.0695
FCR,2013,2013-04-04 12:00:00,6.557,6.0084,6.2565,11.30516,2.0527
FCR,2013,2013-04-04 12:00:00,6.587,6.0038,5.5186,11.27881,2.0527
FCR,2013,2013-04-04 12:00:00,6.618,5.9988,5.5265,11.26803,2.0527
FCR,2013,2013-04-04 12:00:00,6.647,5.9934,5.5226,11.24114,2.0863
FCR,2013,2013-04-04 12:00:00,6.672,5.9879,5.5067,11.24212,2.1199
FCR,2013,2013-04-04 12:00:00,6.697,5.9824,5.5226,11.24015,2.1367
FCR,2013,2013-04-04 12:00:00,6.722,5.9772,5.467,11.23375,2.0359
FCR,2013,2013-04-04 12:00:00,6.747,5.9724,5.4432,11.22094,2.0863
FCR,2013,2013-04-04 12:00:00,6.774,5.9678,5.4829,11.21185,2.0695
FCR,2013,2013-04-04 12:00:00,6.799,5.963,5.467,11.21926,2.0863
FCR,2013,2013-04-04 12:00:00,6.824,5.9581,5.5345,11.20437,1.9184
FCR,2013,2013-04-04 12:00:00,6.849,5.9533,5.5146,11.19305,2.1031
FCR,2013,2013-04-04 12:00:00,6.869,5.9488,5.5305,11.17117,2.0192
FCR,2013,2013-04-04 12:00:00,6.889,5.9448,5.5265,11.15619,2.0527
FCR,2013,2013-04-04 12:00:00,6.912,5.9412,5.6535,11.15362,2.0863
FCR,2013,2013-04-04 12:00:00,6.939,5.9377,5.6495,11.13274,2.1031
FCR,2013,2013-04-04 12:00:00,6.966,5.9343,5.6535,11.10505,2.0359
FCR,2013,2013-04-04 12:00:00,6.993,5.9308,5.6495,11.0937,2.0192
FCR,2013,2013-04-04 12:00:00,7.017,5.9274,5.6099,11.07367,2.1367
FCR,2013,2013-04-04 12:00:00,7.045,5.9242,5.594,11.06824,1.9688
FCR,2013,2013-04-04 12:00:00,7.073,5.9213,5.5861,11.06411,1.9856
FCR,2013,2013-04-04 12:00:00,7.102,5.9188,5.5781,11.04167,2.1199
FCR,2013,2013-04-04 12:00:00,7.127,5.9168,5.598,11.04869,2.0527
FCR,2013,2013-04-04 12:00:00,7.149,5.9153,5.6535,11.03311,2.0359
FCR,2013,2013-04-04 12:00:00,7.172,5.914,5.6456,11.04449,2.0695
FCR,2013,2013-04-04 12:00:00,7.193,5.9128,5.6456,11.03896,2.187
FCR,2013,2013-04-04 12:00:00,7.214,5.9118,5.6495,11.02992,2.1031
FCR,2013,2013-04-04 12:00:00,7.234,5.9109,5.4432,11.02472,1.9856
FCR,2013,2013-04-04 12:00:00,7.26,5.9099,5.467,11.02304,2.1367
FCR,2013,2013-04-04 12:00:00,7.289,5.9088,5.4869,11.03011,2.0863
FCR,2013,2013-04-04 12:00:00,7.313,5.9076,5.4829,11.03002,2.0024
FCR,2013,2013-04-04 12:00:00,7.335,5.9065,5.3956,11.02733,2.1031
FCR,2013,2013-04-04 12:00:00,7.357,5.9053,5.3917,11.02876,2.0863
FCR,2013,2013-04-04 12:00:00,7.382,5.9042,5.4036,11.02358,2.0527
FCR,2013,2013-04-04 12:00:00,7.406,5.9031,5.3956,11.02472,2.0024
FCR,2013,2013-04-04 12:00:00,7.434,5.9021,5.4194,11.03186,2.0527
FCR,2013,2013-04-04 12:00:00,7.464,5.9012,5.467,11.02546,2.1031
FCR,2013,2013-04-04 12:00:00,7.497,5.9005,5.467,11.03706,2.0359
FCR,2013,2013-04-04 12:00:00,7.528,5.8999,5.4591,11.04446,2.1031
FCR,2013,2013-04-04 12:00:00,7.557,5.8994,5.4551,11.04131,2.1031
FCR,2013,2013-04-04 12:00:00,7.587,5.899,5.344,11.04574,2.0527
FCR,2013,2013-04-04 12:00:00,7.614,5.8987,5.3321,11.04397,2.1367
FCR,2013,2013-04-04 12:00:00,7.64,5.8984,5.3361,11.05092,2.1199
FCR,2013,2013-04-04 12:00:00,7.665,5.8981,5.3401,11.02781,2.0863
FCR,2013,2013-04-04 12:00:00,7.691,5.8979,5.4075,11.02929,2.0024
FCR,2013,2013-04-04 12:00:00,7.719,5.8975,5.3956,11.02759,2.1031
FCR,2013,2013-04-04 12:00:00,7.745,5.8971,5.4036,11.02061,2.1534
FCR,2013,2013-04-04 12:00:00,7.769,5.8965,5.3917,11.00838,2.0359
FCR,2013,2013-04-04 12:00:00,7.792,5.8957,5.3321,11.00755,2.0695
FCR,2013,2013-04-04 12:00:00,7.816,5.8948,5.344,11.01027,2.0695
FCR,2013,2013-04-04 12:00:00,7.843,5.8938,5.352,10.9943,2.0695
FCR,2013,2013-04-04 12:00:00,7.871,5.8929,5.352,10.98561,1.9688
FCR,2013,2013-04-04 12:00:00,7.898,5.892,5.3401,10.97995,2.0695
FCR,2013,2013-04-04 12:00:00,7.924,5.8912,5.3401,10.97384,2.0695
FCR,2013,2013-04-04 12:00:00,7.949,5.8905,5.3361,10.98791,2.0863
FCR,2013,2013-04-04 12:00:00,7.973,5.89,5.3321,10.98555,2.0863
FCR,2013,2013-04-04 12:00:00,7.994,5.8896,5.3361,10.97194,2.0192
FCR,2013,2013-04-04 12:00:00,8.014,5.8893,5.2885,10.97839,2.0527
FCR,2013,2013-04-04 12:00:00,8.043,5.889,5.2687,10.98814,2.0527
FCR,2013,2013-04-04 12:00:00,8.074,5.8888,5.2687,10.98034,2.0527
FCR,2013,2013-04-04 12:00:00,8.105,5.8885,5.2806,10.96411,2.0863
FCR,2013,2013-04-04 12:00:00,8.124,5.8882,5.2806,10.97193,2.0024
FCR,2013,2013-04-04 12:00:00,8.137,5.8877,5.2687,10.95956,2.0192
FCR,2013,2013-04-04 12:00:00,8.16,5.887,5.2845,10.95874,2.0863
FCR,2013,2013-04-04 12:00:00,8.187,5.886,5.2726,10.9408,2.0695
FCR,2013,2013-04-04 12:00:00,8.212,5.8849,5.2171,10.94262,2.0695
FCR,2013,2013-04-04 12:00:00,8.234,5.8838,5.2171,10.94424,2.0695
FCR,2013,2013-04-04 12:00:00,8.254,5.8827,5.229,10.94034,2.1031
FCR,2013,2013-04-04 12:00:00,8.273,5.8817,5.229,10.936,2.0695
FCR,2013,2013-04-04 12:00:00,8.291,5.8807,5.225,10.94338,2.0527
