Reservoir,Year,Date,Depth,Secchi,Notes
GWR,2014,2014-04-18 12:00:00,NA,2.9,
GWR,2014,2014-04-26 16:00:00,NA,2,
GWR,2014,2014-05-09 13:00:00,NA,3.5,
GWR,2014,2014-05-16 16:00:00,NA,3.5,
GWR,2014,2014-06-04 18:00:00,NA,3.7,
GWR,2014,2014-06-16 13:30:00,NA,3.7,
GWR,2014,2014-06-29 14:15:00,NA,4,
GWR,2014,2014-07-09 17:00:00,NA,3.7,
GWR,2014,2014-07-25 18:00:00,NA,3.6,
GWR,2014,2014-08-11 19:30:00,NA,3.2,
GWR,2014,2014-08-22 16:30:00,NA,4.4,
GWR,2014,2014-09-07 13:00:00,NA,4.1,
GWR,2014,2014-09-30 09:30:00,NA,3.3,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
