Reservoir,Year,Date,Depth,YSI_TEMP,YSI_DOSAT,YSI_DO,YSI_COND,YSI_pH,PAR
GWR,2015,2015-05-09 13:00:00,-0.1,NA,NA,NA,NA,NA,2800
GWR,2015,2015-05-09 13:00:00,0,20.2,105.3,8.85,708.9,7.57,1400
GWR,2015,2015-05-09 13:00:00,1,19.8,104.2,8.9,708.8,7.67,710
GWR,2015,2015-05-09 13:00:00,2,18.3,112,9.81,708.8,7.51,119
GWR,2015,2015-05-09 13:00:00,3,16.3,110.2,10.13,708.8,7.38,82
GWR,2015,2015-05-09 13:00:00,4,13.7,103.9,10.07,708.8,7.38,44
GWR,2015,2015-05-09 13:00:00,5,12.4,82,8.13,708.8,7.19,22
GWR,2015,2015-05-09 13:00:00,6,12,77,7.7,708.8,6.95,11.3
GWR,2015,2015-05-09 13:00:00,7,11.7,73.8,7.48,708.8,6.8,4.75
GWR,2015,2015-05-09 13:00:00,8,11.5,69.6,7.13,708.8,6.68,2.12
GWR,2015,2015-05-09 13:00:00,9,11.4,68.9,7.02,708.8,6.61,1.4
GWR,2015,2015-05-09 13:00:00,10,11.2,65.2,6.67,708.8,6.55,0.6
GWR,2015,2015-05-09 13:00:00,11,11.2,67.2,6.83,708.7,6.5,0.21
GWR,2015,2015-05-09 13:00:00,12,11.2,65.3,6.69,708.7,6.44,0.096
GWR,2015,2015-05-09 13:00:00,13,10.9,58.2,6,708.6,6.38,0.055
GWR,2015,2015-05-09 13:00:00,14,10.7,58.9,6.1,708.7,6.35,0.01
GWR,2015,2015-05-20 16:30:00,-0.1,NA,NA,NA,NA,NA,NA
GWR,2015,2015-05-20 16:30:00,0,24.1,98.9,7.69,703.9,6.8,NA
GWR,2015,2015-05-20 16:30:00,1,24.1,97.1,7.54,703.9,6.85,NA
GWR,2015,2015-05-20 16:30:00,2,24,100.9,7.87,703.9,6.89,NA
GWR,2015,2015-05-20 16:30:00,3,23.9,97.5,7.67,703.9,6.91,NA
GWR,2015,2015-05-20 16:30:00,4,17,113.1,10.04,703.9,6.99,NA
GWR,2015,2015-05-20 16:30:00,5,14.9,114.8,10.73,703.9,6.95,NA
GWR,2015,2015-05-20 16:30:00,6,13.1,85.5,8.33,703.9,6.94,NA
GWR,2015,2015-05-20 16:30:00,7,12.2,68,6.79,703.9,6.8,NA
GWR,2015,2015-05-20 16:30:00,8,11.7,63,6.32,703.9,6.66,NA
GWR,2015,2015-05-20 16:30:00,9,11.5,59.2,5.99,703.9,6.59,NA
GWR,2015,2015-05-20 16:30:00,10,11.3,55.8,5.66,703.9,6.52,NA
GWR,2015,2015-05-20 16:30:00,11,11.1,54.3,5.53,703.9,6.47,NA
GWR,2015,2015-05-20 16:30:00,12,10.9,43.4,4.44,703.9,6.4,NA
GWR,2015,2015-05-20 16:30:00,13,10.7,41.2,4.22,703.9,6.33,NA
GWR,2015,2015-05-20 16:30:00,14,10.6,41.1,4.24,703.9,6.29,NA
GWR,2015,2015-05-30 18:00:00,-0.1,NA,NA,NA,NA,NA,1026
GWR,2015,2015-05-30 18:00:00,0,24.7,102.5,7.91,707.8,7.6,530
GWR,2015,2015-05-30 18:00:00,1,24.5,103.2,8.01,707.8,7.64,45
GWR,2015,2015-05-30 18:00:00,2,24,103.5,8.11,707.8,7.68,25
GWR,2015,2015-05-30 18:00:00,3,22.6,110.3,8.94,707.8,7.65,12.7
GWR,2015,2015-05-30 18:00:00,4,20.7,112.3,9.36,707.8,7.57,17.9
GWR,2015,2015-05-30 18:00:00,5,16.6,108.9,9.88,707.8,7.07,8.6
GWR,2015,2015-05-30 18:00:00,6,14.3,89.3,8.51,707.8,6.94,3.98
GWR,2015,2015-05-30 18:00:00,7,12.3,60.6,6.05,707.8,6.45,1.42
GWR,2015,2015-05-30 18:00:00,8,11.8,56.6,5.72,707.8,6.32,1.15
GWR,2015,2015-05-30 18:00:00,9,11.5,49.2,4.99,707.7,6.23,0.62
GWR,2015,2015-05-30 18:00:00,10,11.2,42.7,4.32,707.7,6.17,0.29
GWR,2015,2015-05-30 18:00:00,11,11,41.1,4.22,707.8,6.13,0.15
GWR,2015,2015-05-30 18:00:00,12,10.9,34.9,3.59,707.7,6.1,0.073
