Reservoir,Year,Date,Depth,TN_ugL,TP_ugL,SRP_ugL,NH4_ugL,NO3NO2_ugL,DOC_mgL,DIC_mgL,TOC_mgL,TIC_mgL,DRSI_mgL,CO2_ppm,CH4_ppm,Notes
SHR,2014,2014-05-02 15:00:00,0,415,5.1,0.636,11.3,310,1.989,19.599,,,5.710346,,,
SHR,2014,2014-05-02 15:00:00,5,440,6.09,0.274,10.2,360,1.561,19.999,,,6.05056,,,
SHR,2014,2014-05-02 15:00:00,14,437,6.645,0.749,8.5,326,1.541,21.721,,,5.904754,,,
SHR,2014,2014-05-08 14:30:00,0,389,1.77,0.611,9.58,310,1.67,18.45,,,5.07852,,,
SHR,2014,2014-05-08 14:30:00,8,427,8.62,0.844,7.52,335,1.626,18.144,,,6.244968,,,
SHR,2014,2014-05-08 14:30:00,14,408,4.18,1.19,9.41,311,1.485,19.355,,,5.758948,,,
SHR,2014,2014-05-30 11:00:00,0,415,7.27,4.5,9.8,276,1.842,19.767,,,4.868988,,,
SHR,2014,2014-05-30 11:00:00,8,455,6.15,3.7,7.7,367,1.583,17.904,,,5.953356,,,
SHR,2014,2014-05-30 11:00:00,25,406,3.22,3.4,12.2,321,1.568,20.82,,,5.169504,,,
SHR,2014,2014-06-12 15:00:00,0,326,1.84,1.79,7.2,247,1.734,20.346,,,4.017526,,,
SHR,2014,2014-06-12 15:00:00,8,429,6.95,2.16,11.95,317,1.56,19.101,,,4.618558,,,
SHR,2014,2014-06-12 15:00:00,28,400.6666667,1.77,2.16,12,320,2.007,23.306,,,5.169504,,,
SHR,2014,2014-06-26 12:15:00,0,293,0,2.22,8.76,222,1.742,20.356,,,4.368128,,,
SHR,2014,2014-06-26 12:15:00,7,393,2.54,2.6,9.24,304,1.607,23.256,,,5.019246,,,
SHR,2014,2014-06-26 12:15:00,28,406,1.74,1.63,19.2,319,2.054,22.585,,,4.868988,,,
SHR,2014,2014-07-10 00:00:00,0,277,2.41,3.5,9.7,192,1.587,17.016,,,3.767096,,,
SHR,2014,2014-07-10 00:00:00,7,414,2.82,3.7,13.5,253,1.253,14.035,,,4.618558,,,
SHR,2014,2014-07-10 00:00:00,28,302,3.23,4.2,17.3,315,1.464,17.748,,,5.269676,,,
SHR,2014,2014-07-24 12:45:00,0,261,1.34,4.8,8.9,159,1.529,17.709,,,4.017526,,,
SHR,2014,2014-07-24 12:45:00,7,357,1.68,4.1,10.6,282,1.518,18.826,,,4.868988,,,
SHR,2014,2014-07-24 12:45:00,28,434,2.866666667,4,14.3,325,1.391,15.669,,,5.319762,,,
SHR,2014,2014-08-07 10:00:00,0,245,0,3.4,18.4,144,1.715,19.342,,,3.506584,,,
SHR,2014,2014-08-07 10:00:00,7,326,0,4.5,21.1,231,1.578,22.099,,,4.24928,,,
SHR,2014,2014-08-07 10:00:00,28,422,0,3.4,5.5,380,1.987,24.007,,,4.424032,,,
SHR,2014,2014-09-05 13:30:00,0,171,0,4.2,10,97,1.588,13.484,,,3.288144,,,
SHR,2014,2014-09-05 13:30:00,7,366,1.34,3.2,12.4,305,1.69,18.673,,,5.079352,,,
SHR,2014,2014-09-05 13:30:00,28,503,0,5.7,13.8,364,1.402,16.977,,,5.533166,,,
SHR,2014,2014-10-03 13:30:00,0,182,0,3.1,5.5,89,1.643,21.751,,,3.37552,,,
SHR,2014,2014-10-03 13:30:00,8,234,1.85,3.5,9.3,141,2.082,22.57,,,3.751757,,,
SHR,2014,2014-10-03 13:30:00,28,409,1.44,4.4,3.6,359,1.848,19.564,,,5.472544,,,
SHR,2014,2014-10-24 16:00:00,0,289,2.39,4,7.6,205,2.109,22.329,,,3.8124,,,
SHR,2014,2014-10-24 16:00:00,7,311,0,5.3,6,217,1.987,18.786,,,4.424032,,,
SHR,2014,2014-10-24 16:00:00,28,394,3.2,4.2,4.9,339,1.707,22.933,,,5.647296,,,
