Reservoir,Year,Date,Depth,pH
FCR,2015,2015-06-22 12:00:00,3.8,7.69
FCR,2015,2015-06-22 12:00:00,5,6.99
FCR,2015,2015-06-22 12:00:00,6.2,6.19
FCR,2015,2015-06-22 12:00:00,8,5.91
FCR,2015,2015-06-22 12:00:00,9,5.78
FCR,2015,2015-06-29 12:00:00,0.1,7.29
FCR,2015,2015-06-29 12:00:00,1.6,7.22
FCR,2015,2015-06-29 12:00:00,3.8,7.05
FCR,2015,2015-06-29 12:00:00,5,6.53
FCR,2015,2015-06-29 12:00:00,6.2,6.32
FCR,2015,2015-06-29 12:00:00,8,6.07
FCR,2015,2015-06-29 12:00:00,9,5.74
FCR,2015,2015-07-06 12:00:00,0.1,
FCR,2015,2015-07-06 12:00:00,1.6,
FCR,2015,2015-07-06 12:00:00,3.8,
FCR,2015,2015-07-06 12:00:00,5,
FCR,2015,2015-07-06 12:00:00,6.2,
FCR,2015,2015-07-06 12:00:00,8,
FCR,2015,2015-07-06 12:00:00,9,
FCR,2015,2015-07-13 12:00:00,0.1,8.74
FCR,2015,2015-07-13 12:00:00,1.6,8.84
FCR,2015,2015-07-13 12:00:00,3.8,7.95
FCR,2015,2015-07-13 12:00:00,5,7.02
FCR,2015,2015-07-13 12:00:00,6.2,6.63
FCR,2015,2015-07-13 12:00:00,8,6.21
FCR,2015,2015-07-13 12:00:00,9,6.05
FCR,2015,2015-07-20 12:00:00,0.1,7.16
FCR,2015,2015-07-20 12:00:00,1.6,7.66
FCR,2015,2015-07-20 12:00:00,3.8,7.34
FCR,2015,2015-07-20 12:00:00,5,6.3
FCR,2015,2015-07-20 12:00:00,6.2,6.13
FCR,2015,2015-07-20 12:00:00,8,5.87
FCR,2015,2015-07-20 12:00:00,9,5.78
FCR,2015,2015-07-27 12:00:00,0.1,7.49
FCR,2015,2015-07-27 12:00:00,1.6,7.68
FCR,2015,2015-07-27 12:00:00,3.8,7.12
FCR,2015,2015-07-27 12:00:00,5,6.3
FCR,2015,2015-07-27 12:00:00,6.2,6.12
