Reservoir,Year,Date,Depth,YSI_TEMP_C,YSI_DO_mgL,YSI_pH,YSI_COND_uScm,YSI_ORP_mV,YSI_PAR,Notes
BVR,2016,10/11/2016 12:00,1,17.3,7.37,6.53,29.1,235,NA,
BVR,2016,10/11/2016 12:00,2,17.3,7.28,6.53,29.1,231.7,NA,
BVR,2016,10/11/2016 12:00,3,17.3,7.22,6.61,29.1,231.5,NA,
BVR,2016,10/11/2016 12:00,4,17.3,7.17,6.59,29.1,233,NA,
BVR,2016,10/11/2016 12:00,5,17.2,7.09,6.6,29.2,233.6,NA,
BVR,2016,10/11/2016 12:00,6,17,6.55,6.54,29.5,236.4,NA,
BVR,2016,10/11/2016 12:00,7,13,0.58,6.12,71.8,-34.8,NA,
BVR,2016,10/11/2016 12:00,8,11.1,0.43,6.34,111.1,-74.8,NA,
BVR,2016,10/11/2016 12:00,9,10.1,0.38,6.45,139.3,-103.7,NA,
BVR,2016,10/11/2016 12:00,10,9.4,0.37,6.69,164.6,-119.7,NA,
BVR,2016,10/11/2016 12:00,11,9,0.36,6.69,194.2,-128.3,NA,
BVR,2016,11/11/2016 12:00,0.1,12.7,7.94,6.6,31.1,239.9,NA,
BVR,2016,11/11/2016 12:00,1,12.7,7.96,6.59,31.1,238.1,NA,
BVR,2016,11/11/2016 12:00,2,12.7,7.9,6.61,31.1,238,NA,
BVR,2016,11/11/2016 12:00,3,12.7,7.9,6.63,31.1,237,NA,
BVR,2016,11/11/2016 12:00,4,12.7,7.89,6.63,31.1,237,NA,
BVR,2016,11/11/2016 12:00,5,12.7,7.89,6.63,31.1,236.5,NA,
BVR,2016,11/11/2016 12:00,6,12.7,7.86,6.62,31.1,236.8,NA,
BVR,2016,11/11/2016 12:00,7,12.7,7.84,6.62,31.1,238,NA,
BVR,2016,11/11/2016 12:00,8,12.7,7.83,6.64,31.1,236.7,NA,
BVR,2016,11/11/2016 12:00,9,12.7,7.84,6.62,31.1,239,NA,
BVR,2016,11/11/2016 12:00,10,12.6,7.8,6.64,31.1,238.7,NA,
BVR,2016,11/11/2016 12:00,11,12.6,7.8,6.62,31.1,239.5,NA,
