
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.000000,-0.000063,1.000679,0.000009,0.000455,0.153440,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(in H2O),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_Inf2_BV2013June,,Exported,"Aqua4Plus 1.9.501"
# Records,  70 
Statistical Data,,Temperature(degC),Pressure(in H2O),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,15.69,387.01,
,Maximum,18.69,391.18,
,Mean,17.02,390.23,
,Variance,0.747,0.944,
,Std Deviation,0.864,0.971,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(in H2O)
1,10-Jun-13 16:00:00,17.50,390.34
2,10-Jun-13 17:00:00,17.25,390.34
3,10-Jun-13 18:00:00,17.06,390.14
4,10-Jun-13 19:00:00,16.94,390.09
5,10-Jun-13 20:00:00,16.81,390.31
6,10-Jun-13 21:00:00,16.63,390.34
7,10-Jun-13 22:00:00,16.50,390.62
8,10-Jun-13 23:00:00,16.31,390.76
9,11-Jun-13 00:00:00,16.19,390.68
10,11-Jun-13 01:00:00,16.06,390.57
11,11-Jun-13 02:00:00,16.00,390.48
12,11-Jun-13 03:00:00,16.00,390.65
13,11-Jun-13 04:00:00,15.88,390.62
14,11-Jun-13 05:00:00,15.81,390.45
15,11-Jun-13 06:00:00,15.75,390.54
16,11-Jun-13 07:00:00,15.69,390.62
17,11-Jun-13 08:00:00,15.69,390.79
18,11-Jun-13 09:00:00,15.75,390.93
19,11-Jun-13 10:00:00,15.94,390.93
20,11-Jun-13 11:00:00,16.19,390.98
21,11-Jun-13 12:00:00,16.31,391.09
22,11-Jun-13 13:00:00,16.44,390.98
23,11-Jun-13 14:00:00,16.63,390.95
24,11-Jun-13 15:00:00,17.06,390.67
25,11-Jun-13 16:00:00,17.38,390.67
26,11-Jun-13 17:00:00,17.38,390.59
27,11-Jun-13 18:00:00,17.31,390.53
28,11-Jun-13 19:00:00,17.19,390.56
29,11-Jun-13 20:00:00,17.13,390.59
30,11-Jun-13 21:00:00,16.94,390.67
31,11-Jun-13 22:00:00,16.75,390.95
32,11-Jun-13 23:00:00,16.63,390.95
33,12-Jun-13 00:00:00,16.50,391.04
34,12-Jun-13 01:00:00,16.38,390.95
35,12-Jun-13 02:00:00,16.31,391.01
36,12-Jun-13 03:00:00,16.25,391.18
37,12-Jun-13 04:00:00,16.25,391.12
38,12-Jun-13 05:00:00,16.19,391.18
39,12-Jun-13 06:00:00,16.06,391.18
40,12-Jun-13 07:00:00,16.00,391.15
41,12-Jun-13 08:00:00,16.06,391.18
42,12-Jun-13 09:00:00,16.19,391.07
43,12-Jun-13 10:00:00,16.38,390.90
44,12-Jun-13 11:00:00,16.56,390.90
45,12-Jun-13 12:00:00,16.94,390.95
46,12-Jun-13 13:00:00,17.56,390.70
47,12-Jun-13 14:00:00,18.00,390.48
48,12-Jun-13 15:00:00,18.25,390.28
49,12-Jun-13 16:00:00,18.56,390.31
50,12-Jun-13 17:00:00,18.63,390.17
51,12-Jun-13 18:00:00,18.50,389.97
52,12-Jun-13 19:00:00,18.38,389.86
53,12-Jun-13 20:00:00,18.31,389.94
54,12-Jun-13 21:00:00,18.13,389.86
55,12-Jun-13 22:00:00,17.94,390.08
56,12-Jun-13 23:00:00,17.75,390.06
57,13-Jun-13 00:00:00,17.63,389.78
58,13-Jun-13 01:00:00,17.63,389.72
59,13-Jun-13 02:00:00,17.69,389.61
60,13-Jun-13 03:00:00,17.69,389.41
61,13-Jun-13 04:00:00,17.69,389.05
62,13-Jun-13 05:00:00,17.69,388.69
63,13-Jun-13 06:00:00,17.69,388.49
64,13-Jun-13 07:00:00,17.75,388.33
65,13-Jun-13 08:00:00,17.75,388.35
66,13-Jun-13 09:00:00,17.81,388.33
67,13-Jun-13 10:00:00,17.94,388.05
68,13-Jun-13 11:00:00,18.06,387.68
69,13-Jun-13 12:00:00,18.31,387.37
70,13-Jun-13 13:00:00,18.69,387.01
