Reservoir,Year,Date,Secchi_m
FCR,2015,2015-03-31,2
FCR,2015,2015-04-07,2.25
FCR,2015,2015-04-13,2.1
FCR,2015,2015-04-21,1.4
FCR,2015,2015-04-25,1.5
FCR,2015,2015-04-28,2
FCR,2015,2015-05-04,2.5
FCR,2015,2015-05-11,3
FCR,2015,2015-05-18,2.8
FCR,2015,2015-05-25,2.5
FCR,2015,2015-06-01,2.9
FCR,2015,2015-06-08,1.7
FCR,2015,2015-06-15,2.4
FCR,2015,2015-06-22,2.33
FCR,2015,2015-06-22,2.33
FCR,2015,2015-06-29,2.45
FCR,2015,2015-07-06,1.24
FCR,2015,2015-07-13,1.35
FCR,2015,2015-07-20,2.4
FCR,2015,2015-07-27,2.85
FCR,2015,2015-08-10,1.7
FCR,2015,2015-08-17,1.6
FCR,2015,2015-08-24,1.25
FCR,2015,2015-08-31,1.4
FCR,2015,2015-09-14,
FCR,2015,2015-09-28,
FCR,2015,2015-10-05,1.6
