Reservoir,Year,Date,Depth,Tot_Na_ugL,Tot_Mg_ugL,Tot_Al_ugL,Tot_Si_ugL,Tot_P_ugL,Tot_S_mgL,Tot_Cl_mgL,Tot_K_ugL,Tot_Ca_ugL,Tot_Ti_ugL,Tot_V_ugL,Tot_Cr_ugL,Tot_Fe_ugL,Tot_Mn_ugL,Tot_Co_ugL,Tot_Ni_ugL,Tot_Cu_ugL,Tot_Zn_ugL,Tot_As_ugL,Tot_Se_ugL,Tot_Sr_ugL,Tot_Mo_ugL,Tot_Ag_ugL,Tot_Cd_ugL,Tot_Sn_ugL,Tot_Ba_ugL,Tot_Ce_ugL,Tot_Pb_ugL,Tot_U_ugL,Sol_Na_ugL,Sol_Mg_ugL,Sol_Al_ugL,Sol_Si_ugL,Sol_P_ugL,Sol_S_mgL,Sol_Cl_mgL,Sol_K_ugL,Sol_Ca_ugL,Sol_Ti_ugL,Sol_V_ugL,Sol_Cr_ugL,Sol_Fe_ugL,Sol_Mn_ugL,Sol_Co_ugL,Sol_Ni_ugL,Sol_Cu_ugL,Sol_Zn_ugL,Sol_As_ugL,Sol_Se_ugL,Sol_Sr_ugL,Sol_Mo_ugL,Sol_Ag_ugL,Sol_Cd_ugL,Sol_Sn_ugL,Sol_Ba_ugL,Sol_Ce_ugL,Sol_Pb_ugL,Sol_U_ugL
BVR,2015,2015-05-14 12:00:00,0.1,2220,743.4,23.7,6539,<10,,,1273,1397,<1,<1,<1,216,15.6,<1,<1,<1,<5,<0.5,<2.5,9.5,<0.1,<1,<1,<1,13.5,,<1,<1,2220,723,8.4,6509,<10,,,1044,1397,<1,<1,<1,119,2.7,<1,<1,<1,<5,<0.5,<2.5,8.3,<0.1,<1,<1,<1,6.5,,<1,<1
BVR,2015,2015-05-14 12:00:00,3,2181,751.5,14.6,6508,<10,,,1241,1414,<1,<1,<1,172.1,15.9,<1,<1,<1,<5,<0.5,<2.5,9.6,<0.1,<1,<1,<1,14.7,,<1,<1,2181,738.6,<5,6433,<10,,,973.5,1414,<1,<1,<1,73.7,2.4,<1,<1,<1,<5,<0.5,<2.5,8.7,<0.1,<1,<1,<1,6.1,,<1,<1
BVR,2015,2015-05-14 12:00:00,6,2164,745.5,10.3,6898,<10,,,1266,1403,<1,<1,<1,161.8,45.3,<1,<1,<1,<5,<0.5,<2.5,9.5,<0.1,<1,<1,<1,19.3,,<1,<1,2164,741,<5,6898,<10,,,1074,1403,<1,<1,<1,24.7,2.5,<1,<1,<1,<5,<0.5,<2.5,8.7,<0.1,<1,<1,<1,8.1,,<1,<1
BVR,2015,2015-05-14 12:00:00,9,2229,797.2,8.5,7107,16.5,,,1358,1568,<1,<1,<1,2106,817.4,1.1,<1,<1,<5,<0.5,<2.5,10.5,<0.1,<1,<1,<1,56.7,,<1,<1,2229,787.8,<5,7022,14.4,,,1132,1568,<1,<1,<1,599.3,817.4,1.1,<1,<1,<5,<0.5,<2.5,9.9,<0.1,<1,<1,<1,18.9,,<1,<1
BVR,2015,2015-05-14 12:00:00,11,2196,828.3,6.5,6900,24.5,,,1402,1624,<1,<1,<1,7913,1609,2.2,<1,<1,<5,<0.5,<2.5,11.4,<0.1,<1,<1,<1,59.7,,<1,<1,2196,818.4,<5,6792,14.6,,,1161,1624,<1,<1,<1,6126,1526,2.1,<1,<1,<5,<0.5,<2.5,11.1,<0.1,<1,<1,<1,41,,<1,<1
BVR,2015,2015-05-21 12:00:00,0.1,2227,756.9,19.8,6545,<10,,,1304,1391,<1,<1,<1,243.6,20.5,<1,<1,3.7,<5,<0.5,<2.5,9.6,<0.1,<1,<1,<1,13.9,,<1,<1,2227,736.4,6.1,6518,<10,,,1041,1391,<1,<1,<1,124,2.1,<1,<1,1.9,<5,<0.5,<2.5,8.7,<0.1,<1,<1,<1,5.5,,<1,<1
BVR,2015,2015-05-21 12:00:00,3,2244,766.6,15.6,6519,<10,,,1279,1449,<1,<1,<1,222.3,26.2,<1,<1,<1,<5,<0.5,<2.5,9.6,<0.1,<1,<1,<1,14.6,,<1,<1,2244,766.6,5.3,6501,<10,,,1035,1449,<1,<1,<1,97,3.2,<1,<1,<1,<5,<0.5,<2.5,9,<0.1,<1,<1,<1,8.3,,<1,<1
BVR,2015,2015-05-21 12:00:00,6,2202,752.8,11.6,6738,<10,,,1276,1407,<1,<1,<1,154.7,33.9,<1,<1,<1,<5,<0.5,<2.5,9.8,<0.1,<1,<1,<1,18.5,,<1,<1,2202,747.3,5.7,6738,<10,,,1058,1407,<1,<1,<1,40.4,3.4,<1,<1,<1,<5,<0.5,<2.5,9.1,<0.1,<1,<1,<1,8.7,,<1,<1
BVR,2015,2015-05-21 12:00:00,9,2213,800.3,6.4,7090,16.7,,,1380,1573,<1,<1,<1,2726,1024,1.4,<1,<1,<5,<0.5,<2.5,10.7,<0.1,<1,<1,<1,65.4,,<1,<1,2213,799.6,<5,6997,11,,,1130,1573,<1,<1,<1,1885,1024,1.4,<1,<1,<5,<0.5,<2.5,10.6,<0.1,<1,<1,<1,27.1,,<1,<1
BVR,2015,2015-05-21 12:00:00,11,2319,818.8,11.8,6932,24,,,1396,1651,<1,<1,<1,7573,1443,1.9,<1,<1,<5,<0.5,<2.5,11.3,<0.1,<1,<1,<1,55,,<1,<1,2319,812.2,<5,6914,13.8,,,1176,1651,<1,<1,<1,5896,1392,1.8,<1,<1,<5,<0.5,<2.5,11,<0.1,<1,<1,<1,36.1,,<1,<1
BVR,2015,2015-05-28 12:00:00,0.1,2258,735.8,10.3,5943,<10,,,1284,1454,<1,<1,<1,211.6,13.2,<1,<1,<1,<5,<0.5,<2.5,9.6,<0.1,<1,<1,<1,13.3,,<1,<1,2258,731.1,<5,5901,<10,,,1185,1454,<1,<1,<1,100.1,<1,<1,<1,<1,<5,<0.5,<2.5,9.2,<0.1,<1,<1,<1,7.3,,<1,<1
BVR,2015,2015-05-28 12:00:00,3,2207,724,9.7,5844,<10,,,1262,1399,1.6,<1,<1,215.6,16.6,<1,<1,<1,<5,<0.5,<2.5,9.6,<0.1,<1,<1,<1,13.4,,<1,<1,2207,716.1,<5,5844,<10,,,1177,1399,<1,<1,<1,104.6,1.2,<1,<1,<1,<5,<0.5,<2.5,9.2,<0.1,<1,<1,<1,7.1,,<1,<1
BVR,2015,2015-05-28 12:00:00,6,2180,763.5,10.6,6380,<10,,,1258,1580,<1,<1,<1,252.4,169.1,<1,<1,<1,<5,<0.5,<2.5,10.3,<0.1,<1,<1,<1,23.5,,<1,<1,2180,726.3,<5,6219,<10,,,1118,1580,<1,<1,<1,33.9,89.2,<1,<1,<1,<5,<0.5,<2.5,10,<0.1,<1,<1,<1,12.9,,<1,<1
BVR,2015,2015-05-28 12:00:00,9,2194,788.2,<5,6450,31.8,,,1346,1638,1,<1,<1,2114,1123,1.5,<1,<1,<5,<0.5,<2.5,10.9,<0.1,<1,<1,<1,71.4,,<1,<1,2194,742,<5,6240,<10,,,1220,1638,<1,<1,<1,632.5,1071,1.4,<1,<1,<5,<0.5,<2.5,10.8,<0.1,<1,<1,<1,26,,<1,<1
BVR,2015,2015-05-28 12:00:00,11,2182,818.4,7.4,6302,28.9,,,1413,1839,<1,<1,<1,13760,1870,2.4,<1,<1,<5,<0.5,<2.5,12.5,0.3,<1,<1,<1,71.7,,<1,<1,2182,771.2,<5,6262,<10,,,1321,1835,<1,<1,<1,8681,1631,2.1,<1,<1,<5,<0.5,<2.5,11.8,0.1,<1,<1,<1,47.3,,<1,<1
BVR,2015,2015-06-04 12:00:00,0.1,2341,767.3,14.7,6060,<10,,,1351,1459,<1,<1,<1,220.7,22.6,<1,<1,<1,<5,<0.5,<2.5,9.5,<0.1,<1,<1,<1,14.1,,<1,<1,2341,735.8,<5,5948,<10,,,1261,1459,<1,<1,<1,93.2,2.4,<1,<1,<1,<5,<0.5,<2.5,9.2,<0.1,<1,<1,<1,8.6,,<1,<1
BVR,2015,2015-06-04 12:00:00,3,2276,750.3,11.7,6024,<10,,,1273,1481,<1,<1,<1,220.1,21.4,<1,<1,<1,<5,<0.5,<2.5,9.5,<0.1,<1,<1,<1,14,,<1,<1,2276,743.9,<5,6024,<10,,,1273,1481,<1,<1,<1,92.5,2.7,<1,<1,<1,<5,<0.5,<2.5,9.3,<0.1,<1,<1,<1,9.4,,<1,<1
BVR,2015,2015-06-04 12:00:00,6,2166,774.8,5.4,6425,<10,,,1232,1661,<1,<1,<1,116.5,72.9,<1,<1,<1,<5,<0.5,<2.5,10,<0.1,<1,<1,<1,21.9,,<1,<1,2166,765.5,<5,6425,<10,,,1232,1661,<1,<1,<1,10.2,29.4,<1,<1,<1,<5,<0.5,<2.5,10,<0.1,<1,<1,<1,16.7,,<1,<1
BVR,2015,2015-06-04 12:00:00,9,2214,815,<5,6632,49,,,1361,1806,<1,<1,<1,4579,1687,2.4,<1,<1,<5,<0.5,<2.5,11.1,<0.1,<1,<1,<1,74.9,,<1,<1,2214,791.1,<5,6599,<10,,,1326,1806,<1,<1,<1,3320,1468,2,<1,<1,<5,<0.5,<2.5,10.9,<0.1,<1,<1,<1,47.5,,<1,<1
