FlowmeterSensorID,Date,Site,WidthInterval_m,Depth_cm,Velocity,Velocity_unit,Depth_m,Velocity_m/s,Discharge,Notes
ModelFP111,2019-02-08,F200,0,0,0,ft_s,,,,
ModelFP111,2019-02-08,F200,0.1,1,0,ft_s,,,,
ModelFP111,2019-02-08,F200,0.2,5,0.6,ft_s,,,,
ModelFP111,2019-02-08,F200,0.3,10,0.9,ft_s,,,,
ModelFP111,2019-02-08,F200,0.4,14,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.5,14,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.6,12,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.7,10,1.3,ft_s,,,,
ModelFP111,2019-02-08,F200,0.8,11,1.1,ft_s,,,,
ModelFP111,2019-02-08,F200,0.9,9,0.9,ft_s,,,,
ModelFP111,2019-02-08,F200,1,9,0.8,ft_s,,,,
ModelFP111,2019-02-08,F200,1.1,8,0.6,ft_s,,,,
ModelFP111,2019-02-08,F200,1.2,8.5,0,ft_s,,,,
ModelFP111,2019-02-08,F200,1.3,7,0,ft_s,,,,
ModelFP111,2019-02-08,F200,1.4,1,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.1,0,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.2,2.5,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.3,3,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.4,6.5,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.5,11,0,ft_s,,,,
Model FP III,2019-03-18,F200,0.6,16,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,0.7,15,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,0.8,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,0.9,16,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1.1,14,0.4,ft_s,,,,
Model FP III,2019-03-18,F200,1.2,11,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.3,12,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.4,13,0.8,ft_s,,,,
Model FP III,2019-03-18,F200,1.5,18,0.6,ft_s,,,,
Model FP III,2019-03-18,F200,1.6,22,0.9,ft_s,,,,
Model FP III,2019-03-18,F200,1.7,23,0.9,ft_s,,,,
Model FP III,2019-03-18,F200,1.8,24,0.2,ft_s,,,,
Model FP III,2019-03-18,F200,1.9,24,0,ft_s,,,,
Model FP III,2019-03-18,F200,2,0,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.1,0,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.2,3,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.3,8,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.4,10,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.5,14,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.6,17,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.7,18,0,ft_s,,,,
Model FP III,2019-04-01,F200,0.8,16,0.2,ft_s,,,,
Model FP III,2019-04-01,F200,0.9,12,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1,10,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.1,11,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.2,13,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.3,12,0.6,ft_s,,,,
Model FP III,2019-04-01,F200,1.4,12,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.5,13,0.4,ft_s,,,,
Model FP III,2019-04-01,F200,1.6,16,0.6,ft_s,,,,
Model FP III,2019-04-01,F200,1.7,19,0.8,ft_s,,,,
Model FP III,2019-04-01,F200,1.8,20,0.8,ft_s,,,,
Model FP III,2019-04-01,F200,1.9,23,0,ft_s,,,,
Model FP III,2019-04-01,F200,2,6,0,ft_s,,,,
Model FP III,2019-04-15,F200,0,0,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.1,4,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.2,7,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.3,8,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.4,7,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.5,9,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.6,11,0,ft_s,,,,
Model FP III,2019-04-15,F200,0.7,15,0.2,ft_s,,,,
Model FP III,2019-04-15,F200,0.8,17,0.4,ft_s,,,,
Model FP III,2019-04-15,F200,0.9,18,0.9,ft_s,,,,
Model FP III,2019-04-15,F200,1,24,1.3,ft_s,,,,
Model FP III,2019-04-15,F200,1.1,24,1.1,ft_s,,,,
Model FP III,2019-04-15,F200,1.2,25,0.9,ft_s,,,,
Model FP III,2019-04-15,F200,1.3,27,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,1.4,31,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,1.5,33,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.6,36,1.1,ft_s,,,,
Model FP III,2019-04-15,F200,1.7,39,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.8,40,1.7,ft_s,,,,
Model FP III,2019-04-15,F200,1.9,35,1.5,ft_s,,,,
Model FP III,2019-04-15,F200,2,32,0.4,ft_s,,,,
Model FP III,2019-04-15,F200,2.1,21,1.3,ft_s,,,,
Model FP III,2019-04-15,F200,2.2,0,0,ft_s,,,,
Model FP III,2019-04-22,F200,0,1,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.1,4.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.2,4,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.3,5.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.4,7,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,0.5,9.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,0.6,15.7,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,0.7,13,0.4,ft_s,,,,
Model FP III,2019-04-22,F200,0.8,15.2,0.6,ft_s,,,,
Model FP III,2019-04-22,F200,0.9,15.4,0.8,ft_s,,,,
Model FP III,2019-04-22,F200,1,15,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.1,16,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.2,16,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,1.3,15.5,0.8,ft_s,,,,
Model FP III,2019-04-22,F200,1.4,16.3,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.5,15.7,1.1,ft_s,,,,
Model FP III,2019-04-22,F200,1.6,19,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.7,23,1.5,ft_s,,,,
Model FP III,2019-04-22,F200,1.8,25,1.3,ft_s,,,,
Model FP III,2019-04-22,F200,1.9,25.3,0.9,ft_s,,,,
Model FP III,2019-04-22,F200,2,23.9,0.4,ft_s,,,,
Model FP III,2019-04-22,F200,2.1,17.8,0.2,ft_s,,,,
Model FP III,2019-04-22,F200,2.2,4.5,0,ft_s,,,,
Model FP III,2019-04-22,F200,2.3,1,0,ft_s,,,,
