Advanced Calibration Data,,Cal Date,m2,m1,m0,b3,b2,b1,b0
,Block 0,unknown,0,-6.30E-05,1900-01-01 00:00:59,0,9.00E-06,4.55E-04,0.153439999
,Block 1,unknown,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
,,,,,,,,,
Field Calibration Data,,m,b, Cal Date,,,,,
,Pressure,1,0,unknown,,,,,
,Temperature,1,0,unknown,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,INW Smart Sensor,,,,,,,,
Session Name,FCR_inf_15min,,,,,,,,
# Records,1914-09-29 00:00:00,,,,,,,,
Sensor File,2015-08-03 13:26:00,FCR_inf_15min_080315.a4d,,,,,,,
,,,,,,,,,
Barometric File,2015-08-03 14:01:00,FCRBV_080315.a4d,,,,,,,
Barometric Factory Calibration Data,,m3,m2,m1,m0,b3,b2,b1,b0
,Block 0,38353,4.00E-06,-2.44E-04,1900-01-01 00:05:03,0,-7.20E-05,4.13E-03,3.70E-02
,Block 1,38353,0,0,1900-01-00 00:00:00,0,0,0,100
,,,,,,,,,
Barometric Field Calibration Data,,m,b,,,,,,
,Pressure,1,0,,,,,,
,Temperature,1,0,,,,,,
,,,,,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,,,,,,,
Sensor Type,PT2X,,,,,,,,
Sensor Name,Barometric Pressure (2),,,,,,,,
Session Name,FCRBV,,,,,,,,
# Records, n/a,,,,,,,,
,,,,,,,,,
Statistical Data,,Pressure(in H2O),Temperature(degC),,,,,,
,Sensor Range,30 psia,,,,,,,
,Minimum,6.67,19.56,,,,,,
,Maximum,13.12,26,,,,,,
,Mean,7.87,23.17,,,,,,
,Variance,0.477,1.536,,,,,,
,Std Deviation,0.69,1.239,,,,,,
Rec #,Date/Time,Pressure(in H2O),Temperature(degC),SensorPressure(in H2O),Barometric Date/Time,,,,
1,2015-06-08 00:00:00,9.74,21.63,392.73,2015-06-08 16:00:00,,,,
2,2015-06-08 00:00:00,9.71,21.69,392.7,2015-06-08 16:00:00,,,,
3,2015-06-08 00:00:00,9.71,21.75,392.7,2015-06-08 16:00:00,,,,
4,2015-06-08 00:00:00,9.65,21.81,392.65,2015-06-08 16:00:00,,,,
5,2015-06-08 00:00:00,9.6,21.94,392.59,2015-06-08 16:00:00,,,,
6,2015-06-08 00:00:00,9.51,22,392.51,2015-06-08 16:00:00,,,,
7,2015-06-08 00:00:00,9.37,22.06,392.37,2015-06-08 16:00:00,,,,
8,2015-06-08 00:00:00,9.37,22.06,392.37,2015-06-08 16:00:00,,,,
9,2015-06-08 00:00:00,9.23,22.19,392.23,2015-06-08 16:00:00,,,,
10,2015-06-08 00:00:00,9.09,22.19,392.09,2015-06-08 16:00:00,,,,
11,2015-06-08 00:00:00,8.95,22.25,391.95,2015-06-08 16:00:00,,,,
12,2015-06-08 00:00:00,8.84,22.25,391.84,2015-06-08 16:00:00,,,,
13,2015-06-08 00:00:00,8.84,22.25,391.84,2015-06-08 16:00:00,,,,
14,2015-06-08 00:00:00,8.67,22.25,391.67,2015-06-08 16:00:00,,,,
15,2015-06-08 00:00:00,8.65,22.31,391.64,2015-06-08 16:00:00,,,,
16,2015-06-08 00:00:00,8.53,22.38,391.53,2015-06-08 16:00:00,,,,
17,2015-06-08 00:00:00,8.48,22.38,391.47,2015-06-08 16:00:00,,,,
18,2015-06-08 00:00:00,8.59,22.31,391.58,2015-06-08 16:00:00,,,,
19,2015-06-08 00:00:00,8.53,22.31,391.53,2015-06-08 16:00:00,,,,
20,2015-06-08 00:00:00,8.45,22.31,391.44,2015-06-08 16:00:00,,,,
21,2015-06-08 00:00:00,8.31,22.31,391.31,2015-06-08 16:00:00,,,,
22,2015-06-08 00:00:00,8.3,22.38,391.17,2015-06-08 16:15:00,,,,
23,2015-06-08 00:00:00,8.28,22.31,391.14,2015-06-08 16:30:00,,,,
24,2015-06-08 00:00:00,8.24,22.31,391.22,2015-06-08 16:45:00,,,,
25,2015-06-08 00:00:00,8.31,22.31,391.19,2015-06-08 17:00:00,,,,
26,2015-06-08 00:00:00,8.43,22.25,391.81,2015-06-08 17:15:00,,,,
27,2015-06-08 00:00:00,9.71,21.63,392.9,2015-06-08 17:30:00,,,,
28,2015-06-08 00:00:00,11.82,21.25,394.99,2015-06-08 17:45:00,,,,
29,2015-06-08 00:00:00,13.12,20.63,396.25,2015-06-08 18:00:00,,,,
30,2015-06-08 00:00:00,11.77,19.88,394.88,2015-06-08 18:15:00,,,,
31,2015-06-08 00:00:00,10.96,19.75,393.91,2015-06-08 18:30:00,,,,
32,2015-06-08 00:00:00,10.58,19.88,393.49,2015-06-08 18:45:00,,,,
33,2015-06-08 00:00:00,10.19,20.06,393.01,2015-06-08 19:00:00,,,,
34,2015-06-08 00:00:00,9.99,20.25,392.73,2015-06-08 19:15:00,,,,
35,2015-06-08 00:00:00,9.84,20.44,392.59,2015-06-08 19:30:00,,,,
36,2015-06-08 00:00:00,9.78,20.56,392.62,2015-06-08 19:45:00,,,,
37,2015-06-08 00:00:00,9.69,20.69,392.59,2015-06-08 20:00:00,,,,
38,2015-06-08 00:00:00,9.73,20.75,392.65,2015-06-08 20:15:00,,,,
39,2015-06-08 00:00:00,9.48,20.88,392.37,2015-06-08 20:30:00,,,,
40,2015-06-08 00:00:00,9.76,20.88,392.81,2015-06-08 20:45:00,,,,
41,2015-06-08 00:00:00,9.62,20.94,392.67,2015-06-08 21:00:00,,,,
42,2015-06-08 00:00:00,9.6,20.94,392.56,2015-06-08 21:15:00,,,,
43,2015-06-08 00:00:00,9.62,21,392.56,2015-06-08 21:30:00,,,,
44,2015-06-08 00:00:00,9.63,20.94,392.59,2015-06-08 21:45:00,,,,
45,2015-06-08 00:00:00,9.58,20.94,392.73,2015-06-08 22:00:00,,,,
46,2015-06-08 00:00:00,9.52,21,392.7,2015-06-08 22:15:00,,,,
47,2015-06-08 00:00:00,9.47,21,392.56,2015-06-08 22:30:00,,,,
48,2015-06-08 00:00:00,9.48,20.94,392.51,2015-06-08 22:45:00,,,,
49,2015-06-08 00:00:00,9.44,20.94,392.4,2015-06-08 23:00:00,,,,
50,2015-06-08 00:00:00,9.41,21,392.51,2015-06-08 23:15:00,,,,
51,2015-06-08 00:00:00,9.47,21,392.53,2015-06-08 23:30:00,,,,
52,2015-06-08 00:00:00,9.37,21,392.48,2015-06-08 23:45:00,,,,
53,2015-06-09 00:00:00,9.33,21,392.45,2015-06-09 00:00:00,,,,
54,2015-06-09 00:00:00,9.37,21,392.4,2015-06-09 00:15:00,,,,
55,2015-06-09 00:00:00,9.46,21,392.42,2015-06-09 00:30:00,,,,
56,2015-06-09 00:00:00,9.47,21,392.4,2015-06-09 00:45:00,,,,
57,2015-06-09 00:00:00,9.36,21,392.2,2015-06-09 01:00:00,,,,
58,2015-06-09 00:00:00,9.39,21,392.17,2015-06-09 01:15:00,,,,
59,2015-06-09 00:00:00,9.42,21,392.06,2015-06-09 01:30:00,,,,
60,2015-06-09 00:00:00,9.36,21,391.95,2015-06-09 01:45:00,,,,
61,2015-06-09 00:00:00,9.33,21,391.84,2015-06-09 02:00:00,,,,
62,2015-06-09 00:00:00,9.46,21,391.92,2015-06-09 02:15:00,,,,
63,2015-06-09 00:00:00,9.33,21,391.67,2015-06-09 02:30:00,,,,
64,2015-06-09 00:00:00,9.37,21,391.61,2015-06-09 02:45:00,,,,
65,2015-06-09 00:00:00,9.42,21,391.59,2015-06-09 03:00:00,,,,
66,2015-06-09 00:00:00,9.26,21,391.42,2015-06-09 03:15:00,,,,
67,2015-06-09 00:00:00,9.47,21,391.61,2015-06-09 03:30:00,,,,
68,2015-06-09 00:00:00,9.43,21,391.59,2015-06-09 03:45:00,,,,
69,2015-06-09 00:00:00,9.44,20.94,391.7,2015-06-09 04:00:00,,,,
70,2015-06-09 00:00:00,9.39,20.94,391.73,2015-06-09 04:15:00,,,,
71,2015-06-09 00:00:00,9.4,20.94,391.73,2015-06-09 04:30:00,,,,
72,2015-06-09 00:00:00,9.37,20.94,391.73,2015-06-09 04:45:00,,,,
73,2015-06-09 00:00:00,9.41,20.94,391.78,2015-06-09 05:00:00,,,,
74,2015-06-09 00:00:00,9.32,20.94,391.81,2015-06-09 05:15:00,,,,
75,2015-06-09 00:00:00,9.37,20.94,391.92,2015-06-09 05:30:00,,,,
76,2015-06-09 00:00:00,9.29,20.94,391.86,2015-06-09 05:45:00,,,,
77,2015-06-09 00:00:00,9.3,20.94,391.86,2015-06-09 06:00:00,,,,
78,2015-06-09 00:00:00,9.33,20.88,391.92,2015-06-09 06:15:00,,,,
79,2015-06-09 00:00:00,9.29,20.94,391.92,2015-06-09 06:30:00,,,,
80,2015-06-09 00:00:00,9.43,20.88,392.09,2015-06-09 06:45:00,,,,
81,2015-06-09 00:00:00,9.4,20.88,392.06,2015-06-09 07:00:00,,,,
82,2015-06-09 00:00:00,9.37,20.88,392.06,2015-06-09 07:15:00,,,,
83,2015-06-09 00:00:00,9.4,20.88,392.14,2015-06-09 07:30:00,,,,
84,2015-06-09 00:00:00,9.27,20.88,392.06,2015-06-09 07:45:00,,,,
85,2015-06-09 00:00:00,9.35,20.88,392.14,2015-06-09 08:00:00,,,,
86,2015-06-09 00:00:00,9.42,20.88,392.23,2015-06-09 08:15:00,,,,
87,2015-06-09 00:00:00,9.45,20.94,392.23,2015-06-09 08:30:00,,,,
88,2015-06-09 00:00:00,9.5,20.94,392.23,2015-06-09 08:45:00,,,,
89,2015-06-09 00:00:00,9.47,21,392.2,2015-06-09 09:00:00,,,,
90,2015-06-09 00:00:00,9.32,21,392.03,2015-06-09 09:15:00,,,,
91,2015-06-09 00:00:00,9.38,21.06,392.09,2015-06-09 09:30:00,,,,
92,2015-06-09 00:00:00,9.42,21.13,392.09,2015-06-09 09:45:00,,,,
93,2015-06-09 00:00:00,9.39,21.19,392.06,2015-06-09 10:00:00,,,,
94,2015-06-09 00:00:00,9.38,21.25,391.92,2015-06-09 10:15:00,,,,
95,2015-06-09 00:00:00,9.5,21.31,392.06,2015-06-09 10:30:00,,,,
96,2015-06-09 00:00:00,9.4,21.31,392.06,2015-06-09 10:45:00,,,,
97,2015-06-09 00:00:00,9.34,21.38,392,2015-06-09 11:00:00,,,,
98,2015-06-09 00:00:00,9.44,21.44,392.03,2015-06-09 11:15:00,,,,
99,2015-06-09 00:00:00,9.41,21.44,391.98,2015-06-09 11:30:00,,,,
100,2015-06-09 00:00:00,9.36,21.5,391.86,2015-06-09 11:45:00,,,,
101,2015-06-09 00:00:00,9.37,21.56,391.92,2015-06-09 12:00:00,,,,
102,2015-06-09 00:00:00,9.29,21.63,391.78,2015-06-09 12:15:00,,,,
103,2015-06-09 00:00:00,9.5,21.75,391.86,2015-06-09 12:30:00,,,,
104,2015-06-09 00:00:00,9.35,21.81,391.84,2015-06-09 12:45:00,,,,
105,2015-06-09 00:00:00,9.36,21.88,391.89,2015-06-09 13:00:00,,,,
106,2015-06-09 00:00:00,9.38,21.94,391.86,2015-06-09 13:15:00,,,,
107,2015-06-09 00:00:00,9.36,22,391.84,2015-06-09 13:30:00,,,,
108,2015-06-09 00:00:00,9.35,22,391.84,2015-06-09 13:45:00,,,,
109,2015-06-09 00:00:00,9.22,22.06,391.67,2015-06-09 14:00:00,,,,
110,2015-06-09 00:00:00,9.31,22.06,391.72,2015-06-09 14:15:00,,,,
111,2015-06-09 00:00:00,9.39,22.13,391.81,2015-06-09 14:30:00,,,,
112,2015-06-09 00:00:00,9.37,22.19,391.7,2015-06-09 14:45:00,,,,
113,2015-06-09 00:00:00,9.16,22.25,391.5,2015-06-09 15:00:00,,,,
114,2015-06-09 00:00:00,9.26,22.25,391.5,2015-06-09 15:15:00,,,,
115,2015-06-09 00:00:00,9.37,22.31,391.61,2015-06-09 15:30:00,,,,
116,2015-06-09 00:00:00,9.24,22.31,391.36,2015-06-09 15:45:00,,,,
117,2015-06-09 00:00:00,9.29,22.31,391.44,2015-06-09 16:00:00,,,,
118,2015-06-09 00:00:00,9.26,22.38,391.39,2015-06-09 16:15:00,,,,
119,2015-06-09 00:00:00,9.33,22.38,391.44,2015-06-09 16:30:00,,,,
120,2015-06-09 00:00:00,9.18,22.38,391.31,2015-06-09 16:45:00,,,,
121,2015-06-09 00:00:00,9.28,22.38,391.33,2015-06-09 17:00:00,,,,
122,2015-06-09 00:00:00,9.22,22.38,391.33,2015-06-09 17:15:00,,,,
123,2015-06-09 00:00:00,9.27,22.44,391.33,2015-06-09 17:30:00,,,,
124,2015-06-09 00:00:00,9.2,22.44,391.22,2015-06-09 17:45:00,,,,
125,2015-06-09 00:00:00,9.17,22.44,391.22,2015-06-09 18:00:00,,,,
126,2015-06-09 00:00:00,9.24,22.38,391.31,2015-06-09 18:15:00,,,,
127,2015-06-09 00:00:00,9.12,22.38,391.31,2015-06-09 18:30:00,,,,
128,2015-06-09 00:00:00,9.12,22.31,391.33,2015-06-09 18:45:00,,,,
129,2015-06-09 00:00:00,9.13,22.31,391.44,2015-06-09 19:00:00,,,,
130,2015-06-09 00:00:00,9.21,22.25,391.58,2015-06-09 19:15:00,,,,
131,2015-06-09 00:00:00,9.21,22.25,391.67,2015-06-09 19:30:00,,,,
132,2015-06-09 00:00:00,9.17,22.19,391.67,2015-06-09 19:45:00,,,,
133,2015-06-09 00:00:00,9.21,22.13,391.75,2015-06-09 20:00:00,,,,
134,2015-06-09 00:00:00,9.14,22.06,391.78,2015-06-09 20:15:00,,,,
135,2015-06-09 00:00:00,9.12,22,391.92,2015-06-09 20:30:00,,,,
136,2015-06-09 00:00:00,9.17,21.94,392.12,2015-06-09 20:45:00,,,,
137,2015-06-09 00:00:00,9.14,21.88,392.17,2015-06-09 21:00:00,,,,
138,2015-06-09 00:00:00,9.1,21.81,392.2,2015-06-09 21:15:00,,,,
139,2015-06-09 00:00:00,9.1,21.75,392.31,2015-06-09 21:30:00,,,,
140,2015-06-09 00:00:00,9.12,21.69,392.42,2015-06-09 21:45:00,,,,
141,2015-06-09 00:00:00,9.05,21.63,392.39,2015-06-09 22:00:00,,,,
142,2015-06-09 00:00:00,9.09,21.63,392.45,2015-06-09 22:15:00,,,,
143,2015-06-09 00:00:00,9.05,21.56,392.42,2015-06-09 22:30:00,,,,
144,2015-06-09 00:00:00,9.07,21.56,392.39,2015-06-09 22:45:00,,,,
145,2015-06-09 00:00:00,9.05,21.5,392.37,2015-06-09 23:00:00,,,,
146,2015-06-09 00:00:00,9.03,21.5,392.34,2015-06-09 23:15:00,,,,
147,2015-06-09 00:00:00,9.03,21.5,392.37,2015-06-09 23:30:00,,,,
148,2015-06-09 00:00:00,9.08,21.44,392.34,2015-06-09 23:45:00,,,,
149,2015-06-10 00:00:00,9.01,21.44,392.37,2015-06-10 00:00:00,,,,
150,2015-06-10 00:00:00,9.07,21.38,392.42,2015-06-10 00:15:00,,,,
151,2015-06-10 00:00:00,9.04,21.38,392.39,2015-06-10 00:30:00,,,,
152,2015-06-10 00:00:00,9.06,21.31,392.39,2015-06-10 00:45:00,,,,
153,2015-06-10 00:00:00,9.1,21.31,392.42,2015-06-10 01:00:00,,,,
154,2015-06-10 00:00:00,9.02,21.25,392.31,2015-06-10 01:15:00,,,,
155,2015-06-10 00:00:00,9.12,21.19,392.34,2015-06-10 01:30:00,,,,
156,2015-06-10 00:00:00,9.05,21.19,392.2,2015-06-10 01:45:00,,,,
157,2015-06-10 00:00:00,9.08,21.13,392.17,2015-06-10 02:00:00,,,,
158,2015-06-10 00:00:00,9.18,21.13,392.23,2015-06-10 02:15:00,,,,
159,2015-06-10 00:00:00,9.19,21.13,392.2,2015-06-10 02:30:00,,,,
160,2015-06-10 00:00:00,9.04,21.06,392.03,2015-06-10 02:45:00,,,,
161,2015-06-10 00:00:00,9.06,21.06,392.03,2015-06-10 03:00:00,,,,
162,2015-06-10 00:00:00,9.14,21,392.06,2015-06-10 03:15:00,,,,
163,2015-06-10 00:00:00,9.01,21,391.89,2015-06-10 03:30:00,,,,
164,2015-06-10 00:00:00,9.09,21,392.06,2015-06-10 03:45:00,,,,
165,2015-06-10 00:00:00,9.04,20.94,392.09,2015-06-10 04:00:00,,,,
166,2015-06-10 00:00:00,9.12,20.94,392.2,2015-06-10 04:15:00,,,,
167,2015-06-10 00:00:00,8.95,20.94,392.09,2015-06-10 04:30:00,,,,
168,2015-06-10 00:00:00,9.14,20.94,392.34,2015-06-10 04:45:00,,,,
169,2015-06-10 00:00:00,9.02,20.94,392.31,2015-06-10 05:00:00,,,,
170,2015-06-10 00:00:00,9.11,20.94,392.45,2015-06-10 05:15:00,,,,
171,2015-06-10 00:00:00,9.01,20.94,392.45,2015-06-10 05:30:00,,,,
172,2015-06-10 00:00:00,8.98,20.88,392.51,2015-06-10 05:45:00,,,,
173,2015-06-10 00:00:00,9.01,20.88,392.59,2015-06-10 06:00:00,,,,
174,2015-06-10 00:00:00,9.09,20.88,392.79,2015-06-10 06:15:00,,,,
175,2015-06-10 00:00:00,9.09,20.88,392.81,2015-06-10 06:30:00,,,,
