Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-05-11T10:52:51Z,3.435,0.065,13.6924,2.0909,2.6806,28.845,22.280916,9.8549,94.831,7.538,338.1,52.885,1.9510940293808043
2018-05-11T10:52:51Z,3.454,0.062,13.664,2.1305,2.6622,28.842,22.261192,9.8307,94.536,7.538,338.069,52.094,1.9523059397822735
2018-05-11T10:52:51Z,3.47,0.058,13.6507,2.1556,2.6695,28.807,22.21785,9.8092,94.272,7.537,338.0952,51.471,1.9504661873656237
2018-05-11T10:52:51Z,3.483,0.054,13.6455,2.165,2.6466,28.803,22.201235,9.7901,94.038,7.537,338.2445,51.023,1.9504404934164303
2018-05-11T10:52:51Z,3.495,0.051,13.6213,2.2718,2.63,28.8,22.187244,9.774,93.841,7.536,338.3255,50.554,1.951441715670701
2018-05-11T10:52:51Z,3.507,0.049,13.5865,2.482,2.6519,28.8,22.175627,9.7618,93.68,7.533,338.2996,50.038,1.9531930420316521
2018-05-11T10:52:51Z,3.518,0.048,13.5598,2.6017,2.6671,28.835,22.187731,9.752,93.534,7.53,338.3611,49.441,1.957052554091102
2018-05-11T10:52:51Z,3.53,0.049,13.5351,2.6077,2.6618,28.881,22.206608,9.741,93.371,7.527,338.467,48.849,1.9616068256209833
2018-05-11T10:52:51Z,3.543,0.051,13.5163,2.5356,2.679,28.911,22.213411,9.7255,93.164,7.522,338.4622,48.313,1.9647166077818587
2018-05-11T10:52:51Z,3.556,0.054,13.4978,2.4098,2.691,28.922,22.206476,9.7052,92.913,7.518,338.4753,47.682,1.9664467703436024
2018-05-11T10:52:51Z,3.569,0.057,13.4712,2.3557,2.6855,28.917,22.186226,9.6788,92.603,7.514,338.5398,47.05,1.9674380858969824
2018-05-11T10:52:51Z,3.584,0.059,13.4418,2.3588,2.6733,28.902,22.159,9.6464,92.236,7.51,338.6383,46.37,1.9678522110101726
2018-05-11T10:52:51Z,3.601,0.062,13.414,2.3833,2.6961,28.888,22.131195,9.6099,91.828,7.504,338.8059,45.649,1.9682572611401064
2018-05-11T10:52:51Z,3.618,0.065,13.387,2.4403,2.8082,28.874,22.10395,9.5694,91.382,7.498,338.9315,45.116,1.9686217261316987
2018-05-11T10:52:51Z,3.634,0.068,13.3596,2.4691,2.8994,28.872,22.083482,9.5288,90.929,7.492,338.953,44.654,1.969873427072344
2018-05-11T10:52:51Z,3.65,0.07,13.3317,2.4646,2.9144,28.887,22.074144,9.4913,90.498,7.485,338.9803,44.034,1.9723807433070744
2018-05-11T10:52:51Z,3.669,0.072,13.3019,2.4331,2.8683,28.891,22.054504,9.4569,90.09,7.477,339.0896,43.362,1.9741928077833726
2018-05-11T10:52:51Z,3.688,0.074,13.2732,2.3722,2.7689,28.9,22.036429,9.4269,89.72,7.47,339.1555,42.693,1.9763128352423205
2018-05-11T10:52:51Z,3.708,0.075,13.2432,2.3445,2.7195,28.945,22.046018,9.4043,89.419,7.465,339.1742,41.953,1.9811105364835015
2018-05-11T10:52:51Z,3.728,0.075,13.2058,2.346,2.7291,28.975,22.043444,9.3893,89.189,7.46,339.3165,41.214,1.9852091112348345
2018-05-11T10:52:51Z,3.747,0.075,13.1651,2.3443,2.7317,28.959,22.005281,9.3759,88.974,7.454,339.5847,40.496,1.9861459323006911
2018-05-11T10:52:51Z,3.766,0.075,13.1235,2.3518,2.7212,28.94,21.965458,9.3596,88.73,7.446,339.7502,39.87,1.9869124636425892
2018-05-11T10:52:51Z,3.784,0.076,13.0797,2.3535,2.7239,28.945,21.942807,9.3396,88.448,7.438,339.8556,39.249,1.9895398459912939
2018-05-11T10:52:51Z,3.803,0.076,13.0354,2.3465,2.7337,28.956,21.921816,9.3123,88.092,7.431,340.0843,38.546,1.992635268025421
2018-05-11T10:52:51Z,3.823,0.075,12.9917,2.3501,2.7175,28.969,21.902073,9.2747,87.637,7.424,340.2788,37.904,1.9958515778771069
2018-05-11T10:52:51Z,3.843,0.072,12.948,2.3788,2.7416,28.996,21.89451,9.2293,87.115,7.419,340.3138,37.276,2.0000966551505734
2018-05-11T10:52:51Z,3.863,0.069,12.902,2.4263,2.8416,29.027,21.893819,9.1783,86.55,7.414,340.421,36.711,2.0047633307886157
2018-05-11T10:52:51Z,3.88,0.067,12.8517,2.456,2.9194,29.056,21.893692,9.1215,85.942,7.409,340.7154,36.311,2.0095196513379228
2018-05-11T10:52:51Z,3.895,0.065,12.7989,2.4713,2.9196,29.08,21.892944,9.0595,85.295,7.402,340.9482,35.945,2.014052662188147
2018-05-11T10:52:51Z,3.908,0.065,12.7499,2.4915,2.8436,29.094,21.884761,8.991,84.59,7.393,340.9991,35.561,2.017662101711577
2018-05-11T10:52:51Z,3.923,0.066,12.7077,2.508,2.7332,29.086,21.858216,8.9166,83.825,7.387,340.9865,35.072,2.0193027821999547
2018-05-11T10:52:51Z,3.941,0.068,12.6711,2.5232,2.6842,29.07,21.825891,8.8435,83.071,7.381,341.14,34.446,2.0200611446988663
2018-05-11T10:52:51Z,3.961,0.071,12.6381,2.5386,2.7087,29.072,21.811299000000002,8.7739,82.367,7.373,341.478,33.921,2.021954968074239
2018-05-11T10:52:51Z,3.981,0.073,12.6092,2.5836,2.7239,29.083,21.808725,8.7074,81.708,7.365,341.8035,33.472,2.024297309561502
2018-05-11T10:52:51Z,3.999,0.074,12.5744,2.6712,2.7154,29.08,21.794757,8.6493,81.125,7.357,342.0642,32.955,2.025923940431945
2018-05-11T10:52:51Z,4.018,0.073,12.5326,2.7349,2.7287,29.068,21.769356,8.6033,80.642,7.351,342.1351,32.509,2.027260921849378
2018-05-11T10:52:51Z,4.038,0.07,12.5057,2.7472,2.7313,29.075,21.755507,8.5663,80.235,7.345,342.0582,32.079,2.0292100696091144
2018-05-11T10:52:51Z,4.057,0.066,12.4931,2.737,2.6862,29.099,21.754259,8.5337,79.87,7.34,342.1673,31.533,2.0316552325830024
2018-05-11T10:52:51Z,4.074,0.063,12.4748,2.73,2.6406,29.121,21.754242,8.5006,79.509,7.335,342.4208,31.096,2.034258877169979
2018-05-11T10:52:51Z,4.088,0.061,12.4446,2.7362,2.6686,29.142,21.755274,8.4641,79.123,7.329,342.5425,30.781,2.0374284317476357
2018-05-11T10:52:51Z,4.1,0.06,12.4083,2.7481,2.7499,29.175,21.76672,8.4258,78.726,7.323,342.6061,30.413,2.0418193391181805
2018-05-11T10:52:51Z,4.113,0.061,12.375,2.7456,2.7691,29.19,21.765662,8.3869,78.325,7.317,342.67380000000003,30.096,2.044721588131806
2018-05-11T10:52:51Z,4.129,0.062,12.3468,2.7422,2.7181,29.177,21.742469,8.3488,77.929,7.311,342.6732,29.771,2.045274956735229
2018-05-11T10:52:51Z,4.147,0.065,12.3224,2.7713,2.6829,29.194,21.740204,8.3139,77.556,7.306,342.6844,29.376,2.0478519806356896
2018-05-11T10:52:51Z,4.165,0.067,12.3015,2.8036,2.6794,29.214,21.73826,8.2835,77.222,7.3,342.7225,28.993,2.050465977243675
2018-05-11T10:52:51Z,4.183,0.069,12.281,2.8108,2.7054,29.211,21.718947,8.2578,76.932,7.294,342.8758,28.532,2.0513507699675553
2018-05-11T10:52:51Z,4.2,0.069,12.2582,2.8125,2.7232,29.206,21.697114,8.2327,76.646,7.287,343.2477,28.117,2.052211941503558
2018-05-11T10:52:51Z,4.217,0.069,12.2315,2.815,2.7104,29.187,21.664703,8.207,76.352,7.28,343.5197,27.771,2.0522429684206567
2018-05-11T10:52:51Z,4.234,0.069,12.2021,2.8139,2.7039,29.187,21.644446,8.1823,76.062,7.275,343.5836,27.327,2.053835621749207
2018-05-11T10:52:51Z,4.252,0.069,12.1726,2.8079,2.6755,29.215,21.642601,8.1568,75.757,7.269,343.7626,26.86,2.0575235973066324
2018-05-11T10:52:51Z,4.271,0.069,12.143,2.78,2.6409,29.249,21.642374,8.1288,75.424,7.262,343.9625,26.4,2.0616703396593743
2018-05-11T10:52:51Z,4.29,0.069,12.1119,2.7427,2.6523,29.281,21.641676,8.0975,75.061,7.256,344.0215,25.997,2.0657558570465104
2018-05-11T10:52:51Z,4.307,0.069,12.0772,2.7333,2.6908,29.303,21.634132,8.0609,74.655,7.25,344.132,25.658,2.0692972331866146
2018-05-11T10:52:51Z,4.322,0.07,12.0383,2.749,2.7107,29.308,21.614618,8.0223,74.231,7.241,344.353,25.279,2.0718025704395266
2018-05-11T10:52:51Z,4.338,0.072,11.9945,2.8043,2.6787,29.316,21.596153,7.9888,73.851,7.231,344.5423,24.879,2.0748064324221036
2018-05-11T10:52:51Z,4.357,0.074,11.9508,2.8873,2.6393,29.358,21.601288,7.9611,73.521,7.222,344.6138,24.469,2.080361962622502
2018-05-11T10:52:51Z,4.377,0.074,11.9127,2.9255,2.6619,29.409,21.613188,7.9351,73.206,7.216,344.6153,23.992,2.086295961322784
2018-05-11T10:52:51Z,4.401,0.073,11.8739,2.9352,2.6779,29.442,21.613047,7.9058,72.867,7.213,344.6459,23.569,2.0909265573942903
2018-05-11T10:52:51Z,4.422,0.071,11.8321,2.9398,2.6492,29.452,21.59956,7.8739,72.512,7.209,344.7256,23.293,2.0940014033105454
2018-05-11T10:52:51Z,4.437,0.068,11.7877,2.9446,2.711,29.447,21.577051,7.8413,72.161,7.204,344.8055,23.062,2.0960966792502664
2018-05-11T10:52:51Z,4.451,0.065,11.7416,2.9745,2.8459,29.495,21.594797,7.8048,71.777,7.198,344.8372,22.775,2.102291306796752
2018-05-11T10:52:51Z,4.466,0.061,11.6992,2.9897,2.9064,29.558,21.623663,7.7627,71.34,7.192,344.8505,22.431,2.109426428588758
2018-05-11T10:52:51Z,4.481,0.059,11.6633,2.9905,2.924,29.563,21.60864,7.7162,70.863,7.187,344.8798,22.095,2.111822464334195
2018-05-11T10:52:51Z,4.497,0.058,11.6336,3.0755,2.876,29.581,21.603586,7.6663,70.356,7.182,344.9342,21.751,2.114857315049467
2018-05-11T10:52:51Z,4.514,0.055,11.6054,3.2363,2.7527,29.635,21.626013,7.6162,69.85,7.178,345.0773,21.459,2.1205400500423104
2018-05-11T10:52:51Z,4.529,0.053,11.5752,3.3266,2.6846,29.656,21.625865,7.5701,69.385,7.173,345.3196,21.281,2.123841747279376
2018-05-11T10:52:51Z,4.541,0.052,11.5438,3.3214,2.6629,29.643,21.601771,7.5271,68.952,7.168,345.6272,21.109,2.124635380122388
2018-05-11T10:52:51Z,4.551,0.053,11.5127,3.2569,2.7341,29.644,21.588608,7.4874,68.552,7.162,345.871,20.942,2.1264765807360435
2018-05-11T10:52:51Z,4.561,0.055,11.4844,3.1625,2.8736,29.669,21.593656,7.4513,68.188,7.156,346.0304,20.771,2.129986018355204
2018-05-11T10:52:51Z,4.575,0.059,11.4583,3.1168,2.9162,29.694,21.599316,7.4172,67.841,7.149,346.1782,20.484,2.133374763360578
2018-05-11T10:52:51Z,4.592,0.061,11.4328,3.1178,2.9134,29.707,21.593547,7.3859,67.516,7.142,346.2817,20.158,2.135819674131808
2018-05-11T10:52:51Z,4.612,0.061,11.4101,3.1016,2.9318,29.722,21.587357,7.3569,67.206,7.137,346.3348,19.847,2.1382597807092734
2018-05-11T10:52:51Z,4.631,0.059,11.3899,3.0585,2.9248,29.747,21.587946,7.3295,66.909,7.132,346.3038,19.528,2.141321833676537
2018-05-11T10:52:51Z,4.647,0.056,11.3683,3.0379,2.9195,29.786,21.600644,7.3031,66.626,7.128,346.3367,19.304,2.14553577414869
2018-05-11T10:52:51Z,4.659,0.053,11.3434,3.0458,2.9296,29.824,21.61391,7.2777,66.359,7.124,346.561,19.176,2.1498685512929194
2018-05-11T10:52:51Z,4.668,0.052,11.3137,3.08,2.8946,29.854,21.62136,7.2533,66.101,7.119,346.7791,19.001,2.1538729386375457
2018-05-11T10:52:51Z,4.678,0.054,11.2819,3.1484,2.8619,29.885,21.627238,7.2289,65.836,7.111,346.9087,18.786,2.1580814816447935
2018-05-11T10:52:51Z,4.692,0.058,11.2548,3.1924,2.9008,29.904,21.621479,7.2057,65.576,7.105,347.0952,18.565,2.161105171221407
2018-05-11T10:52:51Z,4.708,0.065,11.2337,3.1994,2.9368,29.925,21.615188,7.1851,65.334,7.098,347.399,18.289,2.163937477194152
2018-05-11T10:52:51Z,4.726,0.071,11.2115,3.1964,2.9012,29.957,21.614629,7.1697,65.134,7.089,347.7435,17.995,2.167680122667206
