Date,Depth_m,Descent Rate (m/s),Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP,PAR,Salinity
2018-05-11T11:01:23Z,9.104,0.073,7.2567,0.8327,12.6084,36.352,23.445603,0.92,7.626,6.413,362.4258,0.1255,2.970980135566649
2018-05-11T11:01:23Z,9.123,0.073,7.2543,0.824,12.6178,36.391,23.469842,0.9177,7.606,6.412,362.5043,0.12552,2.974572387990283
2018-05-11T11:01:23Z,9.142,0.072,7.2512,0.8252,12.5503,36.394,23.470988,0.9145,7.58,6.41,362.3675,0.12552,2.9750977729824584
2018-05-11T11:01:23Z,9.162,0.071,7.2486,0.8289,12.4334,36.377,23.459455,0.9095,7.539,6.409,362.2345,0.1255,2.9738426064398067
2018-05-11T11:01:23Z,9.18,0.069,7.2465,0.8314,12.3635,36.374,23.457374,0.9043,7.496,6.409,362.2721,0.12552,2.973760921547779
2018-05-11T11:01:23Z,9.196,0.069,7.2449,0.8372,12.3463,36.355,23.445832,0.8989,7.451,6.408,362.3917,0.12557,2.972246368818614
2018-05-11T11:01:23Z,9.212,0.07,7.2444,0.853,12.2864,36.356,23.446874,0.8936,7.407,6.406,362.3903,0.1256,2.9723753244115168
2018-05-11T11:01:23Z,9.228,0.071,7.2433,0.8762,12.1891,36.394,23.469971,0.8906,7.382,6.406,362.427,0.12555,2.9757707802240776
2018-05-11T11:01:23Z,9.246,0.074,7.2422,0.8872,12.1774,36.399,23.471136,0.8891,7.368,6.405,362.5774,0.12552,2.976298700734372
2018-05-11T11:01:23Z,9.267,0.078,7.2444,0.8856,12.2059,36.388,23.460957,0.8879,7.358,6.404,362.6608,0.12554,2.975153146255574
2018-05-11T11:01:23Z,9.288,0.08,7.246,0.8661,12.2586,36.411,23.473873,0.8881,7.359,6.402,362.6613,0.12554,2.977013522170142
2018-05-11T11:01:23Z,9.309,0.081,7.2438,0.8346,12.3569,36.455,23.500328,0.8898,7.373,6.401,362.6692,0.12555,2.9810249985166477
2018-05-11T11:01:23Z,9.332,0.08,7.2392,0.8269,12.4173,36.497,23.526868,0.8915,7.387,6.401,362.6692,0.12551,2.9850697595405506
2018-05-11T11:01:23Z,9.353,0.077,7.2352,0.8374,12.44,36.519,23.540823,0.8915,7.388,6.4,362.5764,0.12545,2.98732540352444
2018-05-11T11:01:23Z,9.373,0.073,7.2326,0.8416,12.4479,36.522,23.542082,0.8887,7.364,6.399,362.4931,0.12548,2.9878091274236205
2018-05-11T11:01:23Z,9.391,0.069,7.2306,0.823,12.5743,36.522,23.542083,0.8834,7.32,6.399,362.4366,0.12552,2.9879804366483973
2018-05-11T11:01:23Z,9.407,0.065,7.2297,0.7865,12.8386,36.519,23.540835,0.8758,7.257,6.399,362.4089,0.12549,2.98779626782993
2018-05-11T11:01:23Z,9.422,0.062,7.2291,0.7679,12.989,36.496,23.526993,0.867,7.184,6.4,362.4168,0.12547,2.985847279738817
2018-05-11T11:01:23Z,9.436,0.061,7.2287,0.7729,13.0194,36.458,23.501702,0.8563,7.096,6.401,362.3593,0.12552,2.9825769065704857
2018-05-11T11:01:23Z,9.451,0.061,7.2288,0.7821,13.1148,36.441,23.488995,0.8409,6.968,6.402,362.402,0.12554,2.9810895513326177
2018-05-11T11:01:23Z,9.466,0.062,7.2297,0.8147,13.3485,36.461,23.500329,0.8248,6.834,6.401,362.5891,0.12552,2.982750325524637
2018-05-11T11:01:23Z,9.482,0.063,7.2307,0.8652,13.586,36.481,23.511759,0.8117,6.725,6.401,362.6429,0.1255,2.984402433188002
2018-05-11T11:01:23Z,9.498,0.064,7.2298,0.8596,13.5764,36.466,23.500205,0.8005,6.632,6.4,362.6234,0.12544,2.983174843634846
2018-05-11T11:01:23Z,9.516,0.064,7.2277,0.8203,13.4455,36.449,23.487612,0.7919,6.56,6.399,362.6971,0.12543,2.9818764162465596
2018-05-11T11:01:23Z,9.533,0.063,7.2249,0.8213,13.4382,36.449,23.486467,0.7864,6.514,6.397,362.7601,0.12552,2.9821162073242764
2018-05-11T11:01:23Z,9.549,0.063,7.2219,0.8531,13.519,36.45,23.486363,0.7827,6.484,6.397,362.7826,0.12559,2.982460284124561
2018-05-11T11:01:23Z,9.565,0.063,7.2197,0.8745,13.5675,36.453,23.486354,0.7793,6.454,6.396,362.7965,0.12555,2.9829095149127762
2018-05-11T11:01:23Z,9.58,0.063,7.2177,0.8593,13.5056,36.458,23.486363,0.7769,6.434,6.395,362.7555,0.12547,2.9835156479647456
2018-05-11T11:01:23Z,9.596,0.063,7.2162,0.835,13.4421,36.462,23.486468,0.7768,6.432,6.394,362.6312,0.12547,2.9839918123297897
2018-05-11T11:01:23Z,9.612,0.063,7.2154,0.829,13.4714,36.466,23.487613,0.776,6.426,6.395,362.5843,0.12549,2.9844076449888517
2018-05-11T11:01:23Z,9.629,0.063,7.2127,0.8141,13.4634,36.488,23.500205,0.7738,6.407,6.395,362.6192,0.12549,2.9865529128143073
2018-05-11T11:01:23Z,9.646,0.063,7.2081,0.7831,13.3443,36.509,23.511738,0.7715,6.388,6.394,362.5362,0.12545,2.9887753062474176
2018-05-11T11:01:23Z,9.661,0.063,7.2044,0.7671,13.2519,36.494,23.500079,0.7697,6.373,6.394,362.3561,0.12545,2.9877881249236773
2018-05-11T11:01:23Z,9.677,0.064,7.2024,0.7677,13.2622,36.475,23.486218,0.7684,6.361,6.395,362.1611,0.12544,2.9863063454650525
2018-05-11T11:01:23Z,9.692,0.066,7.201,0.7725,13.2852,36.455,23.471118,0.7684,6.361,6.395,362.0716,0.1254,2.984685853207256
2018-05-11T11:01:23Z,9.708,0.068,7.1986,0.7795,13.2555,36.416,23.444473,0.7704,6.377,6.395,362.1347,0.12543,2.981497918409587
2018-05-11T11:01:23Z,9.726,0.07,7.1952,0.7966,13.2701,36.378,23.418008,0.7714,6.385,6.396,362.1502,0.12552,2.9784826139583664
2018-05-11T11:01:23Z,9.746,0.071,7.1923,0.8221,13.3697,36.361,23.405078,0.7717,6.387,6.397,362.0858,0.12554,2.9772513426861105
2018-05-11T11:01:23Z,9.765,0.074,7.1904,0.8308,13.4535,36.38,23.415101,0.7742,6.407,6.397,362.0443,0.12554,2.9790670281156926
2018-05-11T11:01:23Z,9.784,0.076,7.1878,0.8281,13.4903,36.379,23.412218,0.7742,6.407,6.397,361.9927,0.12556,2.9792025294550335
2018-05-11T11:01:23Z,9.802,0.076,7.1845,0.8458,13.4783,36.318,23.370225,0.7702,6.373,6.397,361.8922,0.12555,2.974175971326397
2018-05-11T11:01:23Z,9.821,0.075,7.1822,0.8793,13.4612,36.293,23.351766,0.7669,6.346,6.397,361.7765,0.12552,2.97219644785849
2018-05-11T11:01:23Z,9.842,0.072,7.1797,0.9384,13.5883,36.339,23.379498,0.7648,6.328,6.397,361.7119,0.1255,2.9764136671828823
2018-05-11T11:01:23Z,9.862,0.07,7.1768,1.0182,13.8551,36.355,23.388095,0.7643,6.323,6.397,361.7991,0.12547,2.978054554046179
2018-05-11T11:01:23Z,9.879,0.069,7.1738,1.0357,14.0024,36.364,23.392217,0.7687,6.359,6.397,361.9702,0.12549,2.979095028082816
2018-05-11T11:01:23Z,9.894,0.068,7.1698,0.9845,13.934,36.423,23.429338,0.7765,6.423,6.397,362.0606,0.12556,2.9845759733664523
2018-05-11T11:01:23Z,9.909,0.068,7.1662,0.9416,13.821,36.466,23.455997,0.7851,6.494,6.397,362.1172,0.1256,2.9886306008848775
2018-05-11T11:01:23Z,9.926,0.069,7.1638,0.9489,13.8275,36.476,23.460598,0.7968,6.591,6.395,362.2245,0.12556,2.989707867427549
2018-05-11T11:01:23Z,9.945,0.071,7.1623,0.9626,13.7988,36.516,23.484963,0.811,6.707,6.394,362.4113,0.1255,2.993321100992444
2018-05-11T11:01:23Z,9.965,0.071,7.1609,0.9328,13.596,36.536,23.49664,0.8237,6.812,6.394,362.6557,0.12548,2.995183588011588
