Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Flag
2018-06-28T09:39:10Z,6.434,10.9432,0.6106,4.3815,32.463734,45.145,7.8523,71.122,6.3,315.2632,1.1068,0.0231,0.076,0
2018-06-28T09:39:10Z,6.449,10.9429,0.6106,4.4083,32.50201,45.223,7.854,71.136,6.3,315.5282,1.0971,0.0232,0.074,0
2018-06-28T09:39:10Z,6.462,10.9418,0.5944,4.3949,32.518075,45.222,7.8486,71.086,6.3,315.2254,1.1123,0.0232,0.071,0
2018-06-28T09:39:10Z,6.47,10.9418,0.6389,4.4352,32.503051,45.222,7.8393,71.003,6.298,315.4904,1.1007,0.0232,0.065,0
2018-06-28T09:39:10Z,6.482,10.9445,0.6308,4.4352,32.520707,45.224,7.8307,70.926,6.298,315.604,1.0764,0.0232,0.056,0
2018-06-28T09:39:10Z,6.493,10.9474,0.6308,4.3546,32.496102,45.224,7.8242,70.866,6.299,315.339,1.0779,0.0232,0.047,0
2018-06-28T09:39:10Z,6.503,10.9473,0.6713,4.1532,32.474362,45.142,7.8191,70.819,6.299,315.6418,1.0377,0.0231,0.043,0
2018-06-28T09:39:10Z,6.516,10.9455,0.6915,4.2875,32.547762,45.294,7.8113,70.748,6.3,315.4525,1.0183,0.0232,0.044,0
2018-06-28T09:39:10Z,6.526,10.9439,0.6915,4.2203,32.523375,45.217,7.8098,70.733,6.301,315.3011,1.017,0.0232,0.044,0
2018-06-28T09:39:10Z,6.538,10.9426,0.6955,4.2203,32.504711,45.219,7.8075,70.712,6.303,315.7554,0.97686,0.0232,0.043,0
2018-06-28T09:39:10Z,6.553,10.9416,0.6713,4.2338,32.511679,45.221,7.8057,70.697,6.304,315.6418,0.98341,0.0232,0.044,0
2018-06-28T09:39:10Z,6.562,10.9409,0.7077,4.1264,32.455394,45.145,7.8177,70.805,6.302,315.9825,0.96516,0.0231,0.045,0
2018-06-28T09:39:10Z,6.572,10.9407,0.7158,4.1801,32.45614,45.146,7.8204,70.829,6.303,315.7554,0.92413,0.0231,0.045,0
2018-06-28T09:39:10Z,6.592,10.9413,0.7117,4.1532,32.510752,45.225,7.8304,70.919,6.303,316.0961,0.92642,0.0232,0.047,0
2018-06-28T09:39:10Z,6.62,10.9416,0.6834,4.0995,32.506049,45.225,7.8411,71.015,6.302,316.2854,0.90972,0.0232,0.053,0
2018-06-28T09:39:10Z,6.633,10.9413,0.643,4.1129,32.461994,45.147,7.854,71.131,6.302,316.5125,0.92118,0.0231,0.057,0
2018-06-28T09:39:10Z,6.634,10.9409,0.6713,4.1264,32.44696,45.146,7.8653,71.233,6.302,316.8154,0.8965,0.0231,0.058,0
2018-06-28T09:39:10Z,6.651,10.9403,0.6834,4.1532,32.46545,45.147,7.8725,71.297,6.298,317.3075,0.83393,0.0231,0.058,0
2018-06-28T09:39:10Z,6.669,10.9399,0.5944,4.0995,32.498292,45.225,7.8688,71.263,6.297,317.0047,0.86079,0.0232,0.059,0
2018-06-28T09:39:10Z,6.681,10.9397,0.5864,4.0995,32.465397,45.148,7.8668,71.245,6.297,317.3454,0.84311,0.0231,0.059,0
2018-06-28T09:39:10Z,6.706,10.94,0.5823,4.1801,32.506387,45.226,7.8579,71.167,6.293,318.0647,0.83055,0.0232,0.06,0
2018-06-28T09:39:10Z,6.741,10.9401,0.6228,4.2741,32.506591,45.226,7.8449,71.049,6.29,317.989,0.80928,0.0232,0.064,0
2018-06-28T09:39:10Z,6.766,10.9394,0.6591,4.3546,32.465145,45.148,7.829,70.906,6.285,317.989,0.74966,0.0231,0.071,0
2018-06-28T09:39:10Z,6.784,10.9391,0.6713,4.3412,32.498658,45.226,7.8209,70.836,6.286,318.254,0.76479,0.0232,0.08,0
2018-06-28T09:39:10Z,6.804,10.9387,0.6713,4.4083,32.464886,45.149,7.8149,70.784,6.287,318.254,0.7482,0.0231,0.087,0
