BVR,50,7/23/14,Secchi,2.2,m,
,,,,depth,ph,
FCR,50,5/5/15,YSI,0.1,6.86,
FCR,50,5/5/15,YSI,0.8,6.83,
FCR,50,5/5/15,YSI,1.6,6.78,
FCR,50,5/5/15,YSI,2.8,6.71,
FCR,50,5/5/15,YSI,3.8,6.67,
FCR,50,5/5/15,YSI,5,6.48,
FCR,50,5/5/15,YSI,6.2,6.32,
FCR,50,5/5/15,YSI,8,6.24,
FCR,50,5/5/15,YSI,9,6.17,
BVR,50,10/23/15,Secchi,3,m,
,,,,depth,par,
BVR,50,9/18/15,PAR,-0.1,40,
BVR,50,9/18/15,PAR,0.1,65,
BVR,50,9/18/15,PAR,1,35,
BVR,50,9/18/15,PAR,2,36,
BVR,50,9/18/15,PAR,3,44,
BVR,50,9/18/15,PAR,4,72,
BVR,50,9/18/15,PAR,5,42,
BVR,50,9/18/15,PAR,6,16.4,
BVR,50,9/18/15,PAR,7,5.9,
BVR,50,9/18/15,PAR,8,1.6,
BVR,50,9/18/15,PAR,9,0.385,
BVR,50,9/18/15,PAR,10,0.093,
BVR,50,9/18/15,PAR,11,0.012,
,,,,depth,par,
FCR,50,9/28/15,PAR,-0.1,158,
FCR,50,9/28/15,PAR,0.1,103,
FCR,50,9/28/15,PAR,1,23.09,
FCR,50,9/28/15,PAR,2,7.69,
FCR,50,9/28/15,PAR,3,2.46,
FCR,50,9/28/15,PAR,4,0.717,
FCR,50,9/28/15,PAR,5,0.117,
FCR,50,9/28/15,PAR,6,0.012,
FCR,50,9/28/15,PAR,7,0.024,
FCR,50,9/28/15,PAR,8,0,
FCR,50,9/28/15,PAR,9,0,
,,,,depth,par,ph
FCR,50,10/19/15,Secchi,-0.1,1398,nm
FCR,50,10/19/15,Secchi,0.1,641,6.16
FCR,50,10/19/15,Secchi,1,201.9,6.06
FCR,50,10/19/15,Secchi,2,70.1,6.01
FCR,50,10/19/15,Secchi,3,31.5,5.99
FCR,50,10/19/15,Secchi,4,12.1,5.99
FCR,50,10/19/15,Secchi,5,4.9,6.02
FCR,50,10/19/15,Secchi,6,2,5.99
FCR,50,10/19/15,Secchi,7,0.8,5.99
FCR,50,10/19/15,Secchi,8,0.3,6
FCR,50,10/19/15,Secchi,9,0.07,5.99
BVR,50,10/23/15,Secchi,3,m,
,,,,depth,par,ph
FCR,50,11/9/15,"Secchi, YSI",-0.1,111,nm
FCR,50,11/9/15,"Secchi, YSI",0.1,71,6.38
FCR,50,11/9/15,"Secchi, YSI",1,27.5,6.32
FCR,50,11/9/15,"Secchi, YSI",2,11.3,6.31
FCR,50,11/9/15,"Secchi, YSI",3,4.6,6.31
FCR,50,11/9/15,"Secchi, YSI",4,1.8,6.31
FCR,50,11/9/15,"Secchi, YSI",5,0.7,6.22
FCR,50,11/9/15,"Secchi, YSI",6,0.3,6.16
FCR,50,11/9/15,"Secchi, YSI",7,0.09,6.14
FCR,50,11/9/15,"Secchi, YSI",8,0.03,6.12
FCR,50,11/9/15,"Secchi, YSI",9,0.01,6.11
FCR,50,12/7/15,Secchi,1.5,m,
,,,,depth,par,ph
FCR,50,12/7/15,"Secchi, YSI",-0.1,333.6,nm
FCR,50,12/7/15,"Secchi, YSI",0.1,207.8,6.69
FCR,50,12/7/15,"Secchi, YSI",1,79,6.64
FCR,50,12/7/15,"Secchi, YSI",2,31.7,6.61
FCR,50,12/7/15,"Secchi, YSI",3,12.9,6.55
FCR,50,12/7/15,"Secchi, YSI",4,5.1,6.55
FCR,50,12/7/15,"Secchi, YSI",5,2,6.51
FCR,50,12/7/15,"Secchi, YSI",6,0.9,6.48
FCR,50,12/7/15,"Secchi, YSI",7,0.4,6.45
FCR,50,12/7/15,"Secchi, YSI",8,0.15,6.43
FCR,50,12/7/15,"Secchi, YSI",9,0.06,6.42
